,open,high,low,close,volume
20181109,240000,240000,237000,237500,67
20181108,237500,241500,237500,239500,41
20181107,241000,241500,237500,237500,163
20181106,237500,238500,237500,237500,56
20181105,239000,239000,236000,238000,131
20181102,239000,241000,238000,240000,220
20181101,233500,238000,233500,238000,215
20181031,234000,234000,227000,233500,128
20181030,237500,238000,234500,237000,38
20181029,245500,245500,234000,236500,291
20181026,244000,244000,240000,242000,332
20181025,243000,245500,243000,244000,154
20181024,248000,248000,245000,246500,279
20181023,253000,253000,248000,248000,64
20181022,252000,252000,249500,249500,108
20181019,253000,253000,251500,252000,59
20181018,257500,257500,252500,253000,67
20181017,256000,257000,255500,256000,56
20181016,255500,256000,252000,256000,39
20181015,250000,255500,250000,255500,118
20181012,247000,255500,247000,255500,61
20181011,253000,254000,249500,252500,485
20181010,258500,258500,253000,255000,231
20181008,264000,264000,257000,259000,90
20181005,268500,268500,257000,264000,419
20181004,268500,270000,264500,269000,108
20181002,269000,270000,268500,270000,73
20181001,280000,280000,269500,270000,175
20180928,274000,274000,270000,272000,114
20180927,272000,274000,270000,273000,130
20180921,273500,274000,271000,273000,118
20180920,274000,274000,270500,273500,123
20180919,274500,274500,269500,270500,106
20180918,271000,274000,269000,274000,255
20180917,277500,277500,271500,271500,111
20180914,273500,275000,272500,274000,166
20180913,280000,280000,273000,274500,430
20180912,278500,281000,278000,280500,228
20180911,278000,280500,277000,278000,195
20180910,277500,278000,275000,275500,179
20180907,272000,280000,272000,276500,836
20180906,264000,270000,264000,270000,54
20180905,266500,268000,264500,264500,147
20180904,269500,270000,266500,266500,213
20180903,259000,269500,258000,269500,426
20180831,259000,259000,258000,259000,38
20180830,257500,260000,256000,259000,121
20180829,257500,260500,257000,260500,63
20180828,257500,258500,256500,257500,133
20180827,262000,262000,257500,258500,333
20180824,261000,262000,260000,260500,32
20180823,263000,263000,259500,261500,339
20180822,262000,263000,259500,263000,261
20180821,261000,261500,259000,261500,118
20180820,260000,260000,256000,259000,63
20180817,257000,263000,257000,259000,214
20180816,254500,260000,251500,257000,576
20180814,249500,252000,248000,251500,447
20180813,245000,250000,244000,250000,1047
20180810,250000,250000,246000,246000,924
20180809,250000,250000,247000,248000,598
20180808,253500,253500,251000,251000,296
20180807,253500,255000,253000,254000,44
20180806,258000,258000,253500,254000,217
20180803,254000,259000,254000,256000,406
20180802,254500,261000,254500,258000,137
20180801,254500,258500,253500,258500,191
20180731,255500,257500,255500,257500,43
20180730,256500,256500,254500,255500,66
20180727,255000,256500,255000,256500,8
20180726,251500,256500,250500,254000,86
20180725,253500,253500,251000,252000,141
20180724,255000,255000,253000,255000,40
20180723,258500,258500,252500,257500,92
20180720,258000,258500,256000,258500,101
20180719,256500,260000,256500,258500,23
20180718,261000,261000,258000,258000,46
20180717,261000,261000,256000,261000,105
20180716,264500,264500,258500,261000,57
20180713,264500,267500,264500,265000,43
20180712,259000,269500,259000,264000,464
20180711,250000,260000,245500,258500,140
20180710,245500,245500,244500,245000,543
20180709,244500,245500,243000,245000,955
20180706,243000,244500,243000,244500,324
20180705,244000,244500,243500,244500,228
20180704,243000,245000,242500,245000,160
20180703,247500,248500,245000,245000,243
20180702,248000,249000,246000,247500,331
20180629,249500,249500,247500,248000,87
20180628,250500,250500,248000,249500,117
20180627,253500,254500,250500,250500,304
20180626,258500,258500,253500,253500,360
20180625,258500,258500,257500,258500,139
20180622,258000,258500,255500,258500,154
20180621,258500,259500,258000,258500,151
20180620,261000,261500,258500,258500,266
20180619,265000,265000,255000,258500,664
20180618,271000,271000,263000,263500,672
20180615,272000,272000,270000,271000,218
20180614,272500,272500,270000,271500,236
20180612,272500,274000,272500,272500,693
20180611,270500,273000,270500,273000,1021
20180608,273000,273000,270500,273000,278
20180607,274500,274500,272000,273000,91
20180605,271500,273000,271500,273000,220
20180604,271000,275000,270000,273000,478
20180601,268000,270500,266500,270000,746
20180531,269500,270500,269500,269500,331
20180530,271500,271500,266500,269500,627
20180529,271000,271000,270500,270500,193
20180528,275000,275000,271000,271000,670
20180525,271000,271500,270000,271000,268
20180524,274000,274000,271500,271500,347
20180523,275500,275500,272500,274000,442
20180521,276500,276500,274000,276000,174
20180518,277500,277500,274500,276500,116
20180517,274500,275000,273000,275000,373
20180516,277500,278000,275000,275000,393
20180515,278500,279500,275500,277000,574
20180514,276000,277000,276000,277000,412
20180511,278500,278500,277000,277000,484
20180510,282500,282500,278000,278000,379
20180509,282500,282500,279000,279500,280
20180508,282500,283000,280000,281500,330
20180504,282000,283000,281000,281500,549
20180503,283000,285000,281000,281500,579
20180502,281500,286500,281500,283000,743
20180430,283000,283000,281500,282500,345
20180427,285000,285500,281500,282000,319
20180426,285000,286500,282000,282000,320
20180425,283500,283500,280500,282000,132
20180424,285000,285000,280500,282500,729
20180423,284500,285500,281500,282500,717
20180420,284500,285500,281000,285000,296
20180419,285500,285500,281000,281500,285
20180418,282500,286000,282500,283000,154
20180417,290500,290500,284000,284000,767
20180416,289000,289000,285500,285500,575
20180413,288000,288000,286000,286000,208
20180412,288500,289000,288000,288500,877
20180411,288500,289000,287500,288000,518
20180410,285000,289000,285000,288500,182
20180409,290000,290000,285000,289000,294
20180406,285000,290000,285000,288500,269
20180405,280500,285000,280500,283000,88
20180404,283500,285000,281500,283000,282
20180403,287000,287000,284000,286000,36
20180402,288500,288500,284000,287000,132
20180330,285000,288000,283000,288000,277
20180329,291000,291000,284500,285000,146
20180328,291000,291000,283500,289000,284
20180327,294000,294000,287500,289000,82
20180326,288000,297000,287000,288000,239
20180323,290000,295500,287000,288000,307
20180322,299000,299000,292500,296000,124
20180321,297000,299500,297000,299000,117
20180320,297000,300000,286000,299500,440
20180319,295500,301000,292500,299000,361
20180316,295000,296500,293000,295500,98
20180315,294000,297000,294000,297000,110
20180314,293500,294500,293000,294000,138
20180313,298000,300000,293500,293500,570
20180312,289500,298000,289500,296500,362
20180309,288000,289500,286000,289500,96
20180308,286000,288000,284500,286500,149
20180307,286000,288000,286000,286000,256
20180306,285500,286500,285000,286000,420
20180305,289000,289000,285500,286500,419
20180302,287500,289000,285000,288500,315
