,open,high,low,close,volume
20181109,112000,112000,108000,111500,31
20181108,111500,112500,111500,111500,17
20181107,110000,111500,109500,111000,144
20181106,109000,110000,109000,110000,23
20181105,110000,110000,108000,110000,41
20181102,110000,111000,108000,110000,28
20181101,109000,110000,109000,110000,43
20181031,110000,110500,105000,109000,278
20181030,109500,113500,109500,111000,92
20181029,117000,117000,108500,109500,213
20181026,119000,120000,107500,117000,877
20181025,118000,124000,118000,120000,67
20181024,118000,122500,118000,121500,47
20181023,120500,120500,118000,120000,104
20181022,122500,127000,120500,121000,147
20181019,121500,123000,119500,122500,33
20181018,119000,124000,118500,121500,99
20181017,120000,124000,119000,120000,109
20181016,120500,121000,119000,121000,49
20181015,125000,125000,120500,120500,32
20181012,121500,122000,118500,120000,100
20181011,121500,123500,114000,123000,553
20181010,124000,124500,118500,123000,358
20181008,124500,125000,123500,125000,63
20181005,126500,126500,121000,124500,74
20181004,127500,127500,124000,124500,387
20181002,128500,128500,128000,128500,14
20181001,129000,130000,126500,128500,78
20180928,130500,131000,126500,129500,286
20180927,129500,132000,128500,131500,130
20180921,130000,130500,128500,130000,83
20180920,129500,130500,129500,130500,19
20180919,130000,130500,129500,130500,34
20180918,130000,130500,128500,130000,105
20180917,131000,131000,130000,130500,67
20180914,131000,131000,129500,131000,42
20180913,134500,134500,128000,130000,318
20180912,133500,135000,131500,133500,121
20180911,134000,135000,133000,134000,41
20180910,137000,137000,130500,135000,78
20180907,131000,137000,129500,134000,429
20180906,129500,131000,129500,131000,50
20180905,131000,131000,129500,130500,235
20180904,131000,131500,129500,130000,262
20180903,131000,131000,130000,131000,45
20180831,132000,132000,130000,131000,197
20180830,134500,134500,131500,132000,102
20180829,134500,134500,133000,134500,33
20180828,135000,135000,130500,134500,117
20180827,135000,135000,133500,135000,35
20180824,135000,136000,130000,136000,189
20180823,135500,136000,135000,136000,13
20180822,134500,137000,134500,137000,84
20180821,135000,135000,133500,134500,81
20180820,136000,136000,133500,135000,55
20180817,135500,136500,134000,136500,109
20180816,135000,136500,133000,135500,116
20180814,135500,137500,134500,137000,36
20180813,138000,138000,138000,138000,1
20180810,138000,138000,138000,138000,1
20180809,137500,138000,137500,138000,2
20180808,136000,139000,135500,139000,36
20180807,137000,138000,137000,137500,3
20180806,137500,138500,137000,138000,20
20180803,139500,139500,137000,139000,18
20180802,139500,139500,138000,138000,7
20180801,137000,139500,137000,139500,7
20180731,139000,139500,138500,139500,37
20180730,137000,137000,137000,137000,10
20180727,137000,139500,137000,139500,6
20180726,139500,139500,139500,139500,1
20180725,136500,140000,135000,140000,39
20180724,137000,140000,136000,138500,57
20180723,137000,139500,137000,139000,34
20180720,140000,140000,137000,139500,21
20180719,139000,139000,137000,137000,17
20180718,139500,140500,139500,140000,97
20180717,140000,141000,136500,141000,62
20180716,141500,142000,140000,141500,24
20180713,140000,142000,140000,141500,49
20180712,139500,140000,139500,140000,25
20180711,139500,139500,137500,139500,33
20180710,139000,140000,137000,139500,35
20180709,140000,143000,137000,139000,31
20180706,133500,140000,131500,140000,163
20180705,135000,137500,132000,134500,23
20180704,133500,136000,133500,135000,41
20180703,137500,140000,136000,137500,51
20180702,141000,141000,137000,137500,45
20180629,143500,143500,139000,141500,58
20180628,144500,144500,141500,143000,15
20180627,143500,144500,142000,143000,21
20180626,143000,145000,142500,143500,26
20180625,144500,145000,144500,145000,13
20180622,144500,145000,144000,145000,30
20180621,143000,145000,143000,145000,16
20180620,144500,145000,143000,145000,109
20180619,145500,146000,145000,145000,107
20180618,147500,147500,146000,146000,68
20180615,148000,148000,146000,148000,54
20180614,146000,148000,144500,148000,105
20180612,146000,149000,146000,148500,56
20180611,146500,148000,146000,148000,235
20180608,148500,149000,146000,147000,128
20180607,148000,150000,147000,150000,42
20180605,147500,148500,145000,148500,199
20180604,149000,150000,145500,148000,85
20180601,146000,147500,146000,147500,42
20180531,148500,154000,146500,148000,21
20180530,149000,149000,145500,147500,57
20180529,147000,148000,146500,147500,100
20180528,145000,150000,145000,148500,121
20180525,151500,151500,145500,149000,128
20180524,151000,151500,147500,150500,192
20180523,146000,152000,145500,152000,416
20180521,149000,149000,145500,148500,222
20180518,145000,148500,144500,147500,130
20180517,145500,149500,143000,149500,187
20180516,148500,148500,143500,146000,172
20180515,145000,149500,143000,149500,121
20180514,147000,147000,143500,145000,341
20180511,148500,148500,144500,146000,211
20180510,147000,148000,145000,147000,120
20180509,145000,147000,143000,147000,118
20180508,146500,147000,145000,145000,173
20180504,150000,150000,145000,148000,382
20180503,146500,148500,145000,147500,258
20180502,148500,150000,145500,149000,57
20180430,152000,152000,146500,149000,96
20180427,153000,153000,149000,150000,35
20180426,153000,153000,146000,150000,101
20180425,151500,151500,149000,149500,25
20180424,150000,150000,148500,150000,138
20180423,151500,151500,148500,150000,31
20180420,151500,151500,150500,151000,55
20180419,154000,154000,148000,151000,15
20180418,150500,150500,150000,150000,31
20180417,148500,150500,148500,150500,41
20180416,156000,156000,148000,153000,87
20180413,151500,152500,151000,152000,12
20180412,150000,152000,150000,152000,52
20180411,152000,152000,150000,150000,26
20180410,148000,152000,148000,150500,21
20180409,145000,150500,144500,150000,104
20180406,147000,150000,147000,150000,15
20180405,147500,151000,144000,144000,134
20180404,146000,148500,145500,148000,76
20180403,150500,150500,150000,150000,63
20180402,150500,151500,149000,150500,62
20180330,152500,152500,147000,151000,155
20180329,152500,152500,152500,152500,1
20180328,151500,151500,148500,150000,3
20180327,152500,152500,147000,149000,19
20180326,149000,149500,145500,149000,47
20180323,152000,152500,147000,150000,162
20180322,152000,153500,152000,153000,179
20180321,152000,153000,149000,153000,226
20180320,150000,153000,150000,152000,133
20180319,149000,150000,149000,150000,106
20180316,147000,148500,146000,148500,9
20180315,148000,149000,148000,149000,2
20180314,146000,148000,146000,148000,13
20180313,147500,148000,145000,148000,35
20180312,147500,148000,144500,148000,59
20180309,148500,148500,145000,146500,115
20180308,145500,147500,145500,147000,8
20180307,149500,149500,143500,148000,28
20180306,147500,147500,145000,147500,8
20180305,143000,146500,143000,146500,2
20180302,147000,147000,146000,146000,349
20180228,144500,146000,144000,146000,12
20180227,146000,146000,144000,144000,8
20180226,145000,145000,143000,144000,63
20180223,146500,146500,144000,145000,16
20180222,145500,147500,145000,147000,58
20180221,147500,147500,143500,145500,37
20180220,149000,149000,144500,147500,154
20180219,148500,149500,145000,146500,188
20180214,151500,151500,150000,150000,11
20180213,152000,152000,149000,150000,230
20180212,151500,151500,148500,149500,447
20180209,151000,152000,146500,149000,324
20180208,148000,152000,148000,151500,40
20180207,150000,151500,150000,151500,2
20180206,148000,152000,147000,152000,299
20180205,150000,151000,148000,150500,26
20180202,152000,152000,147000,152000,220
20180201,148500,152000,148500,152000,128
20180131,151000,151000,148500,151000,444
20180130,151500,151500,147500,151000,205
20180129,151000,152500,149000,151000,107
20180126,151500,152000,151000,152000,64
20180125,151500,153000,151500,152500,289
20180124,149500,151500,149500,151500,218
20180123,149000,150000,147000,150000,209
20180122,149000,149000,148000,149000,108
20180119,147000,148000,146500,147000,46
20180118,145000,148000,142500,148000,75
20180117,143500,145000,142500,145000,64
20180116,144500,145000,143500,143500,141
20180115,144000,146500,142500,144500,266
20180112,149000,150000,142000,150000,562
