,open,high,low,close,volume
20181109,111000,121000,111000,119000,238656
20181108,113500,115500,110500,110500,182962
20181107,112500,115000,110500,112000,107333
20181106,111000,112500,110000,112500,62755
20181105,112000,112000,109000,110000,55598
20181102,111000,113500,110500,113000,60440
20181101,109000,111500,108000,110000,63839
20181031,107500,109000,106500,109000,81031
20181030,107000,110000,106000,107500,71592
20181029,109500,112500,107500,108500,76122
20181026,115500,116500,110000,111000,70545
20181025,115000,118000,113500,115000,75111
20181024,117000,119000,116500,118000,46113
20181023,121000,121000,115000,116500,66177
20181022,119500,121500,118000,121000,43311
20181019,116500,120000,115500,120000,59682
20181018,118500,119500,116000,117500,42341
20181017,117000,121000,116500,119500,78289
20181016,115000,117500,114500,115000,57659
20181015,117000,117000,115000,115000,88803
20181012,115500,118500,115000,117500,153851
20181011,121500,123000,117500,117500,242323
20181010,132000,133000,125500,126000,129185
20181008,132500,133500,132000,132000,45724
20181005,132000,133500,131500,132500,50474
20181004,135500,136000,131000,132000,80033
20181002,135500,136000,134000,134500,49619
20181001,135500,137000,135000,135500,43045
20180928,134000,136500,133000,135000,96519
20180927,136000,136500,133500,134000,95455
20180921,133500,136500,133000,135500,79972
20180920,132500,134500,132500,133500,43767
20180919,136000,136000,132000,133000,67341
20180918,135500,136000,134000,135500,32071
20180917,138000,138500,135500,136000,54826
20180914,135000,139500,134500,139000,155629
20180913,134000,135500,132500,134000,161235
20180912,134000,135000,132500,133500,86720
20180911,133000,134500,132000,133500,38494
20180910,132500,133000,131500,133000,45055
20180907,133500,134000,132000,133500,51124
20180906,132500,133500,131500,133500,44645
20180905,133000,133500,132000,132500,39148
20180904,132500,133500,131500,133500,35215
20180903,132500,133500,132000,132000,37159
20180831,132500,133500,131000,132000,100410
20180830,135500,136000,131500,132500,141496
20180829,135000,136000,134000,135500,64548
20180828,135500,136000,133000,135000,66626
20180827,135000,136500,134000,135000,67489
20180824,135500,137000,132000,134500,118459
20180823,139500,140000,135000,136000,95824
20180822,138500,140000,138500,139000,34023
20180821,137500,140000,137500,140000,40399
20180820,138500,140000,137500,137500,53507
20180817,140500,141000,137000,138500,100717
20180816,141500,142000,138500,141000,66262
20180814,141500,146000,141500,142500,42579
20180813,145000,146000,141000,142000,51095
20180810,142000,146500,142000,146000,57283
20180809,143500,144000,142000,142000,63800
20180808,144000,145000,141500,143500,49191
20180807,142500,145500,142000,145000,63103
20180806,140500,144000,140500,143500,59981
20180803,140500,141500,139500,140500,40178
20180802,140000,143500,140000,140500,47908
20180801,140500,142500,140000,141000,44916
20180731,137500,140500,137500,140500,58803
20180730,138500,140000,136000,138000,74640
20180727,140500,140500,138000,138500,66165
20180726,142500,144000,139000,140000,65457
20180725,143000,147000,140500,141000,68697
20180724,144000,144000,142000,143000,32779
20180723,143500,144500,142500,143000,54627
20180720,139500,142500,139000,142500,53878
20180719,144500,146500,138500,139000,65776
20180718,147500,148000,144000,144500,41872
20180717,147500,149000,145000,147500,44002
20180716,148500,149500,147000,148000,50067
20180713,144000,149500,144000,148500,71379
20180712,145000,145500,142500,143500,146227
20180711,143500,146000,143000,144500,76540
20180710,144000,145000,143000,143500,49584
