,open,high,low,close,volume
20181109,158000,160500,147500,155500,139032
20181108,156000,166000,156000,159000,120394
20181107,157000,158500,153000,154500,65062
20181106,157000,158500,152500,157000,41561
20181105,158000,162500,153500,155500,62446
20181102,155500,160500,155500,159500,65340
20181101,158500,160500,156000,157000,73108
20181031,152000,162000,150000,158500,103777
20181030,155000,157000,150000,152000,66093
20181029,158000,161000,153500,155000,60376
20181026,161500,165000,155500,157500,54468
20181025,158500,163500,155000,162500,112362
20181024,163500,167000,161000,161500,101837
20181023,162000,166000,161000,162000,118774
20181022,162000,168500,161500,163000,191750
20181019,150500,167000,148000,162000,261489
20181018,151000,153500,149500,152500,54852
20181017,152500,155000,149000,151500,65518
20181016,152000,153000,149000,150000,45169
20181015,147500,154000,147000,152000,68454
20181012,144000,152500,140500,147500,118772
20181011,144500,146500,139500,140000,112513
20181010,150500,154500,146000,148000,63328
20181008,153500,156000,151500,153000,32164
20181005,151000,155000,147000,153500,79004
20181004,161500,161500,150000,151000,133334
20181002,157500,162000,157500,161000,62755
20181001,157000,160500,157000,158000,43030
20180928,155000,159000,152500,158000,86219
20180927,158000,161500,154500,156000,121596
20180921,160500,161500,156500,158000,63165
20180920,160500,163000,157000,158000,74294
20180919,162000,163000,157500,162000,70517
20180918,163000,164000,159500,162000,73456
20180917,166000,166500,161000,164500,57236
20180914,167000,169500,164500,165500,50711
20180913,166500,168500,165000,166000,41177
20180912,165000,170000,164000,166500,65848
20180911,168500,168500,164000,165000,50483
20180910,159500,170000,159500,167000,155554
20180907,156000,163000,156000,161500,119869
20180906,152000,159500,151500,155500,124179
20180905,148000,154000,148000,152000,71284
20180904,151500,151500,147500,148000,70080
20180903,153000,153500,151000,152000,27295
20180831,153500,154500,151500,154000,40701
20180830,153000,154000,151500,153000,54666
20180829,154000,155000,151000,153500,64046
20180828,154500,157000,153000,153500,47368
20180827,153500,156000,152500,154000,53811
20180824,156000,156500,154000,154500,34446
20180823,156500,158500,154500,157000,75861
20180822,152000,158000,150500,154500,131177
20180821,148500,153500,147000,152000,109993
20180820,144500,148000,144000,147500,72411
20180817,145500,147000,143000,143500,85051
20180816,142500,146000,142000,145000,60659
20180814,142500,146500,142500,144500,67326
20180813,149000,149500,143000,143500,115677
20180810,151000,152000,149000,150500,64637
20180809,149500,152500,149000,151000,108258
20180808,151500,152500,149000,150500,60843
20180807,150500,153000,150000,152500,31841
20180806,153500,155000,151000,151500,43608
20180803,152500,154500,150000,154000,34246
20180802,152000,157500,150000,151500,66864
20180801,152000,153500,151000,152000,44268
20180731,154000,154000,149500,151000,85640
20180730,155000,155500,152000,154000,54634
20180727,158500,158500,155000,156500,54995
20180726,158500,159000,155000,157500,64871
20180725,154500,157000,153000,156500,70571
20180724,160000,161000,154000,155500,105740
20180723,163500,164000,158000,161000,49062
20180720,155000,161500,155000,161500,64697
20180719,167000,168000,151500,155000,163439
20180718,169000,172000,166500,167000,50799
20180717,168000,171500,167500,167500,71752
20180716,169500,171500,166000,168000,67668
20180713,169500,171000,167000,170000,57474
20180712,174000,174000,169000,170500,44448
20180711,172000,173500,167000,172500,64514
20180710,174500,177500,171500,173000,53437
20180709,168500,174500,168500,173000,104318
20180706,169500,171000,167500,168500,65635
20180705,173000,174000,165500,169500,96180
20180704,166000,176500,165500,172500,146237
20180703,163000,169000,163000,167500,73375
20180702,167000,169000,161500,163000,104205
20180629,165500,169000,163000,168000,90031
20180628,162000,166500,161000,163000,88803
20180627,160500,163500,158000,160000,109656
20180626,161000,163000,159500,160000,592452
20180625,164500,166500,164000,164500,91672
20180622,159000,166500,156000,164000,173681
20180621,156000,162000,155000,158500,83759
20180620,152000,157000,151500,155500,38152
20180619,152000,155000,151500,154000,60192
20180618,152000,156500,151500,153000,56907
20180615,156000,156000,150500,152000,95614
20180614,157500,160000,156000,156500,70171
20180612,163500,164500,159500,161500,101297
20180611,156500,162500,156500,161500,119811
20180608,157000,157000,151000,154000,99739
20180607,152000,157500,151000,154000,89568
20180605,154500,154500,150500,152500,55147
20180604,151500,158000,151500,153000,108756
20180601,149500,152500,147000,148000,54814
20180531,150000,152000,148000,149500,60187
20180530,150000,151500,146000,148000,70991
20180529,158500,158500,151000,151000,62416
20180528,157000,166500,156000,157000,129638
20180525,152000,155500,148500,150500,77630
20180524,157000,162500,155500,156000,67584
20180523,155500,156500,151000,156000,81346
20180521,162000,162500,157000,158000,53452
20180518,162500,163500,160500,162000,31313
20180517,163500,167000,160000,161500,58990
20180516,168000,170000,160500,164500,123020
20180515,174000,175500,171500,171500,137327
20180514,175000,175500,171000,175000,114754
20180511,167500,176000,166500,174500,251545
20180510,152000,167500,151500,165500,279750
20180509,151000,154000,145000,154000,77339
20180508,155500,155500,150000,152000,52189
20180504,151000,158000,150500,154000,50952
20180503,156000,157000,152500,153000,53857
20180502,159000,162500,153500,157000,125323
20180430,158500,160500,155000,156500,126458
20180427,154500,157500,152500,153000,42752
20180426,152000,157500,148500,154500,83566
20180425,154500,156000,151000,152000,59592
20180424,156000,157500,151500,155000,78876
20180423,156000,157500,152500,155500,112277
20180420,151500,155500,148000,155000,131724
20180419,150000,151500,145000,150500,97546
20180418,148500,151500,146500,149500,133603
20180417,144500,148000,144000,146500,120082
20180416,144000,147000,142500,145000,109794
20180413,134500,145500,133500,144000,247237
20180412,136000,136000,133500,135000,53844
20180411,136000,138000,136000,137000,39431
20180410,138000,139000,136000,137500,41781
20180409,136500,139500,135000,139000,42339
