,open,high,low,close,volume
20181109,51300,53800,50900,53800,5159
20181108,51100,51600,51000,51000,1417
20181107,51100,51800,50100,50900,1469
20181106,50800,50800,50100,50800,5123
20181105,51000,51300,50000,50200,1978
20181102,51100,51100,50000,51000,2223
20181101,50100,51300,49850,50000,1416
20181031,50500,50500,49200,49850,1544
20181030,49350,49900,48650,49450,4067
20181029,52100,52100,49350,49350,4817
20181026,53000,53000,50500,51200,2279
20181025,53000,53000,52000,52400,1974
20181024,54300,54800,53700,53700,1079
20181023,55000,55000,53700,54100,4899
20181022,54900,55000,53600,55000,998
20181019,54600,55200,53800,54900,1560
20181018,56000,56000,54200,54600,2509
20181017,55500,56200,55500,55800,1593
20181016,55900,55900,54800,55400,2007
20181015,56000,56100,55000,55500,3773
20181012,55600,57700,55600,56800,2550
20181011,58000,58000,55700,57000,2660
20181010,60500,60500,58300,58300,4524
20181008,60700,60700,60100,60500,641
20181005,61100,61100,59900,60700,1731
20181004,62300,62400,61000,61100,2133
20181002,62300,62300,61500,61900,291
20181001,61800,62500,61700,61900,1599
20180928,61300,61600,61000,61600,1027
20180927,60600,61100,60000,61100,2209
20180921,60000,60400,59900,60400,2330
20180920,60600,60600,59500,60000,1240
20180919,60500,60700,60000,60000,837
20180918,61000,61300,60400,60500,678
20180917,61300,61400,59800,61000,2097
20180914,60000,61300,60000,61300,3247
20180913,60800,61000,60200,60600,1509
20180912,60400,61000,59700,60800,3594
20180911,59900,60200,59700,60000,840
20180910,60200,60200,59600,60000,305
20180907,60200,60600,59500,60200,1240
20180906,60000,60300,59100,60300,1498
20180905,60600,60700,60100,60200,696
20180904,60600,60600,60100,60400,379
20180903,60300,60500,60100,60400,467
20180831,60400,60400,60000,60300,1595
20180830,61000,61000,60000,60100,1769
20180829,61000,61000,60300,60800,1052
20180828,61600,61600,60400,60900,3134
20180827,61800,61800,61200,61400,464
20180824,62400,62400,61000,61700,1467
20180823,63000,63300,61800,62300,466
20180822,61800,63200,61500,63000,2196
20180821,62300,62300,61600,62300,361
20180820,61500,61800,60800,61800,2317
20180817,61200,62200,60900,61500,2250
20180816,61900,61900,61000,61200,2231
20180814,61600,62500,61200,61900,745
20180813,63400,63400,61600,62100,1285
20180810,63000,63500,62800,63400,1207
20180809,63500,63800,62400,63000,1442
20180808,64500,64500,62900,63600,1876
20180807,64400,64700,64100,64500,986
