,open,high,low,close,volume
20181109,61600,61900,60800,61900,279
20181108,61400,64000,61000,62500,413
20181107,60700,61600,60000,61300,609
20181106,59400,61100,57500,60300,1013
20181105,59900,59900,58500,59600,234
20181102,58800,61100,58800,60100,1043
20181101,58900,60900,58600,59900,656
20181031,60100,60200,58500,58900,324
20181030,58700,60600,56600,59900,1497
20181029,62600,63000,59500,59500,808
20181026,63900,65900,60400,63500,814
20181025,64100,65100,63200,63900,541
20181024,66800,68100,65000,66500,38
20181023,67700,67900,64300,67800,874
20181022,68000,70000,66200,67800,440
20181019,66400,69700,65700,68500,402
20181018,65800,67200,65800,66600,96
20181017,68500,68500,66100,67200,1011
20181016,68300,68300,66600,68300,34
20181015,67600,68500,65700,68300,757
20181012,66000,68000,64300,67600,816
20181011,68300,68400,64000,66300,664
20181010,69400,69400,66500,68400,622
20181008,68200,69400,68200,68800,454
20181005,68300,69000,68200,68200,294
20181004,68600,70500,67900,69300,625
20181002,68900,68900,68000,68400,285
20181001,68000,68600,68000,68500,244
20180928,68100,68500,68000,68000,593
20180927,68300,69100,68200,68500,357
20180921,68400,69400,68300,69000,391
20180920,69000,69100,68500,68800,113
20180919,69300,69800,68500,69000,181
20180918,69000,70700,68800,69100,234
20180917,69900,70000,68800,69200,705
20180914,70400,70900,69700,69800,248
20180913,70200,72400,68900,69700,1608
20180912,71100,72100,70200,70200,384
20180911,69100,72500,69000,71600,2936
20180910,69100,69300,67600,69100,823
20180907,68500,69600,67500,69100,2099
20180906,68700,69200,67100,68700,962
20180905,67600,69400,67200,68700,1271
20180904,67400,67800,66800,67600,478
20180903,68700,68700,67000,67300,672
20180831,68100,68100,66800,68100,651
20180830,68000,69700,66700,68200,2199
20180829,66600,66600,65300,66300,60901
20180828,66600,66700,65400,65600,1321
20180827,69500,69500,65500,65800,4861
20180824,71200,71200,69000,69000,3928
20180823,72000,72400,70300,71200,1570
20180822,73800,73800,72200,72500,2863
20180821,73400,73800,72500,73800,205
20180820,73300,73700,72400,73400,222
20180817,72900,73800,71600,73400,1903
20180816,72500,73000,71100,72900,611
20180814,72400,73200,72100,73200,2829
20180813,73600,73600,72300,73100,3291
20180810,73200,73500,72900,73100,281
20180809,72700,73100,72200,72800,1802
20180808,73100,75900,72100,72400,2431
20180807,73000,73400,72700,72900,342
20180806,73000,73900,72500,73000,1277
20180803,72900,74200,72800,73600,410
20180802,73900,73900,73000,73400,106
20180801,74500,74500,72500,74200,816
20180731,75800,75800,72500,74600,1108
20180730,74900,76000,72400,75800,999
20180727,74300,75300,73800,74900,529
20180726,73500,74400,73500,73900,150
20180725,72700,73700,72100,73700,319
20180724,70600,73700,70600,73700,427
20180723,74300,74400,70900,71800,1695
20180720,74400,74700,72700,74400,1050
20180719,75500,75500,74000,75200,704
20180718,76900,76900,74200,75500,841
20180717,77000,77700,75100,76500,700
20180716,76900,77700,75000,77000,517
20180713,76300,77300,75800,76900,983
20180712,77200,78700,76000,76300,766
20180711,78900,78900,77000,78700,1109
20180710,79500,79500,77700,79300,606
20180709,80000,80000,75700,79500,516
20180706,80500,81300,79000,79000,316
20180705,79100,80800,77600,80500,297
20180704,79100,79200,78600,79200,1912
20180703,78900,79700,77700,78600,688
20180702,79500,79500,77000,79300,392
20180629,79500,79700,77000,79500,513
20180628,77600,79300,77000,78700,2135
20180627,79600,80000,77000,77600,1075
20180626,83600,83600,79400,79700,1353
20180625,83200,84000,81300,83700,983
20180622,85600,85600,82200,83500,886
20180621,85100,86200,83600,86000,231
20180620,84200,88000,84200,86200,862
20180619,87900,88100,84600,86900,3367
20180618,85600,90700,85500,87500,3709
20180615,84000,86100,81100,85400,2468
20180614,83500,83700,79300,82700,779
20180612,83400,84700,82000,83500,844
20180611,82100,83400,78600,83400,1334
20180608,82700,82900,80600,82100,409
20180607,82100,83900,81300,82000,539
20180605,81000,82000,80100,81500,1433
20180604,83100,83400,81300,81300,1344
20180601,83300,83300,81500,82500,753
20180531,82000,83700,80900,82200,870
20180530,81000,82900,80000,82000,1688
20180529,85100,85100,81000,81000,1845
20180528,81900,88300,81500,85200,8653
20180525,79800,80500,77500,77900,5202
20180524,87200,87200,81700,82800,3060
20180523,85900,88000,84000,86700,2549
20180521,86800,86800,83000,85900,4340
20180518,84000,86700,83000,86100,5085
20180517,83500,88700,82000,84600,7735
20180516,88300,91000,80800,84500,9590
20180515,95000,96800,92500,94100,9204
20180514,97500,101000,91500,96000,37258
20180511,85000,109500,84500,101000,72052
20180510,83800,88000,82600,84500,6098
20180509,85900,88000,79000,83800,15801
