,open,high,low,close,volume
20181109,12200,12400,11900,12300,225678
20181108,12000,12300,12000,12100,340843
20181107,12100,12350,11300,11650,404172
20181106,12200,12300,11850,12050,253346
20181105,12400,12500,11900,12100,372526
20181102,11900,12750,11700,12400,692479
20181101,11500,11950,11350,11400,395626
20181031,11200,11600,10850,11350,427535
20181030,10000,11200,10000,11050,753733
20181029,11050,11250,10350,10350,574121
20181026,11500,11550,10650,11250,578748
20181025,11700,11900,11100,11300,907332
20181024,12150,12550,11900,12150,382824
20181023,12750,12950,11950,12050,657153
20181022,13500,13500,12750,12850,529913
20181019,13750,13750,13100,13700,296061
20181018,13650,14350,13550,14000,278232
20181017,14000,14050,13400,13650,207533
20181016,13500,13950,13500,13750,131458
20181015,13800,13950,13500,13600,217335
20181012,13100,13900,13050,13800,306748
20181011,13050,13700,13050,13150,528154
20181010,14300,14450,13600,13900,311342
20181008,14400,14950,14200,14400,201748
20181005,15000,15050,14500,14600,333057
20181004,15550,15600,14750,15000,328217
20181002,15750,15750,15400,15500,225487
20181001,15800,16000,15550,15650,280193
20180928,15900,16200,15700,15800,401062
20180927,16100,16550,15750,15850,469798
20180921,16800,16800,16100,16450,376413
20180920,16600,16900,16100,16500,406933
20180919,16900,16950,16600,16750,282113
20180918,16750,16950,16450,16900,189205
20180917,17300,17400,16800,16900,191920
20180914,17050,17500,17000,17350,258224
20180913,17000,17200,16850,17000,141242
20180912,16950,17250,16850,17150,273455
20180911,17100,17400,16800,16800,407493
20180910,17450,17650,17050,17200,280877
20180907,17450,17800,17200,17800,468111
20180906,18400,18400,17750,17850,247394
20180905,18400,18550,18100,18450,231582
20180904,18350,18550,18150,18400,220185
20180903,18350,18700,18300,18400,175699
20180831,18150,18400,17750,18350,235548
20180830,18250,18500,18050,18300,193436
20180829,17850,18350,17700,18250,331181
20180828,17550,17950,17200,17700,434834
20180827,17250,17500,16900,17300,310758
20180824,17500,17500,16800,17250,448956
20180823,17050,17600,16850,17250,323927
20180822,16950,17600,16500,17100,711112
20180821,16500,17200,16300,16950,432716
20180820,16600,16650,16050,16200,269614
20180817,16550,16650,16200,16250,272350
20180816,15850,16750,15850,16600,554851
20180814,16250,16700,16000,16200,678975
20180813,15700,15850,15350,15550,340950
20180810,16050,16200,15550,15800,454654
20180809,16850,16950,16050,16050,564644
20180808,16150,17300,16150,16950,732463
20180807,16550,16550,15850,16100,626111
20180806,17050,17050,16300,16450,375702
20180803,17100,17200,16750,17000,236115
20180802,17150,17450,16850,17000,195330
20180801,16900,17450,16850,17250,309851
20180731,16650,16950,16500,16800,272489
20180730,17450,17550,16600,16750,427182
20180727,16600,17550,16550,17550,531542
20180726,17500,17550,16300,16500,781913
20180725,17300,17700,17150,17350,254470
20180724,16900,17500,16850,17400,367694
20180723,18450,18450,16900,17050,624655
20180720,18200,18850,18100,18200,343797
20180719,18500,18700,18200,18250,286454
20180718,18850,19100,18500,18600,255296
20180717,18700,18850,18400,18850,207547
20180716,18900,18900,18350,18700,293314
20180713,18500,19700,18450,18850,738913
20180712,18200,18450,17900,18350,368859
20180711,18350,18600,17850,18250,517672
20180710,19150,19200,18400,18450,318955
20180709,18500,19350,18450,18900,399002
20180706,18900,19100,18300,18550,459260
20180705,18450,19300,18400,18650,460057
20180704,18900,19200,18450,18600,392324
20180703,19050,19350,18300,19050,539936
20180702,19800,19800,18800,18900,500599
20180629,19400,19900,18700,19600,517994
20180628,20200,20200,18950,19300,730835
20180627,19500,20700,19450,20350,815252
20180626,19500,19900,18850,19800,677899
20180625,20650,20700,19200,19650,1086546
20180622,19200,20800,18950,20700,926976
20180621,19100,19800,19050,19300,589577
20180620,19050,19450,18800,19350,597436
20180619,19550,19550,18450,19050,830257
20180618,19300,20000,18850,19450,1023733
20180615,19400,19700,19000,19350,636381
20180614,18850,19550,18650,19400,881479
20180612,19000,19250,18450,18800,560259
20180611,18900,19250,18650,19050,549731
20180608,18450,19450,18400,18900,1247103
20180607,18600,19000,18300,18450,665150
20180605,17250,18750,17250,18550,2225637
20180604,17650,18000,17100,17150,677365
20180601,16950,17700,16850,17550,1016871
20180531,16700,17500,16500,17000,1365891
20180530,16000,16750,15600,16700,1279355
20180529,15650,16050,15600,15900,564025
20180528,15450,15600,15150,15600,273689
20180525,15100,15600,15100,15250,342483
20180524,15600,15750,15150,15150,344155
20180523,15150,15750,15150,15400,626310
20180521,15100,15200,14950,15150,245601
20180518,14900,15150,14800,15100,185654
20180517,15250,15550,14900,15000,241146
20180516,15250,15600,14800,15250,476552
20180515,14800,15500,14750,15400,691415
20180514,14850,15050,14450,14900,473384
20180511,14400,14750,14250,14600,280918
20180510,14300,14500,14200,14450,280618
20180509,13600,14350,13500,14300,489761
20180508,13450,14100,13400,13800,405972
20180504,13800,13800,13250,13400,356760
20180503,13800,14050,13650,13800,184336
20180502,13500,14050,13200,13800,484714
20180430,13500,13500,12950,13450,399638
20180427,13550,13750,13350,13400,237517
20180426,13500,13650,13250,13400,324429
20180425,13500,13850,13400,13450,226958
20180424,13600,13700,13300,13600,204996
20180423,14350,14500,13400,13600,738609
20180420,14150,14650,14050,14500,274617
20180419,14250,14350,13950,14250,273993
20180418,14200,14400,13850,14250,278987
20180417,14350,14400,13950,14100,299573
20180416,14050,14400,14000,14150,377184
20180413,14450,14550,14050,14050,250921
20180412,13600,14450,13550,14400,560782
20180411,13500,13750,13350,13550,354502
20180410,13800,13800,13300,13450,432890
20180409,13700,13950,13600,13800,247616
20180406,13950,14000,13550,13800,337033
20180405,13600,14250,13600,14050,558470
20180404,14150,14250,13300,13450,498210
20180403,13750,14300,13600,14100,246159
20180402,14500,14550,13750,14150,1074305
20180330,14550,15100,14500,14750,474781
20180329,14700,14900,14150,14500,534341
20180328,14800,15100,14500,14700,473459
20180327,15550,15550,15000,15150,446976
20180326,15150,15600,14900,15300,457982
20180323,15950,16150,15250,15250,683507
20180322,16350,16650,16150,16400,324254
20180321,16600,16700,16200,16400,404773
20180320,16500,17100,16300,16650,581306
20180319,16850,16950,16300,16700,550905
20180316,15500,16900,15400,16700,1330921
20180315,15450,15700,15150,15450,212413
20180314,15750,15800,15450,15500,256593
20180313,15850,16050,15700,15850,312167
20180312,15900,16050,15750,15850,271562
20180309,15850,16250,15700,16000,664173
20180308,15400,15950,15100,15750,759034
20180307,14700,15600,14550,15350,690007
20180306,14750,15000,14500,14800,708306
20180305,14850,15100,14550,14600,351525
20180302,15100,15100,14600,14850,686508
20180228,15600,15850,15200,15300,597986
20180227,16300,16300,15650,15700,447546
20180226,16400,16400,16000,16050,350038
20180223,16250,16500,15800,16250,1096307
20180222,15950,16300,15550,16150,896572
20180221,15550,16150,15400,15950,837851
20180220,15600,16000,15350,15400,690616
20180219,15850,15850,15350,15400,432814
20180214,15500,16250,15400,15600,881353
20180213,15550,15650,15250,15450,542142
20180212,15600,15650,14750,15350,1135850
20180209,15150,15600,15100,15350,744743
20180208,15200,15800,15100,15700,1505527
20180207,15400,15850,15000,15100,1245290
20180206,15100,15400,14400,15100,1688153
20180205,15100,15900,14700,15600,1289659
20180202,15700,15800,15100,15550,1013662
20180201,14900,15800,14600,15650,1857832
20180131,13500,15050,13450,14800,2730565
20180130,13950,14000,13550,13600,520989
20180129,14250,14300,13950,14050,503414
20180126,13950,14200,13750,14100,731257
20180125,13850,14100,13500,14050,602768
20180124,13800,14100,13650,13900,912877
20180123,12800,13600,12800,13600,1003121
20180122,12900,13250,12750,12850,392115
20180119,13250,13650,12750,12900,916640
20180118,11850,13450,11700,13250,1799188
20180117,11800,12050,11600,11700,397226
20180116,12050,12100,11700,11800,488678
20180115,11950,12150,11800,12000,264135
20180112,12450,12500,11850,11950,539794
20180111,12800,12800,12400,12400,339215
20180110,12700,12800,12350,12750,435035
20180109,12200,12800,12150,12600,683160
20180108,11950,12250,11700,12200,356260
20180105,12300,12350,11900,11950,455726
20180104,12000,12600,11900,12300,642404
20180103,11850,12150,11850,11900,289367
20180102,12200,12200,11850,11850,209041
20171228,11850,12100,11750,12000,194214
20171227,11600,12050,11600,11850,236844
20171226,11600,11950,11500,11600,257152
20171222,11400,11800,11400,11550,348514
20171221,11850,12000,11300,11300,563731
20171220,12000,12100,11900,11950,255904
20171219,12300,12450,12000,12100,272962
20171218,12300,12550,12150,12250,254780
20171215,12450,12550,11900,12350,670642
20171214,12350,12800,12300,12400,586718
20171213,12150,12400,12150,12300,274951
20171212,12450,12550,12100,12200,325520
20171211,12350,12550,12300,12400,263690
20171208,12500,12700,12350,12350,331585
20171207,12950,13050,12500,12550,521797
20171206,13350,13400,12850,12900,515411
20171205,12950,13400,12850,13400,341777
20171204,13200,13300,12900,12950,490022
20171201,13550,13550,12950,13250,398163
20171130,13950,13950,13350,13400,518115
20171129,14100,14250,13650,13850,498739
20171128,14450,14500,14000,14100,495303
20171127,14550,14600,14050,14500,836813
20171124,13200,14400,13200,14200,1208696
20171123,13050,13400,12750,13350,682150
20171122,12950,13200,12800,12900,511666
20171121,13950,14050,12850,13050,1644134
20171120,14050,14150,13850,13900,333858
