,open,high,low,close,volume
20181109,34250,34600,34250,34350,14
20181108,34650,35000,33600,34250,95
20181107,33650,34800,33550,34600,237
20181106,33450,33600,32800,33400,41
20181105,33650,33950,32500,33500,50
20181102,31850,33700,31850,33650,244
20181101,31900,33050,31650,31650,95
20181031,31000,32050,31000,31900,25
20181030,32050,32050,30950,31700,36
20181029,30000,31700,30000,31600,158
20181026,30900,31900,29550,31900,280
20181025,30300,30450,29350,29800,390
20181024,32350,32350,30500,31100,1381
20181023,32900,32900,32050,32700,14
20181022,32500,32900,32500,32900,7
20181019,31800,32500,31800,32500,11
20181018,32650,32800,32000,32500,352
20181017,32400,33600,32100,32100,341
20181016,32900,32900,32250,32400,286
20181015,32550,34200,32150,32800,560
20181012,33700,33700,32000,32550,1503
20181011,32500,33750,32300,33300,521
20181010,35800,36000,33650,34000,414
20181008,35650,36100,35650,36100,13
20181005,36550,36550,34950,34950,141
20181004,36800,37350,35600,35950,151
20181002,37350,37350,35150,36800,212
20181001,37000,37700,37000,37100,31
20180928,36750,37450,36000,37300,331
20180927,37750,37750,36500,37300,446
20180921,38150,38150,37000,37750,664
20180920,37950,37950,37700,37700,7
20180919,38150,38200,37200,37950,73
20180918,37950,38450,37200,37900,224
20180917,37700,37950,37550,37950,13
20180914,37000,38200,37000,38050,410
20180913,38150,38150,37550,38050,75
20180912,37150,38250,37150,38250,36
20180911,38200,38350,37350,38350,235
20180910,37000,38400,36800,38400,143
20180907,37700,38350,37000,38200,306
20180906,38200,38400,38200,38400,15
20180905,38700,38700,37900,38200,204
20180904,37500,38800,37500,38450,49
20180903,37400,37550,37000,37500,120
20180831,38100,38350,37000,37400,516
20180830,38750,38800,38050,38700,86
20180829,38500,39000,37700,38800,157
20180828,37900,38800,37650,38550,478
20180827,38050,38100,37650,37900,212
20180824,38800,38900,37700,38850,104
20180823,38850,38850,37500,38850,50
20180822,37200,39000,37200,38600,528
20180821,37500,38200,37500,38100,73
20180820,38150,38450,37250,38000,458
20180817,36800,38150,36800,38150,145
20180816,38300,38400,36100,37300,518
20180814,38000,38500,38000,38300,45
20180813,37900,38450,36400,37350,544
20180810,38000,38100,37000,37900,120
20180809,38400,38400,37500,37900,99
20180808,38300,38400,37650,38300,195
20180807,36400,38450,36400,38300,345
20180806,37500,38450,37300,38250,228
20180803,38400,38400,37100,38350,24
20180802,37000,38300,36650,37950,155
20180801,37750,38000,37300,37800,47
20180731,37650,38000,36650,37250,175
20180730,37050,38000,36400,37650,637
20180727,35650,37900,35650,37500,507
20180726,36500,36500,35350,35550,458
20180725,35350,38000,35100,36200,957
20180724,35450,35450,34000,35100,848
20180723,35250,35450,34900,35000,143
20180720,35650,35900,35000,35800,300
20180719,36050,36200,35250,36050,179
20180718,36900,37000,35350,36400,758
20180717,36550,37050,35650,36400,539
20180716,38000,38000,36600,37050,317
20180713,37400,38000,36400,37800,278
20180712,37200,38000,35950,37000,188
20180711,36500,37000,35100,36700,618
20180710,35150,37600,34600,36500,488
20180709,36000,36950,34800,35950,670
20180706,36200,37300,35300,36150,487
20180705,37000,37250,35300,36200,510
20180704,36100,37900,36100,37350,459
20180703,37500,38450,35950,37300,452
20180702,38800,38800,36800,37050,513
20180629,38900,39000,37750,38800,228
20180628,38100,39500,37100,39500,447
20180627,37900,38900,37400,38100,137
20180626,38100,38900,37700,38500,283
20180625,40400,40400,37450,38700,350
20180622,39550,40150,37700,39900,571
20180621,40400,40450,38000,38400,519
20180620,38950,39800,38650,39700,323
20180619,40000,40000,37500,38950,1817
20180618,39650,40450,38700,39700,1528
20180615,39000,39750,38050,39650,1273
20180614,38000,38500,37200,38400,1400
20180612,39000,39750,37750,38000,1366
20180611,39900,39950,38500,39000,418
20180608,39500,40400,39400,39900,234
20180607,40400,40400,39000,39500,348
20180605,38050,40200,38000,39350,3084
20180604,39950,39950,38450,38450,586
20180601,40700,40750,38650,38850,2164
20180531,39000,40600,38000,39900,4411
20180530,40600,40600,37900,38500,3313
20180529,42800,42850,40300,40850,4397
20180528,42900,45000,42150,42850,8661
20180525,42000,43500,40450,41750,9406
20180524,60000,63000,44050,44950,60564
20180523,42700,54700,42700,54700,37799
20180521,40350,44300,39550,42100,3252
20180518,39500,40700,37250,40350,3092
20180517,38800,38800,37650,38450,221
20180516,39350,39650,37400,37850,937
20180515,39950,39950,38250,39350,1377
20180514,39000,40000,38550,39150,1814
20180511,39200,39200,37550,38800,492
20180510,38650,39750,37050,38450,2680
20180509,39700,40900,37250,38650,8455
20180508,37150,40400,37000,38850,11266
20180504,36400,37800,36050,36550,3393
20180503,36700,36700,36000,36550,155
20180502,36000,37450,35800,36350,695
20180430,36000,36000,34250,35750,2503
20180427,33550,35800,33550,35000,739
20180426,34900,35150,33350,33350,199
20180425,34100,34800,34100,34600,219
20180424,35650,35900,34200,34200,278
20180423,35450,36600,34100,35700,1064
20180420,35450,35450,35450,35450,1
20180419,34100,35950,34100,34700,737
20180418,33850,34150,33650,34150,16
20180417,34500,34500,34500,34500,1
20180416,33500,34350,33500,34000,27
20180413,33300,33800,33300,33800,7
20180412,32800,33200,32800,33200,28
20180411,32300,32800,31500,32800,233
20180410,33950,33950,32000,32100,2064
20180409,34400,34400,33800,33800,102
20180406,35100,35100,34400,34400,196
20180405,34750,35700,34750,35700,49
20180404,35350,35350,34050,34750,406
20180403,35000,35800,35000,35000,137
20180402,34650,35800,34600,35800,273
20180330,33800,34700,33800,34700,48
20180329,35000,35000,33800,34250,151
20180328,35700,36250,34150,35050,372
20180327,36250,36950,35650,35650,52
20180326,33800,36500,33800,35950,107
20180323,35800,35800,35800,35800,0
20180322,36150,36150,36150,36150,3
20180321,36700,38000,35750,36200,223
20180320,36900,36900,35500,36700,262
20180319,37000,37000,36600,36600,6
20180316,35650,36900,35650,36050,718
20180315,36700,36700,35600,35650,225
20180314,37150,37200,36150,36500,423
20180313,37100,37500,36450,36850,742
20180312,37500,37500,37500,37500,1
20180309,36400,36950,35750,36800,463
20180308,35500,36500,35400,36100,545
20180307,35100,36400,35000,35500,473
20180306,34100,36500,34100,35000,223
20180305,34800,34950,33500,34150,211
20180302,35300,35300,34350,35000,237
20180228,35500,35500,34200,35000,101
20180227,35400,36250,34950,35000,87
20180226,35900,35900,35000,35400,114
20180223,35400,36400,34550,35650,576
20180222,35500,35500,34700,35400,376
20180221,34700,35500,33750,35500,368
20180220,35000,35300,34100,34750,280
20180219,35900,35900,34750,35650,38
20180214,34150,35950,34150,35600,541
20180213,34000,35500,33800,35150,482
20180212,35550,35550,33750,33750,478
20180209,34350,35700,33400,35250,1222
20180208,33550,34300,33450,34100,764
20180207,32500,33550,32400,33400,594
20180206,32500,32950,31000,32350,424
20180205,33950,33950,32650,33250,456
20180202,34900,34900,33350,34150,48
20180201,33600,34500,33600,34250,986
20180131,32400,33600,31700,33500,981
20180130,32000,32950,32000,32450,399
20180129,31750,32150,31600,32050,167
20180126,30400,32000,30400,32000,229
20180125,30500,31100,30500,31100,298
20180124,30250,30650,30000,30500,502
20180123,29250,31100,29250,30150,442
20180122,30150,30150,29000,29700,747
20180119,30600,30600,29750,30000,751
20180118,30000,31400,29500,30950,1632
20180117,30050,30200,29700,29750,440
20180116,30450,30800,29550,30250,2035
20180115,32300,32300,29850,30450,3830
20180112,32000,32450,32000,32300,50
20180111,32200,32850,32000,32000,564
20180110,32600,33050,32250,32250,361
20180109,33250,33300,32500,33150,246
20180108,32800,33500,32800,32850,252
20180105,33600,33650,32650,33300,322
20180104,33300,33500,32850,33350,1053
20180103,34950,35550,32900,33000,2528
20180102,34500,34800,33300,34700,65
20171228,33300,34600,32600,34150,482
20171227,32950,33450,32600,33000,42
20171226,33750,34000,32650,32650,410
20171222,33300,34650,32550,33750,914
20171221,34500,34500,32100,33000,1304
20171220,33550,34600,33550,34600,225
20171219,35750,35750,34000,34500,210
20171218,36150,36150,34850,35750,74
20171215,35650,36000,34850,35850,226
20171214,35350,35650,34700,35450,191
20171213,36200,36200,34550,34950,299
20171212,36150,36300,35150,36100,127
20171211,34650,36050,34650,35800,561
20171208,35550,36000,35000,35100,207
20171207,36350,36450,35100,35550,1086
20171206,37600,37700,36250,36950,1350
20171205,37300,37700,37300,37700,11
20171204,37300,37300,37300,37300,1
20171201,37400,37400,37000,37300,77
20171130,37000,37400,36850,37400,140
20171129,38550,38550,36900,37000,741
20171128,38250,38400,37400,38050,410
20171127,37300,38450,37300,38250,185
20171124,37650,38500,37000,38300,472
20171123,38200,38250,37050,37650,272
20171122,37850,38350,37800,38250,17
20171121,39000,39750,37750,37750,461
20171120,38350,39900,37250,39450,298
20171117,38350,38950,37900,37900,520
20171116,39150,39150,37750,39000,54
20171115,38200,38800,38200,38550,91
20171114,38250,38450,37550,38250,152
20171113,38150,38500,37750,37750,238
20171110,38150,38600,37950,38550,270
20171109,38950,38950,37850,38150,1299
20171108,38300,39400,38300,39000,438
20171107,38500,40000,38150,38150,728
20171106,39800,39800,38300,39300,1191
20171103,38800,40900,38350,39800,2000
20171102,38100,38700,37850,38600,915
20171101,37750,38750,37500,38650,221
20171031,38000,39100,37650,38500,806
20171030,39400,39400,37850,38950,87
20171027,38250,39450,38250,39000,16
20171026,39400,39400,37750,38800,495
20171025,37300,39200,37050,38750,1788
20171024,38500,38500,36700,38000,914
20171023,36700,38350,36700,38200,993
20171020,36600,38300,36600,37350,304
20171019,37500,37500,36600,37450,249
20171018,36600,37750,36600,37500,475
20171017,38950,38950,37300,37900,454
20171016,38350,39000,37850,38450,120
20171013,38450,38500,37450,38000,501
20171012,37700,38500,37000,37750,1203
20171011,36500,38450,36500,37700,302
20171010,37600,38100,36650,37450,268
20170929,36950,38000,36700,37750,171
20170928,35600,38000,35600,37100,1779
20170927,36350,36350,35600,35600,139
20170926,35800,36800,35000,36050,511
20170925,37000,37350,34800,35500,2261
20170922,38600,38950,36300,37000,1488
20170921,38550,39000,38000,38600,82
20170920,38750,38850,37700,38550,31
20170919,38250,38400,37500,38250,166
20170918,38100,38200,37150,38200,95
20170915,38000,38000,37300,37700,310
20170914,38500,38500,37350,38000,388
20170913,38000,38300,37300,37900,652
20170912,37700,38200,36350,37900,905
20170911,37400,37850,36450,37700,430
20170908,37250,38350,36500,36900,1891
20170907,38750,39350,36700,37450,3348
20170906,38100,39450,37950,38300,1754
20170905,39250,40000,38100,38350,796
20170904,40150,40700,38700,39400,1783
20170901,41400,41550,40250,40950,531
20170831,40900,41750,40700,40700,1692
20170830,40750,41350,39650,40850,2461
20170829,39750,41450,39450,40500,5557
20170828,40200,40550,39300,39300,748
20170825,40300,40300,39050,40000,678
20170824,39250,40050,38750,39800,3132
20170823,40600,41200,39200,39550,3832
20170822,40800,41600,39950,40550,4072
20170821,40800,47000,39650,40800,41273
20170818,37950,42700,37950,40600,34774
20170817,39150,39500,37900,38200,2778
20170816,39300,40400,38400,38650,4451
20170814,36600,39750,36600,39000,11823
20170811,37000,37900,36300,37250,2251
20170810,38050,39300,37150,37400,4697
20170809,37600,43500,37000,38550,41260
20170808,37800,37800,36700,37000,204
20170807,38800,38800,37100,37600,482
20170804,37100,37900,36300,37900,2742
20170803,35650,37300,35650,36850,1871
20170802,37250,37600,36000,36450,401
20170801,36900,37450,36550,37250,365
20170731,36500,36950,36150,36650,73
20170728,35100,36500,34350,36300,637
20170727,35900,35900,35400,35900,10
20170726,36400,36400,35300,35650,705
20170725,37050,37100,35900,36450,939
20170724,37600,38950,36800,37200,515
20170721,37000,39000,37000,38300,296
20170720,38000,38000,37600,37700,15
20170719,37850,38450,37400,37450,393
20170718,36700,37750,36100,37350,1336
20170717,37450,38950,35900,36800,2549
20170714,37600,38350,37550,37550,617
20170713,38300,38800,37550,38450,184
20170712,38600,38950,37400,38300,186
20170711,38250,38350,37450,38300,1037
20170710,38600,38900,37500,37850,881
20170707,39300,40000,38800,38800,431
20170706,40750,40750,39200,40050,42
20170705,38600,40400,38150,39950,389
20170704,39900,40000,38500,39350,286
20170703,38750,40000,38550,39100,216
20170630,39100,39150,38100,38750,1342
20170629,40650,40900,39000,39000,1463
20170628,42000,42000,39300,39500,2186
20170627,41500,41950,40950,41600,756
20170626,42000,42000,40650,41500,789
20170623,41000,41650,40350,41600,816
20170622,42950,42950,41050,41050,1116
20170621,42600,42850,41500,42550,997
20170620,43500,43600,41500,42600,4754
20170619,44800,44800,42600,43650,5202
20170616,42650,43850,42000,43000,1679
20170615,41150,44250,40300,42700,7510
20170614,43850,43850,41050,41300,6331
20170613,41000,43850,40600,43400,8208
20170612,40400,42150,39800,41200,9513
20170609,38200,45000,38200,41500,45397
20170608,38300,39000,37500,38200,1048
20170607,37500,38500,36900,38300,1570
20170605,37800,39000,37550,37800,1253
20170602,37400,38650,37200,38350,2237
20170601,38350,38400,37300,37350,913
20170531,36900,38400,36500,37700,2613
20170530,38550,39450,37000,37500,5990
20170529,40700,44400,38300,38450,16768
20170526,37650,39900,37350,39200,9239
20170525,37100,40650,37100,37550,11777
20170524,36550,37800,36250,37500,4065
20170523,36250,36500,35900,36350,918
20170522,37000,37000,36200,36700,881
20170519,36450,36450,35500,36150,608
20170518,36400,36450,35350,36250,1146
20170517,36350,36500,35500,36000,1073
20170516,35000,36800,34800,35900,1643
20170515,35100,35450,34500,35250,989
20170512,35100,35500,35000,35200,972
20170511,35800,35800,35050,35500,1376
20170510,35750,36250,35000,35550,2208
20170508,35350,36000,35100,35600,755
