,open,high,low,close,volume
20181109,2570,2585,2475,2495,219339
20181108,2610,2630,2540,2560,366525
20181107,2555,2665,2495,2555,473283
20181106,2515,2570,2505,2550,129294
20181105,2535,2535,2475,2515,136891
20181102,2500,2535,2480,2535,204984
20181101,2445,2515,2425,2450,261993
20181031,2395,2420,2325,2410,287044
20181030,2135,2360,2135,2345,889507
20181029,2425,2460,2230,2240,743199
20181026,2565,2565,2415,2435,517536
20181025,2500,2555,2470,2510,678879
20181024,2615,2665,2565,2595,403074
20181023,2730,2770,2585,2605,496258
20181022,2840,2840,2735,2745,426305
20181019,2785,2820,2715,2820,314931
20181018,2835,2885,2820,2825,217028
20181017,2855,2885,2820,2855,207302
20181016,2750,2825,2750,2810,210577
20181015,2835,2835,2750,2750,488755
20181012,2620,2835,2620,2805,1045624
20181011,2875,2930,2700,2750,1241917
20181010,3255,3270,3005,3005,1063425
20181008,3260,3360,3255,3265,418451
20181005,3235,3290,3195,3260,357964
20181004,3385,3385,3240,3250,436178
20181002,3400,3510,3350,3350,1286272
20181001,3290,3395,3270,3390,629046
20180928,3310,3325,3270,3290,289473
20180927,3305,3345,3255,3325,493911
20180921,3180,3285,3160,3270,409032
20180920,3205,3270,3160,3165,556535
20180919,3320,3330,3225,3235,340178
20180918,3250,3365,3245,3305,752673
20180917,3415,3420,3255,3255,1165236
20180914,3415,3435,3340,3420,1425047
20180913,3100,3560,3100,3410,5212685
20180912,3150,3170,3085,3100,200513
20180911,3165,3180,3105,3135,220804
20180910,3070,3175,3060,3150,483905
20180907,3025,3090,3000,3065,346702
20180906,3025,3055,3020,3025,230249
20180905,3060,3080,3030,3030,241029
20180904,3065,3095,3035,3055,256380
20180903,3100,3110,3050,3085,167954
20180831,3070,3100,3045,3100,315329
20180830,3050,3090,3045,3075,219543
20180829,3010,3070,3010,3050,345598
20180828,3010,3055,3005,3020,309628
20180827,3035,3045,2995,3000,540871
20180824,3115,3115,3005,3030,604588
20180823,3170,3170,3070,3115,552062
20180822,3165,3270,3110,3160,573435
20180821,3120,3185,3120,3170,255294
20180820,3130,3165,3115,3120,178195
20180817,3140,3160,3105,3150,209079
20180816,3155,3165,3060,3145,341759
20180814,3120,3200,3120,3200,123911
20180813,3290,3290,3110,3140,284204
20180810,3280,3305,3215,3265,158009
20180809,3240,3420,3210,3255,611726
20180808,3270,3270,3220,3265,142409
20180807,3255,3260,3200,3230,161571
20180806,3270,3275,3170,3255,96147
20180803,3250,3275,3225,3240,110048
20180802,3290,3330,3250,3250,74801
20180801,3305,3320,3290,3300,72170
20180731,3260,3350,3255,3305,153975
20180730,3250,3290,3235,3270,68142
20180727,3215,3300,3215,3265,122518
20180726,3120,3385,3120,3240,230888
20180725,3150,3190,3085,3110,150297
20180724,3145,3185,3050,3120,186357
20180723,3210,3230,3095,3095,209413
20180720,3215,3245,3180,3210,233420
20180719,3335,3335,3215,3235,224946
20180718,3410,3435,3290,3305,279925
20180717,3395,3420,3380,3400,103573
20180716,3475,3475,3365,3400,191575
20180713,3440,3490,3420,3465,177676
20180712,3400,3420,3360,3420,129380
20180711,3430,3440,3340,3400,199903
20180710,3300,3430,3300,3430,189856
20180709,3290,3340,3270,3280,225103
20180706,3220,3370,3210,3315,345144
20180705,3320,3330,3190,3210,246330
20180704,3235,3340,3235,3320,175268
20180703,3220,3330,3200,3240,258991
20180702,3490,3500,3210,3210,510543
20180629,3440,3470,3355,3410,270625
20180628,3580,3585,3400,3400,502640
20180627,3515,3575,3450,3450,333922
20180626,3545,3580,3475,3515,315163
20180625,3435,3635,3435,3630,224806
20180622,3500,3525,3410,3455,228201
20180621,3540,3580,3470,3480,198986
20180620,3430,3575,3430,3540,276094
20180619,3480,3575,3460,3460,314498
20180618,3665,3665,3480,3540,625816
20180615,3640,3715,3635,3665,352251
20180614,3785,3790,3630,3640,616815
20180612,3950,3955,3795,3830,781330
20180611,3790,3890,3780,3860,477406
20180608,3895,3895,3780,3780,430072
20180607,3815,3880,3775,3880,322971
20180605,3825,3835,3680,3790,507387
20180604,3870,3895,3785,3825,350274
20180601,3820,3890,3755,3800,543784
20180531,3840,3925,3785,3795,604562
20180530,3900,3980,3785,3820,893767
20180529,4065,4080,3870,3900,987779
20180528,4040,4230,4040,4110,1640612
20180525,3805,3920,3785,3850,1398186
20180524,4275,4280,3995,4015,1491533
20180523,4250,4345,4185,4270,776646
20180521,4305,4370,4210,4300,937486
20180518,4205,4315,4145,4295,737529
20180517,4265,4385,4205,4230,1060808
20180516,4300,4470,4190,4235,2049928
20180515,4750,4765,4435,4555,2882254
20180514,4525,4775,4525,4605,3124271
20180511,4650,4710,4500,4510,2949033
20180510,4110,4850,4075,4650,9921840
20180509,4115,4140,3935,4060,1029710
20180508,4135,4165,4050,4055,729736
20180504,4100,4140,4035,4100,894012
20180503,4065,4150,4020,4100,1156445
20180502,4120,4170,3970,4065,2287592
20180430,3850,4065,3775,3995,2481743
20180427,3765,3855,3730,3800,821564
20180426,3765,3830,3710,3760,634330
20180425,3750,3770,3670,3700,665799
20180424,3815,3860,3695,3750,1457434
20180423,3560,3765,3525,3680,1547284
20180420,3550,3585,3470,3565,555766
20180419,3445,3535,3395,3520,613640
20180418,3330,3465,3325,3440,587112
20180417,3350,3395,3285,3310,389585
20180416,3350,3400,3320,3350,269367
20180413,3290,3385,3285,3340,428273
20180412,3300,3325,3250,3275,353994
20180411,3305,3370,3275,3295,544261
20180410,3325,3345,3220,3285,575766
20180409,3355,3405,3295,3335,485397
20180406,3460,3465,3365,3365,427609
20180405,3440,3490,3410,3450,361845
20180404,3650,3655,3410,3420,964101
20180403,3575,3690,3575,3640,310866
20180402,3715,3725,3590,3640,472383
20180330,3780,3795,3685,3685,547823
20180329,3820,3840,3745,3780,414114
20180328,3775,3890,3720,3820,1067617
20180327,3600,3820,3585,3815,1537042
20180326,3490,3580,3380,3565,602400
20180323,3590,3630,3505,3505,1264115
20180322,3525,3690,3500,3685,1231911
20180321,3550,3560,3495,3525,241052
20180320,3460,3565,3460,3545,279497
20180319,3505,3565,3480,3485,396014
20180316,3510,3580,3465,3550,485210
20180315,3475,3530,3440,3510,212631
20180314,3530,3555,3445,3480,500800
20180313,3665,3680,3510,3560,542044
20180312,3650,3685,3610,3625,331792
20180309,3630,3695,3600,3615,420141
20180308,3595,3680,3565,3630,315177
20180307,3565,3645,3495,3550,504253
20180306,3540,3595,3510,3540,429730
20180305,3635,3645,3455,3455,628072
20180302,3630,3715,3595,3630,330848
20180228,3605,3755,3595,3690,544163
20180227,3805,3840,3645,3670,696080
20180226,3815,3830,3695,3770,356812
20180223,3910,3910,3780,3780,484571
20180222,3815,3925,3755,3855,612271
20180221,3805,3890,3780,3835,404493
