,open,high,low,close,volume
20181109,36050,36300,34800,35050,78712
20181108,36450,36450,35800,36250,71236
20181107,35750,37450,35100,35250,125136
20181106,35700,36400,34900,35750,79539
20181105,35350,35700,34400,35350,89892
20181102,33400,35400,33400,35200,104005
20181101,33200,34250,33050,33150,104839
20181031,33750,33750,32700,33150,79016
20181030,31450,33750,31450,33600,165830
20181029,35000,36000,32600,32700,150542
20181026,36700,36800,34450,34800,108905
20181025,36350,37250,35200,36550,98199
20181024,37400,38400,37000,37500,89035
20181023,38850,39200,37300,37350,75541
20181022,39550,39700,38850,39150,46675
20181019,38850,39750,38350,39650,60414
20181018,39650,39950,39150,39400,35376
20181017,39550,39950,39300,39500,60772
20181016,38600,39350,38550,39050,47682
20181015,39400,41150,38350,38400,159781
20181012,37900,39500,37900,39350,93184
20181011,39900,40650,38500,38500,167777
20181010,41500,42150,41050,41300,70024
20181008,41400,42500,41350,41400,47053
20181005,42900,43200,41600,41700,87167
20181004,42550,43650,42350,43150,78593
20181002,43200,43750,42200,42650,111354
20181001,45100,45350,43050,43250,149733
20180928,45700,45800,45000,45050,79209
20180927,45400,46200,45000,45550,113270
20180921,44700,45050,44200,45000,78959
20180920,44050,45400,43950,44450,155318
20180919,45150,45150,43700,44100,122613
20180918,44100,45200,44100,45150,95890
20180917,45550,45550,44500,44550,109912
20180914,45400,46000,44850,45650,136248
20180913,47000,47150,45450,45600,240853
20180912,45400,46900,45250,45950,255593
20180911,44700,45450,44450,45200,83224
20180910,45850,45850,44700,44700,78701
20180907,44300,45350,44000,45150,195277
20180906,45400,45900,43800,43950,255445
20180905,45550,47400,45250,45450,279868
20180904,45750,46300,45200,45550,148501
20180903,46000,46500,45450,45800,140337
20180831,45650,47550,45500,46050,250691
20180830,46450,46800,45150,45800,238649
20180829,45300,46450,44900,46250,286306
20180828,45700,47050,44350,45300,571128
20180827,45000,50000,45000,45200,2079924
20180824,42400,44900,39850,43000,1285053
20180823,39450,41750,39400,41600,258261
20180822,39450,39550,38800,39450,89744
20180821,39000,39550,38600,39050,94740
20180820,38800,38900,38100,38750,115749
20180817,35550,37800,35400,37600,153976
20180816,35800,35900,35100,35300,52847
20180814,35250,36050,35200,35800,45846
20180813,36450,36550,35050,35100,47592
20180810,36800,36800,36200,36450,41357
20180809,35900,36600,35900,36550,45327
20180808,36100,36900,35950,36100,54778
20180807,35500,36850,35350,36350,56838
20180806,35600,36400,35600,35800,20655
20180803,35450,35900,35450,35750,15298
20180802,36100,36350,35450,35450,34470
20180801,35700,36900,35700,36200,51422
20180731,34650,36200,34650,35900,61940
20180730,33700,34950,33650,34900,48610
20180727,34700,34700,34250,34250,42048
20180726,33900,34700,33900,34350,33168
20180725,34200,34650,33800,33850,61011
20180724,34600,35250,34300,34400,41456
20180723,34750,35350,34400,34450,55479
20180720,34200,35350,34200,34850,36243
20180719,35300,35700,34300,34500,57219
20180718,35450,35800,34950,35100,49967
20180717,35100,35850,35100,35700,44469
20180716,34950,35500,34950,35350,26451
20180713,34750,35550,34700,35200,33126
20180712,34500,35200,34500,34750,46750
20180711,35100,35150,34350,34750,45105
20180710,35450,35750,35250,35350,38406
20180709,36050,36550,35300,35350,83324
20180706,34050,35350,32750,35100,88714
20180705,34250,34800,33700,34050,40741
20180704,33200,34600,33200,34350,44590
20180703,33200,34300,33200,33600,95880
20180702,34650,35200,33550,33600,102453
20180629,35450,35550,34000,34650,105213
20180628,36500,36500,35250,35450,76758
20180627,36650,37650,36400,36500,66080
20180626,36000,37100,35900,37100,58066
20180625,36400,36600,35850,36350,50484
20180622,35900,36500,35400,36400,79462
20180621,37400,37500,36400,36450,124896
20180620,37000,38250,36900,37600,95730
20180619,39950,40200,37300,37500,148421
20180618,41450,41550,39600,39950,106630
20180615,40600,41200,40450,41200,90991
20180614,40350,41200,40200,40200,98273
20180612,40550,41000,40200,40550,79156
20180611,39800,40600,39500,40500,60297
20180608,40050,40300,39800,39800,48624
20180607,39800,40300,39800,40050,51939
20180605,40100,40250,39650,39850,49744
20180604,40500,40550,39950,40000,48474
20180601,40350,40700,40100,40450,64542
20180531,40050,40900,39750,40500,72647
20180530,40250,40900,39850,40000,110965
20180529,40800,41400,40600,40750,55855
20180528,41100,41300,40450,40650,64586
20180525,41150,41700,40950,41450,73747
20180524,40800,42050,40750,41650,114785
20180523,41400,41700,40750,40800,66968
20180521,41400,42100,41000,41800,112687
20180518,40000,41450,39950,41000,75567
20180517,40600,40650,40050,40100,55286
20180516,40300,40800,39900,40550,68329
20180515,40200,40650,40000,40400,54969
20180514,41000,41000,39800,40300,91355
20180511,40650,41450,40400,40650,68456
20180510,40450,40800,40100,40300,81921
20180509,39300,40900,39300,40600,105208
20180508,40300,40900,39300,39300,125708
20180504,41100,41200,40100,40150,135429
20180503,41300,41800,41300,41400,53176
20180502,41050,42200,40550,41500,109748
20180430,42500,42550,40950,41600,160660
20180427,42350,42850,42250,42400,65499
20180426,42250,43000,41950,42250,89195
20180425,42100,42550,41750,42050,73867
20180424,42300,42800,42050,42300,73098
20180423,42700,42750,41400,42200,129086
20180420,42600,43350,42100,42650,123804
20180419,43850,43850,42300,42600,237504
20180418,44700,45350,43800,43850,134711
20180417,45800,45950,44500,44700,146597
20180416,45800,46450,44900,45450,158061
20180413,45700,46650,44750,45850,219332
20180412,49000,49000,45850,45850,620200
20180411,46800,51800,46400,48950,2636673
20180410,45600,46850,45050,45500,232732
20180409,44600,45450,44350,45200,114672
20180406,44100,44650,43850,44650,93952
20180405,44150,44800,43900,44050,81239
20180404,44200,44800,43700,44100,145639
20180403,42500,44950,41850,44050,244010
20180402,42600,43000,42150,42500,58765
20180330,42500,42750,42100,42600,59392
20180329,41800,42250,41350,42250,45299
20180328,41800,42200,41450,41650,75247
20180327,42400,42600,41850,42550,61008
20180326,40550,42050,40350,41950,92632
20180323,41850,42200,41100,41250,127069
20180322,44350,44700,42650,43000,115017
20180321,43200,44650,42700,43850,164012
20180320,41700,43100,41600,42950,84951
20180319,42900,43200,41750,41850,125278
20180316,43900,44000,43050,43250,59680
