,open,high,low,close,volume
20181109,41050,41450,40000,40900,194
20181108,41850,41900,41000,41050,366
20181107,41500,41950,40300,40300,680
20181106,41950,41950,40100,40100,168
20181105,39700,41200,39700,40950,120
20181102,38700,39750,38700,39700,351
20181101,37650,38800,37650,38700,260
20181031,38300,39000,37400,38150,1324
20181030,35300,38200,35300,38000,2105
20181029,38350,40900,37600,37800,3717
20181026,40800,41750,38500,38900,5988
20181025,40950,40950,39550,39750,569
20181024,41500,42250,41100,41100,2179
20181023,41800,42850,41450,41450,1754
20181022,43050,43050,41850,42850,1797
20181019,42500,43050,41500,42700,987
20181018,44300,44300,42600,42600,1490
20181017,42400,43650,42400,42950,763
20181016,42650,43750,42650,42850,1297
20181015,44700,44900,42500,43650,2969
20181012,42550,44900,41900,43700,3259
20181011,41800,43500,41700,42700,2442
20181010,43600,44000,41950,42850,2975
20181008,43100,44050,42900,43950,1943
20181005,45650,45650,43150,43200,471
20181004,44600,45000,44200,44750,246
20181002,45300,45300,44200,44600,472
20181001,45200,45200,44550,44950,1480
20180928,45350,46150,45200,45200,667
20180927,45900,46650,45000,45850,594
20180921,45300,46600,44400,45900,732
20180920,45950,46700,45250,45250,1094
20180919,46250,46850,45900,45900,1228
20180918,46700,46750,46200,46550,608
20180917,46850,47000,46300,46300,1396
20180914,47450,48000,46900,47050,1983
20180913,47550,48350,47050,47400,1092
20180912,46800,48500,46500,47550,2529
20180911,47250,47350,46550,46800,1907
20180910,47350,48000,46300,47100,1877
20180907,47350,47350,46000,47200,1558
20180906,47350,48450,46200,46950,4533
20180905,47250,48100,47250,47350,2663
20180904,47150,47950,46900,47250,2182
20180903,48000,48100,47050,47150,2192
20180831,47150,48500,47100,47750,3952
20180830,47250,49250,47000,47350,16647
20180829,47950,48150,46650,46950,3453
20180828,47650,49050,47250,47450,10156
20180827,48300,54000,48000,48000,58454
20180824,47000,47700,45750,46600,9951
20180823,45750,47400,45500,46400,5075
20180822,46150,46550,45600,45750,2248
20180821,45150,46600,45150,46100,2343
20180820,47150,47400,45100,45600,3846
20180817,45100,48250,44800,46550,9279
20180816,45750,46150,44600,45100,4359
20180814,47000,47000,45300,46700,5444
20180813,48900,49150,46100,46100,12892
20180810,51000,52800,49100,49150,31258
20180809,54700,55000,50700,51200,31935
20180808,68200,79000,50400,53000,135500
20180807,48900,63000,48900,63000,54286
20180806,49450,49450,48500,48500,126
20180803,49150,50000,49050,49200,100
20180802,50900,50900,49800,50400,384
20180801,49800,51700,49800,50700,123
20180731,50700,50700,49400,50500,742
20180730,50300,52900,50100,50400,395
20180727,53800,53800,50000,50300,203
20180726,50900,51900,49050,49600,371
20180725,49350,51300,49350,49350,643
20180724,48000,50000,47500,48800,128
20180723,47700,50400,47700,48200,549
20180720,47600,51500,47600,49700,607
20180719,46500,50800,46500,49000,466
20180718,50600,50600,49600,50200,631
20180717,51000,51000,49950,50600,98
20180716,53000,53000,49550,49600,351
20180713,52900,52900,49900,49950,317
20180712,50600,51000,50600,51000,1388
20180711,49200,51100,49200,51000,888
20180710,50000,50700,50000,50300,407
20180709,49300,50000,49300,49700,481
20180706,49400,49500,49000,49300,91
20180705,51000,51000,48900,49450,674
20180704,47150,55900,47150,50000,9694
20180703,45400,51500,45400,48200,3467
20180702,47900,47900,45000,45000,816
20180629,48400,49000,47050,47900,291
20180628,46350,48850,46350,48400,450
20180627,48450,48500,47500,48400,613
20180626,47250,47250,47100,47250,258
20180625,46800,46900,46800,46800,494
20180622,48500,49000,47250,47250,1736
