,open,high,low,close,volume
20181109,26150,26700,24700,24800,894
20181108,26100,26950,25950,26150,1286
20181107,25700,27000,24800,26700,3006
20181106,25400,25850,24500,25300,669
20181105,24250,25900,24250,25400,694
20181102,23700,24950,23700,24950,544
20181101,24100,24850,23600,24300,908
20181031,23600,24750,22700,24100,3350
20181030,21950,25400,21000,24150,10376
20181029,22800,24300,22150,22150,3913
20181026,25200,25200,23100,23600,1793
20181025,24650,24650,23200,23750,896
20181024,26200,26200,23600,24050,2108
20181023,26000,26200,25550,25550,3887
20181022,25950,26250,25700,26000,1054
20181019,26050,26300,25400,25950,3056
20181018,25750,26150,25600,26050,1072
20181017,25650,26500,25650,25700,1675
20181016,25600,26550,25600,25650,1013
20181015,25400,26700,25400,25500,2678
20181012,25150,26300,25150,25800,2029
20181011,26800,26850,25550,25650,1782
20181010,28100,28100,26950,27200,2322
20181008,28100,28650,27700,28100,447
20181005,28500,28500,27300,28350,1382
20181004,28200,28600,28200,28500,702
20181002,29350,29350,28150,28200,1028
20181001,29400,29800,28750,29000,2151
20180928,30650,30650,29450,29450,1546
20180927,30000,30100,29300,30000,1946
20180921,29950,29950,29300,29850,773
20180920,29400,30350,29000,29650,2243
20180919,29400,29450,29000,29400,1239
20180918,28850,29450,28850,29450,1537
20180917,29850,29850,28800,29150,3413
20180914,29950,30650,29800,29850,1539
20180913,29850,30300,29500,29900,5745
20180912,29800,30400,29550,29800,6496
20180911,29600,30250,29400,29800,6863
20180910,30250,30500,29050,29350,4125
20180907,29350,29600,29100,29600,2950
20180906,29400,29750,28750,29250,4695
20180905,29400,30150,29350,29550,2912
20180904,29500,30100,29250,29350,3583
20180903,30700,30700,29300,29500,4629
20180831,29600,31550,29500,30300,10204
20180830,29900,30000,29300,29600,5646
20180829,30900,30900,29500,29800,8104
20180828,31000,32550,29650,30300,27674
20180827,30000,36550,29900,30850,122389
20180824,28500,29400,27750,29000,10661
20180823,28050,28350,27800,28150,2962
20180822,27600,28200,27300,28050,4066
20180821,27450,27700,27250,27600,2164
20180820,27800,27900,26800,27450,3559
20180817,26200,27500,26200,27100,2908
20180816,26750,26750,25900,26200,4398
20180814,26400,26950,26250,26750,747
20180813,27350,27350,25950,25950,7328
20180810,27200,27700,27050,27350,6884
20180809,28350,28350,27300,27400,10032
20180808,30000,32550,27800,28300,63300
20180807,28850,35000,28550,29900,259093
20180806,28100,28600,28050,28450,827
20180803,27900,28250,27800,28100,319
20180802,27900,28300,27700,28000,1318
20180801,28900,28900,27850,28300,501
20180731,28900,29050,28050,28400,454
20180730,29100,29350,27900,28200,1515
20180727,28200,29100,27700,28650,1233
20180726,27750,28500,27750,28000,519
20180725,28550,28550,27800,28050,149
20180724,28500,28500,27000,28050,871
20180723,28950,28950,28000,28000,927
20180720,28700,28700,28200,28600,476
20180719,28550,29250,28400,28650,1320
20180718,28000,29350,28000,29250,2226
20180717,29200,29350,28200,28900,1135
