,open,high,low,close,volume
20181109,265000,269500,264000,267000,16113
20181108,258000,271000,257000,265000,35263
20181107,255500,262500,255000,255500,29461
20181106,260000,260000,249500,255500,51046
20181105,262500,263500,258500,261000,14310
20181102,259000,268500,259000,266000,23497
20181101,247000,264500,246000,259000,37674
20181031,250000,251500,243000,247000,48004
20181030,251000,259000,247000,250500,30540
20181029,261500,265000,253000,254500,18091
20181026,264500,266500,258000,261500,21015
20181025,271000,273500,260000,265500,37775
20181024,272500,276000,270500,275500,20343
20181023,278000,279000,267500,270500,29044
20181022,280000,281500,276500,280000,16974
20181019,280000,281000,276500,280000,18580
20181018,286000,286500,281500,282000,17534
20181017,288000,289000,282500,284500,23073
20181016,292000,293000,282500,284000,34047
20181015,292500,293000,288000,290000,22022
20181012,295500,298500,290000,293500,32056
20181011,298000,303500,292500,295500,33405
20181010,313000,314500,305000,305500,21489
20181008,316500,317000,313000,313000,15210
20181005,322500,323500,315500,318000,23491
20181004,332000,332000,319000,321500,26740
20181002,330000,333500,327000,329000,18259
20181001,337000,340500,330000,331500,20922
20180928,338500,341500,334500,339000,24975
20180927,342000,346000,333500,336500,31582
20180921,340500,346000,338000,342500,32967
20180920,331000,339000,331000,337500,22582
20180919,338000,338000,328000,331000,25946
20180918,336500,340500,335500,339000,23965
20180917,339500,340000,334500,340000,37481
20180914,345500,349000,338500,343000,22605
20180913,352500,355000,341500,346000,42190
20180912,352000,352000,340000,349000,27542
20180911,347000,354000,345500,352000,34124
20180910,340000,350000,340000,348500,37400
20180907,337000,345000,333000,345000,29499
20180906,330000,341500,326000,332500,34245
20180905,323000,331500,322500,330000,27498
20180904,319000,320000,317000,319000,19006
20180903,322000,325000,319500,320000,16405
20180831,323500,327500,322000,324500,20952
20180830,336500,336500,323000,324000,32794
20180829,338500,339500,333500,336500,11716
20180828,331500,337000,331500,336500,13659
20180827,333500,336000,331000,332000,12759
20180824,333000,337500,332000,333500,12543
20180823,335000,339500,332500,334500,13725
20180822,334000,338000,332500,332500,14163
