,open,high,low,close,volume
20181109,19900,20150,19500,19800,65862
20181108,19800,20300,19500,19900,94559
20181107,19900,20550,19200,19400,112821
20181106,20000,20050,19300,19850,79258
20181105,18800,20050,18500,19800,124482
20181102,18300,18850,18300,18850,106372
20181101,18050,18600,17900,17950,133731
20181031,17350,18050,17100,17700,85746
20181030,16400,17600,16000,17350,189335
20181029,17850,18300,16500,16650,194858
20181026,19000,19450,17200,18150,192793
20181025,18400,19200,18150,18750,82457
20181024,20800,20800,19150,19150,152767
20181023,21100,21550,20150,20400,323867
20181022,19600,20350,19600,20300,33202
20181019,19800,20050,18350,19900,124321
20181018,20500,20550,19850,20100,61805
20181017,20900,21100,20300,20550,42410
20181016,20100,20800,20100,20500,48080
20181015,20900,20900,20000,20100,42747
20181012,20050,20950,19550,20900,92370
20181011,20000,20650,19750,20000,112017
20181010,21600,22050,20600,21000,149717
20181008,22400,22850,21800,21800,55677
20181005,23550,23750,22100,22500,162650
20181004,24950,25100,23450,23950,107121
20181002,24600,25100,24350,24750,81814
20181001,24500,24850,23450,24600,116354
20180928,24600,25050,24450,24450,69327
20180927,24800,25450,24500,24550,75066
20180921,25150,25550,24500,24800,147990
20180920,26550,26550,24500,25000,220697
20180919,27050,27200,26100,26350,58315
20180918,27450,27550,26450,26700,72660
20180917,27700,27900,27050,27250,21487
20180914,27500,27650,27050,27500,25174
20180913,27700,28150,27250,27300,24324
20180912,27850,28250,27600,27900,49272
20180911,28300,29150,27900,27950,101053
20180910,27400,28400,27200,28150,86172
20180907,26500,27750,26100,27500,89464
20180906,26850,26850,26300,26400,24920
20180905,26800,27050,26500,26800,27675
20180904,26750,27150,26450,26950,45347
20180903,27300,27350,26200,26600,62431
20180831,26050,27650,25850,27200,92292
20180830,26200,26600,25450,26600,91925
20180829,26500,26850,26050,26200,44589
20180828,27300,27300,26350,26400,49463
20180827,27000,27350,26900,27100,22772
20180824,27750,27750,27000,27000,28555
20180823,26600,27600,26400,27600,47909
20180822,27400,27550,26600,26600,42713
20180821,26650,27500,26650,27400,61595
20180820,27450,27550,26500,26600,46971
20180817,27400,27650,27100,27500,36542
20180816,27000,27500,26600,27500,23134
20180814,26700,27200,26000,27000,68353
20180813,28150,28350,26300,26650,93131
20180810,28050,28600,27750,28350,51405
20180809,28450,29000,27800,28050,57583
20180808,28650,28900,27700,28250,53648
20180807,28100,28950,26950,28650,84152
20180806,28950,28950,27700,27900,74143
20180803,29550,29550,27950,28900,65432
20180802,28750,29800,28700,29000,124327
20180801,28600,29100,28400,28950,54804
20180731,27750,28950,27150,28950,124799
20180730,26900,28250,26750,28000,114722
20180727,25650,26900,25600,26900,65784
20180726,25500,25950,25050,25650,80768
20180725,26050,26250,25300,25500,68787
20180724,25100,26300,24900,26000,83581
20180723,27050,27050,24800,25300,102163
20180720,27700,27900,26850,27150,56917
20180719,27800,28050,27150,27700,41964
20180718,28500,28650,27500,27700,74767
20180717,28750,28750,28000,28000,65637
20180716,29000,30200,28650,28750,115992
20180713,28050,28700,27600,28650,82580
20180712,27000,28150,26750,28150,70707
20180711,27000,27300,26400,26850,40355
20180710,27150,27550,26950,27300,43299
20180709,26700,27150,26000,26700,39602
20180706,26250,26700,25100,26700,79781
20180705,26500,27000,25800,25850,32958
20180704,26500,27300,26400,26450,34736
20180703,27500,27700,25650,26850,85383
20180702,28300,28300,26650,26900,60173
20180629,27200,28300,26050,28300,99062
20180628,27500,27900,26250,27000,134198
20180627,28300,29250,28050,28050,47765
20180626,28900,28900,27600,28250,70876
20180625,28600,29200,28000,29100,52146
20180622,28600,29100,27550,28350,75364
20180621,29250,30150,28750,28800,89123
20180620,28850,29750,28350,29350,67147
20180619,29600,30250,28600,28850,77143
20180618,31000,31000,29100,29550,87292
20180615,30800,31750,29900,31200,157749
20180614,32450,32550,30700,30750,120576
20180612,30700,33200,30700,32450,218636
20180611,30500,31700,30450,30800,89030
20180608,31000,31450,30350,30800,82232
20180607,29650,32200,29650,31100,176587
20180605,29750,30650,29400,29750,87749
20180604,29000,30700,28700,29600,186881
20180601,28950,29100,27900,28700,120897
20180531,28000,29000,27600,29000,79382
20180530,27000,28400,26800,28000,88585
20180529,28150,28500,26950,27350,133564
20180528,26700,28450,26500,28300,237980
20180525,24900,26350,24800,26000,109036
20180524,27300,27300,25650,26000,103080
20180523,26900,27500,26700,27000,44212
20180521,27200,27750,26700,26900,61693
20180518,27800,27850,26800,27500,54146
20180517,26350,27800,25800,27400,111221
20180516,27300,27350,25850,26300,165360
20180515,28000,28200,27100,27300,62737
20180514,27050,27800,26900,27800,96058
20180511,27000,27300,26500,27050,51880
20180510,27250,27850,26350,26650,99985
20180509,26350,27150,25800,27150,134316
20180508,28300,28300,26200,26500,220968
20180504,27700,28600,27650,28000,160165
20180503,28850,28900,27050,27450,207113
20180502,28200,29900,27900,28600,280835
20180430,27700,28500,27200,28500,140113
20180427,28100,28150,27150,27700,94084
20180426,28050,28850,27500,27950,112517
20180425,27550,28650,27500,27850,126616
20180424,28900,29050,27900,28100,122183
20180423,28200,28900,27400,28700,245500
20180420,28100,28850,27750,27750,218337
20180419,26650,28200,26650,27850,339982
20180418,27950,28000,25950,26500,283842
20180417,27050,28650,26900,27600,394846
20180416,27100,27200,26450,26900,87494
20180413,27000,27400,26250,26950,193620
20180412,25750,27000,25550,26900,207830
20180411,25100,26100,25050,25850,121218
20180410,25250,25250,24600,24950,78541
20180409,24600,25350,24400,25250,69305
20180406,24800,25050,24350,24750,68998
20180405,24500,25050,24150,24850,100405
20180404,25550,25550,23650,24000,182986
20180403,25000,25400,24250,25200,117092
20180402,26300,26300,25150,25200,102782
20180330,26100,26450,25650,26200,102024
20180329,25250,25850,24900,25800,164468
20180328,24250,25250,24250,24900,162777
20180327,24400,25250,24150,25100,216170
20180326,24850,25400,22750,24200,680865
20180323,25500,25800,24800,25150,245432
20180322,26800,27450,26000,26300,267915
20180321,25450,26350,25300,26100,184376
20180320,24750,25600,24750,25450,135736
20180319,25000,25650,24750,25000,106454
20180316,26200,26200,25000,25000,177200
20180315,26350,26550,25500,26150,165834
20180314,26050,27200,25850,26450,189238
20180313,26050,26250,25650,26100,64285
20180312,25650,26350,25550,26050,156441
20180309,25600,26000,25050,25750,158201
20180308,24950,25450,24700,25400,160040
20180307,23950,25550,23450,24250,266285
20180306,23050,23950,22850,23950,147884
20180305,23000,23250,22400,22450,101883
20180302,22150,23600,22000,23050,144908
20180228,23500,23900,22450,22550,181409
20180227,23500,24250,23300,24050,116039
20180226,23900,23900,23000,23300,51705
20180223,23500,23800,23250,23500,62914
20180222,24000,24350,23200,23250,83802
20180221,23800,24300,23800,23950,61635
20180220,24550,24800,23950,24050,60290
20180219,23550,24850,23550,24550,106958
20180214,23050,23600,22800,23300,98686
20180213,24250,24550,23000,23050,108064
20180212,24350,24500,23600,24000,143387
20180209,22700,24400,22600,23900,287461
20180208,22150,23850,22150,23800,250992
20180207,23700,23700,22100,22100,361316
20180206,21600,23500,20800,23050,742434
20180205,25400,26000,22950,23000,525615
20180202,28150,28150,26550,26550,207753
20180201,27200,27950,26350,27800,201722
20180131,26750,27450,26650,26950,191091
20180130,27100,27350,26200,27250,263246
20180129,27200,27650,26400,27200,246289
20180126,26500,27050,25350,26700,378689
20180125,27500,27800,26250,26500,436451
20180124,28500,28500,27100,27450,312235
20180123,28000,28550,27150,28200,200561
20180122,27300,28200,26700,27900,263357
20180119,28450,28700,26650,27250,452674
20180118,28200,29200,27750,28400,322101
20180117,29000,29500,27600,28200,422880
20180116,25200,29700,24800,29000,1036504
20180115,26200,26300,24750,25000,283623
20180112,26050,26300,25200,26000,250832
20180111,24850,25900,24500,25750,267894
20180110,26400,26650,24800,24800,353548
20180109,26350,26700,25000,26200,389685
20180108,27200,28250,25850,26400,458159
