,open,high,low,close,volume
20181109,11700,11850,11500,11600,4157
20181108,11300,11800,11250,11700,8138
20181107,11550,11650,11150,11300,12359
20181106,11400,11700,11300,11650,12915
20181105,11700,11800,11250,11250,54572
20181102,11650,12000,11500,11800,33189
20181101,11750,11850,11600,11650,7877
20181031,11750,11850,11300,11750,9132
20181030,11700,11800,11100,11750,41017
20181029,11950,11950,11350,11700,38237
20181026,12150,12200,11350,11950,44156
20181025,12300,12400,11750,12150,22639
20181024,12700,13000,12300,12300,12432
20181023,12750,12850,12350,12700,11233
20181022,12700,12800,12550,12750,5008
20181019,12900,13000,12550,12700,17578
20181018,13000,13050,12750,13050,3730
20181017,13400,13500,13000,13000,5618
20181016,13000,13400,13000,13400,23463
20181015,13050,13250,12700,13150,17359
20181012,12050,13200,11800,13200,15038
20181011,12700,12700,11800,12050,64092
20181010,13100,13100,12700,12750,4666
20181008,13250,13350,13050,13050,9645
20181005,13050,13550,12800,13250,26986
20181004,13500,13650,13050,13050,4595
20181002,13550,13550,13000,13500,6355
20181001,13600,13700,13450,13600,7124
20180928,13400,13600,13100,13600,18395
20180927,12850,13450,12850,13400,18389
20180921,12600,13000,12600,12950,11161
20180920,13000,13000,12500,12800,21648
20180919,12700,13050,12650,12850,23200
20180918,13000,13200,12700,12700,9804
20180917,12800,13300,12450,13000,39608
20180914,12950,13200,12750,12950,18451
20180913,12350,13100,12300,13100,29363
20180912,12550,12550,12350,12500,5720
20180911,12150,12550,12150,12500,28383
20180910,12100,12300,12050,12150,9440
20180907,12250,12250,11800,12100,61557
20180906,12000,12500,11900,12200,72981
20180905,11950,12050,11900,12000,7553
20180904,12000,12150,11950,11950,74416
20180903,12050,12150,11900,12150,12124
20180831,12150,12150,11900,12050,9609
20180830,11900,12150,11750,12050,52075
20180829,11950,11950,11600,11900,55584
20180828,11900,11950,11800,11950,5277
20180827,12050,12100,11800,11800,11383
20180824,12100,12100,11800,12050,11512
20180823,12000,12150,11850,12050,28124
20180822,11900,12350,11900,12100,15303
20180821,11850,12050,11800,12050,3801
20180820,12050,12100,11750,11800,20905
20180817,11700,12050,11700,11950,14833
20180816,12000,12000,11650,11900,7624
20180814,11650,11950,11600,11950,7499
20180813,12000,12000,11600,11600,6222
20180810,12050,12050,11800,11950,4081
20180809,11850,12100,11800,12000,2856
20180808,12200,12250,11700,12000,17051
20180807,12100,12200,11850,12150,8881
20180806,11550,12100,11550,11900,7684
20180803,11650,11700,11450,11600,17266
20180802,11550,11850,11500,11550,6949
20180801,11650,11650,11450,11550,7952
20180731,11450,11600,11450,11550,9494
20180730,11500,11700,11450,11550,13690
20180727,11500,11600,11300,11450,11486
20180726,11450,11500,11250,11500,17958
20180725,11550,11550,11100,11450,5855
20180724,11450,11650,11100,11500,30610
20180723,11800,11800,11350,11400,10270
20180720,11750,11900,11600,11700,4298
20180719,11850,11850,11600,11650,9128
20180718,11900,12000,11600,11750,18583
20180717,11900,12000,11600,11800,19588
20180716,11950,12100,11800,11800,11522
20180713,12000,12150,11900,11900,11680
20180712,11950,11950,11650,11950,16947
20180711,12250,12250,11800,11900,10230
20180710,11950,12400,11950,12250,5029
20180709,12150,12200,11700,12000,19392
20180706,11700,12250,11700,12200,11631
20180705,11850,12000,11250,11850,42948
20180704,12000,12100,11700,11850,13279
20180703,12400,12400,11850,12000,11525
20180702,12750,12750,12200,12400,7336
20180629,12550,12850,12300,12750,7738
20180628,12700,12800,12500,12550,3873
20180627,12700,13100,12550,12700,16251
20180626,12950,13100,12700,13000,10792
20180625,12750,13250,12600,12950,9065
20180622,12850,12850,12450,12750,19655
20180621,13050,13050,12700,12850,6524
20180620,12750,13100,12650,13100,9268
20180619,13100,13200,12750,12750,16679
20180618,13500,13600,13100,13100,9581
20180615,13950,13950,13400,13500,14188
20180614,14050,14200,13450,14100,16300
20180612,13950,14250,13700,14100,29566
20180611,13900,14000,13700,13900,29126
20180608,13900,14100,13750,13850,27590
20180607,14050,14200,13850,14000,18160
