,open,high,low,close,volume
20181109,528,543,524,528,161941
20181108,527,542,524,532,245901
20181107,533,550,524,524,303028
20181106,544,553,533,534,138379
20181105,550,565,538,545,141134
20181102,535,552,534,552,361040
20181101,558,562,531,533,581592
20181031,561,569,553,558,175060
20181030,535,570,535,570,572731
20181029,563,582,530,573,350759
20181026,601,601,554,580,623096
20181025,591,604,584,600,144154
20181024,619,619,587,610,275855
20181023,625,638,608,619,278720
20181022,638,638,587,625,482240
20181019,596,645,596,618,595613
20181018,606,607,584,604,297241
20181017,601,605,595,604,87239
20181016,600,620,593,601,284083
20181015,597,606,582,600,178912
20181012,582,593,575,593,160560
20181011,604,605,577,580,775538
20181010,558,613,547,607,528116
20181008,594,599,568,572,347149
20181005,600,615,587,603,265456
20181004,605,619,587,608,425874
20181002,593,619,593,605,356353
20181001,575,596,573,589,351207
20180928,574,600,570,586,575600
20180927,561,570,544,569,439121
20180921,556,562,550,562,140747
20180920,573,576,550,556,270888
20180919,601,601,573,573,378151
20180918,600,604,585,595,241386
20180917,603,610,598,601,248730
20180914,620,620,607,613,233539
20180913,606,665,603,613,1838743
20180912,603,611,602,606,223893
20180911,600,607,597,603,269159
20180910,604,609,593,600,292570
20180907,600,607,585,604,257234
20180906,605,614,595,600,259866
20180905,610,619,596,605,675391
20180904,600,620,595,615,698628
20180903,575,602,573,600,884469
20180831,551,622,549,587,3553175
20180830,544,559,543,552,360870
20180829,561,561,535,547,708441
20180828,560,569,553,562,364044
20180827,573,598,555,564,1905729
20180824,555,555,520,536,1089880
20180823,573,573,541,556,809125
20180822,573,575,552,570,416793
20180821,573,575,565,572,206315
20180820,574,580,558,573,502469
20180817,574,578,566,575,262421
20180816,582,585,562,575,292741
20180814,574,584,540,582,954830
20180813,579,583,566,577,270520
20180810,580,584,571,579,249721
20180809,580,586,573,580,546640
20180808,585,587,577,583,127560
20180807,583,585,577,584,90792
20180806,584,587,574,583,166740
20180803,583,586,575,584,447710
20180802,585,590,575,584,205214
20180801,585,588,577,585,188319
20180731,584,591,576,585,86110
20180730,585,591,577,586,236338
20180727,589,595,569,590,309817
20180726,586,595,573,589,150994
20180725,582,595,573,586,174364
20180724,598,603,578,591,214796
20180723,600,614,578,596,240904
20180720,609,609,585,600,384630
20180719,619,619,599,609,195086
20180718,632,637,609,619,191454
20180717,632,638,621,630,216673
20180716,630,635,615,632,228238
20180713,626,639,616,630,161576
20180712,635,650,622,633,181119
20180711,637,637,620,635,261137
20180710,636,649,619,638,430119
20180709,571,678,561,637,3060731
20180706,557,571,553,571,147877
20180705,561,572,543,569,345651
20180704,578,583,560,566,224529
20180703,576,593,560,578,220122
20180702,602,603,572,576,219126
20180629,609,614,584,603,271410
20180628,617,628,585,603,477689
20180627,630,658,628,628,300509
20180626,658,670,631,642,539461
20180625,683,683,652,671,209881
20180622,694,716,649,698,796135
20180621,737,737,700,716,413284
20180620,740,742,720,737,594813
20180619,740,745,701,743,1081837
