,open,high,low,close,volume
20181109,16500,16800,16350,16550,96151
20181108,16350,16850,16300,16450,189261
20181107,16450,17050,15950,16050,210122
20181106,16350,16600,16200,16550,104498
20181105,16250,16500,16050,16350,100507
20181102,15700,16500,15700,16300,164807
20181101,15650,16150,15650,15700,184592
20181031,15400,15900,15200,15650,121439
20181030,15100,15650,14950,15500,220676
20181029,15800,16350,15300,15350,232378
20181026,16900,17100,15700,16050,365430
20181025,17400,17450,16650,16900,341817
20181024,17900,18000,17600,17900,162514
20181023,18200,18250,17550,17700,203859
20181022,18600,18700,18150,18350,203037
20181019,18900,18950,18500,18700,168082
20181018,19300,19400,18950,19200,57509
20181017,19350,19650,18900,19150,175916
20181016,18800,19350,18750,19200,111955
20181015,18400,19200,18400,18800,170269
20181012,18000,18900,17950,18600,289517
20181011,18550,19400,18100,18300,462451
20181010,20500,20700,19650,19700,264298
20181008,21000,21050,20550,20700,124298
20181005,21400,21650,20800,21050,164732
20181004,21900,21950,21300,21400,129827
20181002,21750,22250,21750,21800,113152
20181001,22200,22350,21800,21900,108239
20180928,22200,22350,21900,22150,167828
20180927,21750,22200,21700,21950,144931
20180921,21800,22050,21550,21650,164435
20180920,21650,21700,21250,21500,113718
20180919,22100,22200,21650,21700,106385
20180918,21700,22250,21600,22050,171278
20180917,22100,22400,21600,21800,95074
20180914,22000,22400,21800,21950,130702
20180913,21250,21950,21250,21850,137590
20180912,21800,22100,21000,21250,212175
20180911,21650,22150,21500,21800,139694
20180910,21550,21850,21250,21600,87282
20180907,21500,21900,21250,21700,161593
20180906,21400,21500,21250,21450,106186
20180905,21050,21550,20950,21400,168300
20180904,21050,21200,20850,21050,128506
20180903,21300,21450,20850,21000,220930
20180831,21600,21650,21300,21300,185003
20180830,22150,22200,21400,21600,320875
20180829,22150,22350,22000,22100,136837
20180828,21950,22350,21900,22200,143950
20180827,22350,22400,21900,21900,196016
20180824,22400,22500,22150,22250,109674
20180823,22600,22750,22400,22500,58658
20180822,23050,23050,22500,22550,101802
20180821,23000,23150,22500,23050,198657
20180820,23100,23250,22950,23100,43201
20180817,23000,23150,22750,23000,46488
20180816,22850,23200,22750,22800,57720
20180814,22900,23200,22650,23200,83261
20180813,23250,23500,22650,22850,82807
20180810,23400,23750,23300,23450,58736
20180809,23450,23600,23250,23400,61600
20180808,23400,23700,23350,23400,38413
20180807,23500,23700,23250,23600,52036
20180806,23700,23800,23450,23600,63438
20180803,23150,23850,22950,23850,93116
20180802,23400,23600,22950,23000,81206
20180801,23700,23850,23450,23600,143547
20180731,23000,23800,22750,23600,205563
20180730,22650,23100,22650,22900,84394
20180727,23000,23000,22600,22800,109667
20180726,22600,23450,22550,22700,210316
20180725,22650,22900,22250,22350,74564
20180724,22800,22800,22350,22600,123199
20180723,22050,22950,22050,22700,176516
20180720,22150,22250,21800,21900,140906
20180719,22400,22550,22150,22200,80767
20180718,22550,22800,22300,22400,90821
20180717,22600,22900,22450,22550,100277
20180716,22850,22900,22450,22550,120122
20180713,22850,23100,22750,22800,70921
20180712,22700,23000,22550,22600,142614
20180711,22500,22850,22450,22750,98267
20180710,22500,23100,22400,22750,169215
20180709,22650,22750,22200,22400,128880
20180706,22300,22750,22250,22750,143066
20180705,22700,23000,22100,22300,121890
20180704,22500,22950,22450,22800,121177
20180703,23250,23350,22350,22650,227558
20180702,24250,24400,23000,23100,201719
20180629,23900,24250,23900,24150,130932
20180628,23850,24300,23700,23850,96955
20180627,24350,24650,23750,23750,241540
20180626,23950,24150,23650,24000,125214
20180625,24200,24250,23800,23950,182352
20180622,23500,24050,23500,24000,169427
20180621,24550,24750,23650,23750,349056
20180620,25000,25400,24550,24650,286126
20180619,26050,26250,25000,25000,290422
20180618,26400,26550,25900,26150,197460
20180615,26450,26750,26250,26450,246085
20180614,27150,27250,26400,26400,423304
20180612,28100,28150,27150,27500,425047
20180611,26950,28000,26950,27850,405832
20180608,27100,27350,26650,26900,171688
20180607,27450,27800,26850,27100,343266
20180605,26850,27600,26700,27450,243202
20180604,26650,27100,26500,26800,218532
20180601,26400,26600,26200,26450,182040
20180531,26650,26750,26200,26350,317313
20180530,27250,27350,26250,26500,426596
20180529,28300,28300,27200,27200,411652
20180528,27600,29200,27550,28100,1034081
20180525,26500,26950,26150,26350,537812
20180524,27850,27850,27000,27650,296758
20180523,28400,28450,27300,27500,502909
20180521,28850,29200,27900,28500,352100
20180518,29000,30050,28400,28850,674888
20180517,28400,30200,28200,28550,1045043
20180516,28450,29200,27850,28300,723524
20180515,31300,31350,29400,30400,1387341
20180514,26350,30700,26350,30300,3052614
20180511,25700,26100,25650,26000,154554
20180510,25850,26000,25600,25800,217830
20180509,26200,26300,25550,25800,236316
20180508,27100,27150,26050,26200,243552
20180504,26500,27150,26450,27100,214454
20180503,26850,27050,26650,26650,103340
20180502,26300,27150,26250,27100,208738
20180430,26550,26650,26050,26450,285647
20180427,26400,26650,26100,26400,181507
20180426,26300,26800,26150,26400,175724
20180425,27500,27500,26450,26450,187303
20180424,27600,27900,27100,27500,150084
20180423,27600,28050,27400,27700,256164
20180420,27300,27500,27000,27100,129935
20180419,26500,27700,26400,27500,241773
20180418,26450,26800,26450,26600,86072
20180417,26550,26700,26400,26550,56089
20180416,26200,26850,26000,26700,176920
20180413,26400,26500,26100,26200,92657
20180412,26300,26700,26150,26400,100647
20180411,26200,26500,26150,26150,101582
20180410,25800,26450,25700,26350,91340
20180409,26150,26350,25900,26000,131644
20180406,26650,26750,26250,26300,106063
20180405,26550,26850,26550,26800,53465
20180404,27000,27200,26350,26500,162823
20180403,27100,27350,26950,27000,111752
20180402,27100,27750,26850,27250,129139
20180330,26950,27350,26800,27300,107467
20180329,27650,27750,26550,27000,243973
20180328,27750,28300,27650,28050,139692
20180327,27300,28250,26950,28150,288501
20180326,26350,27250,26350,27050,127676
20180323,26650,26950,26200,26300,176219
20180322,26900,27450,26900,27100,195421
20180321,27000,27300,26850,27000,93804
20180320,27000,27150,26900,27050,67911
20180319,27250,27300,26950,27200,121386
20180316,27250,27350,26650,27050,194970
20180315,26550,27150,26400,27100,194906
20180314,26500,26950,26450,26600,134723
20180313,26750,26800,26500,26600,154218
20180312,26600,26900,26400,26850,157912
20180309,26400,26700,26200,26300,178842
20180308,26200,26250,25950,26200,108225
20180307,26100,26550,25450,26200,296910
20180306,26350,26350,25950,26150,126449
20180305,26250,26400,25800,26000,158637
20180302,26950,27000,26200,26250,328704
20180228,27650,27750,27100,27150,221428
20180227,28050,28200,27650,27650,124170
20180226,27800,28100,27750,28000,103708
20180223,27650,28000,27500,27800,113020
20180222,27650,27850,27350,27600,139195
20180221,27900,28100,27750,27850,76369
20180220,27850,28300,27700,27750,114976
20180219,27850,28050,27600,27850,160596
20180214,27800,27850,27050,27500,174117
20180213,27800,28150,27500,27500,161753
20180212,27600,28100,27300,27800,175226
20180209,27250,27700,27000,27600,266625
20180208,28050,28450,27650,27850,243919
20180207,29150,29300,28050,28050,251302
20180206,28500,28950,28100,28850,302274
20180205,29950,30000,29100,29250,268217
20180202,30900,31800,30300,30350,395971
20180201,30000,31300,30000,30900,403723
20180131,30600,30700,29600,29950,254386
20180130,31050,31350,30800,30950,186757
20180129,31100,31700,30800,31050,274828
20180126,31300,31500,30500,30700,286884
20180125,30150,31700,30150,31500,643373
20180124,29800,30150,29700,30100,155253
20180123,29450,29900,29300,29800,141411
20180122,29550,29950,29100,29650,145720
20180119,28900,29900,28850,29450,135674
20180118,29300,29800,28950,29000,206133
20180117,30100,30250,29050,29200,279152
20180116,30700,31000,29850,30050,259220
20180115,31100,31200,30350,30750,222400
20180112,30600,31400,30500,31050,380176
20180111,30700,31050,30200,30400,300360
20180110,29500,31150,29500,30800,780295
20180109,29200,29650,28800,29500,301453
20180108,29550,29750,28800,29300,283749
20180105,29200,29750,28950,29350,337895
20180104,28600,29750,28350,29200,835844
20180103,27650,28700,27600,28550,638514
20180102,27150,27750,27100,27650,247705
20171228,27000,27200,26900,27150,140383
20171227,26900,27050,26800,27050,98183
20171226,27100,27400,26900,26950,199834
20171222,26900,27100,26650,26950,167072
20171221,27250,27350,26750,26900,225189
20171220,27150,27450,27100,27350,86518
20171219,27400,27650,26900,27200,225289
20171218,27800,27850,27300,27450,229431
20171215,27300,27850,27300,27800,193881
20171214,27800,27850,27050,27050,234303
20171213,27250,27850,27200,27800,181513
20171212,27300,27450,27000,27250,163864
20171211,27050,27400,27050,27400,108991
20171208,27300,27450,26850,27000,214254
20171207,27800,27800,27150,27450,332268
20171206,28200,28250,27650,27850,309426
20171205,27500,28300,27450,28200,348353
20171204,27800,27950,27350,27600,224152
20171201,27900,28000,27450,27600,184572
20171130,27350,28050,27150,27850,548547
20171129,27300,27500,27050,27250,244827
20171128,27100,27200,27000,27100,9743349
20171127,27100,27350,26850,27050,213069
20171124,27500,27550,26800,27100,260384
20171123,27100,27600,26950,27400,199466
20171122,27400,27450,26700,26950,357445
20171121,27000,27350,26650,27350,350421
20171120,27150,27400,26900,26900,363438
20171117,27600,27600,27000,27200,396525
20171116,27600,27800,27200,27500,409021
20171115,28750,28750,27300,27600,773449
20171114,29150,29250,28250,28500,404219
20171113,29250,29650,28900,29300,484570
