,open,high,low,close,volume
20181109,2600,2645,2560,2595,27930
20181108,2690,2690,2585,2610,13085
20181107,2670,2685,2525,2605,19224
20181106,2630,2685,2595,2650,5898
20181105,2660,2660,2585,2595,29622
20181102,2650,2670,2580,2660,13943
20181101,2550,2600,2520,2590,5740
20181031,2450,2500,2350,2500,51870
20181030,2400,2525,2370,2405,76931
20181029,2670,2670,2490,2490,33751
20181026,2700,2700,2540,2600,21075
20181025,2720,2765,2600,2660,48016
20181024,2800,2805,2730,2760,20444
20181023,2850,2850,2710,2765,40209
20181022,2870,2870,2800,2835,15625
20181019,2915,2915,2800,2855,18999
20181018,2975,2975,2885,2920,35999
20181017,2995,2995,2915,2945,17309
20181016,2995,3000,2915,2930,42207
20181015,2975,3000,2955,2985,28006
20181012,2940,3010,2915,2985,41129
20181011,2980,3015,2940,2985,50067
20181010,3035,3065,2955,3020,48833
20181008,3050,3060,3000,3000,27999
20181005,3045,3045,2995,3035,22956
20181004,3095,3120,3030,3040,22507
20181002,3035,3105,3035,3065,12655
20181001,3075,3115,3000,3050,26371
20180928,3105,3130,3030,3090,12503
20180927,3100,3130,3055,3125,66968
20180921,3020,3050,2985,3040,13999
20180920,3030,3040,2990,2995,17711
20180919,3090,3090,3000,3020,12386
20180918,3085,3090,3040,3080,10706
20180917,3100,3100,3050,3080,11601
20180914,3050,3090,3010,3075,16227
20180913,3005,3035,3000,3025,4591
20180912,3005,3090,2975,3030,10119
20180911,3045,3045,2985,3005,6321
20180910,3070,3085,2975,3000,13746
20180907,3090,3125,3020,3050,19031
20180906,3010,3095,2975,3050,17366
20180905,3005,3020,2970,2995,21196
20180904,3000,3005,2955,3005,30100
20180903,2980,2990,2960,2985,26026
20180831,2965,2980,2940,2970,28215
20180830,2980,3015,2960,2965,46487
20180829,3005,3005,2980,2990,15828
20180828,3005,3005,2975,3000,19240
20180827,2995,3035,2950,2965,33085
20180824,3000,3030,2990,3010,27483
20180823,3030,3050,3000,3000,19322
20180822,3040,3040,2970,3020,49242
20180821,3020,3050,3020,3035,18600
20180820,3045,3070,2990,3040,33891
20180817,3140,3140,3020,3045,42328
20180816,3165,3165,3080,3125,11630
20180814,3165,3165,3120,3150,2589
20180813,3205,3205,3100,3160,15080
20180810,3215,3215,3130,3195,3413
20180809,3205,3220,3145,3190,7090
20180808,3230,3230,3165,3190,8342
20180807,3220,3250,3145,3205,8136
20180806,3135,3215,3130,3200,19869
20180803,3115,3175,3100,3135,6335
20180802,3140,3140,3100,3115,12352
20180801,3170,3195,3110,3140,12897
20180731,3195,3195,3125,3170,10061
20180730,3190,3195,3130,3190,14701
20180727,3200,3200,3135,3160,22463
20180726,3145,3200,3145,3195,18116
20180725,3150,3190,3150,3160,15538
20180724,3125,3200,3120,3155,36202
20180723,3250,3280,3100,3100,33265
20180720,3180,3495,3160,3240,81206
20180719,3230,3300,3145,3185,30857
20180718,3205,3240,3195,3205,9880
20180717,3110,3205,3105,3205,20519
20180716,3060,3110,3050,3110,8562
20180713,3045,3070,3005,3060,9475
20180712,3015,3045,2970,3015,62589
20180711,3035,3050,2980,3015,44730
20180710,3035,3095,3010,3050,4417
20180709,3050,3100,2960,3035,18193
20180706,3015,3080,3015,3050,4662
20180705,3035,3040,2960,3040,28194
20180704,3005,3070,3000,3005,5081
20180703,3005,3075,2990,3030,10531
20180702,3095,3135,3000,3010,19442
20180629,3110,3145,3040,3100,13693
20180628,3115,3125,3005,3040,15405
20180627,3025,3130,3000,3125,23655
20180626,3150,3180,3000,3045,77486
20180625,3240,3240,3100,3120,35762
20180622,3215,3270,3160,3205,43619
20180621,3290,3330,3220,3220,17100
20180620,3225,3290,3165,3270,12308
20180619,3155,3230,3130,3205,31408
20180618,3355,3355,3150,3200,45437
20180615,3385,3385,3290,3340,18694
20180614,3435,3495,3330,3375,30931
20180612,3490,3495,3445,3450,2569
20180611,3495,3495,3430,3490,3612
20180608,3500,3500,3425,3480,9466
20180607,3545,3560,3415,3495,18325
20180605,3475,3545,3430,3540,7670
20180604,3580,3580,3420,3490,24058
20180601,3505,3600,3500,3530,7226
20180531,3570,3615,3490,3520,20400
20180530,3605,3650,3470,3580,28936
20180529,3650,3650,3585,3625,23072
20180528,3500,3650,3500,3625,33973
20180525,3530,3530,3475,3495,11423
20180524,3615,3615,3530,3575,43103
20180523,3640,3680,3580,3615,29352
20180521,3675,3675,3615,3615,26386
20180518,3705,3725,3630,3680,55612
20180517,3660,3700,3615,3680,85679
20180516,3605,3680,3520,3660,87916
20180515,3600,3620,3560,3610,55051
20180514,3505,3630,3460,3590,135332
20180511,3440,3510,3350,3505,69336
20180510,3415,3425,3330,3360,16162
20180509,3270,3440,3265,3395,31790
20180508,3310,3400,3245,3270,30910
20180504,3375,3410,3275,3275,27539
20180503,3435,3490,3385,3410,21462
20180502,3385,3430,3360,3410,28578
20180430,3435,3435,3375,3380,16071
20180427,3425,3425,3340,3400,16035
20180426,3475,3475,3350,3425,27667
20180425,3385,3515,3370,3415,117092
20180424,3340,3410,3320,3385,159516
20180423,3195,3280,3175,3275,59392
20180420,3190,3200,3170,3175,15640
20180419,3160,3200,3145,3180,18508
20180418,3150,3150,3125,3145,12447
20180417,3150,3150,3120,3145,2748
20180416,3145,3150,3105,3145,5023
20180413,3115,3140,3060,3135,4063
20180412,3150,3150,3060,3080,14196
20180411,3145,3150,3090,3145,10899
20180410,3145,3150,3095,3140,5288
20180409,3170,3170,3095,3125,2874
20180406,3170,3170,3115,3130,7092
20180405,3150,3200,3135,3160,8896
20180404,3185,3200,3150,3170,17199
20180403,3170,3195,3115,3175,14392
20180402,3150,3195,3125,3160,6840
20180330,3130,3175,3080,3155,16132
20180329,3125,3125,3070,3100,1026
20180328,3060,3100,3060,3095,1578
20180327,3085,3100,3065,3095,4709
20180326,3070,3110,3000,3095,16628
20180323,3135,3135,3045,3120,9972
20180322,3145,3145,3080,3135,11524
20180321,3170,3170,3070,3110,3406
20180320,3120,3140,3110,3135,6271
20180319,3120,3180,3110,3120,3725
20180316,3170,3190,3140,3150,3455
20180315,3165,3170,3135,3165,2354
20180314,3150,3230,3105,3165,12474
20180313,3130,3165,3110,3125,6386
20180312,3100,3150,3095,3130,20453
20180309,3100,3160,3075,3095,9362
20180308,3135,3165,3100,3115,2619
20180307,3115,3145,3090,3120,5984
20180306,3105,3150,3105,3120,2964
20180305,3110,3115,3070,3110,6994
20180302,3120,3120,3075,3110,5257
20180228,3145,3145,3110,3120,1581
20180227,3190,3190,3095,3115,8155
20180226,3195,3195,3165,3185,1930
20180223,3175,3245,3175,3190,9209
20180222,3185,3230,3150,3205,15009
20180221,3165,3215,3135,3185,5931
20180220,3150,3155,3065,3150,12499
20180219,3170,3170,3105,3150,14751
20180214,3170,3185,3110,3155,4429
20180213,3135,3180,3120,3140,3711
20180212,3165,3200,3100,3130,9444
20180209,3095,3165,3065,3115,20920
20180208,3060,3110,2950,3060,19831
20180207,3130,3130,3055,3055,9334
20180206,3085,3130,3030,3085,12278
20180205,3150,3185,3110,3145,13466
20180202,3105,3175,3105,3150,12585
20180201,3195,3200,3105,3105,24057
20180131,3165,3205,3165,3195,4819
20180130,3235,3245,3155,3215,29006
20180129,3125,3255,3110,3240,71558
20180126,3030,3130,3030,3110,24079
20180125,3045,3090,3020,3065,16675
20180124,3035,3045,3005,3045,8439
20180123,3025,3035,2985,3030,9262
20180122,3000,3030,3000,3005,2811
