,open,high,low,close,volume
20181109,1655,1685,1625,1640,107419
20181108,1665,1685,1645,1655,225563
20181107,1715,1725,1600,1635,401141
20181106,1650,1790,1650,1700,471124
20181105,1625,1660,1595,1625,180626
20181102,1610,1660,1610,1660,143381
20181101,1555,1670,1555,1595,253564
20181031,1480,1560,1470,1550,435085
20181030,1410,1525,1390,1480,499108
20181029,1610,1655,1480,1480,388086
20181026,1760,1760,1615,1630,445709
20181025,1810,1835,1690,1720,795374
20181024,1965,2020,1875,1880,527452
20181023,1905,2030,1905,1940,660710
20181022,1900,2020,1865,1910,759833
20181019,1980,2005,1890,1910,784994
20181018,1850,2165,1810,2035,4309231
20181017,1860,1885,1830,1850,140231
20181016,1755,1830,1755,1830,101177
20181015,1740,1785,1740,1750,126125
20181012,1605,1755,1605,1740,280247
20181011,1805,1835,1715,1715,525466
20181010,1940,1975,1850,1890,313109
20181008,1945,1990,1930,1955,90323
20181005,1970,2005,1910,1955,317997
20181004,2095,2120,2005,2005,217189
20181002,2100,2175,2095,2095,250308
20181001,2125,2140,2080,2100,142166
20180928,2150,2165,2115,2125,185400
20180927,2200,2200,2150,2150,180324
20180921,2085,2150,2085,2145,253795
20180920,2110,2140,2075,2090,442886
20180919,2175,2195,2120,2125,393013
20180918,2175,2190,2150,2165,300724
20180917,2195,2215,2180,2190,244634
20180914,2205,2215,2185,2195,248679
20180913,2215,2220,2190,2205,237384
20180912,2185,2235,2170,2200,465906
20180911,2175,2180,2140,2175,289976
20180910,2180,2180,2135,2160,357495
20180907,2145,2175,2130,2165,487087
20180906,2210,2220,2135,2135,1055303
20180905,2190,2280,2165,2205,2279499
20180904,2260,2275,2185,2190,1039370
20180903,2315,2335,2250,2260,814720
20180831,2490,2490,2290,2305,4658498
20180830,2475,2500,2450,2490,151876
20180829,2455,2485,2455,2480,63478
20180828,2480,2505,2465,2465,116768
20180827,2500,2500,2445,2465,132026
20180824,2485,2500,2470,2485,117998
20180823,2525,2525,2485,2485,96362
20180822,2535,2540,2490,2510,147349
20180821,2555,2565,2500,2535,241776
20180820,2450,2555,2440,2550,304172
20180817,2435,2475,2420,2460,208305
20180816,2405,2480,2385,2435,617411
20180814,2390,2850,2385,2450,7568204
20180813,2480,2480,2375,2375,133888
20180810,2455,2500,2450,2465,59503
20180809,2460,2530,2430,2470,113197
20180808,2475,2495,2460,2460,80314
20180807,2495,2500,2465,2480,53511
20180806,2500,2545,2480,2495,90880
20180803,2470,2520,2465,2495,44992
20180802,2520,2520,2440,2465,133098
20180801,2480,2530,2480,2500,47607
20180731,2520,2575,2480,2500,65413
20180730,2505,2530,2460,2520,88946
20180727,2500,2570,2495,2515,57983
20180726,2435,2480,2430,2480,51886
20180725,2465,2520,2410,2430,114484
20180724,2405,2475,2380,2465,77053
20180723,2535,2540,2410,2410,134315
20180720,2500,2605,2500,2520,65710
20180719,2615,2635,2520,2520,155997
20180718,2720,2720,2605,2615,135680
20180717,2670,2705,2650,2690,120210
20180716,2690,2740,2660,2690,178895
20180713,2685,2820,2650,2710,481499
20180712,2675,2720,2625,2685,247382
20180711,2575,2830,2575,2670,856010
20180710,2505,2605,2505,2570,160512
20180709,2505,2550,2495,2505,153639
20180706,2390,2825,2385,2540,1380529
20180705,2420,2470,2395,2405,91418
20180704,2390,2495,2390,2440,101572
20180703,2410,2480,2385,2435,292390
20180702,2615,2655,2440,2445,279410
20180629,2665,2695,2570,2630,223996
20180628,2640,2705,2625,2670,275930
20180627,2815,2860,2705,2715,355580
20180626,2800,2890,2750,2850,452498
20180625,2745,2880,2710,2835,1073720
20180622,2760,3280,2640,2725,7995525
20180621,2685,2795,2625,2625,89083
20180620,2625,2760,2625,2685,114457
20180619,2700,2810,2670,2670,197488
20180618,2850,2855,2705,2730,162992
20180615,2840,2890,2815,2845,118683
20180614,2900,2900,2810,2830,96171
20180612,2965,2965,2870,2895,166760
20180611,2980,2980,2910,2930,150797
20180608,2970,3015,2945,2950,174458
20180607,2990,3020,2960,2985,145081
20180605,3030,3050,2955,2990,163636
20180604,2985,3060,2945,3020,289105
20180601,2965,2975,2905,2930,179423
20180531,2925,2965,2920,2965,143342
20180530,3020,3020,2870,2915,313799
20180529,3080,3090,3015,3020,277491
20180528,3005,3120,2985,3080,530813
20180525,2950,2980,2920,2925,317046
20180524,3040,3115,3035,3055,342431
20180523,3120,3135,3010,3025,362319
20180521,3110,3160,3075,3120,473071
20180518,3050,3125,2980,3085,572933
20180517,2910,3060,2910,3005,374939
20180516,3025,3045,2900,2910,403126
20180515,3115,3115,3040,3055,360811
20180514,3010,3125,2950,3085,671006
20180511,2980,3045,2960,3010,298205
20180510,2950,3030,2875,2985,322816
20180509,2840,2980,2770,2945,518397
20180508,3080,3090,2890,2910,482483
20180504,3065,3170,3050,3075,923682
