,open,high,low,close,volume
20181109,1040,1050,1025,1035,325539
20181108,1025,1045,1025,1040,358855
20181107,1045,1055,997,1005,699492
20181106,1050,1050,1025,1035,462745
20181105,1030,1055,1005,1035,490275
20181102,995,1030,995,1030,541421
20181101,967,1005,966,988,553775
20181031,932,985,926,965,669027
20181030,830,941,812,931,1820591
20181029,980,1005,894,899,1236280
20181026,1010,1020,978,989,1124559
20181025,991,1015,988,1000,964387
20181024,1050,1060,1015,1015,913406
20181023,1075,1085,1040,1045,491450
20181022,1085,1090,1070,1075,325857
20181019,1070,1090,1060,1085,298109
20181018,1110,1110,1075,1080,467780
20181017,1085,1120,1080,1100,1224019
20181016,1050,1085,1050,1070,447622
20181015,1070,1090,1050,1050,545823
20181012,1005,1075,1005,1070,1668250
20181011,1055,1085,1030,1040,1675010
20181010,1180,1190,1110,1125,1488952
20181008,1205,1210,1180,1180,676606
20181005,1225,1245,1185,1195,1447635
20181004,1265,1285,1240,1240,1078893
20181002,1280,1295,1265,1265,714546
20181001,1285,1290,1275,1285,390398
20180928,1275,1285,1270,1280,492890
20180927,1280,1290,1270,1280,496876
20180921,1275,1285,1270,1275,366125
20180920,1295,1300,1265,1270,1027377
20180919,1330,1335,1285,1290,972232
20180918,1325,1355,1310,1320,1589818
20180917,1325,1330,1305,1310,742739
20180914,1335,1340,1320,1320,817337
20180913,1330,1350,1320,1320,1102389
20180912,1355,1355,1320,1325,1407159
20180911,1305,1395,1300,1350,8056385
20180910,1295,1305,1285,1300,680990
20180907,1295,1300,1285,1290,529800
20180906,1305,1305,1285,1295,743321
20180905,1305,1310,1290,1300,516469
20180904,1310,1310,1290,1305,485275
20180903,1300,1310,1290,1305,466487
20180831,1290,1300,1285,1295,321066
20180830,1285,1300,1280,1290,427095
20180829,1290,1300,1280,1280,584765
20180828,1300,1310,1285,1290,505356
20180827,1300,1310,1290,1300,530059
20180824,1315,1330,1300,1315,1103627
20180823,1300,1315,1290,1310,667510
20180822,1310,1315,1285,1295,647243
20180821,1275,1315,1275,1310,966667
20180820,1275,1290,1270,1275,464242
20180817,1270,1285,1260,1275,481970
20180816,1270,1280,1240,1270,1055017
20180814,1285,1310,1280,1280,504863
20180813,1315,1330,1280,1285,1029444
20180810,1310,1325,1305,1310,601130
20180809,1325,1325,1285,1310,1054244
20180808,1320,1330,1305,1320,750831
20180807,1315,1325,1305,1310,340379
20180806,1315,1330,1300,1315,596281
20180803,1325,1345,1300,1305,929029
20180802,1310,1335,1305,1325,802217
20180801,1320,1330,1305,1305,647433
20180731,1315,1345,1305,1320,625634
20180730,1300,1320,1300,1320,730820
20180727,1305,1310,1295,1305,777801
20180726,1285,1310,1280,1305,878294
20180725,1290,1305,1270,1280,878222
20180724,1260,1325,1260,1285,1532880
20180723,1305,1325,1255,1270,1605202
20180720,1310,1330,1305,1305,949243
20180719,1340,1360,1310,1310,1499402
20180718,1360,1390,1335,1335,1759278
20180717,1355,1380,1335,1360,1662961
20180716,1375,1385,1355,1355,1743974
20180713,1460,1465,1375,1375,4634484
20180712,1390,1435,1350,1430,6524412
20180711,1615,1650,1380,1380,28194217
20180710,1290,1555,1285,1410,25440206
20180709,1295,1310,1270,1280,563805
20180706,1285,1315,1275,1305,614290
20180705,1300,1310,1270,1290,577588
20180704,1275,1320,1275,1300,484672
20180703,1270,1315,1265,1290,1362755
20180702,1330,1360,1270,1275,1405345
20180629,1350,1370,1290,1340,1575671
20180628,1370,1390,1350,1350,858441
20180627,1395,1440,1380,1380,902941
20180626,1390,1405,1370,1395,864537
20180625,1380,1425,1380,1420,579716
20180622,1410,1420,1375,1385,1122722
20180621,1445,1445,1405,1410,793673
20180620,1410,1445,1410,1440,943441
20180619,1480,1510,1415,1420,1763751
20180618,1470,1500,1450,1480,1798538
20180615,1460,1515,1450,1450,1835271
20180614,1535,1550,1470,1470,1590345
20180612,1575,1585,1525,1540,1193592
20180611,1560,1595,1560,1575,1038963
20180608,1605,1610,1560,1560,1035831
20180607,1575,1605,1570,1600,1637868
20180605,1560,1580,1535,1580,1244761
20180604,1590,1600,1545,1550,1376960
20180601,1580,1620,1560,1565,2341874
20180531,1580,1600,1545,1580,1852687
20180530,1580,1610,1525,1565,2510404
20180529,1635,1640,1575,1575,3004237
20180528,1625,1690,1605,1660,6806483
20180525,1505,1585,1505,1535,4575934
20180524,1720,1725,1620,1640,4772071
20180523,1630,1745,1605,1745,6329321
20180521,1655,1660,1605,1620,1668588
20180518,1625,1650,1600,1640,1635290
20180517,1630,1665,1585,1615,3584771
20180516,1635,1685,1590,1615,6109602
20180515,1740,1810,1725,1725,7793669
20180514,1740,1815,1700,1730,14599158
20180511,1680,1715,1640,1700,4120080
20180510,1730,1755,1680,1685,7996855
20180509,1690,1785,1585,1700,18558283
20180508,1645,1735,1605,1690,11281814
20180504,1600,1665,1590,1640,8259332
20180503,1680,1690,1565,1580,6706764
20180502,1665,1770,1640,1700,17952955
20180430,1575,1730,1555,1680,25526749
20180427,1605,1650,1535,1550,17196070
20180426,1440,1865,1435,1610,97505552
20180425,1450,1460,1430,1435,587002
20180424,1455,1465,1450,1455,722518
20180423,1455,1465,1440,1450,682638
20180420,1455,1465,1445,1455,916821
20180419,1435,1450,1435,1450,960422
20180418,1440,1460,1425,1430,756369
20180417,1390,1450,1390,1440,1925460
20180416,1410,1410,1390,1390,343698
20180413,1405,1405,1385,1400,467895
20180412,1400,1405,1390,1400,319075
20180411,1395,1405,1385,1400,381860
20180410,1410,1410,1385,1385,637962
