,open,high,low,close,volume
20181109,4435,4440,4350,4370,1066961
20181108,4480,4505,4420,4435,1029076
20181107,4490,4585,4370,4415,1491595
20181106,4400,4510,4360,4490,1204787
20181105,4400,4400,4320,4360,916210
20181102,4320,4430,4315,4420,946812
20181101,4310,4460,4285,4295,1116447
20181031,4325,4325,4200,4255,1020534
20181030,4205,4330,4090,4305,1782857
20181029,4435,4525,4285,4305,1154031
20181026,4655,4655,4410,4520,1292973
20181025,4640,4670,4505,4595,1036321
20181024,4635,4780,4630,4730,1937670
20181023,4700,4735,4560,4580,1117722
20181022,4750,4765,4675,4720,866928
20181019,4770,4885,4650,4770,1182866
20181018,4975,4995,4765,4805,1682812
20181017,5100,5130,4960,4985,950036
20181016,5080,5130,5010,5040,664411
20181015,5080,5150,5020,5080,753955
20181012,4940,5190,4930,5080,1522621
20181011,5010,5150,4935,4935,2414513
20181010,5340,5420,5090,5180,1966890
20181008,5350,5400,5190,5330,1395672
20181005,5410,5460,5260,5420,1262855
20181004,5470,5510,5370,5460,1457893
20181002,5630,5650,5420,5440,2040058
20181001,5510,5640,5470,5630,2302769
20180928,5530,5680,5420,5500,4701573
20180927,5330,5500,5270,5480,4360064
20180921,5000,5260,4970,5210,2901312
20180920,4885,5030,4885,4950,1007419
20180919,5260,5320,4895,4900,3135410
20180918,5170,5210,5100,5200,919858
20180917,5200,5230,5090,5190,861660
20180914,5200,5240,5150,5180,1044350
20180913,5090,5210,5070,5200,1950347
20180912,4985,5110,4960,5100,2147538
20180911,4955,4985,4920,4955,761675
20180910,4930,4995,4910,4945,1107199
20180907,4860,4960,4800,4925,1583931
20180906,4880,4930,4800,4805,1266886
20180905,4655,4975,4640,4880,4341809
20180904,4475,4625,4475,4620,942509
20180903,4485,4510,4465,4475,553992
20180831,4525,4530,4475,4480,629086
20180830,4515,4535,4505,4525,396999
20180829,4535,4565,4495,4495,466818
20180828,4460,4570,4455,4535,761832
20180827,4495,4495,4425,4440,652229
20180824,4520,4535,4460,4480,788562
20180823,4600,4600,4530,4540,391970
20180822,4590,4595,4550,4585,342526
20180821,4600,4610,4570,4580,547088
20180820,4580,4620,4575,4600,346682
20180817,4575,4600,4545,4575,407797
20180816,4610,4645,4515,4540,598300
20180814,4560,4650,4560,4635,376638
20180813,4600,4625,4540,4565,465676
20180810,4655,4655,4585,4605,345025
20180809,4640,4685,4630,4630,604377
20180808,4640,4675,4620,4670,484189
20180807,4645,4660,4600,4640,415512
20180806,4590,4670,4570,4630,481574
20180803,4520,4600,4485,4590,587182
20180802,4680,4680,4485,4500,1634525
20180801,4710,4750,4670,4680,999629
20180731,4725,4745,4680,4705,594579
20180730,4535,4745,4525,4720,1105539
20180727,4565,4570,4465,4535,706797
20180726,4510,4565,4495,4535,583058
20180725,4570,4585,4505,4515,803136
20180724,4515,4590,4495,4575,557003
20180723,4515,4585,4510,4515,709486
20180720,4485,4555,4480,4525,606883
20180719,4615,4655,4515,4515,635369
20180718,4640,4695,4580,4580,647974
20180717,4650,4710,4650,4650,557697
20180716,4710,4720,4630,4640,662561
20180713,4755,4770,4685,4710,732198
20180712,4545,4780,4530,4750,2293681
20180711,4615,4615,4470,4520,795326
20180710,4470,4590,4470,4550,910586
20180709,4450,4490,4405,4435,492753
20180706,4315,4500,4315,4480,981323
20180705,4350,4375,4295,4310,528259
20180704,4320,4370,4315,4350,384711
20180703,4370,4400,4300,4355,800256
20180702,4500,4505,4355,4370,928721
20180629,4470,4520,4360,4500,874395
20180628,4415,4560,4415,4455,926077
20180627,4500,4525,4435,4435,1001139
20180626,4545,4595,4490,4490,1130731
20180625,4550,4625,4530,4605,810840
20180622,4530,4555,4460,4555,1549245
20180621,4695,4705,4525,4545,1844466
20180620,4700,4780,4685,4690,1820065
20180619,4830,4905,4720,4735,1781769
20180618,4980,4995,4805,4855,1168581
20180615,4990,5020,4960,4960,1054470
20180614,5110,5130,4985,4985,1824635
20180612,5100,5170,5070,5130,1050109
20180611,5080,5090,5030,5070,614377
20180608,5040,5100,5030,5050,973076
20180607,5160,5190,5030,5040,1991982
20180605,5160,5250,5120,5150,1146112
20180604,5220,5220,5080,5160,1695014
20180601,4990,5210,4985,5210,4349889
20180531,4870,4965,4855,4965,14952625
20180530,4940,4960,4850,4855,2260373
20180529,5010,5050,4935,4940,2009194
20180528,5030,5120,4960,5010,1495409
20180525,5060,5090,4955,4960,2412306
20180524,5180,5190,5070,5090,1227824
20180523,5210,5220,5120,5180,1247616
20180521,5230,5240,5190,5220,718990
20180518,5200,5250,5170,5230,859208
20180517,5220,5260,5160,5180,979753
20180516,5220,5270,5150,5210,885187
20180515,5380,5410,5160,5240,3335846
20180514,5240,5440,5220,5360,3429045
20180511,5210,5230,5150,5190,1389316
20180510,5070,5200,5070,5200,1410921
20180509,5090,5140,5060,5060,1337716
20180508,5140,5150,5080,5090,1508584
20180504,5280,5300,5060,5080,3986007
20180503,5650,5660,5270,5290,5853326
20180502,5630,5780,5600,5750,1686274
20180430,5540,5650,5530,5620,1086139
20180427,5540,5600,5510,5530,598996
20180426,5490,5580,5480,5540,766258
20180425,5530,5550,5480,5480,837178
20180424,5540,5560,5450,5520,990720
20180423,5510,5590,5490,5530,1099993
20180420,5480,5520,5410,5510,817450
20180419,5440,5520,5440,5470,1243930
20180418,5410,5490,5400,5440,860962
20180417,5430,5450,5370,5400,1139493
