,open,high,low,close,volume
20181109,49950,49950,48550,49750,308
20181108,49600,50400,49050,49950,887
20181107,48000,51500,48000,50400,1584
20181106,48500,49500,48150,48500,266
20181105,48250,49250,47850,48500,353
20181102,47950,48550,47800,48250,264
20181101,46650,47950,46000,47950,629
20181031,45000,46900,44700,46000,342
20181030,46100,47400,44800,45700,865
20181029,49700,49700,47300,47300,335
20181026,51600,51600,48150,48500,677
20181025,51200,51200,49650,51100,416
20181024,50500,51400,50000,51200,330
20181023,51900,51900,49850,50400,399
20181022,51700,52800,50700,51000,842
20181019,52100,52400,51500,52300,475
20181018,53700,53700,52200,52200,301
20181017,52500,54200,52500,53400,161
20181016,53200,53800,52400,52400,398
20181015,54000,54000,52900,52900,103
20181012,53000,53900,52100,53500,671
20181011,53000,53000,51500,53000,758
20181010,54600,54900,53300,54500,1025
20181008,56200,56200,54800,55000,966
20181005,56400,56400,55300,56200,932
20181004,57600,57900,55800,56400,1122
20181002,58100,58200,56700,57200,1066
20181001,59000,59000,57700,58400,660
20180928,59000,60000,57900,58500,6214
20180927,57600,57900,56800,57600,3694
20180921,56400,57700,55400,57100,1704
20180920,57100,57100,55900,55900,1290
20180919,57700,57700,56000,56700,1447
20180918,57100,57100,56600,56900,900
20180917,57200,57500,56500,57000,331
20180914,56300,57400,56300,57200,295
20180913,57000,57400,56300,56300,1181
20180912,57000,57200,56500,57000,263
20180911,57400,57400,56400,57000,807
20180910,57200,57200,56500,56500,672
20180907,56300,57300,55800,57200,553
20180906,58300,58300,55700,57300,1238
20180905,56600,58800,56300,58200,3457
20180904,56800,56800,55900,56600,600
20180903,56300,56600,56000,56600,429
20180831,56300,56400,55600,56200,306
20180830,55400,56400,55300,55700,354
20180829,55400,55600,54300,55200,441
20180828,55800,55800,54900,55400,134
20180827,54900,55600,54900,55400,591
20180824,54700,55500,54700,55300,149
20180823,55600,55800,54900,54900,184
20180822,55800,56200,54500,55600,736
20180821,55900,55900,55100,55600,204
20180820,55500,55800,53900,55800,878
20180817,55300,55500,55000,55200,345
20180816,55800,55900,54300,55400,1348
20180814,55700,55700,54500,55600,428
20180813,56400,56400,54900,54900,602
20180810,56300,56300,55200,56000,342
20180809,55900,56000,55400,55900,301
20180808,56300,56300,54800,56000,705
20180807,55500,56500,55500,56300,365
20180806,56500,56600,55200,55400,275
20180803,55600,56400,55600,56300,515
20180802,56000,56600,55000,56600,363
20180801,55700,56400,55000,56000,936
20180731,56700,56700,54700,55500,2329
20180730,55400,57200,55400,56100,1574
20180727,55600,56800,54800,56800,1370
20180726,54900,55300,54500,55200,842
20180725,55900,55900,54000,54500,1365
20180724,53600,56100,53600,55100,1651
20180723,56000,56300,54000,54400,2976
20180720,57900,57900,56300,56300,1276
20180719,57100,57300,56500,56800,1048
20180718,57700,57700,57200,57200,1787
20180717,57300,58100,57000,57300,1591
20180716,59600,59600,57000,57300,3330
20180713,61400,61400,58400,59000,3261
20180712,60100,61800,59500,60400,6468
20180711,58300,60700,57100,60000,3788
20180710,57400,59500,57200,58300,3258
20180709,58900,59500,56900,57000,2873
20180706,57700,59400,57300,58900,1371
20180705,60300,60300,57500,57700,2382
20180704,59000,59200,58400,59100,1473
20180703,60800,62000,59000,59100,2577
20180702,62600,63900,60400,60400,3633
20180629,61900,63500,61100,62600,6127
20180628,61800,63300,60600,60700,4150
20180627,61500,63200,60200,62200,5085
20180626,63800,65300,61500,63200,6339
20180625,61900,64700,60200,63000,4877
20180622,62000,64500,60300,61900,5152
20180621,61300,65000,61300,62000,5278
20180620,60200,62400,60200,61500,2650
20180619,67200,67200,60300,60700,8089
20180618,63900,66900,62500,65900,6235
20180615,62200,64000,61000,63600,4233
20180614,62100,65200,60000,62100,6641
20180612,67200,67200,61700,63000,5062
20180611,65900,67800,63500,66200,5403
20180608,64800,66700,62900,64200,5614
20180607,65900,67900,63600,65200,7746
20180605,66500,67700,63500,65300,11206
20180604,76300,76500,66700,66700,23551
20180601,75600,83100,71000,73400,74592
20180531,81300,81300,73800,81300,41885
20180530,65800,65900,61400,62600,5902
20180529,64800,67200,63200,63900,7815
20180528,62600,66500,62000,64800,8458
20180525,60100,62000,58200,60800,6106
20180524,67000,68800,61100,63200,9347
20180523,69000,71700,65600,65700,17826
20180521,67800,69400,66100,67400,9247
20180518,65000,68000,63800,66300,15015
20180517,63100,66300,62000,63800,12775
20180516,61000,63700,61000,61800,14522
20180515,76900,78700,66600,67200,22283
20180514,71400,87500,69400,74400,64760
20180511,69500,75500,66100,71900,41113
20180510,69000,69400,63000,67000,16983
20180509,68600,69900,64300,67800,28283
20180508,59500,70400,59500,65000,34589
20180504,58200,60100,57800,59700,1694
20180503,58300,59300,57800,58300,1655
20180502,58200,59300,57800,58800,2919
20180430,59300,60300,58400,59500,1514
20180427,60700,60700,58500,60100,4332
20180426,60000,60300,59300,60000,1301
20180425,60000,60000,59100,60000,1463
20180424,60500,60500,59100,59900,427
20180423,59400,60900,58800,60000,2256
20180420,58200,59300,58000,59300,960
20180419,59200,59600,58300,58300,822
20180418,58400,60000,58400,59400,581
20180417,59300,59700,58000,59500,1399
20180416,61300,61300,58200,59800,1689
20180413,61000,61000,58600,60900,988
20180412,59800,60500,58800,60100,341
20180411,60800,61600,58700,59900,2358
20180410,61100,62000,60500,61600,61
20180409,63200,63200,60800,62100,397
20180406,60800,62300,60600,61700,445
20180405,63300,63300,61300,62400,579
20180404,61600,62900,61200,62800,525
20180403,63800,63800,62100,63000,424
20180402,63800,64700,61600,63600,1823
20180330,63100,65500,60600,63800,3327
20180329,56000,61600,55500,61400,5850
20180328,57600,58800,57600,58800,363
20180327,57700,58800,57000,58800,519
20180326,58400,58600,56600,58500,1174
20180323,58300,59100,56800,58600,748
20180322,58700,59300,58100,59000,373
20180321,59000,59000,58000,58900,284
20180320,59500,59500,58400,59000,327
20180319,59500,59500,57600,59500,1462
20180316,59300,59500,58700,59500,549
20180315,58500,59400,58000,59300,851
20180314,59000,59300,57200,59000,762
20180313,59500,59600,58400,59000,1063
20180312,58400,59400,58000,59400,1218
20180309,57300,58500,56300,58400,1848
20180308,57900,58200,56700,57500,1027
20180307,58500,58500,56500,57700,2258
20180306,58800,59800,57900,58500,1961
20180305,59200,59900,58300,59300,1327
20180302,59400,59700,58500,59300,1254
20180228,60400,60500,58700,59500,1274
20180227,60800,61000,58400,60400,1378
20180226,59500,60900,58500,60000,1938
20180223,59300,61000,57800,60500,1958
20180222,59300,60300,57200,59300,5765
20180221,62200,63000,59500,59900,5510
20180220,63900,64700,60900,63100,7299
20180219,64400,67000,63000,65000,3186
20180214,67500,67500,62100,66500,3929
20180213,63700,65700,61500,65700,8821
20180212,71400,71400,61500,63700,16503
20180209,76600,80200,66000,71700,18900
20180208,82900,84900,72600,76600,42881
20180207,65800,72100,62700,72100,17980
20180206,65700,73500,60600,66400,39395
