,open,high,low,close,volume
20181109,798,805,795,800,1406407
20181108,810,810,795,797,1680269
20181107,795,810,781,792,2268736
20181106,790,807,784,790,1805933
20181105,786,793,772,790,1615624
20181102,765,797,760,793,2927321
20181101,740,771,737,757,2885578
20181031,679,770,679,740,5028971
20181030,632,690,632,681,4121378
20181029,707,722,671,678,2957622
20181026,702,718,700,706,4433163
20181025,708,714,697,699,3853757
20181024,733,740,723,729,2104522
20181023,742,744,729,731,2555248
20181022,731,747,724,745,2512509
20181019,741,742,727,736,2639354
20181018,741,754,741,746,2024563
20181017,742,761,737,744,5086748
20181016,736,755,733,734,4008806
20181015,833,833,739,739,13418125
20181012,804,849,804,841,3760009
20181011,872,880,834,834,5370617
20181010,938,942,900,906,4497689
20181008,942,942,936,937,1753299
20181005,938,952,938,938,1627393
20181004,961,966,938,942,3098097
20181002,980,984,961,961,1736315
20181001,984,994,975,980,888110
20180928,989,994,975,984,1733933
20180927,980,994,970,989,2651158
20180921,970,989,966,980,2168751
20180920,975,975,961,966,1727633
20180919,975,980,966,970,1507673
20180918,970,980,966,970,1019963
20180917,984,994,970,975,1393150
20180914,975,1003,975,984,4640965
20180913,961,975,956,975,1239685
20180912,984,989,961,961,1517894
20180911,970,980,961,975,2347125
20180910,952,975,947,966,2310744
20180907,956,966,952,956,2141252
20180906,961,970,956,956,1337725
20180905,970,975,961,961,1406985
20180904,975,980,956,970,2133393
20180903,966,975,961,966,1402837
20180831,970,975,961,966,1491629
20180830,970,975,966,970,1187254
20180829,975,984,966,970,1782907
20180828,970,994,961,980,4737633
20180827,952,970,952,966,1868080
20180824,956,966,947,956,2321683
20180823,966,966,956,956,1327379
20180822,970,970,961,961,1779706
20180821,952,975,952,970,2337904
20180820,952,961,952,952,1538516
20180817,952,966,947,952,2284928
20180816,930,947,928,942,3658337
20180814,942,956,942,947,3265529
20180813,966,975,942,947,4039778
20180810,966,984,966,966,4180053
20180809,984,994,970,970,3781896
20180808,994,1003,984,989,3353753
20180807,999,1008,989,994,3065198
20180806,999,1013,999,999,3526588
20180803,1017,1027,994,1003,5540952
20180802,1059,1064,1013,1017,8499739
20180801,1083,1092,1059,1064,5253880
20180731,1102,1130,1074,1083,8807614
20180730,1102,1116,1088,1102,6520315
20180727,1205,1247,1116,1116,27967042
20180726,1134,1167,1088,1144,14100249
20180725,1088,1205,1088,1130,39619056
20180724,1163,1191,1097,1102,18406200
20180723,1172,1186,1139,1158,14462869
20180720,1195,1261,1139,1167,71300702
20180719,1102,1327,1102,1219,171967296
20180718,1050,1078,1041,1041,3137716
20180717,1036,1050,1027,1041,1487991
20180716,1036,1050,1017,1041,1643568
20180713,989,1041,989,1036,4049252
20180712,980,994,980,989,715914
20180711,994,999,975,980,622400
20180710,989,999,984,999,979560
20180709,980,984,970,975,610690
20180706,952,989,952,980,1860653
20180705,975,980,952,956,1367153
20180704,956,980,956,975,693514
20180703,961,975,947,961,1975210
20180702,980,1008,956,961,2085640
20180629,984,994,970,984,1287347
20180628,994,1003,980,980,1428656
20180627,1017,1022,999,999,1221242
20180626,1008,1022,999,1013,1019338
20180625,1003,1036,1003,1017,1901045
20180622,994,1017,984,1003,1477437
20180621,1013,1022,989,994,1815200
20180620,989,1022,989,1017,2462327
20180619,1013,1041,999,999,4152563
20180618,1064,1074,1022,1036,4247024
20180615,1088,1097,1064,1064,3430907
20180614,1106,1106,1088,1088,1737940
20180612,1111,1116,1102,1106,1236423
20180611,1102,1116,1097,1111,1367197
20180608,1111,1116,1097,1097,1298616
20180607,1097,1120,1092,1111,2893986
20180605,1092,1102,1088,1092,1121651
20180604,1092,1102,1083,1097,1370397
20180601,1092,1097,1078,1088,1668140
20180531,1102,1111,1083,1088,3182557
20180530,1116,1120,1088,1097,3691373
20180529,1134,1134,1116,1120,1616404
20180528,1120,1134,1116,1134,2482896
20180525,1116,1125,1111,1111,2866261
20180524,1158,1163,1130,1134,2820568
20180523,1134,1158,1130,1149,2772415
20180521,1130,1139,1116,1130,2242871
20180518,1125,1130,1116,1125,1291841
20180517,1125,1139,1120,1125,1993096
20180516,1125,1134,1120,1125,2641407
20180515,1163,1167,1134,1139,3208176
20180514,1177,1181,1153,1163,3461966
20180511,1149,1181,1144,1172,6427338
20180510,1130,1149,1125,1144,1948854
20180509,1139,1149,1116,1125,3033922
20180508,1167,1177,1144,1144,4137423
20180504,1134,1163,1134,1158,4076747
20180503,1111,1186,1111,1149,12669297
20180502,1134,1139,1111,1111,3544476
20180430,1144,1149,1125,1139,2746300
