,open,high,low,close,volume
20181109,2880,2910,2740,2900,78892
20181108,3050,3060,2860,2880,147191
20181107,2940,3095,2905,2965,357846
20181106,2795,3070,2795,2935,457658
20181105,2760,3010,2735,2795,267185
20181102,2795,3160,2760,2815,440570
20181101,2660,3185,2605,2820,1263308
20181031,2240,2765,2200,2765,1003868
20181030,1990,2150,1970,2130,35385
20181029,2180,2315,2095,2095,64055
20181026,2140,2302,2140,2160,99164
20181025,2273,2278,2121,2175,88361
20181024,2508,2596,2390,2390,32491
20181023,2557,2571,2469,2527,12204
20181022,2571,2596,2522,2586,13697
20181019,2552,2596,2527,2586,15479
20181018,2596,2674,2596,2616,19625
20181017,2596,2743,2596,2674,50134
20181016,2522,2606,2522,2596,35067
20181015,2841,2841,2508,2547,145163
20181012,2694,2851,2694,2797,55602
20181011,2674,2851,2674,2728,88671
20181010,3012,3022,2885,2890,51405
20181008,3022,3037,2988,3022,21485
20181005,3086,3100,2988,2998,34335
20181004,3140,3184,3071,3076,22578
20181002,3233,3233,3115,3135,46720
20181001,3287,3287,3066,3233,51442
20180928,3247,3287,3218,3267,51058
20180927,3213,3252,3174,3247,37008
20180921,3179,3238,3169,3198,41320
20180920,3272,3277,3179,3179,107339
20180919,3360,3380,3233,3242,66414
20180918,3389,3433,3316,3331,73708
20180917,3399,3478,3340,3409,123505
20180914,3252,3463,3242,3375,289064
20180913,3228,3262,3223,3233,42319
20180912,3311,3311,3233,3262,51962
20180911,3208,3316,3193,3311,74692
20180910,3282,3291,3218,3242,41491
20180907,3238,3311,3223,3282,60741
20180906,3311,3321,3242,3257,68868
20180905,3316,3340,3272,3306,68103
20180904,3345,3345,3291,3316,44154
20180903,3301,3350,3287,3326,38780
20180831,3350,3360,3306,3321,52162
20180830,3360,3360,3331,3331,68543
20180829,3409,3419,3336,3336,104020
20180828,3429,3478,3331,3409,159697
20180827,3394,3443,3336,3385,111535
20180824,3389,3443,3350,3394,130886
20180823,3551,3576,3419,3419,148643
20180822,3585,3722,3527,3536,308570
20180821,3536,3580,3482,3580,117376
20180820,3502,3615,3438,3536,141017
20180817,3531,3590,3453,3482,141546
20180816,3561,3566,3419,3531,156827
20180814,3595,3605,3517,3561,129784
20180813,3639,3703,3497,3571,414351
20180810,3644,3732,3605,3615,219127
