,open,high,low,close,volume
20181109,72400,73600,71900,72900,3414946
20181108,72900,73300,72600,72900,3930969
20181107,70400,72300,70100,70800,3770119
20181106,70500,70600,69100,70100,2624868
20181105,72000,72100,70100,70500,3389386
20181102,70600,72800,69100,72600,5334082
20181101,68900,69600,67800,68300,3218076
20181031,69300,70400,67600,68200,5038931
20181030,66000,70900,65900,68200,6101533
20181029,66600,67800,64800,66800,4252977
20181026,65100,67100,62900,67000,6211406
20181025,64700,66000,63200,64700,5859332
20181024,69400,69600,65800,66700,5703361
20181023,69600,70000,68600,69100,3175869
20181022,69600,70900,69600,70000,2377240
20181019,68100,70900,67800,70800,2688930
20181018,69600,69900,68700,68700,2849229
20181017,71400,71700,70300,70400,2653053
20181016,70300,71000,69600,69700,2211661
20181015,71600,71700,69900,70300,3727297
20181012,69200,73200,69200,72400,4882184
20181011,67600,70200,67500,69000,4936490
20181010,70300,71100,69800,70300,4161114
20181008,69500,71800,69400,71200,2856291
20181005,69700,71100,69400,70300,5508014
20181004,71700,72200,69800,70000,5778810
20181002,73600,74000,71600,71700,4089558
20181001,74300,74600,73200,73700,2970456
20180928,75300,75900,73100,73100,5824873
20180927,75900,75900,74700,75000,5841083
20180921,77100,77500,76300,76700,5678068
20180920,78600,79900,78000,79100,3392490
20180919,79400,79700,78400,78800,2912259
20180918,76600,78300,76100,78000,2450163
20180917,78000,78200,76700,77200,2252063
20180914,76100,77800,76000,77700,4124842
20180913,74300,75200,73900,74500,5257563
20180912,76200,76200,74700,75100,4330147
20180911,76400,77800,76300,76600,3197796
20180910,75900,77100,75500,76500,4167711
20180907,74500,76200,74100,75900,8388278
20180906,78300,78900,77400,78800,4516654
20180905,80600,81000,79900,80000,2627619
20180904,80600,81600,80200,81200,1903734
20180903,82200,82800,80500,80600,2618619
20180831,81800,83000,81800,83000,2303812
20180830,82200,83500,81500,82700,2337573
20180829,82500,83300,81600,82800,2330703
20180828,84100,84300,81900,82400,4466308
20180827,82100,83800,81600,83500,3070598
20180824,80400,82200,79600,81800,3612709
20180823,80300,81300,79300,81100,3272130
20180822,79300,80900,78200,79800,5295710
20180821,74800,78700,74400,78400,5663191
20180820,74700,75400,74400,74700,2048829
20180817,74400,75500,74100,74500,2647963
20180816,73500,75400,72500,74700,5550888
20180814,75900,76600,75500,75900,3206407
20180813,74300,75700,74100,75400,3734794
20180810,77200,77600,74600,75100,6785694
20180809,80100,80300,77500,78000,5587662
20180808,81500,81600,79400,79800,2804784
20180807,80100,80800,79700,80700,3288142
20180806,82200,82300,79300,79400,5910100
20180803,84000,84100,83100,83300,1928574
20180802,85000,85600,82900,83200,3373964
20180801,85900,86400,85100,85600,2265008
20180731,85200,86300,84500,86300,2804543
20180730,86200,86400,85100,85900,2301941
20180727,83700,86400,83100,86100,4943923
20180726,81300,83800,78600,83100,6218102
20180725,83400,84000,80200,80500,4154596
20180724,82500,83800,81700,83600,4023740
20180723,86300,86400,81200,81700,7076375
20180720,89700,90000,87200,87900,3726334
20180719,90400,91200,90300,90300,2383489
20180718,89700,91000,89100,89300,1937496
20180717,90100,90200,88500,88600,1570129
20180716,88700,89300,87800,89300,1896459
20180713,86500,90100,86500,88800,4535954
20180712,86800,87000,85400,85600,3032951
20180711,86500,87600,85900,86800,2037358
20180710,88400,88600,86700,87300,2002682
20180709,85300,87600,85300,87600,2127205
20180706,86200,86200,83600,85300,3482186
20180705,85000,87300,85000,86200,2059342
20180704,87800,87800,84400,85000,2744382
20180703,85000,86500,84500,86100,2817592
20180702,85000,86000,83400,83700,2033542
20180629,83500,85700,83400,85700,3003603
20180628,83000,84000,82500,83500,3838303
20180627,85700,86400,85200,85200,3798356
20180626,82500,84800,82400,84300,5518522
20180625,88800,88800,84600,84800,4420542
20180622,87300,89500,86700,89500,2569978
20180621,88900,89300,87500,88500,3274612
20180620,85800,88100,85000,87800,4183210
20180619,84100,86100,83700,84100,3824878
20180618,86800,86900,82300,84000,4723914
20180615,87400,87800,86100,87000,2945006
20180614,88300,88300,86300,86300,4646948
20180612,89900,90100,88200,88400,1876012
20180611,88800,90200,88100,89200,2535933
20180608,91000,91000,87600,88400,4579508
20180607,92700,92700,90600,90900,2754947
20180605,89800,91300,89800,91000,2758383
20180604,91000,92400,89700,89800,3141036
20180601,90800,92200,89600,91400,4790644
20180531,94500,94700,92800,93400,5996671
20180530,94800,95700,92800,95000,3808299
20180529,94600,96100,93500,94800,2733549
20180528,94600,95600,93700,94500,2505786
20180525,94300,97700,93900,95200,4145819
20180524,95300,95900,94600,94600,3220029
20180523,91900,95500,91500,95300,10378915
20180521,88400,89400,87400,89100,3262983
20180518,87200,88000,85400,87900,2187789
20180517,88400,88700,86000,86700,2864278
20180516,85000,87000,84800,87000,3040180
20180515,86000,86000,83900,84600,2239370
20180514,86100,86300,84500,85400,1959236
20180511,86600,86800,85400,86100,2107047
20180510,85400,85800,84500,85800,3274963
20180509,84300,84700,83100,83400,2284106
20180508,84500,85300,83200,83500,2979605
20180504,83500,84100,82600,83000,2696141
20180503,83200,83900,82800,82900,2362792
20180502,85900,86000,82900,83100,5444240
20180430,85400,85700,84000,84500,4653153
20180427,88500,88800,86800,87100,4961867
20180426,83800,87100,83300,86500,7551747
20180425,81600,83000,80900,82400,3845661
20180424,83300,83400,80400,82100,6804182
20180423,83400,85300,83300,84400,3002461
20180420,85900,86300,84000,84400,4590640
20180419,85800,88200,85300,87900,5901782
20180418,84100,85400,83700,84600,3375376
20180417,83900,84000,82300,82800,2501282
20180416,84200,84700,83400,84000,1489091
20180413,85000,85900,83900,84200,3032369
20180412,81900,85100,81500,84000,5725102
20180411,82400,82400,81000,81200,3053453
20180410,80000,80800,79200,80400,2924054
20180409,80000,81200,79300,80600,3231256
20180406,80000,80600,79300,80300,5693281
20180405,82200,83200,81200,82900,3255356
20180404,82500,83000,80000,80400,2964537
20180403,80300,81800,78700,81800,3553815
20180402,81700,82800,81100,81300,2342407
20180330,81200,83300,81100,81300,3681673
20180329,80800,81300,79600,80300,3618849
20180328,79900,82200,79600,80300,4820673
20180327,84700,84800,80100,81400,7184488
20180326,82300,84000,81000,84000,6121334
20180323,85100,86400,82800,83100,7310739
20180322,88800,89300,88000,88600,2698169
20180321,89600,90300,88000,88400,2942484
20180320,88900,89700,88000,89600,3083666
20180319,90200,91500,89500,89900,3743718
20180316,88500,89900,87200,89800,5006430
20180315,90300,90500,88600,89600,4106667
20180314,89300,90900,89200,90700,5939290
20180313,88000,90000,87600,90000,8775741
20180312,84900,85600,84300,84900,2744795
20180309,84400,85900,83100,83300,5159197
20180308,83900,84300,81800,83500,4440076
20180307,83600,83900,82400,82700,4992841
20180306,80100,82500,80000,82400,7588369
20180305,77500,78900,77100,78300,3415061
20180302,76300,77800,75900,77400,2673152
20180228,78600,79200,76600,76800,3102987
20180227,78700,79200,78400,78700,3395415
20180226,78300,78500,77200,77500,2327486
20180223,76100,77600,76000,77300,2404473
20180222,76100,77400,75700,75900,1879461
20180221,75800,77200,75800,76900,2653870
20180220,76400,76500,75200,75500,2507719
20180219,78900,79000,76100,76500,3350577
20180214,78400,79500,77000,77600,3943628
20180213,75900,77800,75800,77700,7814367
20180212,73700,74700,73400,74500,3317876
20180209,72100,74200,72000,73400,5118112
20180208,71900,74200,71600,73900,5586858
20180207,73700,73800,70800,71100,6007913
20180206,69100,71300,68200,70200,5679965
20180205,70200,70900,69800,70200,4058439
20180202,74500,74600,71800,72200,4343077
20180201,74900,75200,74000,74400,2987816
20180131,72200,74500,72200,73500,5800892
20180130,74300,74600,73100,73100,5443314
20180129,76500,77000,75000,75300,3618328
20180126,76400,76400,74200,75500,4296170
20180125,73400,76200,72300,75800,8758929
20180124,71600,73200,71500,72400,3802939
20180123,71800,72200,70900,71300,4671451
20180122,72800,72800,70700,71100,5610463
20180119,75300,75800,73000,73300,3898397
20180118,75800,76800,74600,75200,6199800
20180117,74400,75000,73700,74100,3256624
20180116,72700,74700,72700,74400,4383229
20180115,73700,74100,72500,72700,3541267
20180112,73300,74500,72000,74400,5659087
20180111,73200,73800,72000,72600,3777867
20180110,76700,76700,72500,72900,9123901
20180109,78300,78900,76300,76900,3343874
20180108,79500,80000,77400,78200,2960495
20180105,78400,79400,78300,79300,3395065
20180104,78700,79700,77100,77100,3729328
20180103,78100,78800,77300,77700,3097644
20180102,77300,77300,76200,76600,2014838
20171228,75400,76700,75200,76500,2825939
20171227,75400,76400,74400,75100,4291492
20171226,76600,76900,74000,74000,6253943
20171222,76400,77400,76300,76700,3382954
20171221,80200,80600,76900,77000,4831110
20171220,80900,81600,79900,80100,4375810
20171219,78400,80800,78200,80200,6782210
20171218,76200,77300,75900,77200,3237589
20171215,77100,77400,75600,75700,3374982
20171214,77200,77600,76000,76000,5552560
20171213,77400,77500,76200,76800,3485920
20171212,79000,79000,77100,77800,3746347
20171211,79000,79500,78000,78700,2493176
20171208,77500,78900,76900,78700,3660716
20171207,78300,78300,75600,76000,5166136
20171206,78700,79500,77200,77500,3934238
20171205,77600,79300,77100,77900,3736568
20171204,77600,79200,76800,79100,4115752
20171201,77200,78800,77100,77400,4340592
20171130,77000,79600,76800,76800,11213748
20171129,82900,83000,82100,82400,2418748
20171128,82900,83600,81200,82600,4083144
20171127,86000,86700,82000,83100,7105679
20171124,84500,85400,83900,85100,2073899
20171123,86200,86300,84500,84700,2840382
20171122,86500,87700,86100,86800,4592670
20171121,83200,85000,82800,85000,5540888
20171120,83300,83300,81800,82100,2988991
20171117,83300,84800,83000,83000,4339090
20171116,82300,82800,81200,82500,3053355
20171115,83800,84200,81900,82000,3207872
20171114,83000,84500,82900,83400,3399976
20171113,82000,83100,81800,82300,2955651
20171110,81300,82800,81000,82000,2357772
20171109,83200,83500,81600,82400,3748489
20171108,82100,84400,81800,83200,3396387
20171107,82800,83300,82200,82400,2993945
20171106,83600,84100,83000,83500,3131468
20171103,83400,84500,81900,84400,4050123
20171102,85000,85100,83200,83400,4464960
20171101,86000,86000,84000,85300,7067296
20171031,80000,82700,79200,82200,6620890
20171030,79600,81300,79100,79800,5883529
20171027,78100,78700,76500,78400,8929263
20171026,80000,82000,78500,78700,7528077
20171025,82100,82600,80300,81700,3914170
20171024,84000,84200,81600,81800,5236092
20171023,82600,84700,82100,84700,5388391
20171020,79800,82400,79600,81200,6911051
20171019,79900,81800,79000,79000,7675978
20171018,83200,83300,80000,80900,9070685
20171017,85700,86600,83500,83500,6802500
20171016,86100,87100,82800,84200,6985619
20171013,88500,88500,85600,86100,6101810
20171012,89200,89900,88100,88500,4313702
20171011,89900,90300,88100,89100,5500820
20171010,86300,90000,85300,88700,7956055
20170929,83300,84300,82200,82900,3579139
20170928,84500,85500,82500,83200,4817018
20170927,83100,83800,81400,82400,5029200
20170926,84100,85100,81000,82100,11035272
20170925,83600,86300,83600,86300,4656285
20170922,82900,84300,82000,83100,5970218
20170921,81100,83400,80400,83100,6961713
20170920,79300,81200,78400,80700,5268665
20170919,80100,80500,78500,79200,3934389
20170918,78200,80000,77700,79700,3638325
20170915,76100,77500,76000,77200,2725277
20170914,76300,76800,75700,76800,3366621
20170913,75000,77400,74300,75700,5682708
20170912,74800,74900,73500,74700,3676865
20170911,73600,74200,73200,73800,3321612
20170908,72000,72800,71500,72600,2868673
20170907,71600,72800,71200,71400,3877849
20170906,69900,71900,69700,71700,4476200
20170905,68600,70100,67900,69900,4026248
20170904,66600,68600,66600,68100,3234465
20170901,69000,69200,67700,68700,2304425
20170831,68900,69300,68200,68600,2054717
20170830,68300,68900,68100,68500,2118742
20170829,67300,67900,66400,67600,2967906
20170828,68000,68100,67100,67900,1843458
20170825,68300,68400,67600,68400,1862764
20170824,68200,68700,67500,68100,2333347
20170823,69000,69000,67600,68000,3072911
20170822,67400,68200,67200,68200,2208365
20170821,67300,67800,66600,67200,2570150
20170818,64900,67300,64800,67000,3130891
20170817,66800,67300,66100,66400,3709768
20170816,67200,67300,65800,66100,4714899
20170814,63000,65100,62300,65100,5239246
20170811,62000,63000,61400,61400,6664578
20170810,63700,64600,63200,64400,4474120
20170809,65400,65400,64000,64200,4037319
20170808,64900,66400,64800,66300,4372768
20170807,64000,65000,63700,64100,3518575
20170804,65100,66100,63200,64000,5938549
20170803,67900,67900,65200,65500,4992104
20170802,67900,68200,66600,68000,4161592
20170801,65300,66500,64700,65500,3744523
20170731,63700,66000,63700,66000,4769724
20170728,67800,67900,64200,64600,8093780
20170727,66800,69500,66800,68400,6177375
20170726,69600,69900,66700,66800,9659618
20170725,72900,73000,70100,70400,6028435
20170724,71300,73000,71000,73000,3598173
20170721,70800,71300,70300,71200,1599111
20170720,71400,71700,70800,71300,1647153
20170719,71200,71200,70000,71000,2009799
20170718,70700,71800,70600,70800,2066194
20170717,71800,71900,70200,71200,2804598
20170714,71400,72200,70700,71100,2931832
20170713,69500,71900,69200,70600,5432312
20170712,68700,69500,68400,68900,3462150
20170711,67400,69000,66900,69000,3187332
20170710,67000,67500,65700,67300,2667048
20170707,67600,68400,66100,66600,3242213
20170706,69000,69400,67500,68100,4048922
20170705,65600,68200,65300,68000,4557456
20170704,65900,67100,65300,65800,2895782
20170703,66500,66900,65500,66300,3763473
20170630,67400,67800,67000,67400,3230282
20170629,67900,68800,67100,68500,3702501
20170628,68100,69200,66800,67200,5520578
20170627,68200,69600,67000,69200,4951341
20170626,65000,67500,65000,67500,3516630
20170623,64500,65400,63500,65000,3189590
20170622,66500,66500,64500,65000,4977159
20170621,63300,66300,62900,64800,5650669
20170620,64700,65400,63700,64000,6519471
20170619,61300,63200,61300,62800,5315543
20170616,61100,61600,59900,60500,3932203
20170615,59300,61000,59300,60600,4549233
20170614,59200,60000,58800,59300,4441904
20170613,57700,58900,56900,58800,3431811
20170612,57200,57900,56800,57500,2650404
20170609,56700,58400,56500,58300,4799560
20170608,56500,57000,56200,56700,3943311
20170607,55900,56900,55400,56500,3040030
20170605,57200,57200,55900,56100,2525078
20170602,56900,57500,56400,57100,2481215
20170601,56700,56900,56100,56400,2006611
20170531,57400,57900,56500,57000,3314659
20170530,58200,58400,56600,57400,2368225
20170529,57700,58800,57100,57900,3294700
20170526,56000,57100,56000,57100,3145737
20170525,56400,56400,55400,55800,1996135
20170524,55700,56500,55600,55800,2324952
20170523,56400,56500,55000,55100,2410542
20170522,54900,56000,54800,56000,2544180
20170519,55100,55600,54200,54200,2860160
20170518,53600,55700,53400,55700,3494997
20170517,55400,55700,54400,54700,2485465
20170516,56200,56800,55200,55300,2546047
20170515,55300,56100,55300,55600,1542366
20170512,56400,56400,55100,55300,2303244
20170511,56000,56400,54800,56400,3509393
20170510,57400,58100,55200,55600,4766870
20170508,56000,57000,55700,56900,3818771
20170504,55900,55900,55000,55900,2780438
20170502,55300,55900,54800,55400,4347745
20170428,53600,54700,53400,54000,3573387
20170427,53800,53900,52700,53600,2743963
20170426,53100,54200,53000,53700,5609007
20170425,52800,52800,51300,52400,5312931
20170424,52700,53200,52100,52400,3158545
20170421,51800,52500,51300,52000,3834454
20170420,49750,51700,49700,51400,3573280
20170419,50300,50400,49850,49850,1587172
20170418,49600,50400,49300,50200,1899560
20170417,50200,50300,49100,49200,2002100
20170414,49750,50700,49450,49800,2845128
20170413,49100,50200,48650,49750,2367158
20170412,48800,49200,48550,49000,1694663
20170411,48550,49350,48400,48850,2384127
20170410,49700,49750,48950,49000,1824895
20170407,49450,49800,48700,49800,2645476
20170406,50300,50500,49100,49400,2991825
20170405,50600,51000,49950,50300,2758658
20170404,52100,52200,50800,51000,2192884
20170403,50800,51900,50700,51800,2361892
20170331,50800,50800,49900,50500,2682196
20170330,51100,51500,50200,50900,2204243
20170329,51000,52200,50800,51300,4154277
20170328,51200,51300,50000,50800,2862493
20170327,50000,51100,49950,50700,5607032
20170324,50000,50200,49300,49500,5174622
20170323,48950,49300,48150,48450,2473925
20170322,47000,48800,47000,48650,4157526
20170321,47900,48250,47000,47550,3720816
20170320,46950,47650,46550,47600,3929405
20170317,48400,48400,46600,46750,8098258
20170316,49350,49650,48500,49150,3458839
20170315,49350,49500,48550,48800,4688787
20170314,51800,51900,50300,50300,4024138
20170313,49550,51100,49300,51000,4948062
20170310,48100,49550,47500,49200,3849912
20170309,48200,48850,48000,48000,2957372
20170308,48800,49300,47900,48000,3728263
20170307,49100,49300,48050,48800,3439908
20170306,47600,49400,47550,49350,5045970
20170303,47650,48250,46700,47100,3937032
20170302,46850,47850,46800,47700,7093071
20170228,46600,47600,46200,46700,5588155
20170227,46850,47000,45650,46000,7604699
20170224,49850,50000,47400,47500,7707747
20170223,50000,50400,49050,50200,3374139
20170222,51600,51700,50600,50600,2678429
20170221,49950,51000,49350,50900,2227708
20170220,50900,51000,49600,49900,2265276
20170217,50400,51100,50200,50400,4927937
20170216,48350,49600,48200,49600,4840918
20170215,48300,48700,47550,47900,8725221
20170214,51100,51600,48100,48450,8593878
20170213,49550,51000,49500,50700,4124290
20170210,52000,52200,50000,50000,9120878
20170209,53100,53700,52500,52700,6547266
20170208,53700,54600,52400,54600,3552260
20170207,53800,54500,53100,53300,2405891
20170206,54200,54400,53300,53700,1897002
20170203,52500,53700,51800,53700,3718619
20170202,53500,54000,52700,52800,3486140
20170201,54300,54900,53700,54000,2813046
20170131,53300,54500,52700,53700,4118790
20170126,52500,53500,52400,53300,4517114
20170125,52200,52500,51600,51700,2715809
20170124,51300,52000,51100,51600,3449130
20170123,49950,51000,49900,50800,4148659
20170120,49700,50100,49150,49150,1943195
20170119,49550,50100,49100,49600,2332268
20170118,48950,49400,48300,48850,2974091
