,open,high,low,close,volume
20181109,1800,1830,1750,1815,21440
20181108,1795,1830,1795,1820,31691
20181107,1820,1820,1785,1795,25708
20181106,1810,1830,1790,1810,53021
20181105,1845,1845,1800,1810,32544
20181102,1785,1850,1785,1850,162280
20181101,1795,1840,1750,1800,37477
20181031,1730,1780,1665,1745,46628
20181030,1630,1740,1630,1730,62748
20181029,1825,1840,1720,1725,77495
20181026,1760,1890,1640,1825,170999
20181025,1705,1760,1700,1760,49400
20181024,1765,1815,1740,1760,18862
20181023,1815,1820,1760,1775,22788
20181022,1795,1815,1775,1815,6512
20181019,1770,1825,1750,1800,30296
20181018,1820,1820,1780,1795,16094
20181017,1820,1875,1785,1820,29673
20181016,1795,1870,1750,1780,28248
20181015,1765,1785,1750,1760,85820
20181012,1695,1795,1695,1760,123346
20181011,1795,1840,1705,1750,211426
20181010,1985,2015,1890,1890,78707
20181008,1985,2005,1970,1985,24091
20181005,1995,2030,1970,2030,25373
20181004,2020,2040,1985,2010,52213
20181002,2040,2160,2020,2045,51909
20181001,2085,2100,2040,2040,38014
20180928,2105,2105,2040,2090,16354
20180927,2085,2115,2060,2090,43701
20180921,2150,2175,2080,2085,164810
20180920,2165,2200,2145,2180,10033
20180919,2240,2250,2165,2165,25385
20180918,2210,2280,2210,2240,31833
20180917,2235,2255,2200,2235,5126
20180914,2245,2255,2220,2240,23354
20180913,2230,2260,2210,2240,19087
20180912,2215,2250,2180,2235,29716
20180911,2145,2220,2145,2215,34650
20180910,2150,2150,2095,2135,21442
20180907,2160,2185,2080,2130,66612
20180906,2175,2210,2150,2165,39719
20180905,2195,2200,2165,2185,44302
20180904,2170,2195,2155,2195,24374
20180903,2170,2180,2120,2170,42100
20180831,2155,2155,2120,2150,8281
20180830,2130,2165,2120,2140,23794
20180829,2110,2140,2110,2130,46666
20180828,2095,2150,2075,2110,39354
20180827,2110,2110,2070,2095,21616
20180824,2075,2110,2075,2080,12449
20180823,2125,2130,2085,2090,24634
20180822,2125,2125,2090,2115,9184
20180821,2080,2125,2080,2115,38204
20180820,2075,2095,2055,2080,67111
20180817,2095,2130,2065,2070,30088
20180816,2025,2080,2000,2080,27910
20180814,1925,2065,1925,2025,90235
20180813,2080,2080,1930,1950,130182
20180810,2095,2095,2045,2050,17762
20180809,2085,2100,2050,2080,21302
20180808,2070,2100,2065,2085,18470
20180807,2110,2110,2070,2070,21634
20180806,2125,2130,2090,2115,17121
20180803,2105,2140,2090,2125,22189
20180802,2120,2120,2085,2105,9023
20180801,2105,2125,2095,2115,38698
20180731,2120,2120,2065,2100,24780
20180730,2015,2105,2015,2085,49992
20180727,2020,2060,2000,2035,34015
20180726,1980,2040,1950,2010,49124
20180725,1980,2040,1945,1980,70755
20180724,1940,2045,1940,1975,59364
20180723,2065,2085,1990,1990,103504
20180720,2065,2110,2060,2080,58906
20180719,2155,2160,2095,2100,131598
20180718,2150,2180,2125,2135,55936
20180717,2130,2140,2100,2135,15964
20180716,2110,2150,2100,2115,39651
20180713,2070,2200,2070,2110,92243
20180712,2095,2115,2030,2085,67382
20180711,2150,2150,2080,2095,156802
20180710,2085,2145,2085,2135,57084
20180709,2055,2130,2055,2085,64022
20180706,1995,2085,1995,2080,92624
20180705,1980,2135,1960,2025,105289
20180704,2025,2050,1980,1995,78509
20180703,2000,2075,1930,2045,250417
20180702,2235,2330,2015,2040,409623
20180629,2300,2355,2205,2230,286513
20180628,2465,2475,2305,2330,738570
20180627,2430,2705,2390,2495,4552846
20180626,2185,2300,2180,2300,72497
20180625,2275,2275,2175,2210,68372
20180622,2300,2345,2200,2275,127242
20180621,2320,2480,2285,2310,504427
20180620,2140,2260,2140,2255,67614
20180619,2340,2340,2115,2140,128993
20180618,2340,2340,2210,2340,135933
20180615,2350,2350,2260,2340,79603
20180614,2315,2380,2290,2350,196079
20180612,2240,2380,2230,2335,349493
20180611,2145,2365,2130,2220,276836
20180608,2190,2190,2125,2140,56472
20180607,2110,2120,2070,2120,29667
20180605,2060,2075,2040,2060,18792
20180604,2080,2130,2055,2060,26625
20180601,2040,2085,2025,2080,55286
20180531,2030,2075,2030,2045,30326
20180530,2050,2095,2010,2020,49543
20180529,2090,2095,2020,2050,52793
20180528,2070,2180,2010,2090,90417
20180525,2025,2060,1990,2010,54844
20180524,2145,2150,2070,2070,46674
20180523,2125,2155,2090,2145,27161
20180521,2190,2200,2135,2160,14088
20180518,2200,2200,2135,2190,20278
20180517,2105,2190,2105,2145,56208
20180516,2160,2205,2065,2105,126722
20180515,2270,2275,2220,2245,72599
20180514,2185,2270,2185,2260,112128
20180511,2235,2235,2160,2215,61440
20180510,2135,2235,2115,2235,98623
20180509,2090,2165,2075,2140,54567
20180508,2140,2260,2060,2085,312329
20180504,2075,2125,2055,2115,44422
20180503,2120,2150,2095,2115,74548
20180502,2150,2165,2020,2150,163357
20180430,2050,2135,2010,2090,80479
20180427,2090,2140,2025,2050,98288
20180426,2185,2185,2005,2090,389734
20180425,2110,2200,2085,2180,415100
20180424,2020,2140,2000,2095,238720
20180423,2035,2080,2000,2020,102177
20180420,1925,2095,1915,2060,262130
20180419,1945,1985,1895,1925,61198
20180418,1885,1960,1875,1940,49103
20180417,1875,1885,1845,1875,12766
20180416,1900,1910,1840,1860,53499
20180413,1895,1930,1860,1910,18881
20180412,1870,1945,1835,1900,36111
20180411,1855,1880,1850,1860,11018
20180410,1870,1870,1845,1870,19096
20180409,1895,1895,1850,1860,51798
20180406,1935,1940,1895,1895,13279
20180405,1875,1945,1870,1940,34516
20180404,1875,1885,1860,1865,22089
20180403,1885,1885,1850,1865,17291
20180402,1890,1895,1850,1880,47634
20180330,1890,1900,1885,1890,16636
20180329,1900,1920,1875,1890,14069
20180328,1925,1950,1875,1890,19961
20180327,1915,1950,1910,1925,21411
20180326,1935,1935,1870,1915,38779
20180323,1990,2065,1930,1935,159122
20180322,1970,2000,1965,1980,17468
20180321,1965,1990,1950,1970,30141
20180320,1960,1985,1920,1970,38700
20180319,2010,2040,1950,1950,82102
20180316,2015,2020,1975,2000,37379
20180315,2060,2060,2000,2015,33060
20180314,2005,2080,1960,2060,107513
20180313,1900,2225,1895,2010,615003
20180312,1895,1965,1895,1900,13375
20180309,1885,1905,1855,1895,33240
20180308,1900,1900,1855,1885,19857
20180307,1900,1900,1865,1885,15172
20180306,1900,1900,1865,1900,12892
20180305,1900,1915,1885,1885,15287
20180302,1950,1970,1900,1915,27396
20180228,1975,1995,1950,1970,25431
20180227,2035,2035,1970,1975,54712
20180226,2035,2065,2010,2010,28654
20180223,2090,2110,2025,2040,19149
20180222,2050,2115,2045,2060,22088
20180221,2050,2145,2045,2075,47284
20180220,2020,2080,2020,2055,36241
20180219,2055,2095,2030,2050,10772
20180214,2010,2065,2010,2060,14446
20180213,2030,2060,2010,2030,33020
20180212,2040,2090,2000,2030,21788
20180209,2015,2130,2015,2040,17708
20180208,2115,2180,2040,2095,48498
20180207,2050,2165,2050,2115,81228
20180206,2090,2090,1990,2070,53631
20180205,2030,2155,2000,2095,123081
20180202,2140,2140,2015,2105,59437
20180201,2150,2150,1980,2095,191743
20180131,2050,2175,2050,2150,295133
20180130,2040,2055,1995,2050,116205
20180129,2025,2075,1995,2040,105180
20180126,1930,2020,1915,1995,67760
20180125,1885,1920,1880,1905,37079
20180124,1900,1905,1880,1900,18744
20180123,1885,1895,1885,1890,12765
20180122,1880,1890,1845,1870,11679
20180119,1865,1900,1865,1880,21356
20180118,1915,1920,1875,1875,76885
20180117,1955,1955,1895,1915,19939
20180116,1945,1960,1920,1940,2648
20180115,1960,1960,1915,1945,10040
20180112,1885,1960,1885,1940,53568
20180111,1920,1920,1865,1910,17928
20180110,1910,1930,1890,1900,4879
20180109,1865,1920,1860,1910,10414
20180108,1885,1940,1855,1855,35187
20180105,1900,1965,1875,1875,13969
20180104,1885,1955,1845,1940,32356
20180103,1875,1930,1870,1880,6793
20180102,1890,1905,1830,1905,14914
20171228,1880,1895,1865,1890,2989
20171227,1830,1890,1820,1885,4365
20171226,1830,1855,1825,1830,12307
20171222,1810,1870,1810,1840,11740
20171221,1945,1960,1835,1860,68498
20171220,1990,1990,1885,1935,13145
20171219,1940,1940,1885,1910,13360
20171218,1945,1985,1925,1925,6238
20171215,1920,1945,1915,1945,15649
20171214,1975,2010,1940,1940,7240
20171213,1910,2020,1900,1975,33657
20171212,1990,1990,1910,1910,19548
20171211,1940,2000,1925,1950,16181
20171208,2000,2000,1955,1980,37101
20171207,2015,2030,1955,1980,36556
20171206,2035,2035,2000,2010,16851
20171205,2030,2050,2005,2015,32051
20171204,2050,2050,2010,2030,8822
20171201,2050,2050,2010,2030,11646
20171130,2045,2080,2035,2050,6583
20171129,2010,2065,2010,2045,8739
20171128,2060,2060,2015,2035,22236
20171127,2070,2070,2030,2030,49320
20171124,2070,2095,2050,2055,35342
20171123,2145,2145,2050,2070,74621
20171122,2090,2125,2070,2120,10999
20171121,2150,2150,2070,2080,12051
20171120,2080,2135,2080,2085,10604
20171117,2100,2100,2080,2080,15004
20171116,2130,2130,2070,2100,26154
20171115,2160,2170,2100,2130,70259
20171114,2175,2175,2140,2160,15496
20171113,2175,2175,2150,2155,15675
20171110,2180,2185,2160,2185,5962
20171109,2175,2190,2160,2180,16924
20171108,2180,2200,2165,2180,14392
20171107,2175,2200,2160,2180,24054
20171106,2150,2360,2125,2170,221275
20171103,2160,2195,2140,2150,42109
20171102,2180,2185,2155,2170,8521
20171101,2145,2190,2145,2155,24238
20171031,2165,2180,2135,2160,15438
20171030,2185,2185,2145,2160,10119
20171027,2170,2190,2155,2175,14876
20171026,2175,2195,2140,2160,22054
20171025,2190,2195,2160,2180,7421
20171024,2190,2190,2155,2160,43498
20171023,2250,2250,2155,2170,9511
20171020,2165,2200,2150,2175,9337
20171019,2220,2220,2130,2185,9824
20171018,2200,2290,2150,2185,27260
20171017,2185,2210,2165,2175,14023
20171016,2195,2195,2165,2185,8037
20171013,2195,2225,2175,2195,36743
20171012,2180,2220,2180,2195,21190
20171011,2260,2260,2165,2180,61121
20171010,2260,2260,2165,2225,11202
20170929,2240,2240,2165,2210,22560
20170928,2180,2200,2145,2165,6210
20170927,2170,2180,2140,2180,6203
20170926,2200,2225,2125,2165,28881
20170925,2205,2255,2150,2200,44774
20170922,2330,2330,2205,2260,37202
20170921,2340,2355,2265,2285,33344
20170920,2340,2365,2285,2320,45700
20170919,2355,2375,2300,2330,44473
20170918,2315,2410,2310,2350,52311
20170915,2345,2350,2250,2300,62344
20170914,2380,2380,2280,2345,95140
20170913,2450,2455,2305,2350,174586
20170912,2260,2485,2260,2400,311295
20170911,2175,2510,2160,2270,260332
20170908,2195,2215,2165,2175,38471
20170907,2190,2200,2165,2195,30643
20170906,2220,2220,2175,2190,5869
20170905,2190,2230,2170,2190,28968
20170904,2165,2245,2165,2190,96024
20170901,2235,2315,2210,2285,50714
20170831,2250,2265,2210,2235,37614
20170830,2230,2260,2210,2230,34399
20170829,2290,2290,2225,2230,39819
20170828,2310,2350,2265,2295,46640
20170825,2435,2435,2290,2320,115218
20170824,2390,2490,2355,2435,155137
20170823,2215,2425,2175,2395,157546
20170822,2160,2230,2160,2220,20168
20170821,2185,2230,2170,2170,36560
20170818,2200,2225,2160,2220,14652
20170817,2240,2240,2165,2200,44032
20170816,2300,2320,2220,2235,34395
20170814,2360,2360,2225,2300,41652
20170811,2395,2395,2295,2345,9221
20170810,2420,2420,2280,2360,47275
20170809,2390,2420,2380,2390,2581
20170808,2430,2445,2355,2390,10964
20170807,2395,2430,2395,2410,4333
20170804,2390,2400,2380,2395,2488
20170803,2420,2470,2375,2390,13949
20170802,2405,2445,2405,2440,8905
20170801,2405,2435,2400,2410,14144
20170731,2440,2440,2390,2400,10487
20170728,2420,2475,2410,2445,20368
20170727,2420,2450,2415,2420,10302
20170726,2410,2480,2410,2415,41610
20170725,2415,2440,2415,2415,4461
20170724,2470,2470,2405,2415,11005
20170721,2450,2530,2450,2455,33464
20170720,2450,2470,2420,2455,4114
20170719,2475,2475,2440,2450,1506
20170718,2400,2505,2390,2490,10234
20170717,2475,2475,2400,2400,14783
20170714,2445,2445,2405,2435,6957
20170713,2440,2500,2390,2440,29538
20170712,2460,2475,2420,2440,12997
20170711,2460,2460,2420,2455,67998
20170710,2460,2495,2455,2460,20651
20170707,2450,2495,2450,2475,10556
20170706,2510,2510,2450,2505,12944
20170705,2440,2515,2440,2485,5631
20170704,2525,2525,2465,2520,15480
20170703,2460,2525,2430,2525,20048
20170630,2400,2475,2400,2460,31343
20170629,2380,2400,2355,2400,16101
20170628,2395,2445,2375,2375,11364
20170627,2455,2470,2380,2395,64197
20170626,2460,2470,2410,2445,34054
20170623,2480,2480,2435,2460,16681
20170622,2435,2535,2435,2445,28081
