,open,high,low,close,volume
20181109,18000,18000,17150,17150,1229
20181108,17750,17750,17150,17500,1497
20181107,17950,17950,17000,17050,3140
20181106,17950,17950,17200,17450,2860
20181105,17750,17750,17200,17600,2332
20181102,16800,17700,16750,17700,4992
20181101,16350,16800,16200,16800,3259
20181031,16400,16400,15900,16150,8162
20181030,16500,17000,15750,15900,8166
20181029,17100,17950,16500,16500,6144
20181026,18200,18200,17400,17600,2402
20181025,18200,18200,17800,17800,2316
20181024,18700,18700,18350,18500,4353
20181023,18900,18950,18500,18750,2292
20181022,19200,19200,18700,18850,14812
20181019,19300,19300,19050,19200,589
20181018,19200,19350,19000,19300,5967
20181017,19700,20000,18950,19150,35413
20181016,19750,20050,19600,20000,792
20181015,20050,20200,19750,19750,3081
20181012,19400,20450,19400,20450,1288
20181011,20600,20650,20000,20000,9201
20181010,21000,21050,20550,21050,6627
20181008,20900,21150,20850,21050,1731
20181005,21150,21150,20900,21050,2009
20181004,21200,21300,20950,21100,1929
20181002,21500,21500,21100,21100,3192
20181001,21600,21600,21200,21300,3084
20180928,21300,21550,21150,21500,4651
20180927,21700,21700,21300,21650,1543
20180921,21650,21650,21150,21500,2302
20180920,21550,21550,21000,21100,6372
20180919,22400,22450,21400,21400,4380
20180918,22050,22200,21800,22100,3084
20180917,22600,22800,21950,22100,5436
20180914,23150,23150,22250,22600,11631
20180913,21350,22450,21350,22250,12130
20180912,21700,21750,21300,21400,3571
20180911,22000,22000,21500,21700,4618
20180910,21250,21650,20950,21600,6862
20180907,21100,22000,20950,21000,5402
20180906,20950,21300,20950,21100,4196
20180905,21400,21400,21050,21150,3183
20180904,21200,21200,20850,21200,6123
20180903,20800,21250,20800,21050,3623
20180831,20900,20900,20700,20900,3064
20180830,20900,21100,20750,20900,2841
20180829,21400,21400,20800,20900,13852
20180828,21100,21600,21100,21400,2748
20180827,21500,21500,21100,21350,6241
20180824,22000,22000,21300,21500,2547
20180823,21650,21950,21550,21600,2906
20180822,21800,21950,21550,21800,6350
20180821,21800,21950,21500,21850,6742
20180820,23500,25150,21900,21950,50558
20180817,21950,22000,21650,21950,259392
20180816,21900,22600,21600,21950,1149
20180814,22000,22250,21550,21900,3515
20180813,22400,22400,21700,22000,5675
20180810,22800,22800,21750,22000,5333
20180809,22200,22200,22000,22100,1301
20180808,22300,22350,22050,22200,1995
20180807,22150,22250,22100,22250,2675
20180806,22250,22350,21900,21950,1860
20180803,22100,22600,21850,22000,3291
20180802,21850,22150,21850,22100,2803
20180801,22050,22100,21600,21850,7931
20180731,22100,22300,21700,22050,8808
20180730,22450,22450,22100,22100,1887
20180727,22800,22800,22150,22250,3382
20180726,22650,23000,22000,22400,12994
20180725,22650,22800,22300,22650,1303
20180724,22200,22900,22150,22800,5733
20180723,22650,23250,22200,22200,8212
20180720,22700,23350,22650,22650,8923
20180719,22900,23300,22450,22700,4762
20180718,23500,23850,22650,22700,5018
20180717,23800,23800,23300,23450,2971
20180716,23850,23850,23500,23550,1560
20180713,23750,23750,23250,23550,1975
20180712,23900,23900,23050,23150,2573
20180711,23050,23950,23050,23400,4967
20180710,22600,23350,22600,23050,3156
20180709,23450,23500,22550,22700,9206
20180706,23600,23600,22600,23450,5885
20180705,23550,23850,22150,23400,22180
20180704,23050,23950,23050,23750,3827
20180703,23500,24150,23000,23600,8702
20180702,24950,24950,23100,23500,6761
20180629,24350,24800,24000,24450,7299
20180628,24350,24850,24150,24150,10033
20180627,25150,25750,24400,24800,7739
20180626,26500,26500,25100,25150,20621
20180625,25500,26650,25450,26500,6216
20180622,27200,27200,25400,25500,9451
20180621,25800,27450,25750,26450,36896
20180620,24300,25500,24250,25500,6222
20180619,24900,25500,24000,24100,17669
20180618,25450,25950,24900,25000,7233
20180615,25650,25750,25150,25450,4717
20180614,26100,26400,25000,25250,23342
20180612,27650,27650,26150,26950,14642
20180611,27000,27400,26450,27250,16213
20180608,27000,27600,26000,26500,15655
20180607,27200,28500,26950,26950,14810
20180605,27100,27950,27100,27600,5979
20180604,28200,28500,27300,27550,7974
20180601,29500,29550,27550,27600,19693
20180531,28800,29300,28100,28100,14032
20180530,27800,29000,27400,28800,33040
20180529,29150,29900,27800,27800,33921
20180528,28000,30950,27150,29550,106939
20180525,24850,26150,24850,25600,35437
20180524,28150,28650,27450,27500,36479
20180523,29100,29100,27550,28700,24310
20180521,31350,34450,29100,29100,140295
20180518,29350,31400,28000,29250,106181
20180517,28100,29800,27850,28500,41130
20180516,28600,29950,27800,28150,77219
20180515,29800,32050,29500,31450,105428
20180514,28600,29650,28400,29500,25887
20180511,28500,29050,27400,28600,12239
20180510,27500,28500,26800,28500,22655
20180509,28200,28200,26200,26800,35925
20180508,29300,29650,28150,28200,10024
20180504,28250,29750,27800,29300,19173
20180503,30050,30150,28100,28350,22082
20180502,28000,30000,27600,29850,63010
20180430,25600,27300,25600,27000,26253
20180427,25450,26650,25150,25500,12591
20180426,25400,25750,25000,25450,19400
20180425,25800,25850,25250,25400,4258
20180424,25800,26500,25600,25800,10566
20180423,25800,27000,25550,25950,25761
20180420,25200,25950,24300,25750,23042
20180419,24000,25300,23900,25000,30373
20180418,24100,24100,23600,24000,10299
20180417,23500,23950,23300,23900,6746
20180416,23300,24000,23300,23300,3541
20180413,23650,24000,23100,23250,4555
20180412,23350,24050,23350,23800,20785
20180411,22750,23200,22750,23000,4207
20180410,22900,23050,22800,22950,1891
20180409,23500,23650,23000,23050,2099
20180406,23350,23400,23050,23350,2114
20180405,23250,23500,23250,23350,1977
20180404,23500,23950,23150,23200,4048
20180403,24000,24000,23200,23600,6610
20180402,23950,24300,23700,23850,6789
20180330,23600,23800,23300,23550,4411
20180329,23900,23900,23200,23350,5165
20180328,23500,23550,23050,23300,4462
20180327,23300,23500,23150,23500,1944
20180326,23400,23550,23000,23400,9715
20180323,23700,23850,23100,23500,3642
20180322,23700,24300,23700,24100,4551
20180321,23900,24000,23700,23750,5808
20180320,23100,23750,23100,23700,9957
20180319,22800,23600,22800,23400,4407
20180316,22900,23100,22700,22750,5016
20180315,23350,23350,22700,22900,4128
20180314,23000,23500,22800,23100,3757
