,open,high,low,close,volume
20181109,23750,24550,23750,24500,3013
20181108,23700,24250,23550,24200,3413
20181107,24100,24300,23550,23700,3102
20181106,23750,24000,23700,24000,5227
20181105,24000,24000,23350,23750,3992
20181102,23550,24000,23500,24000,3974
20181101,23400,23700,23150,23300,4240
20181031,23650,24050,23000,23350,12739
20181030,23900,24100,22800,23950,11880
20181029,24450,24950,23750,24000,7372
20181026,24600,25150,24350,25150,3152
20181025,25200,25350,24200,25100,4686
20181024,25350,25900,25050,25050,1778
20181023,26000,26500,25400,25700,5068
20181022,26050,26600,25900,26500,2886
20181019,26750,26800,26350,26700,855
20181018,26950,27100,26750,26900,2238
20181017,26850,27300,26350,27200,10866
20181016,26500,26800,26300,26800,3259
20181015,26400,26850,26100,26300,2466
20181012,25500,26400,25350,26300,13385
20181011,26850,26850,25200,26250,10358
20181010,27600,27600,26900,27300,7719
20181008,27550,27650,27200,27600,2931
20181005,27750,27750,27250,27750,5289
20181004,28000,28000,27700,27750,4317
20181002,27900,28000,27700,28000,2834
20181001,28150,28150,27800,27900,1773
20180928,27650,28000,27650,27900,4306
20180927,27900,27900,27400,27900,3920
20180921,27650,27900,27400,27750,5711
20180920,28300,28300,27450,27600,6402
20180919,28050,28250,27600,27800,7087
20180918,28150,28250,27950,28250,1778
20180917,28650,28650,28100,28250,4146
20180914,27600,28700,27600,28650,21129
20180913,27400,27750,27300,27600,5607
20180912,27500,27500,27100,27300,3169
20180911,27150,27500,27050,27250,6361
20180910,27100,27150,26750,27100,3795
20180907,27100,27100,26150,27100,5592
20180906,27000,27300,26700,27100,3662
20180905,27050,27300,26500,27250,6075
20180904,26550,27050,26300,27000,12452
20180903,27100,27100,26400,26950,10037
20180831,26950,27050,26750,26950,2500
20180830,27050,27050,26750,26750,3714
20180829,26900,26900,26550,26750,2354
20180828,26900,26900,26450,26700,2806
20180827,27200,27200,26450,26450,3336
20180824,27400,27400,26650,26900,2890
20180823,27200,27400,26900,27050,5472
20180822,27300,27300,26650,27050,4612
20180821,27100,27100,26750,26900,4495
20180820,27000,27100,26850,27100,2385
20180817,27400,27400,26900,27000,5259
20180816,27050,27300,26750,27050,4507
20180814,26300,27100,26300,27050,3824
20180813,27050,27500,26150,26700,6745
20180810,27600,27600,27200,27450,5805
20180809,26750,27450,26600,27350,7044
20180808,26700,26800,26700,26750,7701
20180807,26300,26850,26300,26700,26689
20180806,25850,26400,25850,26300,15508
20180803,25750,26050,25700,26050,4710
20180802,25900,25900,25700,25700,6276
20180801,25800,25950,25750,25950,2096
20180731,25850,26000,25700,25800,2813
20180730,26150,26150,25800,26100,2134
20180727,25450,26100,25300,26100,22652
20180726,25500,25500,25400,25450,2830
20180725,25500,25500,25300,25450,5386
20180724,25500,25500,25350,25500,8727
20180723,25600,25800,25200,25500,15809
20180720,25650,25750,25500,25600,11839
20180719,25650,25650,25300,25650,6812
20180718,25900,25950,25350,25600,11471
20180717,26250,26250,25500,25700,14689
20180716,26300,26300,25850,25950,3690
20180713,26100,26300,26000,26250,1249
20180712,26000,26100,25800,26000,4996
20180711,26350,26350,25700,26000,14119
20180710,26300,26450,26150,26300,9363
20180709,26650,27100,26250,26350,13796
20180706,26850,26850,26500,26650,12128
20180705,27250,27250,26600,26800,3090
20180704,27350,27350,26750,27000,5440
20180703,27500,27500,26850,26950,4809
20180702,27550,27600,27150,27150,9891
20180629,27750,27750,27400,27550,10137
20180628,27950,27950,27550,27750,20977
20180627,27400,28050,27300,27750,38762
20180626,27800,27850,27250,27400,16837
20180625,28200,28350,27900,28000,14390
20180622,28350,28500,27850,28400,11672
20180621,28500,28500,27650,28100,11191
20180620,28000,28300,27850,28050,10528
20180619,29400,29400,28000,28050,16343
20180618,29700,29700,28800,28800,8384
20180615,29300,29550,29200,29400,8173
20180614,29750,29900,29150,29300,10059
20180612,29750,29750,29450,29700,7979
20180611,29700,29700,29300,29650,17867
20180608,29900,29900,29450,29550,22946
20180607,30150,30150,29450,29500,29636
20180605,30450,31150,29850,30200,18376
20180604,31300,31300,30350,30450,6945
20180601,31500,31500,30500,31000,33179
20180531,32000,32050,31450,31500,24002
20180530,31750,32000,31600,31950,12627
20180529,32300,32400,31750,31950,16563
20180528,31550,32300,31400,32150,21346
20180525,31700,31700,31100,31500,11996
20180524,31850,32000,31500,31800,7029
20180523,32550,32550,31050,31850,34874
20180521,33150,33300,32300,32550,17078
20180518,33050,33550,32600,33200,15489
20180517,33000,34750,32650,32650,29598
20180516,33850,34150,32850,33350,14271
20180515,34300,35600,33550,34350,17078
20180514,33000,34950,33000,34050,15777
20180511,32950,33050,32400,33000,6690
20180510,32300,32950,32200,32800,6640
20180509,33000,33000,32050,32200,13134
20180508,33300,34000,33150,33150,7982
20180504,32850,33300,32600,33300,9387
