,open,high,low,close,volume
20181109,9330,9330,8920,9200,476956
20181108,9400,9730,9260,9330,806008
20181107,9760,10700,8790,9090,3613451
20181106,9620,9740,9320,9490,548633
20181105,9560,9800,9260,9560,760915
20181102,9430,9640,9310,9570,1111964
20181101,9450,9720,9000,9210,1246687
20181031,8930,9800,8860,9080,2657832
20181030,8280,9030,7820,8810,2827571
20181029,10300,10550,8400,8490,2064226
20181026,11700,12050,10400,10400,1623624
20181025,11000,12250,11000,11600,3885850
20181024,11100,11800,10800,11150,4518229
20181023,9350,11200,9300,11200,8184618
20181022,9060,9100,8650,8650,276511
20181019,9200,9520,9040,9250,321539
20181018,9550,9590,9170,9220,403814
20181017,8900,10300,8850,9490,3130698
20181016,8600,9030,8600,8750,187474
20181015,8900,9230,8540,8570,388649
20181012,8680,9350,8600,8940,583882
20181011,8010,10100,8010,8790,1757308
20181010,10050,10150,8700,8770,529902
20181008,10350,10650,10150,10150,150920
20181005,10650,10900,10300,10500,211461
20181004,11150,11200,10700,10800,401677
20181002,10300,11200,10300,10550,755767
20181001,10650,10850,10400,10400,165940
20180928,10700,10800,10350,10550,161197
20180927,11300,11300,10750,10800,175621
20180921,10800,11200,10750,11100,321132
20180920,11100,11200,10400,10800,474553
20180919,11150,11700,10750,10800,646616
20180918,11700,11850,11050,11150,379506
20180917,11900,12150,11600,11750,337767
20180914,11950,11950,11450,11750,315253
20180913,12150,12200,11850,11850,309941
20180912,12150,12450,11750,12200,763763
20180911,12600,12650,11950,12000,816696
20180910,11700,12650,11400,12250,1918363
20180907,11350,11600,11200,11500,520307
20180906,12000,12100,10850,11250,1132819
20180905,11950,12250,11400,11500,980077
20180904,11000,12150,10900,11550,3454864
20180903,11200,11300,10850,10950,405638
20180831,10600,10750,10400,10700,271488
20180830,10550,11350,10550,10800,671016
20180829,10300,10750,10250,10500,342048
20180828,11000,11000,10400,10450,476003
20180827,10750,11200,10700,10900,729102
20180824,12250,12250,11850,11950,441682
20180823,12300,12550,12000,12100,585043
20180822,12300,12700,12000,12150,847951
20180821,12450,12500,12000,12350,598154
20180820,12200,12550,12050,12300,549568
20180817,12050,12850,11950,12250,1755421
20180816,12100,12450,11450,11900,1592364
20180814,11100,12350,10700,11850,2194823
20180813,12350,12600,10650,10850,1213152
20180810,12950,13200,12150,12200,2336932
20180809,12200,12650,11850,12100,1104408
20180808,11650,13350,11300,12300,5991083
20180807,11700,11800,11350,11450,697161
20180806,10950,12000,10850,11600,1951880
20180803,12300,12550,11050,11150,2612741
20180802,10900,11100,10300,10750,812005
20180801,10400,11150,10000,10900,1577385
20180731,10950,11150,9960,10200,1366007
20180730,9910,11550,9870,10600,4254138
20180727,9910,11300,9640,10000,4164663
20180726,8550,10750,8370,10100,4866412
20180725,8290,8590,8050,8350,584636
20180724,7700,8480,7700,8200,835115
20180723,7950,8020,7600,7620,266975
20180720,8250,8500,7980,8080,291448
20180719,8500,8660,8170,8230,429645
20180718,9220,9320,8390,8550,593647
20180717,9550,9550,9250,9250,256898
20180716,9710,9720,9420,9550,314131
20180713,9500,9650,9150,9530,510408
20180712,9650,9790,9290,9330,444919
20180711,9150,9970,9030,9580,1129948
20180710,9400,9540,9230,9250,487738
20180709,10050,10250,9060,9320,975903
20180706,11050,11300,9980,10700,1900597
20180705,11300,12300,10700,10850,3632635
20180704,9850,11500,9830,10400,3310997
20180703,9980,10250,9280,9900,847258
20180702,10900,11150,9900,9900,808495
20180629,10650,11100,10150,10950,1096192
20180628,10200,11300,10000,10400,1820330
20180627,11450,11550,10250,10350,942889
20180626,11650,12150,10850,11400,1559260
20180625,12700,13650,11550,11700,1859715
20180622,13550,15200,12500,12650,7216590
20180621,13300,13550,12550,12550,687351
20180620,12600,12900,12400,12800,483603
20180619,13500,13550,12400,12450,737009
20180618,13150,16200,12800,13800,11871090
20180615,10350,13450,10200,13450,6193915
20180614,11650,11700,10000,10350,1456810
20180612,11450,13500,10700,12000,8108735
20180611,9550,11650,9480,11500,6649466
20180608,8710,10500,8540,9000,4349146
20180607,8840,8920,8640,8710,167194
20180605,8560,8840,8310,8820,246684
20180604,9370,9370,8820,8830,211631
20180601,9880,9980,9000,9100,511503
20180531,9750,10350,9500,9670,1119624
20180530,9130,9440,9070,9410,439194
20180529,9390,9390,8950,9000,405434
20180528,8800,9760,8670,9540,1072655
20180525,7390,7770,7270,7600,383997
20180524,9100,9170,8560,8660,174901
20180523,8880,9140,8510,9050,189893
20180521,9100,9140,8830,9010,133876
20180518,9210,9370,9000,9130,294781
20180517,9110,9340,8810,9180,276852
20180516,8700,9390,8700,8930,570738
20180515,10250,10250,9710,9870,670335
20180514,9700,10650,9500,9870,1534451
20180511,9240,10350,8810,9570,2572273
20180510,8980,9130,8520,8990,387865
20180509,9370,9410,8290,8750,514011
