,open,high,low,close,volume
20181109,11650,11750,11450,11650,4216
20181108,11550,11750,11350,11700,17779
20181107,11650,11800,11100,11300,34620
20181106,11600,11650,11300,11550,15201
20181105,11750,12000,11350,11500,26726
20181102,11500,12000,11500,12000,12951
20181101,11850,11950,11500,11500,17706
20181031,11300,11900,11300,11850,8809
20181030,10600,11400,10600,11300,28925
20181029,11100,11100,10650,10700,18481
20181026,11000,11400,10500,11000,39763
20181025,11100,11400,10900,11100,21612
20181024,11450,11550,11100,11450,12974
20181023,11600,11850,11350,11400,15016
20181022,12100,12100,11500,11600,29091
20181019,12100,12100,11800,12100,28110
20181018,12100,12150,11950,12100,5290
20181017,12100,12250,11950,12100,12125
20181016,12300,12300,12000,12050,13916
20181015,12500,12600,12350,12400,6175
20181012,11950,12500,11250,12500,22907
20181011,11750,12400,11750,11950,25784
20181010,12950,13200,12500,12600,24653
20181008,13050,13150,12850,13050,6927
20181005,12950,13150,12800,13100,9740
20181004,13050,13100,12850,13000,7335
20181002,12950,13350,12900,12950,32630
20181001,12950,13050,12900,13000,4257
20180928,13000,13100,12900,13000,7453
20180927,13100,13200,12900,13100,14712
20180921,13100,13100,12900,12950,11620
20180920,13200,13300,13050,13100,8665
20180919,13050,13350,13000,13250,12146
20180918,13000,13150,12900,13000,14487
20180917,13350,13350,12950,13000,37843
20180914,13400,13450,13150,13350,12008
20180913,13300,13450,13250,13400,5507
20180912,13200,13350,13100,13350,4519
20180911,13100,13250,13100,13200,2489
20180910,13250,13250,13050,13250,4696
20180907,13100,13300,13000,13250,9123
20180906,13450,13550,13050,13150,17243
20180905,13450,13650,13350,13500,11353
20180904,13550,13750,13200,13500,22672
20180903,13600,13900,13450,13600,19860
20180831,13350,13800,13350,13750,29205
20180830,13450,13450,13250,13400,6008
20180829,13450,13500,13300,13300,4012
20180828,13550,13600,13300,13350,10977
20180827,13550,13700,13300,13550,7854
20180824,13550,13700,13450,13700,6113
20180823,13600,13650,13350,13650,7752
20180822,13500,13650,13300,13600,8270
20180821,13450,13500,13300,13500,1944
20180820,13700,13700,13400,13450,6560
20180817,13500,13700,13350,13600,12533
20180816,13200,13550,12850,13450,8337
20180814,13600,13600,13100,13100,4994
20180813,13450,13600,13250,13400,15513
20180810,13400,13750,13350,13500,6646
20180809,13200,13650,13100,13450,19338
20180808,13100,13300,12950,13200,13374
20180807,12900,13200,12900,13100,12840
20180806,12950,13000,12700,12850,9344
20180803,12750,12950,12700,12950,8063
20180802,12800,12900,12600,12850,12529
20180801,12700,12950,12700,12850,10189
20180731,13000,13000,12650,12750,17855
20180730,12900,13000,12750,12950,13110
20180727,12650,12900,12550,12900,19363
20180726,12550,12800,12400,12650,23579
20180725,13050,13100,12550,12650,45778
20180724,13200,13250,12900,13050,43489
20180723,13200,13350,13100,13200,18208
20180720,13400,13550,13200,13250,34491
20180719,13650,13850,13300,13400,48336
20180718,13800,13850,13600,13750,35501
20180717,13800,13850,13600,13750,45732
20180716,13850,13850,13700,13700,33886
20180713,13950,14150,13750,13850,45246
20180712,14200,14300,13900,13950,35942
20180711,13700,15550,13600,14350,246125
20180710,13700,13850,13550,13700,30626
20180709,13850,13900,13700,13850,18871
20180706,13800,13850,13650,13800,11591
20180705,13800,13950,13700,13800,13629
20180704,13650,13950,13550,13800,23085
20180703,13700,14000,13500,13550,62870
20180702,13950,14050,13800,13800,20885
20180629,14100,14150,13700,13850,46476
20180628,14300,14300,13950,14200,16841
20180627,14050,14300,13850,14250,33711
20180626,13700,14000,13700,13900,21783
20180625,13600,14050,13600,13800,54607
20180622,14000,14300,13550,13550,57837
20180621,14100,14350,13950,14100,38526
20180620,14050,14350,13900,14200,30707
20180619,14400,14700,14100,14250,30094
20180618,14350,14900,14300,14550,65861
20180615,13900,14500,13900,14500,91025
20180614,13600,14200,13600,13850,456839
20180612,13800,14100,13600,13650,84283
20180611,13850,14100,13600,13800,79873
20180608,13700,13850,13700,13800,32228
20180607,13650,13850,13600,13800,36378
20180605,13750,13800,13550,13600,43443
20180604,13250,13750,13200,13550,63866
20180601,13100,13250,12900,13200,29915
20180531,13100,13250,12950,13050,51096
20180530,13200,13300,12900,13250,67228
20180529,13250,13350,13100,13200,39629
20180528,13150,13350,12950,13200,70669
20180525,13600,13700,12950,13150,129701
20180524,13900,13950,13700,13850,16571
20180523,14100,14100,13750,13800,65490
20180521,14500,14500,14150,14250,16867
