,open,high,low,close,volume
20181109,2240,2240,2155,2175,83496
20181108,2250,2250,2185,2200,46260
20181107,2220,2265,2100,2150,114835
20181106,2220,2220,2170,2195,59684
20181105,2175,2195,2130,2160,47426
20181102,2050,2190,2050,2170,90462
20181101,2000,2135,2000,2075,103353
20181031,1910,2050,1910,2010,105035
20181030,1655,1935,1655,1900,236592
20181029,2105,2135,1765,1765,339699
20181026,2300,2315,2135,2135,276558
20181025,2305,2420,2225,2300,244656
20181024,2490,2525,2400,2400,108338
20181023,2485,2565,2460,2505,107327
20181022,2545,2545,2490,2510,37156
20181019,2505,2570,2480,2545,80346
20181018,2540,2575,2510,2520,41110
20181017,2500,2620,2475,2530,157165
20181016,2435,2490,2435,2440,49039
20181015,2520,2520,2430,2440,116397
20181012,2280,2470,2280,2465,256538
20181011,2435,2570,2400,2400,257850
20181010,2740,2770,2605,2605,230781
20181008,2730,2780,2730,2750,84406
20181005,2835,2875,2745,2765,125398
20181004,2925,2950,2835,2850,138296
20181002,2900,2985,2880,2910,199292
20181001,2890,2940,2890,2915,123891
20180928,2875,2890,2840,2890,103157
20180927,2920,2940,2865,2870,118216
20180921,2835,2935,2835,2920,106783
20180920,2895,2950,2820,2865,233051
20180919,2950,3000,2875,2895,210263
20180918,3020,3035,2960,2965,310918
20180917,3075,3120,3010,3020,267648
20180914,3095,3110,3010,3065,315274
20180913,3000,3120,2980,3120,597935
20180912,3030,3030,2955,2980,279126
20180911,3020,3080,3005,3010,525157
20180910,2965,3050,2945,3045,501072
20180907,3035,3070,2930,2945,635258
20180906,3175,3190,3020,3035,1078253
20180905,3100,3550,3025,3160,8666990
20180904,2835,2885,2835,2855,83821
20180903,2830,2880,2820,2870,122032
20180831,2790,2835,2790,2835,57320
20180830,2790,2820,2790,2810,44239
20180829,2830,2840,2785,2800,38113
20180828,2790,2860,2790,2790,119515
20180827,2810,2825,2765,2810,132437
20180824,2845,2885,2835,2850,100422
20180823,2875,2905,2850,2865,133081
20180822,2865,2890,2810,2880,89750
20180821,2795,2850,2795,2835,80152
20180820,2845,2845,2785,2785,51885
20180817,2740,2820,2740,2790,52768
20180816,2700,2770,2680,2735,76225
20180814,2695,2780,2695,2740,45803
20180813,2800,2825,2690,2700,94339
20180810,2890,2890,2820,2820,62045
20180809,2855,2855,2820,2830,52386
20180808,2815,2870,2815,2845,100178
20180807,2825,2865,2810,2835,60666
20180806,2800,2860,2780,2835,54715
20180803,2775,2830,2775,2795,76594
20180802,2785,2840,2775,2790,48650
20180801,2775,2825,2775,2805,78674
20180731,2810,2815,2750,2770,73714
20180730,2790,2815,2780,2810,43513
20180727,2795,2820,2740,2795,152988
20180726,2700,2800,2700,2775,180709
20180725,2705,2740,2665,2680,85332
20180724,2630,2755,2625,2705,165044
20180723,2685,2735,2640,2640,161704
20180720,2735,2755,2700,2715,131224
20180719,2760,2800,2715,2735,208278
20180718,2895,2920,2785,2785,174815
20180717,2895,2930,2870,2885,94863
20180716,2975,3005,2880,2885,275466
20180713,2985,3030,2945,2980,329902
20180712,3200,3465,2985,2985,3449178
20180711,2815,3050,2780,3030,751918
20180710,2870,2930,2805,2830,251292
20180709,2930,3095,2850,2890,852409
20180706,2830,3110,2800,2875,2248750
20180705,2700,2890,2650,2750,583836
20180704,2685,2765,2685,2710,103961
20180703,2600,2900,2600,2730,473653
20180702,2710,2750,2600,2600,146877
20180629,2715,2780,2670,2755,169117
20180628,2675,2765,2675,2720,81696
20180627,2765,2810,2710,2710,159185
20180626,2815,2870,2750,2760,199392
20180625,2825,2945,2820,2885,104198
20180622,2920,2970,2835,2845,188693
20180621,3005,3115,2890,2905,236186
20180620,2910,3010,2910,2990,198017
20180619,3010,3075,2980,2980,171666
20180618,3080,3255,2995,3025,237474
20180615,3000,3120,3000,3110,227770
20180614,3225,3225,3000,3005,336333
20180612,3390,3410,3200,3240,365277
20180611,3260,3415,3260,3385,274048
20180608,3320,3445,3240,3280,370580
20180607,3320,3390,3305,3320,165174
20180605,3290,3335,3230,3310,192110
20180604,3370,3470,3335,3335,319756
20180601,3505,3630,3310,3345,964134
20180531,3230,3420,3220,3340,465533
20180530,3340,3340,3205,3225,291995
20180529,3525,3530,3290,3305,604672
20180528,3460,3625,3335,3520,1469593
20180525,2985,3240,2920,3190,741766
20180524,3420,3435,3300,3305,277988
20180523,3450,3450,3300,3375,412357
20180521,3500,3515,3410,3455,309013
20180518,3480,3530,3425,3525,280066
20180517,3410,3595,3410,3480,500017
20180516,3545,3620,3400,3460,968040
20180515,3840,3855,3710,3770,812361
20180514,3685,3860,3635,3855,1171814
20180511,3630,3735,3605,3655,697715
20180510,3495,3635,3495,3595,522486
20180509,3505,3565,3260,3470,623461
20180508,3700,3705,3515,3515,858375
20180504,3710,3870,3635,3700,1399106
20180503,4295,4295,3700,3705,3721582
20180502,3790,4290,3680,4230,7660076
20180430,3495,3735,3495,3635,1465016
20180427,3515,3530,3430,3460,429089
20180426,3475,3525,3445,3465,312926
20180425,3490,3560,3390,3470,475772
20180424,3540,3600,3410,3490,659871
20180423,3730,3840,3455,3520,1919207
20180420,3820,3820,3630,3655,1251185
20180419,3680,3960,3600,3705,4700057
20180418,3440,3660,3360,3630,2806015
20180417,3415,3460,3355,3420,510509
20180416,3300,3440,3300,3410,700243
20180413,3300,3425,3295,3320,633029
20180412,3210,3365,3205,3320,892322
20180411,3235,3305,3200,3200,308692
20180410,3170,3260,3170,3220,318482
20180409,3305,3335,3150,3200,507051
20180406,3350,3500,3305,3305,475084
20180405,3420,3470,3325,3390,577933
20180404,3325,3470,3305,3385,1155280
20180403,3260,3420,3150,3325,864241
20180402,3440,3485,3295,3320,657714
20180330,3420,3525,3410,3435,773309
20180329,3600,3610,3380,3410,1204927
20180328,3475,3840,3455,3580,5852323
20180327,3565,3575,3450,3530,915735
20180326,3545,3600,3425,3520,1176588
20180323,3300,3570,3250,3440,1358526
20180322,3410,3660,3345,3385,2961156
20180321,3315,3445,3240,3445,1464465
20180320,3340,3340,3175,3290,947503
20180319,3435,3660,3310,3325,5593187
20180316,3275,3380,3240,3305,1802871
20180315,3320,3320,3185,3280,1397053
20180314,3390,3575,3235,3290,3097811
20180313,3595,3620,3405,3455,2508861
20180312,3500,3675,3430,3675,6407169
20180309,3080,3780,3030,3470,19314893
20180308,2695,2910,2690,2910,302488
20180307,2775,2800,2695,2695,119046
20180306,2755,2790,2735,2785,75435
20180305,2805,2820,2750,2760,74384
20180302,2735,2795,2735,2775,86961
20180228,2820,2835,2770,2800,59293
20180227,2850,2870,2805,2820,63577
20180226,2865,2910,2845,2845,163023
20180223,2800,2925,2795,2865,155035
20180222,2885,2890,2800,2815,173219
20180221,2775,2935,2775,2845,555795
20180220,2705,2830,2690,2810,316612
20180219,2660,2695,2625,2680,101278
20180214,2660,2700,2635,2640,69014
20180213,2680,2720,2650,2650,144881
20180212,2665,2710,2665,2680,88911
20180209,2630,2715,2630,2665,172823
20180208,2710,2760,2705,2730,105095
20180207,2760,2820,2710,2710,242824
20180206,2700,2725,2620,2710,358309
20180205,2845,2845,2775,2790,267728
20180202,2970,2970,2870,2900,272008
20180201,2800,2955,2800,2950,699077
20180131,2830,2830,2780,2805,190513
20180130,2860,2860,2805,2825,132027
20180129,2860,2860,2815,2845,209765
20180126,2840,2850,2805,2835,222463
20180125,2785,2815,2785,2810,195334
20180124,2710,2805,2705,2790,312107
20180123,2725,2750,2700,2700,213750
20180122,2740,2745,2705,2725,107803
20180119,2715,2765,2700,2740,179685
20180118,2680,2710,2675,2705,104702
20180117,2645,2710,2645,2685,171002
20180116,2690,2715,2625,2665,218377
20180115,2770,2785,2685,2690,194375
20180112,2720,2840,2720,2780,279648
20180111,2740,2745,2700,2730,149585
20180110,2680,2750,2665,2745,179316
20180109,2635,2700,2610,2665,171112
20180108,2705,2720,2630,2650,233452
20180105,2710,2735,2690,2710,120995
20180104,2760,2760,2700,2705,147172
20180103,2720,2755,2710,2735,153755
20180102,2675,2730,2670,2720,145462
20171228,2650,2720,2620,2690,149505
20171227,2605,2690,2590,2620,444958
20171226,2745,2770,2720,2720,137400
20171222,2695,2750,2695,2750,112496
20171221,2735,2785,2705,2710,170122
20171220,2775,2795,2700,2770,199185
20171219,2880,2880,2760,2795,352593
20171218,2990,3015,2900,2900,332781
20171215,2950,3035,2945,2985,399615
20171214,2975,2995,2945,2945,199620
20171213,2980,3010,2955,2975,317869
20171212,3100,3100,2935,3015,721116
20171211,2970,3165,2965,3105,2035368
20171208,2820,3095,2820,2970,881457
20171207,2930,2930,2800,2815,340573
20171206,3130,3140,2890,2905,1099652
20171205,2815,3100,2815,3050,2457362
20171204,2720,2880,2720,2855,639979
20171201,2715,2760,2700,2730,151212
20171130,2725,2760,2710,2710,124674
20171129,2765,2775,2710,2740,185608
20171128,2755,2795,2755,2765,165980
20171127,2795,2810,2760,2770,123579
20171124,2780,2810,2760,2785,158941
20171123,2740,2795,2720,2775,147296
20171122,2810,2815,2735,2735,434629
20171121,2850,2870,2790,2795,283230
20171120,2835,2875,2820,2850,242061
20171117,2830,2875,2800,2850,228681
20171116,2800,2835,2800,2830,128762
20171115,2890,2910,2815,2815,329715
20171114,2930,2945,2880,2900,215205
20171113,2950,2960,2920,2930,146272
20171110,2960,2990,2930,2940,133652
20171109,2840,2965,2840,2960,450310
20171108,2860,2875,2835,2840,181524
20171107,2890,2910,2850,2860,239130
20171106,2945,2965,2895,2900,215294
20171103,2925,2990,2925,2945,324005
20171102,2900,2990,2890,2920,421982
20171101,2885,2925,2865,2885,219682
20171031,2925,2930,2860,2880,269977
20171030,2970,2995,2925,2925,304119
20171027,2985,2985,2915,2960,207890
20171026,2975,3030,2940,2940,207636
20171025,3080,3085,2970,2975,306210
20171024,3080,3125,3035,3045,217464
20171023,3030,3100,3030,3100,263313
20171020,3090,3130,3025,3030,332707
20171019,3150,3235,3090,3090,653620
20171018,3080,3250,3010,3150,1581136
20171017,3100,3200,3055,3060,967500
20171016,3030,3105,2990,3050,416050
20171013,3005,3090,2970,3015,814043
20171012,2845,3125,2845,2970,1636954
20171011,2800,2850,2800,2840,124869
20171010,2845,2880,2800,2800,164822
20170929,2845,2880,2830,2835,160328
20170928,2840,2880,2820,2840,184145
20170927,2835,2895,2810,2830,250357
20170926,2710,2950,2670,2865,556991
20170925,2740,2850,2740,2770,377099
20170922,2830,2910,2755,2755,468325
20170921,2970,3020,2845,2850,557819
20170920,3185,3210,2960,2970,877157
20170919,3180,3215,3100,3185,454458
20170918,3375,3430,3180,3180,959818
20170915,3360,3470,3355,3375,500572
20170914,3450,3450,3365,3375,343787
20170913,3495,3570,3400,3405,611011
20170912,3410,3560,3405,3510,965633
20170911,3345,3470,3345,3395,470933
20170908,3470,3510,3335,3345,649431
20170907,3430,3530,3350,3480,848588
20170906,3500,3530,3395,3415,687475
20170905,3750,3780,3460,3495,1239441
20170904,3670,3840,3645,3700,907913
20170901,3760,3860,3725,3855,1412097
20170831,3695,3810,3695,3720,1529601
20170830,3790,3795,3665,3695,1017747
20170829,3750,3815,3650,3750,1695534
20170828,4025,4105,3750,3815,2716933
20170825,3965,4065,3930,4005,2507630
20170824,3935,4090,3880,3950,3940294
20170823,3945,4040,3875,3935,4172836
20170822,3600,4135,3590,3940,17679101
20170821,3550,3670,3530,3560,1232422
20170818,3495,3660,3495,3550,1721735
20170817,3495,3740,3475,3560,4645408
20170816,3390,3525,3350,3475,1055134
20170814,3485,3560,3330,3330,748251
20170811,3275,3480,3255,3445,1355245
20170810,3505,3595,3350,3350,1400963
20170809,3615,3675,3510,3550,1576343
20170808,3640,3690,3490,3655,3060520
20170807,3380,3650,3290,3650,6055946
20170804,3250,3660,3245,3350,8354873
20170803,3300,3335,3145,3245,1583101
20170802,3370,3515,3355,3370,2151481
20170801,3360,3445,3285,3410,2216226
20170731,3510,3570,3265,3300,2453440
20170728,3560,3815,3480,3545,9327668
20170727,3460,3700,3375,3510,7282287
20170726,3010,3750,3010,3430,19765787
20170725,3090,3145,3015,3050,908024
20170724,2925,3135,2905,3060,1785105
20170721,2865,3140,2840,2905,3521258
20170720,2910,2940,2840,2845,672464
20170719,2755,3185,2755,2890,5600177
20170718,2735,2820,2715,2760,259360
20170717,2785,2790,2705,2745,430487
20170714,2870,2875,2745,2785,444621
20170713,2890,2950,2850,2865,423717
20170712,2865,2945,2840,2850,374168
20170711,2865,2950,2840,2865,372478
20170710,3020,3050,2855,2865,771254
20170707,3040,3105,3015,3015,465643
20170706,3020,3105,2965,3050,830903
20170705,3040,3045,2950,2995,703767
20170704,3145,3270,3005,3010,1609988
20170703,3110,3280,3105,3160,1099261
20170630,3275,3350,3170,3170,2173856
20170629,3245,3280,3150,3260,1508861
20170628,3150,3530,3130,3210,6978025
20170627,3370,3495,3205,3205,2470263
20170626,3225,3330,3100,3330,3685442
20170623,2825,3570,2825,3225,22222309
20170622,2810,2875,2800,2810,189954
20170621,2860,2895,2800,2815,202969
20170620,2975,2980,2860,2880,374806
20170619,3060,3080,2970,2970,288505
20170616,3040,3065,3020,3050,176262
20170615,3090,3130,3020,3040,212245
20170614,3125,3160,3085,3085,207619
20170613,3045,3185,3020,3125,420016
20170612,3130,3180,3040,3040,347346
20170609,3085,3125,3065,3110,235850
20170608,3110,3125,3055,3105,197416
20170607,3155,3180,3080,3080,298104
20170605,3225,3300,3150,3175,461955
20170602,3175,3300,3170,3215,512317
20170601,3240,3240,3165,3180,254825
20170531,3215,3225,3120,3220,327298
20170530,3045,3230,3045,3190,843739
20170529,3160,3210,3050,3075,359386
20170526,3170,3220,3125,3170,320037
20170525,3190,3260,3140,3170,443633
20170524,3205,3235,3150,3170,302560
20170523,3150,3340,3115,3200,822416
20170522,3180,3180,3080,3145,544384
20170519,3005,3190,2985,3155,1490894
20170518,2950,3040,2905,3000,536941
20170517,2900,2990,2860,2970,554347
20170516,2990,3010,2840,2900,773490
20170515,2955,2995,2940,2980,451103
20170512,3025,3100,2970,2980,818339
20170511,3175,3230,2930,3025,1692698
20170510,3770,3790,3070,3165,2860635
20170508,3900,3960,3600,3755,1734237
20170504,3515,3915,3515,3730,3375341
20170502,4000,4095,3485,3515,1839460
20170428,4350,4470,4000,4050,1518215
20170427,4090,4770,3905,4360,6476654
20170426,4295,4330,4040,4085,1035062
20170425,4170,4295,4170,4290,749180
20170424,4630,4740,4175,4180,1551829
20170421,4940,4950,4590,4610,934765
20170420,4990,4990,4875,4880,564946
20170419,5050,5100,4920,4995,760244
20170418,5230,5230,4910,4990,969473
20170417,5200,5320,5030,5150,1215445
20170414,5000,5340,4920,4975,2478110
20170413,4970,5060,4690,4850,691995
20170412,4960,5130,4830,4980,1195462
20170411,5170,5310,4655,4965,1430758
20170410,4925,5200,4910,5110,1322214
20170407,5400,5660,5250,5400,1734886
20170406,5390,5620,4900,5290,2035382
20170405,5170,5680,5170,5560,2399013
20170404,6870,6940,5030,5130,4317650
20170403,7280,7460,6850,6990,1933527
20170331,7430,7730,7320,7340,1807929
20170330,7970,8060,7500,7570,2235107
20170329,7520,7970,7500,7940,2953630
20170328,8500,8670,7250,7520,5947002
20170327,7330,8400,7220,8050,9323647
20170324,6920,7490,6920,7200,5023575
20170323,6850,7040,6650,6870,1744785
20170322,6730,6940,6680,6800,2364792
20170321,6450,6770,6380,6610,1455353
20170320,6330,6840,6100,6500,2723789
20170317,6560,6650,6360,6400,709836
20170316,6610,6730,6530,6580,1376645
20170315,6500,6840,6140,6500,3186772
20170314,6800,6960,6520,6570,2222820
20170313,6630,7290,6610,6750,3400981
20170310,7600,8880,5430,6790,19198753
20170309,6930,7830,6670,7530,16395570
20170308,6230,6520,6220,6380,4167965
20170307,6350,6430,6110,6330,3250591
20170306,5210,6620,5200,6400,8685849
20170303,5540,5540,5110,5270,841670
20170302,5520,5650,5430,5530,530284
20170228,5690,5710,5450,5480,575305
20170227,5780,5820,5620,5670,699558
20170224,5850,5950,5790,5880,522295
20170223,5910,6010,5790,5840,657471
20170222,5900,5960,5760,5830,524626
20170221,6050,6150,5790,5950,581594
20170220,6170,6170,5940,5970,730472
20170217,6180,6450,6120,6190,2073946
20170216,5950,6180,5950,6000,1197147
20170215,6120,6170,5920,5990,970810
20170214,6040,6400,6010,6120,2498228
20170213,5890,6120,5760,5940,1506700
20170210,6340,6340,5750,5890,2067627
20170209,6630,6640,6180,6220,1225728
20170208,6740,6820,6480,6520,785073
20170207,6710,7080,6560,6770,2162332
20170206,6720,6910,6580,6730,850979
20170203,6700,7290,6410,6720,3190461
