,open,high,low,close,volume
20181109,20600,21350,20600,20700,10936
20181108,20400,21400,20400,20950,21257
20181107,20600,21250,20200,20350,10814
20181106,20100,20800,20000,20700,21819
20181105,20950,21000,19900,20100,22733
20181102,20600,21400,20600,20950,16040
20181101,21350,21650,20850,20850,9198
20181031,21750,22200,21350,21600,24685
20181030,21200,22450,21200,21950,13110
20181029,21800,22500,21600,21650,14534
20181026,21400,22300,21400,22300,14102
20181025,21800,22300,21200,21550,22586
20181024,21000,22050,20900,21850,16464
20181023,20950,21050,20250,20950,18682
20181022,21400,21500,20950,21000,12537
20181019,22200,22200,21350,21400,15432
20181018,22550,22550,21800,21900,11843
20181017,22950,22950,22450,22450,13870
20181016,23400,23450,22550,22550,13955
20181015,23550,23550,23000,23050,8787
20181012,24150,24400,23500,23550,12478
20181011,25000,25200,24150,24150,14834
20181010,25100,25550,24800,25300,5227
20181008,25100,25550,24850,25450,3965
20181005,25750,25750,24600,25100,10182
20181004,25550,25800,25100,25550,8222
20181002,25500,25800,25000,25350,5775
20181001,26450,26650,25700,25700,7052
20180928,26450,26600,25900,26450,9950
20180927,26350,26400,25900,26400,8790
20180921,25600,26350,25000,26350,14942
20180920,25150,25300,24800,24850,12016
20180919,25300,25800,25200,25350,6444
20180918,25250,25750,25200,25700,6144
20180917,25550,25900,25200,25400,7013
20180914,25550,26000,25550,25750,7744
20180913,25100,25750,24650,25450,120509
20180912,25650,25950,24350,24900,50661
20180911,25700,25950,25600,25650,4585
20180910,25400,25850,25400,25700,4923
20180907,25750,25750,25400,25650,7486
20180906,25250,26000,25250,25400,6041
20180905,25350,25900,25300,25450,7243
20180904,25700,25800,25350,25500,10093
20180903,26050,26100,25700,25700,9794
20180831,26700,26850,26050,26050,26283
20180830,26750,27450,26450,26450,16443
20180829,26850,27400,26600,27050,10831
20180828,26600,26950,26600,26600,5802
20180827,26600,27000,26400,26800,5457
20180824,26550,26650,26100,26400,10772
20180823,26700,27200,26500,26600,7799
20180822,27000,27100,26700,26700,11994
20180821,27650,28000,27050,27050,16434
20180820,28100,28550,27800,28050,5265
20180817,27400,28200,27200,28050,7759
20180816,28050,28050,27050,27600,8460
20180814,27850,28100,27050,27850,6491
20180813,27500,27900,27350,27400,8892
20180810,27350,27900,27350,27500,5447
20180809,27450,27750,27250,27500,5481
20180808,27600,27950,27350,27350,5042
20180807,27700,28050,27400,28000,5320
20180806,27650,28150,27300,28000,7058
20180803,27650,28050,27350,27850,5681
20180802,28400,28700,27650,27650,6447
20180801,27950,28700,27700,28650,10871
20180731,26400,28300,26400,27950,28205
20180730,26750,27000,26500,26800,5325
20180727,27250,27250,26650,26850,5361
20180726,27100,27200,26900,27000,7772
20180725,26900,27150,26300,26950,7707
20180724,26500,26900,26250,26700,4901
20180723,26250,26500,25850,26400,8256
20180720,25900,26250,25550,26100,9691
20180719,25850,26150,25550,25900,8116
20180718,26100,26350,25950,25950,4067
20180717,25950,26450,25850,26300,6408
20180716,26150,26350,25900,26150,6944
20180713,26000,26400,25850,26350,7580
20180712,26100,26200,25550,25950,10644
20180711,26700,26800,25700,25750,31791
20180710,27250,27500,26900,26900,15558
20180709,28100,28100,27200,27350,18135
20180706,27750,28700,27750,28300,6055
20180705,27650,28200,27650,27900,7004
20180704,27850,28350,27550,27850,4446
20180703,28400,28600,27950,27950,11048
20180702,28900,28900,28050,28400,15421
20180629,28500,29350,28350,29150,16380
20180628,28900,28950,28300,28550,8122
20180627,28750,28850,28400,28550,7591
20180626,29250,29350,28550,29050,9121
20180625,28500,29150,28500,29050,5792
20180622,28500,28950,28350,28750,6437
20180621,29200,29200,28700,28750,9682
20180620,29150,29800,29150,29450,8626
20180619,29000,29800,28900,29500,16016
20180618,29650,30200,29150,29300,12908
20180615,29800,30300,29500,30050,29819
20180614,29750,30300,29400,30300,36875
20180612,29850,30000,29350,29750,10866
20180611,29000,30350,29000,29650,25411
20180608,29350,29550,28850,29000,9769
20180607,28600,29500,28550,29400,14488
20180605,29150,29450,28500,28550,14481
20180604,29000,29500,28950,29250,9112
20180601,29750,29750,28800,28800,17014
20180531,28600,30000,28350,30000,23647
20180530,28400,29150,28200,28900,14202
20180529,29650,29650,28500,28550,11275
20180528,28600,29400,28550,29300,20136
20180525,28600,28650,28100,28100,15131
20180524,29000,29000,28400,28900,9798
20180523,29050,29150,28500,28750,21476
20180521,29850,29850,29150,29450,8466
20180518,30000,30250,29350,29900,11002
