,open,high,low,close,volume
20181109,2005,2015,1950,1980,42362
20181108,1975,2015,1960,2000,117355
20181107,1975,2020,1955,1960,196641
20181106,1980,2020,1960,1975,169142
20181105,2000,2040,1955,1990,95736
20181102,2000,2040,1985,2020,151146
20181101,2060,2060,1980,1985,203122
20181031,2090,2095,2030,2065,53618
20181030,2000,2095,1915,2095,96035
20181029,2200,2200,1900,2085,160665
20181026,2120,2165,2040,2040,121890
20181025,2130,2150,2010,2150,126178
20181024,2160,2240,2095,2140,130732
20181023,2205,2240,2145,2145,119997
20181022,2240,2295,2210,2210,129178
20181019,2265,2280,2170,2260,300646
20181018,2205,2270,2125,2265,390204
20181017,2165,2240,2135,2215,738841
20181016,2000,2265,1805,2205,5150985
20181015,3110,3110,2110,2110,3040111
20181012,2895,3020,2895,2985,114893
20181011,2930,3020,2865,2950,182268
20181010,2930,3100,2930,3000,213476
20181008,3030,3030,2940,2965,83356
20181005,3030,3030,2930,2960,101287
20181004,2900,3040,2880,2960,246076
20181002,2930,2945,2875,2910,99232
20181001,2885,3000,2885,2925,119457
20180928,2975,3000,2900,2965,172105
20180927,3005,3005,2910,2975,150061
20180921,2890,2950,2860,2925,92616
20180920,2950,2965,2840,2865,584598
20180919,3045,3070,2980,2995,240798
20180918,3095,3100,3040,3045,131442
20180917,3065,3145,3035,3055,160040
20180914,3135,3135,3040,3065,157550
20180913,3175,3175,3070,3095,140129
20180912,3180,3180,3080,3105,132183
20180911,3115,3150,3080,3145,87066
20180910,3185,3185,3070,3120,122582
20180907,3115,3155,3075,3125,77472
20180906,3220,3220,3100,3115,232759
20180905,3295,3295,3145,3220,330239
20180904,3200,3250,3175,3245,255190
20180903,3205,3345,3065,3165,587480
20180831,3130,3250,3090,3200,304773
20180830,3080,3110,3055,3085,197702
20180829,3165,3165,3050,3080,107089
20180828,3150,3150,3015,3105,239400
20180827,3085,3140,3075,3105,155770
20180824,3005,3300,3005,3130,442012
20180823,3150,3150,3000,3015,363184
20180822,3125,3375,3065,3200,522931
20180821,3010,3105,3010,3075,228652
20180820,3050,3090,2995,3000,119654
20180817,3040,3130,3010,3050,186015
20180816,2945,3100,2905,2980,309592
20180814,2935,2940,2860,2905,210654
20180813,2865,2950,2825,2860,204640
20180810,2900,2900,2840,2865,156586
20180809,2870,2910,2850,2855,94394
20180808,2930,2950,2830,2870,356965
20180807,2960,2970,2840,2905,218018
20180806,2960,2990,2940,2960,49990
20180803,2930,2970,2920,2960,142477
20180802,2935,3015,2915,2930,214609
20180801,2945,2990,2920,2935,185255
20180731,2960,2985,2925,2960,141586
20180730,3000,3020,2940,2960,179182
20180727,3030,3080,2965,3000,405757
20180726,3180,3260,3020,3020,1015137
20180725,3255,3330,3205,3225,181229
20180724,3275,3350,3175,3250,379215
20180723,3290,3390,3165,3275,360353
20180720,3285,3430,3215,3290,726092
20180719,3385,3445,3230,3295,1165182
20180718,2865,3530,2865,3320,1986844
20180717,2895,2895,2780,2805,245268
20180716,2980,3020,2890,2890,229319
20180713,2950,3050,2945,2955,171151
20180712,2955,3120,2905,2975,227296
20180711,3055,3085,2965,3000,393589
20180710,3100,3160,3080,3110,70867
20180709,3065,3170,3065,3100,124699
20180706,3265,3265,3055,3130,265004
20180705,3135,3195,3000,3025,123130
20180704,3005,3105,3005,3065,54883
20180703,3060,3200,2800,2990,357229
20180702,3100,3200,3035,3060,222034
20180629,3220,3220,3040,3160,223725
20180628,3210,3240,3105,3130,149540
20180627,3175,3315,3155,3165,213963
20180626,3450,3460,3170,3215,407640
20180625,3340,3455,3255,3450,196367
20180622,3395,3525,3250,3340,319190
20180621,3145,3390,3145,3345,321192
20180620,3020,3330,2960,3160,317971
20180619,3305,3430,3030,3060,948648
20180618,3705,3870,3340,3365,1008772
20180615,3645,3710,3540,3700,444773
20180614,3550,3760,3500,3600,903191
20180612,3310,3645,3310,3540,1363317
20180611,3105,3320,3105,3290,624739
20180608,3080,3170,3020,3105,299253
20180607,2985,3155,2940,3080,658962
20180605,2950,2995,2900,2925,90921
20180604,2940,2950,2875,2950,108998
20180601,2925,2950,2870,2940,111095
20180531,2865,2950,2860,2910,148502
20180530,2935,2935,2825,2910,147727
20180529,2930,3090,2845,2845,265025
20180528,2870,2960,2850,2930,187230
20180525,2840,2940,2820,2840,163270
20180524,3010,3045,2850,2945,189481
20180523,2990,3055,2980,2990,183199
20180521,3020,3075,3005,3035,138327
20180518,2985,3075,2985,2995,100860
20180517,3030,3070,2980,2990,166853
20180516,2915,3160,2915,3030,290857
20180515,3280,3320,3130,3155,322754
20180514,3070,3280,3050,3280,443261
20180511,3100,3295,3040,3140,857884
20180510,3085,3180,2995,3060,416465
20180509,3025,3075,2895,3075,523546
20180508,2750,3050,2705,3020,1353291
20180504,2700,2700,2610,2635,218802
20180503,2695,2695,2610,2670,186306
20180502,2695,2710,2605,2650,432575
20180430,2815,2840,2775,2790,202863
20180427,2900,2900,2815,2815,191278
20180426,2805,2890,2805,2840,269478
20180425,2920,2920,2805,2805,465915
20180424,2850,2930,2850,2930,580973
20180423,2805,2900,2800,2850,548403
20180420,2905,2905,2815,2905,324466
20180419,2945,3000,2830,2905,507508
20180418,3065,3070,2915,2945,576462
20180417,2995,3075,2925,3000,875723
20180416,2880,2920,2800,2920,371359
20180413,2715,2865,2635,2825,565167
20180412,2750,2775,2630,2680,215227
20180411,2720,2775,2655,2745,308977
20180410,2740,2795,2595,2690,518180
20180409,2690,2810,2690,2740,971281
20180406,2715,2740,2555,2700,595183
20180405,2785,2830,2695,2710,396570
20180404,2940,2940,2710,2765,384636
20180403,2895,2935,2865,2910,277334
20180402,2890,3060,2790,2960,742634
20180330,2840,2880,2680,2800,308269
20180329,2900,2930,2800,2835,411740
20180328,2895,2930,2835,2850,202607
20180327,2960,2960,2805,2935,473021
20180326,2700,2965,2675,2890,822942
20180323,2790,2990,2740,2790,1059515
20180322,3070,3125,2785,2845,2834255
20180321,3095,3160,3030,3130,1056397
20180320,3080,3120,2985,3090,1600337
20180319,3400,3400,3105,3150,1699772
20180316,3490,3490,3270,3355,1202733
20180315,3415,3620,3395,3420,1064261
20180314,3570,3570,3430,3450,935134
20180313,3630,3725,3355,3580,3611885
20180312,3600,3800,3500,3610,1927124
20180309,3670,3965,3465,3600,5399675
20180308,2950,3775,2910,3570,12845813
20180307,2700,3050,2665,2950,4868383
20180306,2660,2855,2610,2730,2156057
