,open,high,low,close,volume
20181109,10650,10650,10300,10600,9267
20181108,10600,11000,10400,10650,10596
20181107,10950,11250,10050,10350,17907
20181106,11150,11150,10600,10750,7271
20181105,10900,11050,10650,11000,5525
20181102,10450,11350,10450,10900,13151
20181101,10650,10700,10000,10500,12190
20181031,10100,10500,9900,10300,12918
20181030,9130,10200,9130,10000,18220
20181029,10350,10600,9600,9600,20630
20181026,10900,11100,10450,10600,10720
20181025,10600,11250,10600,11000,17248
20181024,11950,12000,10800,11100,23225
20181023,12100,12100,11600,11650,14100
20181022,12550,12550,11900,11950,21841
20181019,12500,12600,12200,12550,9316
20181018,12700,13200,12500,12700,12048
20181017,12550,13200,12500,12700,17693
20181016,12250,12900,12100,12450,14982
20181015,12200,13400,11800,12300,55606
20181012,12450,12600,11850,12050,28045
20181011,11450,12550,11450,12300,26966
20181010,13500,13700,12600,12850,37543
20181008,14000,14300,13750,13750,11051
20181005,14900,14900,14000,14250,11147
20181004,14750,15000,14400,14600,9082
20181002,14900,15200,14500,14500,20608
20181001,14800,15350,14600,14900,13737
20180928,15150,15150,14350,14800,24186
20180927,15250,15700,15100,15150,16974
20180921,14750,15550,14550,15050,32676
20180920,14700,15150,14250,14750,32556
20180919,15500,15700,14000,14400,53065
20180918,16400,16400,15400,15500,58688
20180917,16500,17000,16000,16400,28346
20180914,16300,16300,15700,16200,51100
20180913,17000,17200,16400,16450,39690
20180912,17200,17200,16500,17200,70536
20180911,16650,17300,15900,17300,154927
20180910,14900,17100,14450,16800,233032
20180907,14050,15200,13800,14900,154768
20180906,13600,14150,13400,13800,39866
20180905,13650,13800,13450,13650,14075
20180904,13350,13800,13300,13550,21237
20180903,13700,13750,13350,13400,18015
20180831,14000,14000,13350,13500,27068
20180830,13350,14350,13350,13950,43440
20180829,13400,13600,13200,13450,15537
20180828,13850,13850,13200,13500,24692
20180827,13850,14250,13200,13700,52932
20180824,14800,14950,14500,14750,13669
20180823,15100,15250,14450,14750,34580
20180822,15100,15150,14500,15100,24111
20180821,15300,15500,14900,15100,30930
20180820,15350,15650,15150,15250,20109
20180817,15200,15600,14850,15350,42562
20180816,14900,15300,13800,15300,63708
20180814,14000,14650,13600,14450,24932
20180813,15200,15350,14150,14150,65687
20180810,14600,15500,14400,14950,62652
20180809,14350,14550,14150,14300,12573
20180808,14450,14900,14200,14650,21829
20180807,14500,14550,13800,14550,20764
20180806,14400,14500,14100,14200,10731
20180803,14200,14750,14200,14400,16000
20180802,14300,14300,13750,14050,17116
20180801,13950,14800,13500,14300,28283
20180731,15150,15250,13650,14000,55370
20180730,14900,15350,14500,15100,37632
20180727,14750,15050,14200,14900,57702
20180726,13400,14900,13350,14650,77277
20180725,13450,14250,13050,13400,45592
20180724,12650,14150,12400,13350,91829
20180723,13150,13250,12250,12300,34205
20180720,13250,13550,13000,13150,18708
20180719,13200,13350,12800,13200,31958
20180718,14100,14100,12900,13350,66114
20180717,14150,14350,13700,14050,34757
20180716,15500,15500,13850,14100,66932
20180713,14650,15350,14400,15150,57368
20180712,14700,15550,14400,14650,96842
20180711,13700,14800,13200,14750,81267
20180710,13100,13850,13050,13700,37919
20180709,14350,14350,12800,13000,87924
20180706,14500,15000,13700,14900,81751
20180705,14900,15100,14100,14450,39307
20180704,15250,16050,14600,15000,54509
20180703,15450,15500,14200,15400,62748
20180702,16450,16600,14900,15000,76062
20180629,16200,16900,15650,16600,67025
20180628,16350,17150,15700,16000,51459
20180627,18100,18150,15800,16500,115305
20180626,17800,19250,17750,17900,99919
20180625,19600,19600,18100,18300,89934
20180622,20700,21200,18150,19550,159796
20180621,23550,23750,20500,20700,113420
20180620,22100,23450,20700,22650,223481
20180619,28000,31450,22050,22600,710489
20180618,24500,25600,23600,25600,82379
20180615,23800,25050,23000,24250,151276
20180614,24600,25950,22500,23800,158122
20180612,29100,30750,25700,25700,160344
20180611,29900,29950,27600,28550,137303
20180608,27900,32650,25600,28500,492363
20180607,30300,30300,26650,27900,218020
20180605,33000,35900,28400,30350,771114
20180604,22400,27950,22400,27950,125215
20180601,20000,23800,18700,21500,153185
20180531,20450,22000,19500,19800,74802
20180530,21200,21700,20100,20550,105759
20180529,19800,24300,19150,21000,337358
20180528,18100,20500,17600,20450,237342
20180525,14800,16400,14600,15800,90480
20180524,18150,18650,17100,17700,77851
20180523,17300,18600,16650,18200,123369
20180521,18800,18800,17500,18000,77961
20180518,17550,19500,17550,18400,324968
20180517,15700,18150,15700,17500,104988
20180516,15000,16550,15000,15000,102232
20180515,17000,17550,16750,17550,84344
20180514,16550,17800,15900,17400,319140
20180511,20000,20000,15950,16800,983537
20180510,12800,16400,12700,16400,481669
20180509,12400,13600,12300,12650,156480
20180508,12800,12800,12050,12250,57195
20180504,13550,13800,12550,12900,203662
20180503,12300,12450,11950,12250,42238
20180502,12250,12850,12100,12200,104185
20180430,11600,12350,11250,12200,106353
20180427,11900,12150,11400,11600,32410
20180426,12100,12200,11800,11900,32601
20180425,11750,12250,11600,11850,59439
20180424,11900,12350,11450,11900,90379
20180423,11500,12000,11300,11700,55283
20180420,11900,12800,11450,11500,172110
20180419,11000,11450,10800,11150,42260
20180418,11150,11150,10800,11000,14043
20180417,11150,11150,10700,11000,9087
20180416,10700,11000,10700,10950,15143
20180413,10750,10800,10500,10650,11345
20180412,10800,11000,10450,10600,19741
20180411,10600,11050,10600,10650,6448
20180410,10950,11050,10550,10800,14952
20180409,11500,11500,10950,11050,11539
20180406,11000,11200,10900,11100,8561
20180405,10800,11600,10700,11100,29875
20180404,11050,11250,10700,10800,10561
20180403,10900,11150,10900,11050,14542
20180402,10800,11150,10650,11050,16239
20180330,10900,11150,10650,10900,11621
20180329,10950,11050,10700,10900,11466
20180328,10900,11850,10750,11000,96175
20180327,10500,10950,10500,10800,13176
20180326,10500,10800,10100,10550,12059
20180323,10450,10600,10250,10550,30771
20180322,11050,11050,10400,10500,25969
20180321,10800,11200,10750,10950,18764
20180320,10550,11000,10550,10750,20904
20180319,10800,10800,10450,10550,16295
20180316,10500,10700,10450,10650,5996
20180315,10650,10750,10500,10600,6147
20180314,10500,10650,10450,10600,16803
20180313,10550,10700,10500,10600,6741
20180312,10700,10800,10450,10600,9995
20180309,10250,10850,10250,10500,55088
20180308,11000,11100,10600,10600,18831
20180307,11000,11250,10750,11100,29880
20180306,11200,11250,10600,11150,26250
20180305,11050,11050,10550,10750,16516
20180302,11400,11550,10750,10900,28741
20180228,10900,11600,10650,11250,64833
20180227,10700,11150,10550,10950,25537
20180226,10450,10750,10450,10600,13867
20180223,10900,10900,10450,10450,19756
20180222,11150,11200,10700,10900,33901
20180221,10950,11900,10950,11250,71210
20180220,10500,11000,10450,10950,40802
20180219,10700,10750,10400,10500,25813
20180214,10500,10800,10300,10550,32408
20180213,10500,10600,10400,10600,27065
20180212,10500,10700,10300,10400,46798
20180209,10150,10700,10150,10400,63464
20180208,11200,11700,10400,10450,307209
20180207,10800,11050,10350,11000,188859
20180206,9850,12150,9770,10800,631975
20180205,9870,10200,9810,9950,37232
20180202,9900,10200,9860,9900,21968
20180201,9890,10350,9890,9960,39736
20180131,9690,10200,9610,9950,94186
20180130,9750,9820,9560,9610,9966
20180129,9730,9820,9640,9750,8061
20180126,9650,9790,9560,9730,12585
20180125,9600,9680,9530,9590,15993
20180124,9330,9660,9330,9590,34618
20180123,9370,9400,9220,9350,5660
20180122,9100,9390,9100,9310,8287
20180119,9120,9200,9070,9190,13496
20180118,9240,9330,9110,9160,6504
20180117,9220,9250,9100,9110,20633
20180116,9350,9350,9200,9240,6098
20180115,9380,9390,9200,9260,17334
20180112,9250,9350,9200,9330,9308
20180111,9440,9440,9250,9290,8716
