,open,high,low,close,volume
20181109,4305,4305,4170,4230,34878
20181108,4250,4315,4180,4275,71503
20181107,4345,4400,4120,4155,145075
20181106,4290,4370,4235,4315,101049
20181105,4200,4280,4110,4245,133427
20181102,4055,4195,4055,4185,129681
20181101,4140,4250,4065,4070,379019
20181031,3795,4195,3765,4195,283006
20181030,3410,3835,3410,3760,211662
20181029,3900,4035,3670,3670,240026
20181026,4140,4180,3880,3970,206818
20181025,4200,4230,4080,4115,154301
20181024,4350,4425,4220,4340,131683
20181023,4560,4625,4200,4305,155897
20181022,4475,4640,4460,4600,145826
20181019,4365,4990,4320,4475,490761
20181018,4460,4570,4415,4430,91993
20181017,4490,4560,4410,4455,140326
20181016,4300,4490,4300,4465,108021
20181015,4400,4430,4310,4355,88713
20181012,4010,4430,4010,4410,177979
20181011,4410,4600,4260,4260,271714
20181010,4855,4955,4700,4700,143828
20181008,4915,5100,4905,4940,77500
20181005,5120,5190,4970,4995,145199
20181004,5250,5330,5100,5170,194776
20181002,5620,5690,5250,5290,259852
20181001,5650,5690,5480,5590,290811
20180928,5790,6040,5600,5650,1202711
20180927,5400,5700,5370,5700,596620
20180921,5610,5610,5390,5450,186970
20180920,5390,5640,5350,5510,525269
20180919,5430,5750,5290,5390,986288
20180918,5300,5400,5270,5400,102796
20180917,5480,5480,5300,5300,128973
20180914,5430,5450,5340,5430,128572
20180913,5410,5470,5350,5390,121964
20180912,5450,5550,5350,5370,231254
20180911,5280,5390,5260,5390,130643
20180910,5530,5610,5270,5310,367583
20180907,5300,5400,5280,5340,118158
20180906,5470,5680,5330,5340,455421
20180905,5450,5470,5380,5450,127801
20180904,5420,5470,5330,5440,123567
20180903,5460,5460,5340,5400,122785
20180831,5270,5480,5200,5400,212882
20180830,5580,5600,5320,5350,291634
20180829,5360,5450,5210,5440,231808
20180828,5310,5720,5260,5310,833959
20180827,5390,5410,5260,5310,216026
20180824,5300,5360,5170,5350,412538
20180823,5090,5240,5090,5240,167814
20180822,5230,5240,5090,5110,140922
20180821,4950,5270,4950,5150,522016
20180820,4880,5040,4880,4965,90258
20180817,4700,4900,4700,4880,93117
20180816,4830,4885,4605,4700,127483
20180814,4840,4940,4800,4900,102425
20180813,5200,5300,4840,4840,527053
20180810,5030,5150,4970,5120,313329
20180809,5010,5230,5010,5030,477334
