,open,high,low,close,volume
20181109,2450,2470,2395,2455,11608
20181108,2490,2490,2400,2450,20341
20181107,2480,2515,2355,2410,39631
20181106,2495,2495,2415,2480,31425
20181105,2430,2475,2405,2475,30227
20181102,2410,2480,2410,2450,85332
20181101,2495,2495,2380,2450,53557
20181031,2380,2430,2355,2425,24844
20181030,2230,2380,2225,2375,72875
20181029,2570,2570,2230,2350,83576
20181026,2635,2675,2385,2520,57126
20181025,2670,2685,2525,2605,141068
20181024,2710,2710,2640,2670,61676
20181023,2685,2790,2640,2680,363373
20181022,2600,2715,2550,2685,271697
20181019,2505,2740,2480,2600,755048
20181018,2530,2540,2470,2505,81140
20181017,2550,2595,2450,2530,138501
20181016,2590,2670,2520,2550,347905
20181015,2370,2605,2320,2570,349493
20181012,2290,2380,2240,2370,51920
20181011,2230,2365,2120,2290,70471
20181010,2375,2390,2330,2355,19088
20181008,2390,2400,2370,2390,15775
20181005,2390,2395,2345,2390,47459
20181004,2400,2410,2355,2390,27265
20181002,2355,2400,2320,2400,95069
20181001,2280,2355,2270,2355,40762
20180928,2285,2315,2245,2310,94790
20180927,2200,2305,2160,2295,71369
20180921,2190,2215,2145,2200,72074
20180920,2140,2190,2075,2180,130625
20180919,2210,2210,2105,2120,57687
20180918,2210,2220,2185,2210,20679
20180917,2185,2220,2185,2210,15498
20180914,2235,2235,2205,2215,5046
20180913,2200,2240,2200,2235,6977
20180912,2230,2240,2190,2235,44624
20180911,2225,2255,2210,2235,9506
20180910,2260,2260,2220,2250,20611
20180907,2290,2290,2220,2260,30747
20180906,2300,2300,2235,2280,13182
20180905,2320,2320,2265,2300,47784
20180904,2330,2330,2285,2290,18274
20180903,2320,2325,2300,2305,28074
20180831,2295,2315,2275,2315,14069
20180830,2280,2305,2260,2300,19185
20180829,2280,2280,2260,2280,17099
20180828,2280,2290,2220,2275,44470
20180827,2280,2290,2260,2275,15952
20180824,2270,2280,2210,2275,11264
20180823,2280,2280,2215,2270,15974
20180822,2300,2300,2255,2255,10705
20180821,2300,2300,2260,2295,8742
20180820,2260,2290,2260,2285,21708
20180817,2265,2280,2220,2260,42291
20180816,2250,2285,2205,2265,55931
20180814,2280,2320,2250,2260,27470
20180813,2330,2330,2260,2305,15772
20180810,2350,2355,2320,2325,14700
20180809,2350,2350,2315,2325,31040
20180808,2330,2340,2290,2320,37494
20180807,2270,2330,2245,2320,63746
20180806,2240,2270,2220,2250,60787
20180803,2215,2240,2210,2230,12606
20180802,2225,2230,2200,2215,10000
20180801,2205,2215,2170,2210,22671
20180731,2215,2215,2170,2190,15351
20180730,2160,2210,2150,2205,22901
20180727,2195,2210,2175,2205,10241
20180726,2195,2200,2175,2200,7896
20180725,2190,2210,2130,2185,14515
20180724,2190,2200,2135,2195,6611
20180723,2190,2220,2135,2195,19546
20180720,2230,2230,2190,2230,9032
20180719,2230,2230,2185,2230,6775
20180718,2235,2250,2190,2230,35072
20180717,2240,2240,2170,2215,11697
20180716,2240,2240,2200,2230,14186
20180713,2210,2235,2200,2235,13407
20180712,2200,2225,2180,2225,11967
20180711,2205,2240,2195,2230,15715
20180710,2220,2225,2205,2225,7891
20180709,2230,2230,2155,2210,11981
20180706,2195,2230,2190,2220,15277
20180705,2255,2265,2210,2235,11711
20180704,2210,2325,2200,2240,50644
20180703,2200,2210,2110,2180,49464
20180702,2220,2270,2130,2205,183026
20180629,2290,2295,2250,2255,34605
20180628,2310,2310,2255,2270,30119
20180627,2320,2325,2275,2290,28104
20180626,2280,2320,2255,2290,41382
20180625,2285,2310,2265,2310,18940
20180622,2300,2310,2265,2280,57411
20180621,2415,2415,2325,2325,87350
20180620,2415,2435,2360,2405,35117
20180619,2440,2450,2340,2410,58038
20180618,2470,2480,2395,2435,115461
20180615,2445,2485,2420,2480,180009
20180614,2450,2460,2380,2445,54975
20180612,2460,2500,2420,2440,58311
20180611,2435,2460,2400,2460,83028
20180608,2445,2445,2400,2420,25194
20180607,2425,2425,2370,2405,53016
20180605,2400,2400,2365,2395,30549
20180604,2375,2425,2350,2390,41582
20180601,2350,2360,2320,2355,50038
20180531,2395,2395,2310,2320,53061
20180530,2390,2400,2335,2375,85416
20180529,2395,2410,2370,2405,52411
20180528,2425,2430,2370,2385,33953
20180525,2400,2430,2370,2410,28564
20180524,2440,2470,2415,2470,40938
20180523,2410,2490,2380,2440,55225
20180521,2395,2430,2390,2390,29770
20180518,2400,2420,2370,2390,28192
20180517,2410,2430,2365,2420,38792
20180516,2490,2490,2390,2410,51769
20180515,2450,2485,2435,2465,42792
20180514,2450,2450,2410,2430,64893
20180511,2385,2440,2380,2440,76640
20180510,2365,2385,2345,2380,34730
20180509,2410,2410,2340,2340,84131
20180508,2385,2425,2365,2405,96669
20180504,2330,2385,2330,2370,71416
20180503,2290,2325,2290,2325,43890
20180502,2310,2325,2250,2280,84290
20180430,2300,2350,2270,2310,41289
20180427,2320,2320,2270,2275,75067
20180426,2370,2380,2290,2300,88757
20180425,2430,2430,2320,2365,140088
20180424,2320,2425,2290,2410,102399
20180423,2335,2350,2295,2310,100572
20180420,2295,2320,2275,2320,55684
20180419,2345,2350,2250,2295,104671
20180418,2320,2350,2290,2350,79015
20180417,2380,2380,2285,2305,105361
20180416,2350,2375,2315,2365,73022
20180413,2335,2380,2295,2345,86706
20180412,2225,2350,2220,2310,148052
20180411,2310,2320,2190,2250,621160
20180410,2380,2410,2240,2300,138953
20180409,2455,2470,2380,2380,94653
20180406,2520,2525,2450,2470,35138
20180405,2470,2520,2450,2515,58117
20180404,2500,2530,2425,2460,79958
20180403,2500,2550,2425,2490,73660
20180402,2520,2595,2520,2520,52096
20180330,2520,2550,2490,2520,32079
20180329,2480,2545,2480,2510,34099
20180328,2465,2550,2425,2485,74848
20180327,2510,2510,2455,2505,90181
20180326,2535,2535,2400,2500,105469
20180323,2540,2590,2510,2535,62863
20180322,2605,2615,2545,2560,68210
20180321,2495,2645,2475,2590,145947
20180320,2515,2540,2480,2500,79532
20180319,2510,2550,2495,2500,110998
20180316,2530,2530,2480,2505,85603
20180315,2570,2600,2495,2520,98527
20180314,2630,2650,2540,2560,84466
20180313,2610,2660,2570,2620,43171
20180312,2610,2685,2560,2610,79443
20180309,2600,2640,2570,2575,44883
20180308,2580,2610,2565,2600,25515
20180307,2670,2705,2570,2580,50487
20180306,2640,2745,2605,2700,24300
20180305,2650,2745,2610,2670,43231
20180302,2675,2710,2645,2660,45812
20180228,2750,2750,2685,2715,46252
20180227,2785,2785,2685,2750,93494
20180226,2800,2830,2715,2770,59940
20180223,2760,2825,2735,2800,64523
20180222,2780,2795,2730,2760,32761
20180221,2780,2790,2735,2765,69572
20180220,2815,2830,2750,2775,49527
20180219,2820,2825,2750,2795,122711
20180214,2710,2860,2710,2825,161648
20180213,2695,2795,2695,2725,17934
20180212,2730,2770,2700,2700,26241
20180209,2700,2760,2660,2730,64955
20180208,2735,2780,2700,2780,81658
20180207,2840,2850,2710,2750,235964
20180206,2770,2815,2600,2800,174223
20180205,2840,2845,2745,2795,269634
20180202,2960,2960,2840,2885,153806
20180201,2990,2995,2900,2940,77821
20180131,2900,2980,2810,2980,203880
20180130,2920,2920,2850,2900,75194
20180129,2860,2945,2860,2905,163883
20180126,2830,2860,2760,2860,116830
20180125,2860,2860,2715,2820,220924
20180124,2940,2940,2825,2850,223034
20180123,2920,2970,2855,2920,287396
20180122,2910,2920,2810,2915,183209
20180119,2850,2930,2750,2900,472414
20180118,2720,2835,2690,2835,248378
20180117,2680,2715,2655,2680,57470
20180116,2670,2700,2540,2680,66946
20180115,2700,2785,2675,2675,142057
20180112,2780,2810,2680,2715,201763
20180111,2575,2750,2520,2750,456485
20180110,2500,2620,2470,2545,281524
20180109,2460,2500,2395,2500,162798
20180108,2505,2510,2470,2490,55336
20180105,2525,2535,2480,2505,121098
20180104,2465,2520,2445,2500,218213
20180103,2450,2465,2420,2455,55818
20180102,2475,2485,2380,2445,70701
20171228,2505,2505,2430,2480,92300
20171227,2495,2515,2460,2500,85312
20171226,2470,2500,2470,2495,81393
20171222,2380,2480,2375,2480,51691
20171221,2495,2495,2375,2375,79981
20171220,2430,2500,2400,2500,111774
20171219,2470,2470,2410,2465,64348
20171218,2500,2505,2425,2470,53368
20171215,2490,2510,2450,2485,90327
20171214,2510,2510,2450,2485,43484
20171213,2510,2515,2480,2495,100280
20171212,2510,2525,2470,2505,112267
20171211,2480,2525,2450,2510,81679
20171208,2510,2550,2470,2500,118025
20171207,2465,2530,2420,2500,78594
20171206,2475,2485,2420,2460,66269
20171205,2440,2485,2395,2470,84418
20171204,2430,2450,2355,2410,87631
20171201,2455,2470,2425,2460,23759
20171130,2495,2495,2425,2440,48007
20171129,2350,2520,2350,2495,355358
20171128,2280,2370,2280,2350,103277
20171127,2310,2345,2270,2285,82637
20171124,2305,2360,2305,2330,32264
20171123,2370,2380,2285,2315,111833
20171122,2380,2380,2320,2370,42982
20171121,2400,2410,2360,2360,42101
20171120,2370,2415,2370,2385,22935
20171117,2370,2420,2370,2395,35204
20171116,2475,2475,2350,2375,124932
20171115,2490,2510,2430,2465,110032
20171114,2540,2550,2480,2490,69803
20171113,2595,2595,2505,2540,61667
20171110,2480,2555,2470,2550,150307
20171109,2455,2495,2440,2485,48148
20171108,2455,2465,2425,2430,24870
20171107,2450,2475,2430,2440,30831
20171106,2480,2480,2435,2455,33410
20171103,2490,2510,2430,2475,41480
20171102,2385,2585,2385,2475,131607
20171101,2350,2390,2350,2385,15069
20171031,2380,2390,2355,2380,21556
20171030,2360,2380,2350,2375,17049
20171027,2380,2410,2350,2350,57620
20171026,2350,2390,2340,2375,57470
20171025,2345,2350,2295,2345,40939
20171024,2295,2340,2265,2330,42463
20171023,2250,2335,2240,2285,108580
20171020,2255,2260,2225,2250,21251
20171019,2250,2260,2230,2240,13417
20171018,2260,2265,2230,2245,20632
20171017,2230,2270,2215,2235,27580
20171016,2195,2230,2180,2215,25895
20171013,2245,2245,2195,2195,38205
20171012,2280,2280,2220,2220,22533
20171011,2220,2280,2210,2280,16457
20171010,2155,2295,2155,2220,136880
20170929,2130,2190,2120,2155,35240
20170928,2180,2180,2125,2130,26876
20170927,2160,2200,2140,2140,51946
20170926,2165,2220,2140,2170,147921
20170925,2270,2270,2170,2220,116628
20170922,2305,2330,2235,2270,56812
20170921,2365,2365,2290,2325,103986
20170920,2370,2370,2315,2365,53895
20170919,2255,2360,2250,2360,172315
20170918,2205,2295,2190,2270,63453
20170915,2210,2215,2180,2205,57831
20170914,2250,2250,2200,2210,73432
20170913,2225,2315,2220,2240,171169
20170912,2255,2255,2210,2235,91677
20170911,2235,2255,2230,2235,97446
20170908,2270,2290,2230,2235,70336
20170907,2255,2450,2220,2270,315235
20170906,2255,2255,2200,2245,16682
20170905,2245,2260,2220,2240,41005
20170904,2230,2250,2180,2230,34474
20170901,2240,2315,2240,2260,109623
20170831,2265,2265,2225,2255,31210
20170830,2265,2265,2235,2260,20357
20170829,2250,2260,2235,2250,20215
20170828,2255,2260,2230,2240,33335
20170825,2230,2265,2230,2255,19036
20170824,2250,2260,2225,2255,32450
20170823,2220,2235,2180,2235,47847
20170822,2215,2245,2180,2215,57954
20170821,2220,2235,2170,2215,18005
20170818,2180,2200,2155,2180,45871
20170817,2165,2210,2150,2185,117963
20170816,2315,2390,2145,2170,211990
20170814,2270,2355,2220,2330,91284
20170811,2260,2290,2195,2260,116881
20170810,2240,2300,2200,2255,59618
20170809,2270,2320,2225,2250,79999
20170808,2160,2460,2155,2275,673169
20170807,2140,2200,2140,2170,37971
20170804,2170,2205,2125,2160,66264
20170803,2215,2215,2140,2150,77563
20170802,2200,2225,2180,2190,35680
20170801,2185,2220,2180,2210,35168
20170731,2235,2240,2170,2220,61323
20170728,2250,2260,2150,2235,90076
20170727,2180,2335,2160,2245,203593
20170726,2160,2220,2155,2165,70697
20170725,2200,2200,2150,2155,80410
20170724,2260,2260,2180,2200,92731
20170721,2290,2290,2205,2240,206427
20170720,2315,2315,2260,2290,48040
20170719,2325,2325,2290,2315,34356
20170718,2330,2330,2280,2330,58998
20170717,2330,2330,2285,2320,30407
20170714,2340,2345,2260,2330,47671
20170713,2305,2325,2300,2310,42729
20170712,2355,2355,2285,2305,25204
20170711,2380,2380,2335,2335,69592
20170710,2380,2385,2325,2380,39504
20170707,2375,2400,2355,2380,55192
20170706,2425,2425,2350,2410,79006
20170705,2400,2430,2360,2410,52678
20170704,2435,2450,2365,2400,89957
