,open,high,low,close,volume
20181109,6610,6670,6520,6590,13119
20181108,6740,6740,6510,6600,21437
20181107,6560,6690,6560,6670,15455
20181106,6760,6800,6530,6560,21207
20181105,6720,6820,6590,6740,19501
20181102,6470,6800,6470,6720,32296
20181101,6370,6700,6370,6580,23914
20181031,6390,6600,6150,6400,79644
20181030,6990,6990,6140,6300,91138
20181029,7800,8780,6990,6990,242398
20181026,7290,7650,6810,7370,54222
20181025,7000,7400,7000,7370,29745
20181024,7500,7650,7030,7190,52007
20181023,7940,7960,7430,7530,31436
20181022,7430,8100,7270,7940,59845
20181019,6930,7620,6750,7620,28812
20181018,6850,7030,6800,6930,3170
20181017,7100,7100,6870,7000,1463
20181016,6990,7100,6940,6960,994
20181015,6950,6950,6780,6930,528
20181012,6610,6990,6610,6880,5085
20181011,6910,6910,6700,6860,12924
20181010,7040,7050,6800,7050,7768
20181008,7040,7050,6800,7050,6742
20181005,7140,7140,6800,7040,10128
20181004,7030,7070,6850,7070,20456
20181002,7230,7230,6950,7030,9476
20181001,7310,7380,7110,7230,19655
20180928,7500,7500,7310,7310,8585
20180927,7440,7490,7370,7420,2562
20180921,7440,7490,7270,7440,5872
20180920,7480,7480,7320,7440,2423
20180919,7490,7490,7350,7450,5237
20180918,7460,7470,7360,7430,4790
20180917,7580,7580,7360,7460,2799
20180914,7430,7490,7410,7480,6446
20180913,7400,7430,7330,7430,6098
20180912,7400,7450,7340,7400,5817
20180911,7400,7440,7300,7390,2019
20180910,7330,7420,7300,7400,3922
20180907,7440,7470,7330,7440,1831
20180906,7480,7480,7340,7440,9026
20180905,7490,7500,7410,7470,10668
20180904,7480,7480,7350,7400,4088
20180903,7450,7700,7390,7480,9109
20180831,7400,7450,7330,7390,1007
20180830,7330,7470,7250,7400,4552
20180829,7250,7330,7250,7330,3761
20180828,7400,7400,7230,7340,19407
20180827,7410,7480,7300,7400,10234
20180824,7360,7490,7320,7410,22221
20180823,7280,7380,7140,7360,24392
20180822,7110,7300,7070,7230,16785
20180821,7070,7170,7000,7110,11685
20180820,7060,7150,7060,7130,6586
20180817,7050,7180,7050,7100,12804
20180816,7190,7190,7030,7100,3340
20180814,7170,7170,7070,7130,441
20180813,7180,7270,6990,7070,4755
20180810,7290,7290,7080,7200,2561
20180809,7240,7240,7150,7170,1487
20180808,7250,7280,7180,7240,1820
20180807,7190,7250,7060,7250,6235
20180806,7110,7230,7110,7200,2979
20180803,7160,7240,7130,7210,6847
20180802,7290,7290,7140,7240,3571
20180801,7240,7290,7200,7250,2505
20180731,7250,7290,7180,7200,3775
20180730,7110,7600,7110,7230,6426
20180727,7190,7200,7040,7190,3024
20180726,7130,7180,6980,7150,5433
20180725,7060,7130,6990,7040,2579
20180724,7010,7070,6990,7040,9909
20180723,7100,7450,7000,7070,7352
20180720,7180,7180,6980,7080,6730
20180719,7150,7150,7040,7110,3483
20180718,7140,7250,7080,7080,6928
20180717,7250,7260,7160,7220,4220
20180716,7250,7250,7180,7200,1524
20180713,7120,7290,7120,7250,6247
20180712,7230,7230,7100,7190,18003
20180711,7200,7250,7110,7200,1903
20180710,7300,7300,7040,7250,6895
20180709,7220,7220,7060,7100,1275
20180706,7250,7250,7000,7120,5709
20180705,7290,7290,6990,7020,18089
20180704,7250,7250,7120,7240,3274
20180703,7240,7340,7000,7240,19200
20180702,7460,7520,7110,7240,6660
20180629,7560,7560,7190,7470,8116
20180628,7440,7580,7260,7330,6621
20180627,7560,7590,7310,7540,7201
20180626,7540,7540,7400,7460,1868
20180625,7630,7630,7390,7530,2516
20180622,7410,7590,7350,7590,8933
20180621,7590,7600,7410,7410,5436
20180620,7550,7660,7400,7590,6196
20180619,7700,7730,7500,7560,3675
20180618,7850,7850,7450,7690,15955
20180615,7810,7920,7800,7880,4527
20180614,8290,8290,7850,7870,11546
20180612,8140,8260,8000,8070,13240
20180611,8100,8260,8050,8100,11367
20180608,8130,8280,8130,8210,6291
20180607,8250,8380,8120,8190,10625
20180605,8400,8450,8240,8280,10011
20180604,8400,8490,8320,8400,11620
20180601,8470,8490,8210,8400,7822
20180531,8270,8400,8230,8400,11031
20180530,8610,8610,8240,8330,15122
20180529,8600,8620,8420,8530,18771
20180528,8380,8700,8270,8560,32312
20180525,8310,8540,7970,8250,29615
20180524,8970,8970,8420,8550,28607
20180523,8660,9150,8540,8750,74689
20180521,8700,8710,8300,8490,23354
20180518,8510,8690,8500,8640,19805
20180517,8690,8690,8410,8580,23289
20180516,8910,8910,8460,8560,31228
20180515,9060,9060,8750,8920,21338
20180514,8990,9000,8740,8930,55712
20180511,8350,8930,8180,8760,88411
20180510,8140,8250,8040,8250,8352
20180509,8290,8290,7900,8150,10749
