,open,high,low,close,volume
20181109,28450,29400,28450,28850,653655
20181108,29000,29250,28500,28500,876378
20181107,28850,28900,28350,28550,854207
20181106,28400,29150,27950,28950,731872
20181105,29100,29300,27900,28300,1176599
20181102,28950,29600,28800,29550,1172517
20181101,28300,28900,28000,28700,880304
20181031,27550,28400,27100,28400,1307731
20181030,28000,28650,27900,27900,930916
20181029,28100,28650,27900,28000,1625566
20181026,27100,28250,26950,27850,2398627
20181025,28250,28500,26200,27000,2557751
20181024,28650,28900,28400,28700,1308484
20181023,29250,29400,28150,28350,1294400
20181022,29400,29650,29050,29450,776169
20181019,29500,30000,29150,29400,1299726
20181018,30700,30850,29400,29700,2081735
20181017,31600,31600,30750,30800,972510
20181016,31000,31450,30700,31300,936512
20181015,32700,32700,30700,31100,2038170
20181012,33100,33600,32600,33250,1123867
20181011,33400,34100,32700,33100,1268379
20181010,34000,34600,33450,33850,1219475
20181008,34150,34700,33750,33900,692152
20181005,33750,34450,33400,34200,934563
20181004,35200,35200,33650,33700,1232835
20181002,34500,34950,34400,34750,884414
20181001,35150,35200,34100,34350,809354
20180928,35250,35450,34750,35100,1119501
20180927,35600,35600,34500,35250,1534142
20180921,35350,35350,34300,34550,920394
20180920,34750,35500,34600,34850,1453514
20180919,34700,34700,34350,34550,953915
20180918,34000,34550,33850,34500,1220023
20180917,34050,34350,33950,34050,530408
20180914,34350,34350,33700,34050,755918
20180913,34500,34600,34050,34150,968863
20180912,34300,34500,34100,34400,798499
20180911,33850,34100,33550,34050,1005202
20180910,34300,34800,33800,34000,1567256
20180907,34000,34850,33900,34250,1932977
20180906,32450,34300,32450,33650,2459792
20180905,31550,32750,31500,32200,1230558
20180904,31500,31850,31350,31600,626091
20180903,31900,32100,31600,31800,496108
20180831,32200,32250,31700,32050,593611
20180830,31800,32200,31700,32150,585921
20180829,32100,32150,31650,31850,441626
20180828,32000,32600,31750,32000,949561
20180827,31300,31650,31250,31500,459652
20180824,31450,31650,31100,31250,661605
20180823,31900,32100,31400,31650,723171
20180822,32000,32200,31850,32050,673645
20180821,32300,32550,32000,32250,866035
20180820,32450,32500,31950,32300,538833
20180817,32100,32250,31900,32100,411850
20180816,31800,32400,31600,32400,907383
20180814,32400,32450,31500,31500,751339
20180813,32250,32550,31850,32300,647050
20180810,32000,32500,31800,32250,495175
20180809,32050,32050,31350,32050,823101
20180808,31700,32250,31700,32150,486438
20180807,31350,31950,31350,31850,605808
20180806,31000,31900,31000,31600,422009
20180803,31300,31350,30950,31000,498014
20180802,31650,32000,31000,31050,442787
20180801,31650,31950,31500,31750,392523
20180731,31800,31950,31500,31700,636196
20180730,31650,32000,31550,31700,411187
20180727,32350,32700,31800,31950,637245
20180726,32600,32700,31800,31850,697126
20180725,31500,32300,31500,32200,723368
20180724,32500,32500,31450,31800,1057229
20180723,32250,32850,32200,32500,757274
20180720,31800,32550,31400,32200,648184
20180719,31600,32350,31600,31900,658848
20180718,32250,32450,31600,31600,557572
20180717,31850,32400,31850,32400,923642
20180716,31100,32450,31100,31950,750886
20180713,31350,31700,31250,31450,597254
20180712,31350,31850,31000,31350,1177320
20180711,30800,31200,30600,30900,642802
20180710,31100,31350,31000,31100,594046
20180709,30900,31400,30800,31400,579067
20180706,30100,31250,30050,31050,1366055
20180705,29550,29850,29500,29700,855468
20180704,30550,30700,29450,29550,1614173
20180703,30850,31200,30800,30950,763678
20180702,30850,31100,30650,30800,886262
20180629,30750,30900,30550,30850,629008
20180628,30700,30800,30550,30700,753413
20180627,31750,32050,30850,31000,892836
20180626,31250,32000,31050,31950,889527
20180625,31200,31550,30750,31450,716331
20180622,30450,31300,30450,31300,807862
20180621,31400,31550,30600,30800,1446930
20180620,31700,31800,31150,31500,961979
20180619,31750,32450,31650,31700,1333798
20180618,32400,32650,31800,32000,943066
20180615,32650,32650,32100,32200,973900
20180614,32900,33200,32000,32250,1287966
20180612,32750,33750,32700,32850,883302
20180611,32700,32800,32150,32600,774101
20180608,33200,33650,33000,33100,528757
20180607,33100,33400,32900,33400,850478
20180605,33850,33850,33050,33100,866388
20180604,32300,34000,31950,33750,2204733
20180601,31100,32000,31050,31900,711852
20180531,31750,31900,31150,31150,1468344
20180530,31450,31950,31400,31700,885930
20180529,32250,32400,31600,31650,896720
20180528,32450,32500,31900,32300,721091
