,open,high,low,close,volume
20181109,14900,14900,13850,14300,40350
20181108,14250,15400,14200,14550,82043
20181107,14850,15650,12550,13900,99946
20181106,15200,15200,14600,14750,26656
20181105,15000,15250,14250,14900,37258
20181102,14300,15000,14200,14950,62184
20181101,13900,14800,13850,14000,48788
20181031,13250,14200,13150,13700,62016
20181030,12050,13600,11900,13350,92396
20181029,14000,14300,12500,12550,93078
20181026,15800,15800,13450,14300,71823
20181025,14100,15350,13100,14900,103077
20181024,16250,16550,14950,15050,81876
20181023,16850,17500,16150,16250,49192
20181022,17550,17550,16650,16900,62323
20181019,17850,18100,17250,17950,32915
20181018,17450,18700,17450,17950,84266
20181017,17450,18250,16950,17400,71371
20181016,16500,17300,16500,16950,39335
20181015,16600,17400,16450,16450,58677
20181012,16100,17100,16000,16900,83864
20181011,15800,16900,15300,16400,98198
20181010,19400,19650,17250,17400,125083
20181008,20050,21000,19700,20000,56123
20181005,20050,20650,19700,19900,66355
20181004,21700,21700,20250,20500,83510
20181002,19700,21050,19600,20200,83567
20181001,20100,21050,19900,20200,44730
20180928,20900,20950,20050,20100,75511
20180927,21950,22250,20900,21050,80318
20180921,20100,22550,20100,21600,232920
20180920,21500,21600,19550,20600,162560
20180919,22300,22500,20500,20550,250168
20180918,22850,23100,22000,22000,165299
20180917,22750,23000,21450,22950,240063
20180914,22400,22850,21650,22300,130109
20180913,22600,22700,21750,22400,104036
20180912,22900,22900,21800,22600,211630
20180911,23750,23950,22400,22900,267705
20180910,20500,23800,20500,23300,737382
20180907,19550,20300,19050,20200,116439
20180906,20450,21200,19000,19350,274016
20180905,20700,20900,19650,20000,152223
20180904,19600,20550,19250,20250,272085
20180903,19800,19800,19150,19700,97693
20180831,18400,18950,18300,18900,76094
20180830,18400,19200,18400,18850,114230
20180829,18400,18700,18050,18400,95551
20180828,19450,19700,18500,18950,163246
20180827,19500,20250,19450,19500,244372
20180824,21950,21950,21100,21850,97161
20180823,21800,22350,21450,21700,160128
20180822,21900,22150,20800,21750,150831
20180821,21850,22200,21150,21850,152019
20180820,22050,22350,21350,21800,218679
20180817,20500,21450,20100,21400,254125
20180816,21000,21300,19400,20500,444053
20180814,18650,19500,18100,19400,250195
20180813,21050,22250,18100,18450,600372
20180810,19950,21300,19300,20450,767074
20180809,19300,19500,18700,19050,140576
20180808,19000,20800,18700,19300,551130
20180807,19000,19300,18550,19050,64403
20180806,18600,19400,18500,18900,137455
20180803,19350,19700,18950,19350,221760
20180802,19250,19650,18400,19200,225656
20180801,19000,19500,18350,19200,240207
20180731,19700,19750,18300,18750,344532
20180730,18600,19900,18200,19900,511286
20180727,19200,20250,18350,18550,1544040
20180726,14950,19000,14700,19000,1147827
20180725,14900,15200,14000,14650,138817
20180724,13500,15300,13350,14700,305902
