,open,high,low,close,volume
20181109,5970,6060,5970,6060,678
20181108,6030,6170,6010,6060,2532
20181107,6010,6310,6000,6000,3921
20181106,6050,6270,5970,6210,2975
20181105,6000,6220,5980,6050,4158
20181102,5870,6390,5870,6090,3813
20181101,5810,6090,5810,5990,6156
20181031,5820,6180,5820,5940,4629
20181030,5940,5940,5850,5870,3266
20181029,6110,6390,5950,5950,4728
20181026,6570,6570,6140,6310,3475
20181025,6420,6430,6200,6340,4550
20181024,6470,6470,6330,6360,2194
20181023,6780,6780,6280,6360,9079
20181022,6300,6470,6300,6360,1662
20181019,6460,6630,6250,6380,1837
20181018,6500,6500,6340,6390,4184
20181017,6560,6560,6320,6360,3603
20181016,6350,6510,6330,6460,1187
20181015,6610,6610,6350,6350,3308
20181012,6320,6650,6320,6520,2403
20181011,6500,6600,6400,6400,5355
20181010,6690,6730,6600,6600,3304
20181008,6780,6810,6670,6710,1976
20181005,6830,6870,6800,6810,1331
20181004,6870,6880,6820,6880,872
20181002,6950,6950,6830,6840,568
20181001,6860,6970,6830,6910,1664
20180928,6980,6980,6850,6860,2385
20180927,7180,7180,6850,6980,2948
20180921,7000,7000,6910,7000,569
20180920,7000,7090,6900,6980,636
20180919,7000,7010,6880,7000,2785
20180918,7000,7050,6940,7000,1567
20180917,7150,7170,7000,7000,1751
20180914,6880,7250,6880,7000,1600
20180913,6880,7160,6880,7030,1755
20180912,7000,7000,6860,6990,2674
20180911,6990,6990,6850,6990,1558
20180910,7000,7000,6900,6990,638
20180907,6970,7100,6960,7000,697
20180906,6870,6970,6810,6970,885
20180905,7010,7010,6820,6870,2598
20180904,7010,7020,6950,7010,434
20180903,6940,7100,6870,7020,1486
20180831,7070,7070,6930,7010,2124
20180830,7020,7020,6950,6990,1088
20180829,6910,7110,6890,7040,418
20180828,6820,7150,6820,6910,875
20180827,6900,6940,6870,6880,2417
20180824,6950,6970,6850,6920,3598
20180823,6980,7110,6940,6950,2073
20180822,7130,7130,6980,6980,2520
20180821,7190,7190,7020,7130,1956
20180820,7180,7240,6970,7140,9379
20180817,7030,7090,6930,7070,3048
20180816,7050,7170,6950,7050,6055
