,open,high,low,close,volume
20181109,7820,8090,7770,7790,166921
20181108,7850,7930,7770,7770,241882
20181107,8410,8450,7550,7620,596824
20181106,8020,8430,8020,8410,132383
20181105,8070,8110,7920,8020,69767
20181102,8000,8180,8000,8130,96433
20181101,8090,8150,7990,8000,94959
20181031,8150,8240,7980,8170,133937
20181030,8470,8550,8270,8280,82780
20181029,8290,8520,8290,8370,87916
20181026,8410,8600,8250,8400,77497
20181025,8710,8740,8400,8540,87907
20181024,8560,8730,8490,8710,103001
20181023,8730,8870,8430,8490,83272
20181022,8890,8910,8670,8880,61970
20181019,8830,8960,8470,8890,115711
20181018,8720,8890,8710,8870,49137
20181017,8690,8900,8530,8870,64776
20181016,8710,8740,8600,8670,45715
20181015,8510,8650,8370,8650,60015
20181012,8580,8680,8390,8510,94766
20181011,8730,8970,8580,8580,183496
20181010,9060,9130,9040,9050,79638
20181008,9080,9250,9070,9180,51697
20181005,9290,9340,9080,9140,85481
20181004,9470,9470,9120,9170,88926
20181002,9460,9460,9280,9340,52348
20181001,9500,9570,9430,9480,81247
20180928,9290,9590,9290,9570,211102
20180927,9040,9340,9030,9310,100427
20180921,9130,9170,9040,9060,115814
20180920,9200,9230,9100,9100,95159
20180919,9290,9350,9210,9220,76511
20180918,9430,9460,9280,9290,107215
20180917,9490,9570,9430,9480,60284
20180914,9440,9580,9430,9520,63546
20180913,9570,9570,9410,9460,103670
20180912,9700,9700,9410,9460,150678
20180911,9640,9750,9620,9640,45631
20180910,9670,9770,9650,9650,69518
20180907,9810,9820,9660,9750,77329
20180906,9710,9850,9660,9730,89778
20180905,9710,9780,9680,9720,77096
20180904,9850,9880,9710,9730,134102
20180903,9870,9910,9820,9850,100202
20180831,9850,10050,9850,9890,97408
20180830,10050,10100,9830,9850,175730
20180829,10150,10200,10050,10050,72992
20180828,9970,10250,9950,10150,66777
20180827,10000,10100,9990,10000,42175
20180824,9910,10050,9840,9990,159115
20180823,10000,10050,9920,10000,93156
20180822,10300,10300,9990,10000,239960
20180821,10350,10400,10300,10300,38200
20180820,10450,10450,10300,10350,33714
20180817,10450,10500,10300,10300,69385
20180816,10700,10700,10450,10450,46318
20180814,10700,10700,10500,10600,26393
20180813,10550,10700,10500,10700,50044
20180810,10600,10650,10500,10600,70455
20180809,10600,10700,10500,10650,69516
20180808,10550,10750,10550,10550,57946
20180807,10650,10900,10450,10700,83724
20180806,10550,10800,10550,10800,33268
20180803,10450,10700,10350,10650,48395
20180802,10600,10750,10500,10500,42163
20180801,10800,10850,10650,10700,75511
20180731,10950,10950,10700,10750,48134
20180730,10800,11050,10700,10850,60877
20180727,10900,10900,10700,10850,247612
20180726,10950,11000,10750,10850,422648
20180725,10600,10900,10600,10900,130602
20180724,10700,10750,10550,10600,85805
20180723,10650,10750,10600,10700,49790
20180720,10550,10750,10500,10600,102043
20180719,10550,10700,10500,10600,78145
20180718,10600,10700,10550,10600,72511
20180717,10750,10900,10650,10700,125119
20180716,10550,10900,10400,10900,96417
20180713,10400,10550,10300,10500,83763
20180712,10350,10450,10200,10400,78377
20180711,10300,10450,10100,10200,101235
20180710,10350,10500,10250,10350,73187
20180709,10450,10450,10200,10400,87166
20180706,9950,10450,9950,10450,170650
20180705,10000,10100,9950,10050,103631
20180704,9850,10150,9850,10000,72037
20180703,10100,10200,9910,10000,140967
20180702,10150,10200,10050,10100,49599
20180629,10400,10400,10150,10250,80204
20180628,10500,10600,10150,10250,92050
20180627,10550,10600,10300,10350,67739
20180626,10550,10750,10550,10650,55869
20180625,10700,10750,10600,10700,48154
20180622,10700,10800,10550,10700,79404
20180621,10750,10850,10500,10550,93314
20180620,10850,11000,10800,10800,55170
20180619,11100,11200,10800,10950,115947
20180618,11100,11250,11050,11150,75789
20180615,11150,11300,11050,11050,128694
20180614,11300,11400,11100,11100,201288
20180612,11400,11450,11250,11350,68896
20180611,11350,11400,11250,11350,84710
20180608,11350,11400,11200,11300,61083
20180607,11200,11400,11150,11300,79101
20180605,11300,11450,11200,11250,81513
20180604,11400,11500,11350,11450,44283
20180601,11350,11500,11200,11400,102438
20180531,11400,11550,11200,11250,125484
20180530,11350,11700,11250,11650,151490
20180529,11900,11950,11300,11350,183990
20180528,12050,12200,11800,11900,91405
20180525,12300,12300,12100,12100,58383
20180524,12250,12300,12150,12150,70053
20180523,12250,12500,12150,12250,151067
20180521,12300,12400,12200,12200,24742
20180518,12300,12450,12250,12300,53674
20180517,12600,12650,12300,12400,59467
20180516,12700,12950,12600,12600,107773
20180515,12550,12900,12550,12850,108423
20180514,12650,12800,12600,12700,79020
20180511,12600,12750,12550,12650,87661
20180510,12450,12700,12300,12700,144389
20180509,12450,12700,12450,12500,115484
20180508,12400,12500,12250,12500,85082
20180504,12250,12400,12250,12300,59743
20180503,12300,12400,12250,12350,35687
20180502,12050,12350,12050,12350,97391
20180430,12150,12300,12050,12050,76005
20180427,12150,12250,12100,12100,73390
20180426,12150,12250,12100,12100,43813
20180425,12350,12350,12150,12150,24987
20180424,12150,12350,12150,12250,61308
20180423,12150,12250,12150,12250,46355
20180420,12100,12300,12100,12200,85724
20180419,12300,12400,12150,12150,119082
20180418,12350,12500,12300,12300,88597
20180417,12300,12500,12300,12450,55102
20180416,12250,12550,12150,12400,108206
20180413,12200,12300,12100,12150,96359
20180412,12150,12300,12150,12250,59847
20180411,12200,12350,12150,12150,150995
20180410,12250,12350,12050,12250,143499
20180409,12300,12450,12200,12350,95271
20180406,12400,12500,12300,12300,101399
20180405,12250,12500,12250,12400,79577
20180404,12350,12500,12200,12200,122983
20180403,12300,12500,12300,12450,147872
20180402,12400,12550,12300,12350,117202
20180330,12500,12550,12350,12550,156553
20180329,12400,12500,12250,12450,100380
20180328,12250,12500,12200,12450,136148
20180327,12150,12500,12150,12250,111418
20180326,12200,12350,12100,12200,90126
20180323,12250,12400,12100,12100,69885
20180322,12150,12500,12150,12300,126141
20180321,12100,12300,12050,12200,113692
20180320,12150,12400,12150,12150,119901
20180319,12350,12400,12250,12250,64724
20180316,12550,12550,12200,12300,103896
20180315,12400,12500,12200,12400,130161
20180314,11900,12450,11900,12350,203809
20180313,12050,12100,11900,11950,66977
20180312,12000,12200,11950,12200,111954
20180309,11900,12050,11850,12050,107823
20180308,11900,12000,11800,12000,105074
20180307,12050,12100,11900,11900,105689
20180306,12000,12200,11950,12150,90567
20180305,11850,12150,11850,12000,112498
20180302,11800,11900,11650,11850,101642
20180228,12000,12100,11900,11900,108896
20180227,12200,12250,12050,12050,48945
20180226,12150,12200,12050,12200,78544
20180223,12100,12150,12000,12150,49552
20180222,12050,12150,11900,12050,84919
20180221,12000,12200,11900,12050,110662
20180220,12050,12050,11900,11900,54818
20180219,11950,12150,11900,12050,73318
20180214,12050,12050,11800,11950,70045
20180213,11900,12150,11900,12000,49290
20180212,12200,12300,11900,11950,103393
20180209,11900,12350,11900,12300,195516
20180208,12000,12150,11900,12050,105619
20180207,12200,12350,12000,12000,105009
20180206,12300,12400,12050,12300,144738
20180205,12550,12600,12250,12400,118710
20180202,12500,12650,12350,12450,95700
20180201,12400,12550,12400,12550,81159
20180131,12550,12550,12150,12550,140077
20180130,12550,12700,12500,12550,61389
20180129,12650,12750,12500,12700,96095
20180126,12550,12750,12450,12650,107015
20180125,12450,12800,12350,12650,159764
20180124,12600,12650,12500,12500,119796
20180123,12500,12600,12350,12550,133803
20180122,12050,12500,12000,12450,207515
20180119,12050,12100,12000,12050,64408
20180118,12050,12200,12050,12100,48870
20180117,12050,12150,12000,12150,73454
20180116,12050,12150,12000,12100,56179
20180115,11950,12150,11850,12150,117132
20180112,12050,12150,11900,11950,115861
20180111,12200,12200,11950,12150,99104
20180110,12150,12200,12050,12150,116853
20180109,12050,12200,12000,12150,120935
20180108,11950,12100,11950,12100,100788
20180105,11950,12000,11800,11950,80468
20180104,11750,11900,11750,11900,87823
20180103,11850,11950,11700,11750,120728
20180102,11800,11900,11750,11900,49007
20171228,11800,11850,11750,11800,37780
20171227,11800,11850,11650,11800,49156
20171226,11800,11950,11750,11900,113076
20171222,11750,11800,11650,11800,77749
20171221,11700,11800,11650,11750,83322
20171220,11700,11900,11650,11800,114482
20171219,11750,11850,11700,11700,104129
20171218,12000,12000,11750,11750,121781
20171215,11850,11950,11800,11950,160606
20171214,11950,11950,11700,11700,317576
20171213,11850,12000,11850,11950,124711
20171212,11800,12000,11800,11850,109403
20171211,11850,11950,11800,11850,54107
20171208,12200,12200,11800,11850,81797
20171207,12050,12150,11800,12150,203401
20171206,11900,12050,11900,12000,112218
20171205,11750,12000,11750,11900,108636
20171204,11800,11900,11750,11750,61539
20171201,11800,11850,11700,11750,85838
20171130,12000,12050,11700,11800,236473
20171129,12100,12100,11900,11900,166231
20171128,12150,12200,12050,12050,165016
20171127,12050,12150,11900,12100,213429
20171124,12150,12150,12050,12050,118126
