,open,high,low,close,volume
20181109,3990,3995,3900,3900,3117
20181108,3970,3995,3970,3995,135
20181107,3910,4040,3910,3995,226
20181106,4040,4040,3995,3995,36
20181105,4070,4070,4005,4005,21
20181102,4020,4060,4020,4030,572
20181101,3950,4000,3950,3960,405
20181031,4095,4095,3865,3865,1904
20181030,3845,3980,3835,3980,2872
20181029,3950,3950,3835,3940,24304
20181026,3855,3940,3830,3940,302
20181025,3855,3975,3855,3915,115
20181024,3860,4015,3860,3915,229
20181023,4005,4005,4000,4000,37
20181022,4000,4005,3980,4000,142
20181019,3820,3995,3820,3980,149
20181018,3930,3980,3930,3980,3
20181017,3890,3970,3890,3970,2
20181016,3805,4000,3805,3950,343
20181015,4050,4050,3965,4000,578
20181012,4080,4080,3950,4000,199
20181011,4010,4140,3910,4050,1433
20181010,4190,4210,4110,4130,312
20181008,4150,4150,4135,4140,1011
20181005,4150,4210,4150,4185,793
20181004,4200,4200,4200,4200,1318
20181002,4200,4225,4200,4200,480
20181001,4230,4240,4215,4215,1011
20180928,4225,4230,4225,4225,1433
20180927,4110,4230,4110,4225,2249
20180921,4270,4270,4215,4225,622
20180920,4280,4280,4240,4250,352
20180919,4270,4270,4245,4250,7376
20180918,4330,4335,4265,4270,634
20180917,4310,4345,4265,4345,722
20180914,4320,4320,4260,4275,305
20180913,4320,4320,4295,4295,1180
20180912,4300,4300,4285,4295,4360
20180911,4300,4315,4290,4290,951
20180910,4300,4300,4285,4290,345
20180907,4300,4300,4300,4300,158
20180906,4295,4300,4285,4300,73
20180905,4275,4285,4275,4285,221
20180904,4315,4315,4270,4275,718
20180903,4320,4340,4300,4300,383
20180831,4300,4345,4300,4300,48
20180830,4350,4360,4315,4315,223
20180829,4320,4335,4320,4335,36
20180828,4340,4360,4290,4290,75
20180827,4380,4380,4270,4285,246
20180824,4350,4350,4350,4350,63
20180823,4320,4375,4260,4300,1040
20180822,4355,4370,4315,4370,115
20180821,4300,4330,4300,4330,116
20180820,4300,4300,4300,4300,5
20180817,4285,4285,4280,4285,64
20180816,4270,4430,4255,4255,832
20180814,4490,4490,4260,4270,2042
20180813,4310,4355,4300,4300,333
20180810,4315,4420,4295,4295,817
20180809,4300,4310,4300,4310,224
20180808,4275,4300,4275,4300,438
20180807,4315,4315,4300,4300,150
20180806,4300,4300,4300,4300,1811
20180803,4300,4300,4255,4300,61
