,open,high,low,close,volume
20181109,12100,12100,11950,12100,1040
20181108,12250,12300,12000,12100,990
20181107,12100,12250,11850,12100,3878
20181106,12000,12050,11850,12000,1887
20181105,12100,12100,11750,12000,4905
20181102,12150,12200,11950,12100,2629
20181101,11650,12100,11650,11950,1608
20181031,11550,11800,11500,11700,5382
20181030,11600,11850,11300,11550,7416
20181029,11850,12100,11600,11750,2564
20181026,12100,12300,11700,11850,6308
20181025,12100,12100,11300,11850,8278
20181024,12600,12650,12050,12100,9216
20181023,12700,12900,12400,12500,10482
20181022,12850,12950,12650,12900,4828
20181019,12950,12950,12550,12850,6379
20181018,13300,13300,12750,12950,4926
20181017,13150,13250,13000,13200,2756
20181016,13400,13400,12850,13100,5190
20181015,13400,13400,13050,13200,841
20181012,12850,13350,12850,13200,6008
20181011,13350,13350,12950,12950,19544
20181010,13900,13900,13500,13650,11006
20181008,13850,13950,13700,13900,5000
20181005,14100,14100,13800,13950,6696
20181004,13950,14250,13900,14100,9980
20181002,14100,14250,13850,13950,3769
20181001,13750,14150,13750,14100,14220
20180928,13850,13850,13650,13850,1573
20180927,13700,13850,13650,13850,4796
20180921,13800,13850,13550,13800,5140
20180920,13750,13800,13550,13800,5499
20180919,13750,13750,13600,13700,2849
20180918,13800,13800,13650,13700,3383
20180917,13800,13850,13700,13800,2113
20180914,13800,13850,13700,13800,3151
20180913,13650,13800,13600,13800,6616
20180912,13600,13650,13550,13650,2145
20180911,13600,13650,13500,13500,4137
20180910,13550,13650,13500,13650,1041
20180907,13600,13650,13450,13600,3128
20180906,13600,13650,13450,13600,1284
20180905,13550,13600,13350,13600,4147
20180904,13500,13600,13250,13550,27397
20180903,13850,14000,13400,13550,15877
20180831,13950,14200,13700,13850,14306
20180830,14000,14100,13850,13950,3306
20180829,13900,14050,13800,14000,4047
20180828,14300,14300,13800,13900,8401
20180827,14400,14450,14150,14300,3237
20180824,14250,14400,14150,14350,10739
20180823,13950,14250,13850,14250,18265
20180822,13750,13950,13750,13900,4015
20180821,13850,14000,13700,13750,2446
20180820,14050,14050,13750,13850,7370
20180817,14100,14100,13850,14100,3816
20180816,14000,14100,13800,14100,4371
20180814,14150,14200,13850,14000,8563
20180813,14700,14700,14000,14000,5651
20180810,14750,14750,14500,14700,2641
20180809,14650,14800,14600,14700,4950
20180808,14600,14800,14450,14700,7759
20180807,14400,14800,14300,14550,9093
20180806,14350,14500,14350,14400,6303
20180803,14300,14450,14150,14350,2545
20180802,14250,14500,14200,14300,6219
20180801,13950,14250,13850,14250,8144
20180731,14000,14000,13700,13850,3734
20180730,14150,14150,13750,14000,4553
20180727,13900,14400,13850,14000,31034
20180726,13550,13900,13400,13900,9916
20180725,13300,13500,13300,13500,4130
20180724,13400,13450,13200,13450,4870
20180723,13650,13650,13300,13400,4832
20180720,13550,13600,13350,13550,4616
20180719,13400,13650,13400,13550,9604
20180718,13400,13550,13350,13500,4648
20180717,13700,13700,13200,13500,17295
20180716,13700,13700,13450,13700,6937
20180713,13700,13800,13550,13700,5660
20180712,13700,13800,13550,13700,5397
20180711,13550,13800,13450,13700,6054
20180710,13550,13850,13450,13850,3965
20180709,13500,13700,13400,13600,4141
20180706,13750,13750,13350,13500,13132
20180705,13900,13900,13450,13750,7149
20180704,13650,14050,13600,13900,9097
20180703,13900,14150,13600,13650,17596
20180702,14600,14600,13900,14100,6662
20180629,14750,14750,14300,14600,8486
20180628,14550,14700,14350,14650,10706
20180627,14450,14500,14150,14400,4679
20180626,14400,14400,14050,14300,12155
20180625,14250,14450,14050,14450,8926
20180622,14400,14550,14000,14300,9871
20180621,14400,14550,14250,14450,4428
20180620,14050,14450,13950,14400,15536
20180619,14300,14550,14000,14250,16362
20180618,14500,14550,14200,14250,13861
20180615,14500,14500,14300,14500,9244
20180614,14650,14650,14400,14500,10528
20180612,14700,14800,14550,14550,8158
20180611,14650,14750,14500,14700,7059
20180608,14800,14800,14500,14650,9476
20180607,14650,14850,14650,14650,6458
20180605,14750,14750,14550,14700,6232
20180604,14750,14800,14400,14700,15765
20180601,14750,14950,14600,14800,10797
20180531,14900,15100,14650,14800,12220
20180530,14950,15050,14550,14950,34731
20180529,15300,15300,14700,15050,18100
20180528,15150,15400,14850,15050,37573
20180525,14800,15100,14700,15100,23872
20180524,15450,15500,15000,15200,32292
20180523,15850,15850,15350,15500,20091
20180521,16000,16000,15500,15850,15996
20180518,16150,16200,15700,15800,16998
20180517,15400,16350,15350,16050,28304
20180516,16300,16300,15300,15500,35746
20180515,16400,16650,16250,16450,34258
20180514,16100,16500,16000,16400,63113
20180511,16150,16300,15900,15950,7601
20180510,15700,16200,15600,16150,16967
20180509,16100,16100,15550,15700,14417
20180508,16100,16200,15850,15900,10140
20180504,16150,16150,15900,16100,13736
20180503,16400,16600,15900,16150,13650
20180502,16100,16400,15900,16250,28831
20180430,15600,16000,15400,16000,15385
20180427,16000,16000,15500,15600,8235
20180426,15650,15900,15450,15800,16285
20180425,16100,16100,15600,15850,10992
20180424,16000,16150,15800,16100,19005
20180423,15200,16150,15200,16000,40898
20180420,15250,15400,15150,15200,10815
20180419,14850,15250,14600,15150,29278
20180418,14850,14950,14750,14900,6056
20180417,14950,14950,14600,14700,12898
20180416,14850,14900,14800,14850,6334
20180413,15000,15000,14700,14900,9399
20180412,14950,15100,14850,15000,5195
20180411,15000,15000,14800,14950,2980
20180410,15000,15000,14650,15000,5089
20180409,15000,15000,14850,14950,4038
20180406,14950,15050,14800,15000,4635
20180405,15000,15000,14750,14950,5798
20180404,15050,15050,14650,14700,12427
20180403,15100,15100,14850,15050,5275
20180402,15100,15350,15000,15100,8925
20180330,14850,15200,14750,15150,9502
20180329,14800,14900,14750,14850,3965
20180328,14850,14850,14700,14800,5476
20180327,14800,15000,14800,14900,5980
20180326,14950,14950,14700,14800,10970
20180323,14800,15000,14650,14650,6027
20180322,14800,15200,14800,15000,13809
20180321,14950,15100,14900,15000,6215
20180320,15000,15250,15000,15000,4688
20180319,15050,15250,14950,15200,4579
20180316,14950,15250,14850,15250,6135
20180315,15000,15050,14800,15000,4022
20180314,14950,15100,14850,15000,8432
20180313,14900,15150,14800,15150,11047
20180312,15000,15200,14900,15100,14907
20180309,15150,15300,14900,15000,9796
20180308,14700,15150,14700,15050,12902
20180307,15000,15000,14750,14800,4477
20180306,15200,15200,14650,14850,13693
20180305,15050,15200,14850,14850,18423
20180302,15350,15450,15150,15350,6967
20180228,15400,15800,15300,15500,12025
20180227,15500,15500,15300,15400,4906
20180226,15400,15500,15300,15350,4472
20180223,15350,15550,15100,15400,11231
20180222,15600,15650,15300,15350,6603
20180221,15550,15650,15350,15600,4336
20180220,15850,15900,15400,15550,9548
20180219,15600,15850,15600,15850,2864
20180214,15750,15850,15300,15600,9500
20180213,15950,16100,15700,15750,5363
20180212,15750,16100,15700,15950,7530
20180209,15850,16100,15700,15750,14519
20180208,16050,16300,15950,16250,12560
20180207,16450,16450,16000,16100,8890
20180206,16100,16200,15550,16200,21218
20180205,16450,16500,16150,16200,13081
20180202,16500,16550,16200,16450,9201
20180201,16300,16600,16250,16500,11094
20180131,16200,16450,16050,16250,14612
20180130,16500,16550,16150,16200,14399
20180129,16100,16550,16100,16450,25024
20180126,16200,16350,16150,16250,9382
20180125,16000,16400,15950,16250,15738
20180124,16000,16000,15500,16000,17078
20180123,15550,15800,15300,15750,23560
20180122,15500,15650,15350,15550,11450
20180119,15600,15600,15050,15500,17235
20180118,15500,15700,15200,15550,13082
20180117,15600,15650,15150,15500,17289
20180116,15400,15600,15000,15550,16875
20180115,15600,15700,15000,15250,27743
20180112,16000,16150,15450,15500,53455
20180111,16250,16250,16000,16150,12215
20180110,16050,16300,16050,16100,7653
