,open,high,low,close,volume
20181109,18400,18400,17400,17400,27
20181108,17800,18000,16800,17800,32
20181107,16750,17650,16750,17650,813
20181106,17000,17100,16450,16450,196
20181105,16600,16700,16550,16700,330
20181102,16750,16750,16200,16600,211
20181101,15650,16900,15650,16500,185
20181031,15700,15700,15300,15700,478
20181030,14300,15750,14300,15750,434
20181029,16800,16800,15500,15800,760
20181026,16800,16800,15500,16550,586
20181025,16350,16700,15600,16550,242
20181024,17300,17300,16300,16300,183
20181023,17600,18200,17400,17550,304
20181022,17550,18300,17550,17650,25
20181019,18100,18100,17450,17650,89
20181018,18900,18900,17650,17700,792
20181017,18750,18900,18600,18900,26
20181016,19100,19100,18500,19100,76
20181015,18000,18300,18000,18300,272
20181012,18150,18400,18150,18400,24
20181011,18150,18450,18150,18450,4
20181010,18700,18700,18400,18450,90
20181008,18650,19000,18650,18650,137
20181005,19100,19350,18600,19050,84
20181004,19000,19100,18700,19100,66
20181002,18500,18900,18500,18650,10
20181001,18450,19150,18450,18950,257
20180928,18850,18850,18300,18450,287
20180927,18850,18850,18850,18850,0
20180921,18850,18850,18850,18850,1
20180920,19200,19400,18150,18900,873
20180919,19250,19400,19100,19250,30
20180918,19400,19400,19000,19250,22
20180917,19500,19500,19200,19400,13
20180914,18800,19450,18800,19250,31
20180913,18800,18800,18550,18800,182
20180912,18900,19150,18700,19150,60
20180911,19100,19100,18750,19100,17
20180910,19400,19400,19100,19100,8
20180907,19200,19500,19000,19200,65
20180906,19200,19200,19200,19200,0
20180905,19800,19800,19250,19250,23
20180904,19350,19350,18950,19250,62
20180903,18450,19350,18450,19250,33
20180831,19100,19200,18900,19000,149
20180830,18950,19000,18900,18950,20
20180829,18400,18750,18000,18750,313
20180828,19000,19000,18650,18650,132
20180827,19100,19100,18700,18950,86
20180824,18200,19150,18200,18650,103
20180823,18200,18300,17900,18200,132
20180822,18300,18300,18300,18300,4
20180821,18300,18300,18100,18200,56
20180820,18300,18300,18100,18300,36
20180817,18300,18300,17800,17900,119
20180816,18300,18300,18300,18300,7
20180814,18000,18300,18000,18300,77
20180813,18000,18000,17850,18000,13
20180810,18000,18000,17900,18000,17
20180809,18000,18000,17800,17900,45
20180808,17800,18000,17800,18000,84
20180807,17800,17800,17800,17800,6
20180806,17550,17800,17350,17800,191
20180803,17550,17550,17550,17550,0
20180802,17500,17550,17500,17550,95
20180801,17450,17500,17100,17500,131
20180731,17500,17500,17350,17450,131
20180730,17500,17500,17200,17350,19
20180727,17400,17400,17100,17400,79
20180726,17100,17500,17100,17350,1062
20180725,17100,17400,16450,17300,120
20180724,16450,16800,16300,16800,197
20180723,17400,17400,16450,16450,149
20180720,16900,17200,16700,17100,360
20180719,17400,17400,16750,16750,145
20180718,17000,17350,16900,17350,193
20180717,17350,17350,17150,17300,13
20180716,17000,17500,16950,17250,86
20180713,17450,17450,17050,17050,59
20180712,17400,17400,17200,17350,29
20180711,17150,17450,17150,17250,76
20180710,17100,17450,16800,17450,506
20180709,17000,17250,16800,17250,469
20180706,17500,17600,17200,17500,156
20180705,17400,17750,17200,17650,54
20180704,16900,17250,16900,17250,28
20180703,17200,17400,16800,17000,613
20180702,17850,17850,17150,17400,674
20180629,18450,18450,17800,18300,241
20180628,19400,19400,17900,18150,256
20180627,18300,18300,18000,18200,35
20180626,18350,18400,18100,18150,213
20180625,18400,18900,18400,18700,20
20180622,18350,18750,18000,18750,273
20180621,18650,19150,18550,18550,343
20180620,18000,19100,18000,19000,727
20180619,19400,19400,18500,18750,398
20180618,19100,19500,18700,18900,322
20180615,18650,19200,18650,19200,424
20180614,19150,19250,18650,19250,115
20180612,19200,19350,18600,19150,503
20180611,19250,19450,19200,19200,17
20180608,18400,19050,18000,18950,264
20180607,18300,19000,18050,18350,666
20180605,18300,18850,17800,18200,1976
20180604,18850,19100,18500,18650,762
20180601,19400,19500,18650,19300,922
20180531,18900,19950,18800,18800,1987
20180530,19400,19400,18650,18650,1465
