,open,high,low,close,volume
20181109,5920,5960,5750,5900,61161
20181108,5900,6000,5850,5960,21482
20181107,6000,6150,5700,5790,36253
20181106,5970,6010,5750,5960,32118
20181105,5830,5880,5730,5860,20743
20181102,5650,5930,5650,5900,33490
20181101,5650,5830,5650,5650,31111
20181031,5540,5660,5500,5620,38875
20181030,5060,5590,5000,5520,104755
20181029,5760,5890,5190,5450,76890
20181026,6230,6270,5790,5870,95817
20181025,6400,6400,6130,6200,96673
20181024,6680,6680,6300,6420,65700
20181023,6640,6870,6450,6460,91264
20181022,6700,6790,6620,6640,54937
20181019,6640,7080,6500,6750,474785
20181018,6600,6690,6580,6660,22542
20181017,6600,6950,6520,6580,90264
20181016,6340,6530,6340,6450,31042
20181015,6350,6470,6320,6340,39352
20181012,6160,6390,6130,6330,71131
20181011,6270,6580,6260,6310,115418
20181010,6960,6960,6610,6720,85072
20181008,6860,7000,6860,6920,63061
20181005,7010,7070,6880,6900,72229
20181004,7200,7200,7000,7060,104441
20181002,7210,7240,7120,7130,72380
20181001,7210,7280,7100,7150,56776
20180928,7300,7340,7160,7200,75314
20180927,7500,7500,7330,7340,59091
20180921,7420,7630,7330,7410,297738
20180920,7090,7790,7060,7310,514551
20180919,7220,7350,7070,7080,114809
20180918,7410,7460,7090,7150,93841
20180917,7400,7490,7280,7320,89072
20180914,7360,7400,7270,7310,57426
20180913,7310,7400,7210,7380,64059
20180912,7410,7450,7190,7300,81654
20180911,7620,7670,7350,7430,142064
20180910,7300,7510,7180,7490,155885
20180907,7360,7480,7220,7300,166791
20180906,7110,7400,7050,7390,218288
20180905,7230,7240,7000,7050,57538
20180904,7050,7200,7040,7190,62489
20180903,7010,7100,6980,7040,41136
20180831,7000,7080,6970,7010,49402
20180830,7070,7100,6990,7050,31560
20180829,7010,7090,7010,7070,35488
20180828,6990,7090,6960,7030,45373
20180827,6910,7060,6900,6980,95320
20180824,7110,7140,6990,7080,87668
20180823,7360,7440,7050,7100,236922
20180822,7390,7800,7250,7290,169641
20180821,7370,7450,7310,7350,47907
20180820,7550,7550,7350,7360,43084
20180817,7300,7430,7300,7430,61581
20180816,7390,7390,7160,7340,74681
20180814,7150,7380,7150,7320,42733
20180813,7430,7490,7180,7180,68199
20180810,7500,7550,7390,7420,96062
20180809,7410,7480,7360,7390,32936
20180808,7390,7490,7320,7410,62917
20180807,7700,7700,7330,7360,58855
20180806,7350,7490,7310,7380,38388
20180803,7480,7490,7360,7430,35684
20180802,7500,7570,7320,7350,48900
20180801,7360,7580,7340,7500,94903
20180731,7650,7660,7320,7390,145407
20180730,8120,8600,7580,7600,710306
20180727,7250,7570,7240,7530,104191
20180726,7020,7310,7020,7240,153457
20180725,7250,7250,6920,7000,53025
20180724,6880,7230,6880,7160,84865
20180723,6860,6960,6780,6940,73214
20180720,6910,7010,6900,6940,43138
20180719,6900,7180,6870,6940,92928
20180718,7030,7050,6800,6860,142294
20180717,7150,7150,6960,7030,68065
20180716,7340,7340,7050,7060,56925
20180713,7030,7190,7030,7170,44066
20180712,7010,7150,7010,7100,34541
20180711,7100,7120,6950,7060,31909
20180710,7080,7100,7000,7050,29876
20180709,7090,7120,6880,6970,112647
20180706,7090,7200,6970,7170,78196
20180705,7060,7190,6780,7190,68371
20180704,7200,7260,6950,7000,87674
20180703,6930,7260,6930,7100,102693
20180702,7480,7480,7000,7150,115163
20180629,7410,7470,7220,7430,98236
20180628,7200,7600,7200,7320,126187
20180627,8070,8070,7400,7400,219449
20180626,8200,8270,7920,8000,134012
20180625,8230,8390,8170,8340,67424
20180622,8330,8540,8110,8340,142729
20180621,8730,8870,8250,8330,233506
20180620,8450,8850,8210,8540,166655
20180619,8790,8990,8300,8450,164820
20180618,9160,9160,8750,8790,327672
20180615,8310,8950,8250,8800,265781
20180614,8660,8700,8270,8310,243223
20180612,9280,9300,8830,8830,369049
20180611,9200,9440,8970,9210,446072
20180608,8960,9270,8850,8970,340143
20180607,8940,9220,8750,8950,251489
20180605,8680,8980,8460,8940,274252
20180604,8930,9010,8630,8710,180611
20180601,9290,9290,8740,8760,390057
20180531,8790,9150,8710,9150,254768
20180530,9130,9150,8710,8790,307985
20180529,9510,9520,9010,9030,544543
20180528,8930,9800,8930,9640,1501810
20180525,7800,8450,7760,8140,505800
20180524,9140,9240,8790,8880,230892
20180523,8850,9190,8620,9060,354570
20180521,9150,9210,8850,9020,352990
20180518,9260,9340,9040,9250,378424
20180517,9170,9550,9070,9270,545495
20180516,9250,9820,9070,9170,854638
20180515,10550,11150,9990,10150,2224147
20180514,9560,10500,9470,9900,1640037
20180511,9580,9780,9150,9290,574041
20180510,9400,9630,9190,9480,518643
20180509,9400,9510,8840,9210,351025
20180508,9980,10100,9400,9400,679663
20180504,9480,11350,9320,10350,3466782
