,open,high,low,close,volume
20181109,77300,78900,76800,78500,109914
20181108,79000,79300,77200,77200,167733
20181107,78800,80300,77600,78100,119787
20181106,77800,79100,76600,78700,119570
20181105,79100,79100,75900,77400,149445
20181102,76800,81100,76700,78800,274126
20181101,76000,78300,74500,75000,129944
20181031,75500,77600,74100,76000,158298
20181030,74700,75900,72600,75100,184044
20181029,77600,78600,74500,74900,224169
20181026,80200,80800,75700,77600,153458
20181025,81600,82700,78800,80100,142634
20181024,83900,84500,81500,82100,131874
20181023,83900,85200,81400,82200,163877
20181022,83000,84200,80900,84200,92273
20181019,82600,83300,82000,82900,108892
20181018,82300,84200,82100,82900,163919
20181017,83000,83900,82000,82900,103775
20181016,81900,82900,81800,82500,96632
20181015,81600,83300,80600,81600,147405
20181012,81400,82100,80100,81800,164546
20181011,82900,83500,79600,79600,258435
20181010,86900,87600,83800,84500,164059
20181008,87400,88300,85200,87400,168738
20181005,87000,88500,86200,87800,157754
20181004,86600,90200,86000,87000,423416
20181002,82900,86200,82900,85700,322063
20181001,82000,83300,82000,82800,84712
20180928,83000,83000,81200,82600,153896
20180927,82700,83300,81900,83000,206722
20180921,82800,82800,81100,82000,133288
20180920,82300,82700,80500,81700,160202
20180919,83500,83900,81900,82000,107619
20180918,83300,84200,83100,83500,77979
20180917,84200,84400,83000,83600,230838
20180914,84200,85500,83400,84200,101670
20180913,84600,84600,83000,83400,149159
20180912,84900,85400,83300,84700,120095
20180911,84700,85000,83200,84800,186384
20180910,82000,84200,81800,84000,157394
20180907,82100,82300,80600,82300,111615
20180906,80900,82700,80800,81700,132363
20180905,82100,82200,80500,80800,127978
20180904,82100,82200,81200,82200,74428
20180903,82600,83700,81300,81900,123201
20180831,82000,82100,80500,81900,123570
20180830,82100,82600,81400,82300,144524
20180829,82200,82500,81100,82200,135719
20180828,79800,82700,79500,82000,205838
20180827,80400,80500,78900,79400,150801
20180824,79700,80600,79700,80400,106645
20180823,80000,80500,79500,79700,175607
20180822,79800,80100,79100,79900,131361
20180821,79400,80100,79300,79700,118410
20180820,79200,79800,78400,79400,102880
20180817,79000,79900,77800,78300,102388
20180816,78600,79400,78100,78900,142495
20180814,78500,78700,76900,78700,127283
