,open,high,low,close,volume
20181109,30900,31050,30550,30750,3373
20181108,30900,31050,30750,30900,1517
20181107,30750,31250,30350,30750,2534
20181106,30350,31150,30350,30750,905
20181105,31200,31200,30200,30450,3493
20181102,30300,32300,30300,31450,10007
20181101,30350,31300,29800,29800,5240
20181031,30500,30700,30300,30350,16558
20181030,30200,30750,29450,30600,1658
20181029,30800,31200,30000,30250,5777
20181026,31350,31350,30400,30900,9309
20181025,32200,32200,31200,31600,2144
20181024,32600,32800,31900,32250,2056
20181023,32800,32800,32150,32600,13083
20181022,32300,32700,31850,32700,2435
20181019,32050,32250,31400,32250,5671
20181018,32300,32500,31450,32100,7832
20181017,32150,32550,32150,32300,2493
20181016,32300,32400,31900,32150,4132
20181015,32350,32400,31750,32100,2197
20181012,31700,32350,31650,32350,4189
20181011,33000,33000,31700,31700,11936
20181010,34400,34400,33500,33550,7518
20181008,34300,34450,34150,34400,5587
20181005,34200,34450,33850,34300,17651
20181004,33700,34800,33700,34300,14790
20181002,32200,33800,32200,33700,10331
20181001,32400,32500,32200,32400,856
20180928,32300,32400,31750,32400,914
20180927,31800,32400,31800,32200,3135
20180921,32250,32250,31650,31650,4401
20180920,32350,32350,31600,32200,5057
20180919,32400,32400,31850,32300,1791
20180918,32300,32400,31850,32400,3432
20180917,32700,32700,31950,32400,1154
20180914,31950,32500,31950,32450,4362
20180913,32250,32250,31850,32200,2890
20180912,32500,32500,31850,32250,3923
20180911,32800,32850,32050,32450,15118
20180910,31900,32700,31850,32600,5206
20180907,31700,31850,31300,31850,7655
20180906,31500,32400,31250,31900,15795
20180905,32400,32400,31750,31800,1991
20180904,32750,33000,32100,32550,6121
20180903,32750,33400,32450,32450,5720
20180831,32550,32850,32500,32650,1051
20180830,32650,32900,32500,32750,5041
20180829,31950,32500,31550,32450,4134
20180828,31100,32300,31100,31900,14759
20180827,31700,31700,31050,31050,13741
20180824,31800,32000,31300,31700,26134
20180823,32250,32250,31150,31700,31315
20180822,32000,32200,31650,32150,2712
20180821,31700,32150,31450,32000,7716
20180820,31500,32000,31500,31900,35128
20180817,31100,31650,31050,31500,75224
20180816,31250,31300,30950,31000,60359
20180814,31200,31500,31150,31400,13852
20180813,31700,31800,31200,31500,6425
20180810,31400,31800,31300,31700,2411
20180809,31400,31650,31250,31400,2531
20180808,31600,31650,31150,31400,4295
20180807,31800,32050,31700,31800,819
20180806,32100,32100,31650,31800,842
20180803,31600,32250,31600,32150,3461
20180802,31350,31400,31100,31400,1269
20180801,31100,31350,31050,31350,1859
20180731,31400,31400,30650,31000,4818
20180730,31000,31400,31000,31100,853
20180727,31000,31000,30650,30800,1326
20180726,30900,31250,30900,31100,1505
20180725,30700,31200,30700,30900,1184
20180724,30800,31100,30650,31100,1587
20180723,30750,31200,30700,30800,3318
20180720,30800,30800,30400,30800,727
20180719,30500,30850,30500,30800,923
20180718,31450,31450,30800,30850,1236
20180717,30950,31550,30600,31450,4622
20180716,31000,31200,30400,30700,2180
20180713,30450,31050,30450,30850,3732
20180712,30550,31150,30550,30700,1476
20180711,30350,30900,30200,30850,3162
20180710,30650,30900,30450,30700,3954
20180709,30900,31100,30300,30650,1039
20180706,30400,31350,30400,31200,2547
20180705,30900,30900,30000,30400,7185
20180704,31100,31100,30500,30900,3338
20180703,30450,32000,30000,31350,6500
20180702,31600,31600,30150,30150,4949
20180629,31000,31600,31000,31600,2517
20180628,31900,31900,30500,30800,6985
20180627,33600,33600,31400,31800,1938
20180626,33300,33600,32300,33350,5774
20180625,31800,33500,31800,33300,6457
20180622,31900,32100,31500,32100,3959
20180621,32100,32350,31700,31900,3301
20180620,31750,32250,31650,32100,8223
20180619,32200,32650,31800,31900,7374
20180618,32850,33000,32400,32450,8283
20180615,33800,33800,32900,33000,8945
20180614,34700,34700,33250,33450,9691
20180612,35100,35100,33850,34750,9927
20180611,34800,35350,34500,34800,6361
20180608,34850,35100,34100,34650,4953
20180607,34850,35250,34550,34850,4278
20180605,33700,34850,33700,34850,5423
20180604,34400,34800,33500,34300,14765
20180601,34550,34900,33800,34450,9965
20180531,34650,35550,33950,34550,10303
20180530,34550,34650,33600,34550,10608
20180529,36600,36600,34550,34600,22710
20180528,34700,36750,34500,36600,88120
20180525,32850,34450,32550,33250,13302
20180524,35200,35200,34350,34500,9313
20180523,35600,35600,34350,35200,13135
20180521,35400,35800,34650,35600,15432
20180518,34300,35450,33950,35400,15144
20180517,34400,35000,33600,34300,8381
20180516,34900,35300,33650,34350,18305
20180515,36450,36450,35050,35750,31904
20180514,34000,36550,34000,35700,66313
20180511,34050,34250,33700,34000,5216
20180510,34000,35400,33450,34050,15030
20180509,33950,33950,32500,33400,8437
20180508,34700,35000,33450,33600,7910
20180504,33650,34700,33450,34650,19613
20180503,34650,34700,33650,33750,12070
20180502,34200,34500,33500,34250,19215
20180430,32600,34300,32600,33750,19116
20180427,34000,34000,32050,32450,11853
20180426,33150,33350,32550,33000,4582
20180425,32650,33400,32200,33250,16692
20180424,32600,32850,32450,32800,13194
20180423,32300,33000,32000,32700,16494
20180420,31950,32000,31650,31800,2038
20180419,31800,32100,31300,32000,7146
20180418,31100,31750,31100,31750,2939
20180417,31150,31150,30500,31000,3537
20180416,31200,31600,30600,30900,2883
20180413,31000,31800,30950,31600,21446
20180412,30550,31700,30550,31300,9650
20180411,31200,31200,30600,30700,1386
20180410,30800,31150,30700,31000,6507
20180409,30250,31450,30250,31100,21622
20180406,29650,30400,29350,30050,19354
20180405,28800,29700,28800,29650,6494
20180404,28650,28950,28600,28800,3321
20180403,28700,28850,28350,28850,1094
20180402,28950,29100,28400,29000,3139
20180330,28500,28900,28450,28750,4852
20180329,29150,29150,28300,28500,5527
20180328,29050,29150,28800,29150,3595
20180327,28800,29500,28800,29350,8582
20180326,28500,28700,28350,28700,743
20180323,29350,29350,28100,28400,6009
20180322,29500,29500,29050,29100,1877
20180321,29550,29550,29150,29300,1916
20180320,29450,29550,29000,29550,3090
20180319,29650,29650,29150,29400,5058
20180316,29500,29750,29300,29650,3106
20180315,29700,29900,29500,29700,1431
20180314,29500,29950,29200,29600,1569
20180313,30450,30450,29550,29700,3469
20180312,30000,30550,30000,30450,4782
20180309,29650,30200,29400,30000,8901
20180308,29400,29700,29150,29450,1234
20180307,30000,30000,29100,29400,3827
20180306,29700,29950,29600,29850,3497
20180305,29900,30300,29700,29700,5511
20180302,30700,30850,29900,30600,3181
20180228,30700,31000,30100,31000,3882
20180227,31600,31600,30450,31000,4743
20180226,30650,31800,30600,31600,9344
20180223,30100,30750,30050,30650,6542
20180222,29950,30300,29750,29800,3507
20180221,29950,30350,29800,30350,855
20180220,29900,30200,29750,29800,2734
20180219,29900,30500,29750,29900,7609
20180214,30300,30300,29600,29650,7142
20180213,30400,30700,30000,30300,1444
20180212,30450,30450,29950,30400,3346
20180209,30600,30600,29900,30450,6957
20180208,30750,31100,30200,30300,3233
20180207,30800,30850,30450,30500,5192
20180206,30500,30750,30150,30750,4694
20180205,31000,31650,30600,31350,9101
20180202,32250,32250,31050,31200,18072
20180201,32200,32200,31750,32150,5605
20180131,32050,32200,31700,32100,8720
20180130,32000,32450,31800,32050,12035
20180129,31700,32000,31550,32000,14468
20180126,33300,33300,31350,31850,32900
20180125,33600,34400,33200,34200,14040
20180124,33950,34000,33300,33600,7990
20180123,33550,34000,33400,33950,6647
20180122,33800,33800,33200,33550,4031
20180119,33150,33900,33150,33800,5907
20180118,33600,33650,33000,33400,8081
20180117,33700,33750,32950,33700,8549
20180116,33850,34000,33050,33400,8858
20180115,34000,34200,33300,33550,10254
20180112,34650,34650,33400,33700,4139
20180111,34700,34800,33750,34000,7353
20180110,33850,35300,33850,34650,16579
20180109,34250,34250,33650,33850,14033
20180108,34000,34600,33500,34600,12409
20180105,34300,34650,34000,34300,9667
20180104,33300,34500,32750,34300,16686
20180103,33000,33350,32750,33300,27947
20180102,33100,33100,32700,33000,23080
20171228,32600,33100,32500,33100,7478
20171227,32800,33100,32650,32750,10886
20171226,33600,33600,33200,33450,7702
20171222,33500,33500,33000,33500,4734
20171221,33600,35000,33000,33450,33906
20171220,33700,33700,33150,33400,19371
20171219,33700,33950,33300,33500,6213
20171218,33800,35000,33450,33500,19191
20171215,33500,33800,33050,33800,4801
20171214,33500,33700,33100,33700,7467
20171213,33250,33450,32950,33450,10113
20171212,33150,33250,32800,33100,1404
20171211,33100,33350,32950,33150,5387
20171208,33450,33450,32900,33100,6310
20171207,33550,33600,33100,33450,7192
20171206,34400,34400,33600,33850,5725
20171205,34250,34400,33600,34350,17851
20171204,33800,34300,33500,33800,2882
20171201,33800,33800,33200,33800,6219
20171130,33400,33750,33150,33650,4536
20171129,34050,34400,33100,33700,10576
20171128,33400,34150,33200,34000,12026
20171127,33800,33950,33250,33400,4353
20171124,33800,33900,33300,33650,5200
20171123,33550,33900,33050,33800,6825
20171122,33250,33600,33050,33500,7561
