,open,high,low,close,volume
20181109,22850,23550,22800,23400,141441
20181108,22600,23300,22550,22950,136032
20181107,22500,23150,22300,22300,149539
20181106,22300,22700,22200,22600,65977
20181105,22600,22800,21850,22200,102921
20181102,22600,22950,22500,22850,127999
20181101,22650,23200,22300,22550,100296
20181031,22300,22750,21750,22550,99483
20181030,22050,22750,21500,22250,154893
20181029,22450,23400,22100,22300,137554
20181026,23550,23600,21950,22900,230041
20181025,23850,24300,23000,23550,168037
20181024,23900,24650,23750,24350,228473
20181023,24950,25300,24100,24250,123089
20181022,24850,25100,24450,24950,68950
20181019,24000,24900,24000,24850,194775
20181018,24500,24750,24100,24250,113942
20181017,24700,25050,24400,24750,105083
20181016,24900,25100,24300,24450,134849
20181015,24200,25000,24050,24700,118571
20181012,24550,24700,24000,24200,121330
20181011,24300,24850,24300,24300,189232
20181010,25200,25350,24650,25100,155862
20181008,25000,25800,24750,25200,133517
20181005,25300,25300,24650,25000,114532
20181004,25250,25550,25000,25300,81454
20181002,25450,25800,25200,25300,69768
20181001,26000,26250,25500,25650,78490
20180928,25850,26300,25700,26250,82604
20180927,25300,26150,25300,25900,110257
20180921,25900,25900,25250,25400,152635
20180920,26450,26700,25550,25700,159597
20180919,26850,26900,26500,26550,77006
20180918,26550,27150,26450,27100,61445
20180917,27000,27100,26600,26750,50250
20180914,26800,27550,26800,27250,69867
20180913,27000,27400,26600,26900,156077
20180912,27750,27750,26500,27000,197181
20180911,27000,27900,27000,27500,142752
20180910,26800,27350,26450,27100,118281
20180907,27400,27600,26650,27050,109469
20180906,26400,27500,26400,27300,189087
20180905,26500,26950,26300,26400,117130
20180904,27150,27150,26350,26500,88389
20180903,26650,27150,26550,26900,109898
20180831,26800,26950,26300,26600,121774
20180830,27050,27450,26650,26800,106085
20180829,27100,27150,26550,26800,105713
20180828,27250,27450,26800,27000,146073
20180827,27450,27650,26900,27050,135302
20180824,27500,27700,27300,27450,112595
20180823,26850,27800,26850,27500,199935
20180822,27550,27650,26600,26850,224499
20180821,27950,28000,27300,27650,204007
20180820,27450,28200,27450,27750,329515
20180817,27100,27900,26800,27400,381210
20180816,25600,27150,25300,27100,904657
20180814,24350,24750,24250,24500,90005
20180813,24950,25150,24150,24400,138015
20180810,24500,25300,24350,25150,188969
20180809,24250,24650,24150,24350,138509
20180808,24550,24700,24200,24250,118577
20180807,24950,25000,24400,24550,109973
20180806,24900,25250,24850,24950,51211
20180803,24750,25400,24650,24950,117850
20180802,25000,25300,24550,24750,75991
20180801,24700,25300,24700,25100,118263
20180731,24800,24800,24500,24600,88074
20180730,25600,25600,24650,24800,136501
20180727,26300,26300,25450,25600,81044
20180726,25500,26350,25400,26150,209134
20180725,25100,25400,25000,25250,83555
20180724,25050,25150,24650,25000,84723
20180723,24750,25200,24600,25100,122709
20180720,24150,24750,23900,24750,128331
20180719,24950,25000,24050,24100,192640
20180718,25500,25500,24600,24700,160181
20180717,25650,25900,25100,25450,104996
20180716,26600,26600,25400,25650,211692
20180713,26800,26850,26400,26600,86107
20180712,26500,27150,26450,26750,170279
20180711,26400,26600,26050,26400,100349
20180710,27200,27300,26500,26600,135568
20180709,26500,27050,26150,27050,176195
20180706,25700,26700,25700,26650,127539
20180705,26550,26550,25200,25850,122103
