,open,high,low,close,volume
20181109,12350,12450,12050,12250,1744
20181108,12000,12400,12000,12200,2537
20181107,12000,12400,11800,11900,6539
20181106,11650,12000,11650,11950,5981
20181105,11750,11750,11650,11750,1247
20181102,11600,11950,11600,11900,998
20181101,11400,11750,11400,11600,990
20181031,11200,11450,11200,11400,871
20181030,11450,11450,10800,11150,9258
20181029,11600,11850,11300,11300,4631
20181026,12200,12200,11500,11600,8745
20181025,12200,12400,11900,12000,12755
20181024,12600,12600,12300,12400,4635
20181023,12600,12700,12450,12600,8187
20181022,12600,12600,12450,12600,1313
20181019,12500,12600,12300,12600,5543
20181018,12650,12700,12500,12600,1750
20181017,12800,12800,12500,12600,1426
20181016,12600,12800,12600,12800,674
20181015,12450,12950,12350,12550,3639
20181012,12300,12500,12300,12400,5647
20181011,12700,12800,12300,12300,7598
20181010,12900,13050,12750,12850,3085
20181008,13000,13350,12800,13050,1592
20181005,12900,13000,12800,13000,3533
20181004,13100,13150,12900,13000,4683
20181002,13100,13150,12900,13100,1931
20181001,13100,13150,12950,13100,2099
20180928,13050,13100,12950,13100,1653
20180927,12950,13150,12850,13050,3399
20180921,12850,13000,12850,13000,2678
20180920,13000,13100,12800,12950,5278
20180919,13350,13350,13000,13000,7436
20180918,13450,13450,13150,13250,4749
20180917,13550,13550,13250,13400,1711
20180914,13500,13700,13400,13550,2084
20180913,13350,13450,13350,13450,3083
20180912,13350,13400,13200,13350,1356
20180911,13350,13400,13050,13350,3332
20180910,13300,13350,13050,13350,680
20180907,13100,13350,13100,13300,1120
20180906,13100,13250,12950,13200,1322
20180905,13250,13300,13000,13000,2802
20180904,13300,13300,13050,13150,2025
20180903,13200,13400,13150,13200,796
20180831,13150,13400,13100,13400,7828
20180830,13250,13450,13250,13350,381
20180829,13400,13400,13250,13350,1148
20180828,13350,13500,13250,13300,1198
20180827,13300,13400,13200,13350,1086
20180824,13300,13450,13300,13300,555
20180823,13200,13500,13200,13400,3352
20180822,13150,13450,12900,13200,7209
20180821,13350,13400,13000,13150,7305
20180820,13350,13600,13250,13350,7025
20180817,13400,13550,13150,13250,9142
20180816,12850,13500,12850,13400,18738
20180814,12700,12750,12600,12750,1298
20180813,12750,12750,12600,12600,2250
20180810,12750,12800,12650,12700,1087
20180809,12750,12750,12650,12750,3067
20180808,12750,12800,12650,12750,1362
20180807,12800,12800,12600,12700,2219
20180806,12600,12800,12600,12750,1880
20180803,12650,12800,12500,12650,4886
20180802,12800,12900,12650,12650,948
20180801,12800,12850,12650,12800,840
20180731,12750,12800,12650,12800,593
20180730,12850,12850,12600,12750,1804
20180727,13100,13100,12700,12850,2139
20180726,12600,13050,12600,12950,4902
20180725,12600,12750,12500,12650,7078
20180724,12600,12800,12450,12650,7776
20180723,12700,12750,12550,12650,6461
20180720,12600,12850,12600,12700,2729
20180719,12700,12900,12500,12750,8328
20180718,13000,13000,12600,12700,7749
20180717,13000,13100,12550,12950,14278
20180716,13500,13500,12750,13000,8461
20180713,13150,13300,13000,13250,8610
20180712,13200,13350,12950,13150,14345
20180711,13750,13800,13050,13100,30824
20180710,14150,14200,13550,13700,47125
20180709,13500,15100,13150,14450,230438
20180706,13350,13650,12850,13050,13969
20180705,12950,13700,12650,13250,20790
20180704,12600,12950,12550,12900,2982
20180703,12750,12900,12550,12750,1571
20180702,12950,13000,12650,12650,5383
20180629,12850,13000,12600,13000,5927
20180628,13000,13100,12600,12850,11543
20180627,13100,13150,12950,13050,2266
20180626,13400,13450,13100,13200,1761
20180625,13200,13500,13100,13500,2043
20180622,13100,13400,13050,13200,5868
20180621,13650,13650,13100,13250,13038
20180620,13850,13850,13550,13750,2963
20180619,13800,14100,13750,13750,10724
20180618,14100,14400,13550,13800,17543
20180615,13900,14300,13600,14050,12681
20180614,13600,13950,13550,13800,10983
20180612,14000,14100,13500,13700,13703
20180611,13950,14150,13700,13750,12541
20180608,14100,14350,13750,13900,11294
20180607,13700,14150,13700,14100,17625
20180605,13450,13800,13250,13700,14154
20180604,13700,13750,13400,13450,22619
20180601,13150,13650,13000,13450,29416
20180531,12800,13250,12800,13150,16106
20180530,13100,13100,12700,12750,20698
20180529,13350,13350,12950,13100,22260
20180528,13300,13300,12800,13300,33616
20180525,12850,13550,12800,13050,45374
20180524,13750,13750,13050,13100,56347
20180523,15150,15350,13850,13850,134704
20180521,14650,16450,13800,15150,355859
20180518,12850,15350,12800,14150,114030
20180517,13000,13250,12700,13050,9895
20180516,13100,13350,12950,13000,1749
20180515,13500,13500,13000,13350,1728
20180514,13500,13550,13250,13350,2540
20180511,13500,13500,13100,13350,2247
20180510,13200,13550,12900,13500,4548
20180509,12900,13100,12900,13100,1256
20180508,13000,13000,12800,13000,590
20180504,12750,13100,12750,13000,933
20180503,13050,13050,12850,12900,1869
20180502,13150,13150,13000,13000,2553
20180430,13450,13450,12900,13100,5858
20180427,13100,13100,12950,13000,637
20180426,13000,13050,12950,13000,1898
20180425,13000,13050,12900,12950,3227
20180424,12950,12950,12850,12950,485
20180423,12950,13000,12750,12950,1124
20180420,12800,12950,12750,12950,625
20180419,12700,12850,12700,12800,2449
20180418,12700,12800,12650,12750,1613
20180417,12950,13000,12150,12700,9619
20180416,12900,12900,12750,12800,1764
20180413,12850,12850,12800,12850,1250
20180412,12850,13000,12750,12900,1190
20180411,12800,12900,12750,12850,2095
