,open,high,low,close,volume
20181109,3610,3615,3530,3610,4276
20181108,3490,3605,3490,3605,12058
20181107,3490,3590,3485,3520,17193
20181106,3450,3565,3450,3490,25878
20181105,3465,3550,3375,3515,8279
20181102,3350,3530,3350,3495,7891
20181101,3295,3380,3275,3350,13106
20181031,3210,3340,3205,3230,10981
20181030,3000,3385,3000,3210,41165
20181029,3420,3550,3085,3100,25970
20181026,3650,3690,3360,3460,55205
20181025,3510,3820,3500,3690,39906
20181024,3695,3700,3645,3655,18063
20181023,3700,3770,3650,3655,36670
20181022,3785,3830,3755,3770,5994
20181019,3760,3800,3720,3785,10944
20181018,3790,3845,3750,3785,21091
20181017,3840,3890,3805,3820,9102
20181016,3755,3835,3755,3800,17139
20181015,3790,3900,3760,3795,17320
20181012,3630,3800,3630,3790,26170
20181011,3900,3900,3750,3770,47948
20181010,4120,4120,3900,3915,58955
20181008,4170,4210,4055,4060,49716
20181005,3895,4280,3860,4095,215466
20181004,3950,3970,3840,3860,46709
20181002,4025,4025,3940,3955,29263
20181001,4000,4035,3990,3990,22309
20180928,4045,4045,3980,4000,17343
20180927,3985,4040,3985,4015,23004
20180921,4000,4070,3985,4010,33233
20180920,4010,4040,3980,4030,64790
20180919,4125,4150,4010,4010,79366
20180918,3990,4900,3990,4145,876225
20180917,4050,4050,4015,4035,8594
20180914,4050,4095,4045,4045,14174
20180913,4090,4170,4020,4095,29489
20180912,4120,4130,4000,4095,18570
20180911,4070,4105,4005,4090,7722
20180910,4020,4070,4000,4070,10561
20180907,3990,4025,3975,3995,22395
20180906,3955,4035,3955,3990,13248
20180905,4050,4110,4000,4000,30463
20180904,4110,4120,4065,4065,7056
20180903,4130,4160,4085,4090,11310
20180831,4150,4150,4090,4115,5680
20180830,4070,4150,4060,4150,9882
20180829,4120,4120,4070,4070,16976
20180828,4130,4130,4030,4090,14619
20180827,4130,4190,4070,4070,17387
20180824,4120,4135,4010,4100,7603
20180823,4065,4135,4045,4070,11098
20180822,4010,4090,4005,4065,12608
20180821,4040,4095,4005,4090,6446
20180820,4055,4070,4005,4020,4846
20180817,4090,4100,4000,4055,2882
20180816,4125,4165,3870,4040,19465
20180814,4035,4265,4035,4165,8219
20180813,4140,4175,4040,4075,7064
20180810,4095,4145,4060,4145,10128
20180809,4020,4125,4015,4100,20038
20180808,4120,4140,4025,4030,14851
20180807,4125,4180,4100,4145,5343
20180806,4185,4185,4105,4135,10268
20180803,4200,4250,4125,4185,5741
20180802,4105,4245,4085,4200,17505
20180801,4120,4175,4065,4170,22842
20180731,4175,4175,4060,4125,12754
20180730,4020,4260,4020,4135,82409
20180727,4000,4030,3975,4020,9339
20180726,3940,4010,3940,4000,7875
20180725,3860,4000,3810,3960,25206
20180724,3730,3975,3730,3850,28034
20180723,3935,3935,3775,3775,29394
20180720,3945,4000,3850,3925,27721
20180719,3985,4015,3940,3945,15553
20180718,4050,4050,3985,3985,8940
20180717,4015,4050,3990,4005,8058
20180716,3990,4065,3980,4015,11477
20180713,3995,4050,3960,3995,14939
20180712,3955,4020,3950,3995,23182
20180711,3950,4000,3945,3980,13481
20180710,3920,4080,3920,3970,15795
20180709,4040,4235,3860,3920,70256
20180706,4010,4195,4010,4040,13480
20180705,4175,4245,4010,4010,35361
20180704,4210,4290,4110,4215,16790
20180703,4045,4240,4045,4210,39590
20180702,4285,4290,4045,4055,35448
20180629,4250,4345,4060,4285,97734
20180628,4285,4465,4245,4315,41082
20180627,4530,4585,4335,4350,52501
20180626,4555,4615,4490,4530,19365
20180625,4460,4625,4460,4605,33277
20180622,4550,4675,4455,4480,27437
20180621,4610,4670,4580,4580,24869
20180620,4635,4690,4550,4610,40555
20180619,4425,4700,4410,4700,112257
20180618,4560,4590,4455,4460,52925
20180615,4500,4660,4500,4590,29779
20180614,4695,4695,4510,4585,79616
20180612,4780,4855,4665,4710,81995
20180611,4910,4910,4765,4780,69052
20180608,4680,4865,4650,4740,118275
20180607,4620,4725,4620,4635,56961
20180605,4610,4710,4550,4620,73885
20180604,4650,4795,4640,4675,59174
20180601,4805,4805,4610,4645,108653
20180531,4895,4895,4730,4750,95163
20180530,4950,4950,4710,4900,168660
20180529,5190,5190,4850,4850,293117
20180528,4860,5580,4840,5190,1125083
20180525,4495,4630,4355,4580,227316
20180524,5050,5050,4750,4830,190969
20180523,4935,5100,4900,5000,181429
20180521,5100,5110,4890,4935,81049
20180518,5090,5100,4945,5090,65602
20180517,4955,5160,4945,5060,145452
20180516,5140,5240,4925,4925,278689
20180515,5460,5470,5250,5380,227514
20180514,5500,5540,5230,5460,744814
20180511,4925,5340,4895,5300,692001
20180510,4980,5460,4890,5000,897882
20180509,4910,5080,4610,4805,312387
20180508,5110,5230,4895,4895,370774
20180504,4675,5660,4675,5160,1549873
20180503,4995,4995,4685,4760,330062
20180502,4500,5250,4435,5100,1609945
20180430,4285,4710,4145,4355,325134
20180427,4375,4375,4275,4285,52865
20180426,4320,4395,4285,4350,32140
20180425,4480,4480,4315,4355,50251
20180424,4555,4555,4400,4490,25601
20180423,4380,4530,4350,4530,68781
20180420,4390,4390,4335,4385,48259
20180419,4380,4390,4320,4390,65894
20180418,4285,4380,4275,4320,46494
20180417,4365,4425,4200,4280,65986
20180416,4360,4380,4290,4365,25098
20180413,4350,4390,4265,4315,80986
20180412,4425,4505,4240,4305,57888
20180411,4335,4475,4295,4425,45430
20180410,4380,4395,4230,4280,54472
20180409,4465,4465,4280,4360,75339
20180406,4550,4620,4430,4465,43711
20180405,4595,4645,4530,4530,34756
20180404,4700,4700,4545,4555,43812
20180403,4700,4725,4605,4660,54239
20180402,4945,4945,4650,4730,92044
20180330,4645,4700,4595,4630,49871
20180329,4700,4780,4595,4670,34726
20180328,4480,4710,4475,4675,57487
20180327,4470,4650,4450,4565,50036
20180326,4580,4600,4400,4440,70197
20180323,4785,4785,4420,4450,232659
20180322,4890,4910,4800,4805,73755
20180321,4860,5040,4785,4910,351366
20180320,4910,5030,4775,4805,168565
20180319,4830,4890,4750,4820,50930
20180316,4890,4920,4775,4830,49827
20180315,4950,4950,4800,4855,86717
20180314,5010,5250,4720,4955,549129
20180313,4720,4950,4670,4930,168508
20180312,4645,4710,4600,4710,41492
20180309,4505,4595,4415,4590,45367
20180308,4680,4680,4410,4500,73682
20180307,4755,4765,4610,4610,59867
20180306,4740,4850,4640,4755,78822
20180305,4615,4885,4610,4725,45099
20180302,4950,4985,4800,4835,109667
20180228,4905,5050,4875,4980,217527
20180227,4880,4950,4770,4945,133444
20180226,4810,4880,4760,4880,130272
20180223,4650,5050,4590,4800,449298
20180222,4590,4640,4515,4625,99715
20180221,4655,4665,4400,4590,56113
20180220,4685,4685,4615,4655,56246
20180219,4745,4745,4605,4685,100929
20180214,4615,4735,4555,4670,102743
20180213,4455,4600,4415,4590,103621
20180212,4395,4600,4390,4425,97975
20180209,4190,4520,4190,4390,68417
20180208,4300,4400,4240,4395,73624
20180207,4365,4455,4315,4345,118860
20180206,4150,4340,4090,4340,103316
20180205,4445,4445,4290,4290,116836
20180202,4730,4730,4510,4510,130550
20180201,4870,4895,4720,4730,133467
20180131,4780,4960,4780,4875,215826
20180130,4780,4900,4655,4900,252874
20180129,4645,5310,4590,4740,1246077
20180126,4725,4730,4515,4590,322453
20180125,4450,4890,4450,4720,852324
20180124,4520,4550,4300,4430,652453
20180123,3810,4950,3795,4315,2302272
20180122,3810,3840,3770,3810,37476
20180119,3850,3850,3780,3810,8789
20180118,3820,3830,3775,3810,8919
20180117,3825,3825,3740,3775,10597
20180116,3780,3835,3715,3780,12835
20180115,3830,3850,3750,3800,27396
20180112,3915,3915,3780,3825,17554
20180111,3940,3940,3835,3835,11793
20180110,3870,3985,3730,3910,55126
20180109,3705,3940,3690,3880,115774
20180108,3650,4100,3640,3725,305898
20180105,3685,3685,3615,3640,12399
20180104,3670,3700,3580,3635,33786
20180103,3730,3730,3645,3700,27065
20180102,3740,3785,3700,3755,6130
20171228,3805,3835,3680,3740,13977
20171227,3850,3880,3810,3840,8276
20171226,3755,3880,3750,3880,38271
20171222,3720,3785,3715,3755,22711
20171221,3760,3785,3700,3750,19589
20171220,3850,3850,3710,3745,17384
20171219,3855,3860,3780,3845,38574
20171218,3900,3920,3835,3850,33205
20171215,3840,3935,3785,3920,38482
20171214,3765,3845,3755,3820,10571
20171213,3770,3770,3695,3765,6491
20171212,3705,3720,3675,3700,11624
20171211,3720,3720,3670,3705,10593
20171208,3815,3840,3720,3720,30988
