,open,high,low,close,volume
20181109,860,1035,860,944,7920918
20181108,853,874,853,865,106868
20181107,868,885,829,833,285460
20181106,872,897,835,867,445306
20181105,839,871,829,866,212689
20181102,795,840,795,840,240900
20181101,789,799,785,792,114794
20181031,764,795,738,788,246988
20181030,732,764,725,751,330927
20181029,775,806,750,750,311492
20181026,741,790,741,775,344769
20181025,760,760,725,748,257473
20181024,785,793,722,765,287996
20181023,800,801,762,782,154724
20181022,819,819,790,797,79486
20181019,816,828,793,816,141429
20181018,825,841,805,830,58107
20181017,823,830,810,824,85022
20181016,820,836,808,815,69324
20181015,785,863,785,820,376100
20181012,730,803,730,785,127400
20181011,770,810,766,766,234075
20181010,804,820,780,808,344882
20181008,828,846,812,815,241767
20181005,870,870,844,845,185146
20181004,885,895,864,868,113908
20181002,847,895,842,885,706978
20181001,903,921,900,906,67094
20180928,909,910,885,903,161494
20180927,909,923,901,905,105371
20180921,911,919,902,908,75832
20180920,905,914,896,912,246317
20180919,934,934,909,920,182787
20180918,917,930,891,930,355734
20180917,941,945,910,915,371519
20180914,957,959,940,940,117377
20180913,944,954,932,943,163665
20180912,960,967,940,944,239433
20180911,955,965,950,960,173161
20180910,952,971,947,960,308989
20180907,959,970,938,948,353871
20180906,967,975,958,960,234238
20180905,969,999,959,973,578238
20180904,960,1055,950,964,2342053
20180903,950,960,948,960,112039
20180831,958,958,942,951,178214
20180830,964,964,952,955,212264
20180829,957,967,956,962,166016
20180828,945,973,945,957,277132
20180827,986,986,939,939,662412
20180824,1000,1000,984,985,339169
20180823,1005,1010,995,996,304320
20180822,1015,1025,1000,1005,196155
20180821,1005,1025,999,1020,173720
20180820,1000,1015,998,1010,240451
20180817,1000,1020,996,1000,198491
20180816,1000,1010,985,1000,178492
20180814,1000,1015,997,1000,191600
20180813,1030,1040,992,1005,1561111
20180810,1030,1075,1010,1040,591083
20180809,1040,1050,1020,1030,369443
20180808,1085,1090,1030,1040,812169
20180807,1110,1120,1070,1085,549131
20180806,1150,1200,1065,1090,2246578
20180803,1085,1150,1080,1140,641887
20180802,1115,1115,1075,1085,311519
20180801,1110,1120,1085,1110,314242
20180731,1135,1150,1080,1110,597121
20180730,1025,1160,1025,1145,1782446
20180727,1000,1025,986,1015,157127
20180726,990,1025,986,1005,116048
20180725,1030,1030,985,988,296404
20180724,1020,1040,1000,1010,129326
20180723,1065,1065,1015,1020,218641
20180720,1050,1065,1040,1045,242099
20180719,1065,1070,1050,1050,143511
20180718,1060,1085,1040,1050,344614
20180717,1065,1085,1050,1065,209411
20180716,1060,1090,1030,1065,432117
20180713,1095,1105,1060,1060,395250
20180712,1085,1120,1085,1095,337674
20180711,1065,1115,1035,1095,602279
20180710,1025,1060,1025,1050,351431
20180709,1030,1050,1020,1030,516249
