,open,high,low,close,volume
20181109,13700,13700,13250,13550,16255
20181108,13200,13500,12850,13400,36657
20181107,13500,13800,13050,13400,19934
20181106,12700,14000,12550,13500,72465
20181105,12250,12700,12050,12700,36257
20181102,12000,12700,11850,12500,25687
20181101,12150,12150,11650,11850,18944
20181031,11700,11700,11000,11550,13501
20181030,10450,11550,10450,11450,24369
20181029,12000,12250,10800,11000,46274
20181026,12600,13000,12100,12350,34200
20181025,12300,12650,12050,12550,20407
20181024,12650,13300,12550,12650,41448
20181023,12950,13300,12500,12550,35510
20181022,13500,13500,12700,13200,66337
20181019,16300,16500,13300,13500,189510
20181018,14400,14900,14050,14900,72316
20181017,13900,14550,13600,14400,112919
20181016,13400,13850,13000,13550,84334
20181015,13900,14150,12900,13300,93855
20181012,14550,15250,13800,14250,113693
20181011,14150,14600,13000,14550,246158
20181010,12800,16350,12800,14050,1249740
20181008,12000,12750,12000,12600,35800
20181005,12000,12200,11900,12050,12110
20181004,11950,12100,11800,12050,10409
20181002,12000,12000,11700,11900,10178
20181001,11900,12100,11850,11900,10039
20180928,11900,11950,11700,11850,5797
20180927,12000,12000,11800,11950,3388
20180921,12000,12050,11700,11900,16540
20180920,11750,12000,11700,11850,7031
20180919,11800,12000,11750,11900,5514
20180918,11950,11950,11700,11800,12777
20180917,12000,12000,11850,12000,4036
20180914,11900,12000,11850,12000,5897
20180913,12050,12100,11650,11900,9995
20180912,11950,12000,11800,12000,5547
20180911,11800,12000,11800,11900,4689
20180910,12000,12000,11700,11950,7696
20180907,12100,12200,11900,12000,850
20180906,12150,12150,11900,12000,5311
20180905,12000,12150,11700,12000,10797
20180904,12000,12050,11800,11950,2460
20180903,12000,12000,11800,12000,1474
20180831,11950,12000,11600,11950,2628
20180830,12200,12200,11700,11900,628
20180829,11750,12200,11750,11850,2446
20180828,11900,12300,11850,11850,3686
20180827,12450,12450,11750,11900,15910
20180824,11600,12400,11550,12300,25023
20180823,11800,11850,11500,11600,3360
20180822,11850,11850,11550,11800,3455
20180821,11450,11750,11450,11750,7352
20180820,11400,11550,11000,11450,50526
20180817,11250,11500,11200,11300,7724
20180816,11500,11500,11200,11250,3351
20180814,11400,11650,11300,11500,614
20180813,11450,11500,11200,11400,8169
20180810,11450,11500,11100,11450,2111
20180809,11500,11550,11200,11450,2171
20180808,11350,11600,11150,11450,1676
20180807,11200,11350,11000,11350,1962
20180806,11150,11250,11100,11150,7031
20180803,11200,11200,11050,11150,988
20180802,11150,11200,11000,11150,1405
20180801,11050,11150,10950,11050,967
20180731,10950,11150,10900,11000,3677
20180730,10950,10950,10700,10900,4667
20180727,10850,11250,10750,10950,4266
20180726,11150,11150,10750,11000,2218
20180725,11000,11050,10750,11000,2104
20180724,11000,11000,10750,10900,2409
20180723,10750,11000,10700,10850,4849
20180720,10900,10900,10700,10900,2547
20180719,11000,11250,10750,10900,3432
20180718,10850,11000,10800,10900,5227
20180717,11000,11000,10650,10700,23328
20180716,11000,11200,10750,11000,4117
20180713,11100,11550,10900,11000,19826
20180712,10650,11000,10650,11000,1511
20180711,11650,11650,10500,10850,11794
20180710,11500,11550,11200,11450,1589
20180709,11350,11550,11200,11550,1581
20180706,11150,11600,11150,11600,3990
20180705,10700,11500,10700,11300,4745
20180704,10600,10900,10600,10850,3521
20180703,10650,10650,10250,10650,7722
20180702,11000,11000,10450,10500,6212
20180629,11200,11200,10550,10900,12276
20180628,11400,11400,10900,11000,8521
20180627,11400,11500,11250,11400,5264
20180626,11850,11850,11250,11450,7299
20180625,11400,11800,11250,11750,3533
20180622,11450,11700,11250,11600,7128
20180621,11700,11900,11450,11450,14792
20180620,11600,12050,11600,11800,12593
20180619,11900,12150,11750,11850,23231
20180618,12600,12850,11600,11900,38530
20180615,13100,13100,12550,12550,13807
20180614,12450,13250,12350,12900,52929
20180612,12150,12600,12100,12450,11600
20180611,12500,12500,12000,12250,24352
20180608,12400,12650,12350,12400,5471
20180607,12600,12600,11950,12400,46855
20180605,12650,12800,12150,12550,13763
20180604,12650,12800,12450,12650,9711
20180601,12750,12900,12350,12650,13308
20180531,12950,12950,12600,12800,8329
20180530,12400,13100,12300,12850,33356
20180529,12550,12550,12200,12250,4396
20180528,12300,12600,12200,12500,12771
20180525,12100,12400,11900,12250,9566
20180524,12500,12500,12250,12350,7792
20180523,12500,12500,12150,12400,11711
20180521,12500,12800,12300,12400,5344
20180518,12400,12600,12100,12500,6915
20180517,12800,12800,12250,12300,13579
20180516,12850,13000,12250,12650,30464
20180515,13000,13400,12750,13050,30420
20180514,12950,13050,12700,12850,9180
20180511,13050,13050,12650,12950,23066
20180510,12750,13050,12500,13050,31770
20180509,13500,13700,12850,13050,23842
20180508,14200,14350,13650,13750,51468
20180504,12200,15500,12200,14200,225301
20180503,12250,12500,12200,12450,6561
20180502,12450,12450,11900,12250,12367
20180430,12600,12600,12050,12500,9527
20180427,12450,12550,12200,12550,5167
20180426,12500,12550,12250,12450,2442
20180425,12200,12550,12000,12500,22101
20180424,12350,12350,12000,12350,6229
20180423,12100,12400,12000,12250,16415
20180420,12050,12150,11850,12050,5851
20180419,12050,12050,11850,12050,4623
20180418,12050,12100,11850,12050,1706
20180417,12050,12050,11800,12050,892
20180416,12100,12150,11850,12050,4800
20180413,11850,12150,11850,12050,7245
20180412,12000,12000,11600,11850,5588
20180411,11950,12050,11750,12000,16946
20180410,12100,12200,11700,12050,6173
20180409,12250,12350,12000,12200,6516
20180406,12300,12350,12150,12350,3115
20180405,12450,12450,12150,12400,6943
20180404,12400,12500,12300,12400,5645
20180403,12400,12450,12250,12400,1275
20180402,12550,12550,12350,12350,2846
20180330,12450,12450,12150,12400,1625
20180329,12050,12450,12050,12250,3307
20180328,12100,12350,12050,12250,736
20180327,12500,12500,12000,12400,3199
20180326,12150,12350,11900,12300,9708
20180323,12400,12600,11500,12250,13619
20180322,12550,12800,12500,12650,3233
20180321,12850,12850,12600,12700,4444
20180320,12600,12950,12500,12650,4874
20180319,12700,12750,12400,12550,3589
20180316,12350,12600,12350,12550,2724
20180315,12500,12600,12350,12500,7288
20180314,12500,12700,12300,12500,7598
20180313,12350,12550,12300,12500,3727
20180312,12300,12500,12200,12500,7464
20180309,12250,12400,11950,12250,7652
20180308,12200,12200,11950,12100,3525
20180307,12350,12350,12100,12100,3256
20180306,12500,12550,12250,12400,6992
20180305,12750,12850,12400,12450,4880
20180302,12600,12750,12600,12750,768
20180228,12800,12850,12600,12800,1102
20180227,12800,12900,12700,12850,2741
20180226,12850,13050,12750,12850,4167
20180223,12950,13050,12850,12950,2612
20180222,13100,13100,12850,13050,2551
20180221,13100,13100,12900,13050,1939
20180220,13050,13150,12900,13000,1587
20180219,13300,13300,13050,13050,2338
20180214,13200,13200,13000,13150,1481
20180213,13250,13250,12850,13150,4037
20180212,13250,13300,13050,13200,3829
20180209,13000,13300,12800,13150,5104
20180208,13100,13300,12800,13150,6959
20180207,13050,13500,12900,13100,7277
20180206,13100,13450,12850,13200,8717
20180205,13600,13750,13350,13550,6156
20180202,13800,13850,13550,13750,5822
20180201,14000,14000,13800,13850,6086
20180131,14000,14000,13800,13950,5230
20180130,14050,14050,13900,14000,5494
20180129,13950,14100,13750,13900,21606
20180126,13950,14000,13700,13850,18987
20180125,14200,14200,13700,13900,19236
20180124,14350,14350,13850,13900,17786
20180123,14300,14300,13900,14200,5683
20180122,14550,14600,14100,14200,5517
20180119,14800,14800,14200,14550,30089
20180118,14300,15350,14250,14650,67841
20180117,15600,15600,15600,15600,0
20180116,15600,15600,15600,15600,0
20180115,15600,15600,15600,15600,0
20180112,15600,15600,15600,15600,0
20180111,15600,15600,15600,15600,0
20180110,15600,15600,15600,15600,0
20180109,15600,15600,15600,15600,0
20180108,15600,15600,15600,15600,0
20180105,15600,15600,15600,15600,0
20180104,15600,15600,15600,15600,0
20180103,15600,15600,15600,15600,0
20180102,14940,15620,14940,15600,27695
20171228,15080,15200,14680,14880,10570
20171227,15280,15280,14840,15080,6485
20171226,15960,15960,15200,15340,7680
20171222,14920,15400,14800,15240,132115
20171221,14920,15180,14820,14920,3445
20171220,15160,15160,14780,14920,1035
