,open,high,low,close,volume
20181109,1070,1080,1045,1055,273338
20181108,1060,1080,1060,1070,314633
20181107,1060,1085,1030,1045,614912
20181106,1070,1085,1065,1065,240355
20181105,1085,1085,1050,1080,246053
20181102,1060,1095,1060,1090,490114
20181101,1045,1095,1045,1060,343596
20181031,1000,1035,1000,1035,377966
20181030,955,1020,955,1000,875471
20181029,1020,1030,979,979,1469118
20181026,1040,1050,1005,1025,583810
20181025,1050,1065,1025,1040,1060848
20181024,1085,1100,1065,1065,573306
20181023,1105,1115,1085,1085,344014
20181022,1135,1135,1100,1105,470628
20181019,1105,1135,1085,1125,521421
20181018,1120,1125,1105,1115,257210
20181017,1120,1145,1115,1125,338524
20181016,1120,1130,1065,1115,1663115
20181015,1145,1150,1110,1120,483568
20181012,1125,1180,1125,1140,807390
20181011,1130,1170,1105,1130,1027027
20181010,1215,1215,1150,1155,851535
20181008,1200,1225,1200,1215,353149
20181005,1235,1235,1195,1215,631479
20181004,1240,1245,1210,1235,578282
20181002,1245,1250,1220,1220,527012
20181001,1265,1265,1240,1240,419035
20180928,1280,1280,1245,1250,898070
20180927,1255,1280,1245,1260,734805
20180921,1225,1245,1210,1245,585628
20180920,1250,1250,1200,1210,760881
20180919,1255,1270,1225,1225,817096
20180918,1285,1295,1255,1255,701267
20180917,1285,1300,1265,1275,1119018
20180914,1260,1265,1240,1255,959413
20180913,1265,1280,1245,1250,889316
20180912,1290,1295,1250,1270,1004017
20180911,1300,1315,1275,1295,1170570
20180910,1250,1295,1235,1295,1476542
20180907,1250,1250,1215,1250,741158
20180906,1235,1270,1220,1240,1573001
20180905,1225,1255,1205,1225,1041999
20180904,1220,1225,1210,1225,506666
20180903,1190,1240,1180,1220,1611244
20180831,1180,1190,1160,1190,647214
20180830,1170,1200,1170,1190,615582
20180829,1170,1185,1160,1170,490119
20180828,1170,1195,1165,1170,710001
20180827,1180,1180,1160,1170,1059449
20180824,1215,1220,1200,1205,321526
20180823,1230,1235,1210,1215,503502
20180822,1210,1225,1200,1225,494206
20180821,1220,1225,1200,1215,504225
20180820,1225,1240,1205,1220,606761
20180817,1225,1230,1210,1220,622443
20180816,1180,1215,1155,1215,973391
20180814,1160,1180,1150,1175,608523
20180813,1205,1210,1150,1160,906173
20180810,1240,1240,1205,1210,728306
20180809,1255,1255,1205,1210,999240
20180808,1210,1245,1195,1215,1306274
20180807,1205,1210,1175,1185,586051
20180806,1215,1220,1200,1205,688584
20180803,1190,1225,1180,1215,954765
20180802,1175,1220,1160,1190,1287223
20180801,1180,1185,1165,1175,634990
20180731,1185,1185,1160,1170,578935
20180730,1155,1195,1150,1185,842487
20180727,1170,1180,1150,1165,894561
20180726,1135,1170,1125,1165,780174
20180725,1155,1165,1130,1135,511840
20180724,1100,1175,1085,1155,1584245
20180723,1120,1130,1090,1095,1017211
20180720,1145,1150,1115,1130,945503
20180719,1170,1180,1130,1140,1444754
20180718,1210,1235,1180,1180,907706
20180717,1210,1215,1190,1205,584654
20180716,1225,1235,1200,1205,658211
