,open,high,low,close,volume
20181109,19550,19950,19400,19500,5988
20181108,19750,20000,19550,20000,1754
20181107,19950,20000,19500,19850,2687
20181106,19400,19600,19250,19600,1738
20181105,19700,20000,19300,19400,4502
20181102,19900,20100,19450,20000,1531
20181101,18900,20750,18700,19500,9271
20181031,19000,19500,18700,18900,11307
20181030,19100,19600,18500,19150,9578
20181029,19300,19850,18600,19100,4023
20181026,19950,20100,19250,19550,3864
20181025,19700,19950,19200,19950,11470
20181024,19750,19950,19250,19950,7596
20181023,20300,20300,18400,19750,20932
20181022,20500,20500,19900,20100,702
20181019,19900,20750,19900,20250,933
20181018,20450,20450,19900,20300,3212
20181017,20400,20700,20100,20400,2212
20181016,19800,20400,19600,20400,3191
20181015,20150,20550,19700,19800,3436
20181012,19950,20250,19450,20000,60762
20181011,19600,20150,19150,20150,8655
20181010,20350,20350,19650,20200,17644
20181008,20300,20600,20200,20250,125044
20181005,21850,22200,20550,21100,24813
20181004,21700,22000,21450,21700,9771
20181002,22050,22250,21650,21800,7983
20181001,22800,22800,22200,22200,3418
20180928,22700,22850,22200,22800,3965
20180927,21950,22800,21900,22800,4759
20180921,22550,22550,21950,22000,7607
20180920,21900,22500,21550,22500,14685
20180919,22050,22250,21850,21900,3696
20180918,22250,22250,22000,22050,3021
20180917,22250,22350,22000,22250,3041
20180914,22050,22450,22000,22250,12081
20180913,22250,22250,21900,22000,9716
20180912,22350,22400,22000,22350,3168
20180911,22250,22450,22150,22300,4926
20180910,22200,22350,22000,22200,4063
20180907,22600,22700,22050,22200,16830
20180906,23050,23200,22300,22750,19420
20180905,23250,23250,22900,23200,3091
20180904,23200,23500,23050,23300,2114
20180903,23200,23300,22750,23250,1848
20180831,22850,23300,22800,23200,4352
20180830,23550,23700,22500,22750,19125
20180829,23400,23750,23350,23550,785
20180828,23600,23750,23300,23700,993
20180827,23650,23650,23200,23650,1149
20180824,23150,23450,22800,23450,3989
20180823,23000,23300,22500,23250,5422
20180822,22950,23100,22800,23000,1230
20180821,22950,23100,22600,22950,3332
20180820,22850,23150,22750,23000,2367
20180817,23000,23450,22700,22850,3545
20180816,23750,24000,22900,22900,8466
20180814,23900,24000,23150,24000,3233
20180813,23900,24150,23700,23900,91
20180810,23600,24250,23550,24100,781
20180809,23650,24100,23650,23950,955
20180808,24100,24150,23400,24050,2249
20180807,23750,24100,23300,24100,1985
20180806,23500,24000,23450,23800,1123
20180803,24050,24050,23250,23400,661
20180802,23050,23950,23050,23850,2990
20180801,23450,23500,23100,23450,484
20180731,22950,23500,22950,23500,1418
20180730,23150,23200,23000,23050,46
20180727,23150,23450,22750,23000,1999
20180726,23600,23600,22900,23150,1099
20180725,23500,23600,23050,23600,851
20180724,23750,23750,22750,23250,2849
20180723,23300,23800,22600,23750,5728
20180720,23950,23950,23250,23400,2755
20180719,24000,24400,23400,24250,4524
20180718,24200,24600,23950,24000,521
20180717,24050,24800,23600,24400,6948
20180716,24350,24350,24000,24100,1182
20180713,24800,24850,24050,24150,4746
20180712,24650,25000,24200,24700,1481
20180711,24550,24900,23900,24650,3094
20180710,25600,25700,24700,24900,3643
20180709,24500,26000,23900,25600,18335
20180706,24050,24550,24050,24550,561
20180705,24050,24700,23650,24600,348
20180704,24350,24350,23500,24100,847
20180703,23650,24100,22950,24100,3493
20180702,24200,24550,23700,23900,2292
20180629,24150,24400,23950,24400,197
20180628,24000,24500,23800,24100,2585
20180627,24850,24850,24200,24450,2740
20180626,24700,24800,24000,24700,3977
20180625,25150,25150,24300,24750,2254
20180622,24700,25400,24000,25150,6246
20180621,24450,24850,24200,24850,2413
20180620,24400,24600,24250,24500,2378
20180619,25300,25300,24500,24600,2728
20180618,25950,26350,24700,25400,4329
20180615,25700,25900,25300,25650,3482
20180614,25850,25900,25150,25700,6221
20180612,25800,25950,25200,25900,6066
20180611,26400,26400,25800,25800,4221
20180608,26450,26450,25900,26200,5733
20180607,25550,26550,25500,26150,16530
20180605,25900,25900,25300,25300,4277
20180604,25900,25900,25400,25700,1263
20180601,26050,26150,25500,25600,11947
20180531,25450,25800,24800,25600,4754
20180530,24900,25550,24300,25250,5828
20180529,25450,25600,24450,24900,6610
20180528,25300,25400,24350,25400,28007
20180525,25200,25400,24700,25300,3885
20180524,25500,25900,25250,25300,6394
20180523,26200,26200,25300,25950,6382
20180521,26800,26800,25500,26050,5615
20180518,26800,26800,26000,26250,12193
20180517,25950,26800,25400,26000,9198
20180516,25300,26800,24800,26500,23937
20180515,25900,25900,24650,25400,9448
20180514,25500,25700,25100,25650,11612
20180511,25300,25700,25300,25500,8904
20180510,24700,25550,24150,25350,12160
20180509,25050,25650,24200,24700,9471
20180508,26750,26750,25000,25050,16742
20180504,25750,26800,25100,26300,25200
20180503,25700,26050,25250,25750,11055
20180502,24850,25900,24850,25700,22665
20180430,24100,25400,24100,25000,22635
20180427,23800,24150,23750,24100,4714
20180426,23500,23850,23450,23700,2256
20180425,23600,23600,23100,23500,4116
20180424,24250,24250,23500,23600,4445
20180423,23500,24300,23450,24250,15205
20180420,23650,23650,23300,23400,3578
20180419,22900,23850,22800,23650,10819
20180418,23250,23400,22400,22900,3229
20180417,23750,23750,23000,23350,2237
20180416,23150,23250,22750,23250,612
20180413,23100,23150,22800,23150,1350
20180412,22800,23200,22650,23100,1943
20180411,23550,23550,22700,23250,2054
20180410,23000,23800,22900,23400,1500
20180409,22800,22900,22800,22900,496
20180406,23200,23200,22750,23100,533
20180405,23150,23200,23000,23100,1082
20180404,22950,23400,22800,23150,5943
20180403,22600,23000,22300,23000,1197
20180402,22900,23050,22650,22900,2695
20180330,22400,22900,22300,22700,2052
20180329,22200,22400,22100,22400,1309
20180328,22250,22300,21900,22300,669
20180327,22300,22400,21850,22300,4067
20180326,22200,22300,21850,22300,2187
20180323,22250,22650,21950,22200,5892
20180322,22700,22700,22400,22550,889
20180321,22300,22700,22300,22650,1224
20180320,22200,22650,22200,22450,1852
20180319,22400,22600,22350,22500,894
20180316,22250,22650,22200,22650,1185
20180315,22650,22850,22250,22350,4497
20180314,22600,22850,22300,22850,1456
20180313,22750,22800,22500,22550,1738
20180312,22850,22850,22500,22750,1979
20180309,22700,22750,22550,22750,1198
20180308,22400,22800,22300,22700,1944
20180307,22650,22700,22350,22600,784
20180306,22600,22850,22200,22600,3523
20180305,22950,23000,22550,22600,1216
20180302,23000,23000,22200,22950,7758
20180228,22250,23000,22250,23000,5528
20180227,22700,22700,22500,22550,2910
