,open,high,low,close,volume
20181109,26550,27550,26050,27050,1101
20181108,26500,27450,26000,26700,4775
20181107,25250,28500,24800,26600,10937
20181106,24600,25750,24600,25100,704
20181105,26200,26200,24600,24600,968
20181102,27000,27000,25750,26050,403
20181101,26350,27900,25850,26200,498
20181031,26350,27500,25200,26150,1651
20181030,26050,26350,24800,26050,1111
20181029,26850,27000,25350,26400,1025
20181026,26550,27500,25050,26450,2178
20181025,25900,26650,25600,26550,881
20181024,26600,26900,25950,26650,481
20181023,26900,27250,25600,26650,1379
20181022,26900,27100,26250,26400,1010
20181019,27400,27400,26350,26900,195
20181018,27600,27600,26350,27150,296
20181017,26850,27650,26050,27300,516
20181016,26900,27450,26450,26750,939
20181015,27000,27600,25200,27000,3746
20181012,25050,26450,25050,26400,990
20181011,24500,25300,24000,25150,1218
20181010,24650,25350,24200,24950,4504
20181008,24750,25200,24700,24700,357
20181005,25050,25350,24700,25250,966
20181004,25300,25900,25050,25050,808
20181002,25450,26000,25250,25900,951
20181001,25400,26750,25400,26000,783
20180928,26150,26150,24650,25400,2854
20180927,26150,26450,25800,26300,312
20180921,25950,26200,25300,26200,2136
20180920,25900,26400,25250,25900,1755
20180919,26750,27500,25550,25900,6881
20180918,27500,29300,26450,26950,9721
20180917,26200,26850,25500,26850,7032
20180914,27800,33200,26000,26000,48804
20180913,26750,27300,26200,27000,2291
20180912,26250,26900,26250,26850,790
20180911,25550,27400,25550,26900,4435
20180910,25300,26500,25300,26000,1644
20180907,25350,26500,25000,25600,2084
20180906,26450,26900,25000,25900,3393
20180905,25100,26700,25100,26300,1454
20180904,26100,26750,25550,26250,1186
20180903,25500,26250,25500,26100,2329
20180831,25300,25900,25300,25700,1213
20180830,25350,25650,24950,25500,1327
20180829,24950,25950,24950,25350,2637
20180828,24950,25500,24800,24950,1128
20180827,25250,25950,24850,25000,2516
20180824,24900,26650,24850,25300,1871
20180823,25000,25300,24900,25250,1416
20180822,25000,25550,24950,25000,1705
20180821,25200,25450,25050,25050,931
20180820,24800,25600,24650,25300,1497
20180817,24800,25350,24550,24800,1685
20180816,24500,24900,24450,24850,885
20180814,25100,25100,24400,24650,2690
20180813,25050,25250,24450,25100,2998
20180810,24900,25250,24550,25100,1877
