,open,high,low,close,volume
20181109,12400,12550,12300,12500,140
20181108,12400,12600,12400,12550,2015
20181107,12150,12750,12150,12350,1282
20181106,11950,12200,11950,12050,281
20181105,12200,12200,11750,11950,375
20181102,11900,12200,11900,12200,437
20181101,11650,12500,11650,11850,831
20181031,11750,11750,11600,11700,367
20181030,11250,11750,11250,11750,1084
20181029,12150,12150,11650,11800,1252
20181026,12200,12250,11950,12150,1124
20181025,12400,12400,12000,12100,2870
20181024,12200,12500,12200,12400,37
20181023,12600,12600,12500,12600,64
20181022,12350,12600,12350,12600,67
20181019,12500,12600,12350,12550,1378
20181018,12500,12600,12500,12600,618
20181017,12500,12600,12500,12600,959
20181016,12600,12600,12400,12550,30
20181015,12500,12550,12350,12400,841
20181012,12950,12950,12350,12500,670
20181011,12500,12550,12100,12300,1900
20181010,12950,13000,12200,12800,3271
20181008,13200,13200,12800,12950,3767
20181005,13300,13300,13150,13150,1984
20181004,13400,13450,13200,13400,1079
20181002,13400,13500,13300,13300,852
20181001,13450,13550,13400,13400,432
20180928,13500,13500,13350,13450,266
20180927,13500,13550,13400,13550,546
20180921,13450,13500,13350,13450,1902
20180920,13450,13550,13300,13500,1752
20180919,13550,13650,13450,13550,1377
20180918,13600,14000,13500,13550,4255
20180917,13500,13650,13300,13650,2054
20180914,13550,14900,13500,13500,18738
20180913,13500,13600,13400,13450,1269
20180912,13650,13650,13350,13500,1224
20180911,13650,13650,13450,13500,1351
20180910,13500,13650,13400,13650,752
20180907,13500,13600,13450,13550,276
20180906,13600,13800,13500,13600,2428
20180905,13750,13850,13550,13650,517
20180904,13850,13850,13550,13700,4056
20180903,14050,14100,13600,13700,2895
20180831,13950,13950,13800,13850,40
20180830,14100,14100,13800,13900,231
20180829,14000,14000,13900,13900,48
20180828,13900,14200,13850,13900,2324
20180827,13800,13900,13800,13900,262
20180824,13550,13800,13550,13800,863
20180823,13650,13750,13600,13700,1170
20180822,13500,13600,13500,13600,687
20180821,13550,13600,13450,13550,1707
20180820,13550,13600,13450,13450,346
20180817,13600,13600,13400,13550,1333
20180816,13500,13600,13350,13400,1342
20180814,13500,13550,13450,13550,1168
20180813,13600,13600,13550,13600,1657
20180810,13800,13800,13600,13650,1626
20180809,13650,13800,13650,13800,1378
20180808,13700,13900,13650,13800,2014
20180807,13700,13950,13600,13800,2725
20180806,13700,13800,13700,13700,1230
20180803,13650,13800,13650,13700,970
20180802,13700,13750,13600,13650,1749
20180801,13500,13750,13400,13700,4548
20180731,13400,13600,13400,13500,537
20180730,13500,13500,13400,13400,1163
20180727,13450,13550,13400,13500,655
20180726,13550,13600,13450,13550,1640
20180725,13500,13550,13400,13500,2747
20180724,13550,13550,13300,13500,4306
20180723,13500,14250,13400,13400,10978
20180720,13400,13450,13350,13450,2508
20180719,13400,13550,13350,13500,3560
20180718,13450,13550,13350,13400,4512
20180717,13550,13550,13350,13500,3607
20180716,13600,13600,13400,13550,5163
20180713,13450,13600,13350,13600,6119
20180712,13750,14800,13350,13550,35651
20180711,13750,14150,13250,13450,35572
20180710,14050,14050,13400,13750,68677
20180709,13350,16100,13150,14800,284179
20180706,13100,13200,12800,13200,1461
20180705,13050,13100,12900,13050,405
20180704,13050,13100,12900,13050,500
20180703,13400,13400,12750,13000,3273
20180702,13550,13800,12850,13400,6423
20180629,13300,13750,13300,13550,2574
20180628,13550,13600,13250,13500,2243
20180627,13750,13950,13400,13550,7986
20180626,13800,13850,13550,13600,2940
20180625,13700,13950,13700,13800,5288
20180622,13900,13950,13600,13800,11940
20180621,13850,15200,13750,13850,46751
20180620,13850,14150,13700,13850,6133
20180619,14700,14900,13700,13850,27281
20180618,16500,17500,14300,14400,127984
20180615,14100,17500,14000,15250,270958
20180614,14350,14400,13900,14100,749
20180612,14550,14550,13800,13950,1274
20180611,14300,14500,14200,14200,1405
20180608,14550,14550,14250,14250,202
20180607,14550,14800,14400,14550,2385
20180605,14450,14550,14150,14550,1399
20180604,14400,14600,14400,14450,5
20180601,14500,14500,14000,14350,205
20180531,14300,14400,14000,14300,507
20180530,14200,14300,14000,14300,715
20180529,14400,14450,14050,14400,1451
20180528,14400,14750,14100,14300,4335
20180525,13750,14250,13700,14000,3120
20180524,14500,14500,13850,14150,3282
20180523,15400,15500,14450,14500,6568
20180521,15000,15700,14650,15350,17608
20180518,14750,14800,14150,14550,2807
20180517,13750,14300,13750,14300,2650
20180516,13650,14300,13500,14000,1942
20180515,14000,14850,13750,14000,1874
20180514,13900,14350,13900,14000,815
20180511,13750,14000,13600,13950,1439
20180510,13750,13750,13500,13600,603
20180509,13600,13800,13400,13750,2814
20180508,13850,13850,13500,13500,418
20180504,13500,13700,13300,13650,674
20180503,13450,13800,13450,13550,969
20180502,13200,13500,13150,13500,1341
20180430,13250,13400,13200,13400,723
20180427,13200,13250,13200,13250,186
20180426,13100,13300,13100,13250,73
20180425,12850,12950,12850,12950,102
20180424,13000,13050,12750,12850,1014
20180423,13050,13050,12900,13050,373
20180420,13100,13100,13050,13050,307
20180419,13100,13100,12900,13100,5
20180418,13150,13150,12900,13000,202
20180417,13050,13050,13000,13000,227
20180416,13000,13000,13000,13000,0
20180413,13000,13000,12900,13000,22
20180412,13050,13050,12950,13000,64
20180411,13050,13050,13050,13050,1
20180410,13050,13050,13050,13050,6
20180409,13000,13050,12950,13050,31
20180406,13050,13050,13000,13000,193
20180405,13000,13050,12900,13050,757
20180404,12950,13000,12950,13000,321
20180403,13000,13000,12950,13000,856
20180402,13100,13100,12950,12950,26
20180330,12900,13100,12750,13100,253
20180329,12950,13000,12950,13000,210
20180328,12900,13150,12900,12950,97
20180327,13000,13000,12950,12950,19
20180326,12950,12950,12950,12950,20
20180323,12950,13000,12950,13000,23
20180322,13050,13050,13050,13050,10
20180321,13050,13050,13000,13000,2
20180320,12900,12950,12900,12950,26
20180319,12900,13100,12900,13100,47
20180316,13000,13100,12850,13100,276
20180315,13150,13150,13100,13100,9
20180314,13200,13200,13100,13100,4
20180313,13650,13650,12950,13000,477
20180312,13000,13100,13000,13100,18
20180309,13100,13100,13000,13000,125
20180308,12850,13100,12850,13100,7
20180307,12950,13150,12950,13150,18
20180306,13200,13200,13200,13200,1
20180305,13200,13200,13050,13050,25
20180302,13200,13200,12950,13150,201
20180228,12950,13250,12950,13250,35
20180227,13000,13000,12950,12950,20
20180226,13450,13450,12900,12950,620
20180223,13700,13700,12850,12950,260
20180222,13350,13350,12500,13300,246
20180221,13000,13050,13000,13000,98
20180220,12700,13000,12700,13000,64
20180219,13000,13000,12650,12850,448
20180214,12600,13000,12600,12950,150
20180213,13200,13200,13200,13200,85
20180212,13300,13300,13000,13200,1136
20180209,13400,13400,13400,13400,1
