,open,high,low,close,volume
20181109,171000,172000,170000,170000,873
20181108,174500,175000,171000,175000,623
20181107,170000,171500,169500,170000,140
20181106,170000,170500,168000,169500,395
20181105,171000,171000,167500,170000,770
20181102,170500,173500,168500,172000,366
20181101,172500,173000,168000,170000,446
20181031,172000,172500,167000,170000,1290
20181030,167000,172500,165000,170000,1917
20181029,174000,175000,167000,167000,1203
20181026,177000,177000,172500,174000,704
20181025,172000,177000,172000,177000,925
20181024,178500,181500,176500,178500,1104
20181023,181500,181500,178000,179000,1598
20181022,178000,181000,178000,181000,425
20181019,179500,180000,177000,180000,629
20181018,180500,180500,178500,179500,535
20181017,180000,181000,178000,180500,548
20181016,180000,181000,179000,180000,716
20181015,182000,183000,178000,180000,1193
20181012,179500,182500,176500,182500,779
20181011,183500,184000,179000,181500,2201
20181010,182000,185500,180500,183500,2241
20181008,179500,182500,179500,182000,1334
20181005,177000,181500,177000,179500,779
20181004,178000,181500,176500,179500,507
20181002,180500,180500,177500,180000,574
20181001,182000,182000,178000,180500,456
20180928,180000,182500,177000,182000,546
20180927,177500,180000,177000,180000,636
20180921,179500,179500,177000,177000,337
20180920,178500,179500,176000,179000,521
20180919,178500,179500,176500,178500,399
20180918,177500,179000,176000,178500,607
20180917,177000,178000,175000,177000,748
20180914,176500,177500,172500,177000,2618
20180913,174500,175500,173500,175000,813
20180912,178000,178000,171000,174500,4220
20180911,178500,178500,175500,178000,343
20180910,179000,179000,176500,178500,516
20180907,176000,178000,176000,177000,252
20180906,175500,178000,175500,176000,368
20180905,175000,179000,174500,175500,1175
20180904,177000,179000,174500,175000,1668
20180903,180000,180000,176000,179000,646
20180831,176500,182000,175500,177500,2193
20180830,177000,178500,176000,178500,636
20180829,176000,177500,174500,177500,677
20180828,175500,176500,173000,176500,1266
20180827,179500,179500,173000,175500,1045
20180824,176000,178500,175000,176000,1536
20180823,179500,182000,177500,177500,1062
20180822,182000,182000,178500,181500,641
20180821,181500,183000,178500,181000,1279
20180820,184000,184000,181500,182000,1301
20180817,182000,183000,179000,182000,683
20180816,182000,183000,177500,182000,338
20180814,176000,183500,176000,182500,386
20180813,177000,177000,175500,176000,877
20180810,179000,179500,176000,177500,719
20180809,182000,183000,178000,178500,607
20180808,181000,184000,180000,182000,511
20180807,181500,182500,179000,181500,225
20180806,182500,182500,178500,181500,562
20180803,178500,181000,176500,179000,383
20180802,180000,180000,177000,179500,400
20180801,175500,181000,175500,180500,387
20180731,174500,178000,174500,178000,155
20180730,176000,177000,174500,177000,268
20180727,175500,177500,173000,176000,1482
20180726,175000,178500,173500,177500,476
20180725,173000,174500,172500,173500,648
20180724,171000,174000,170000,173000,733
20180723,175000,175000,170500,171000,693
20180720,172000,175000,171500,175000,1291
20180719,177000,177000,172500,174000,781
20180718,177500,179000,174000,176500,585
20180717,178500,179500,176000,176000,678
20180716,179000,180000,176500,179500,699
20180713,182500,182500,178000,179000,579
20180712,179500,183000,177500,182500,726
20180711,180000,181500,177500,179500,734
20180710,182000,183000,176500,181500,1521
20180709,183000,183000,178000,182000,1550
20180706,178000,183000,174000,183000,1588
20180705,176000,178000,172000,176000,1067
20180704,176500,179000,174500,178500,585
20180703,178500,180000,175000,179500,1253
20180702,184500,186000,178000,178000,1598
20180629,182500,186500,180500,184500,838
20180628,182000,185500,178500,182500,2312
20180627,185000,189000,177500,182000,3392
20180626,182500,187500,182500,185000,1403
20180625,183000,187500,181500,187500,1429
20180622,185000,187500,179500,183000,5793
20180621,191500,191500,187000,187500,1051
20180620,189000,192000,188000,191500,1308
20180619,192500,196000,188500,192000,3228
20180618,195000,195000,190500,192500,2353
20180615,197000,198000,192500,195000,3315
20180614,201000,201000,194500,197500,2413
20180612,201000,201000,198000,199000,6022
20180611,199000,200500,196000,199000,3006
20180608,199000,201000,196500,199000,3896
20180607,196500,202000,196500,199000,6748
20180605,196000,197500,192500,196500,3482
20180604,195500,200000,194500,199000,3150
20180601,190000,197000,190000,195500,5154
20180531,193500,196500,190000,190000,1772
20180530,194500,195500,191500,194500,1926
20180529,193000,197000,191500,194500,1428
20180528,195000,195000,192000,194500,3192
20180525,190000,192000,188000,192000,1603
20180524,195000,195000,191500,195000,1525
20180523,197000,197000,193000,195000,2066
20180521,197500,200000,194000,197000,2922
20180518,199500,200500,194500,197500,2584
20180517,195500,200000,195500,199500,3206
20180516,195000,198000,192500,197000,5169
20180515,192500,200000,188000,199000,11385
20180514,189000,195500,188000,192500,2333
20180511,189000,191000,187500,191000,1907
20180510,186000,191000,185000,189000,1547
20180509,185500,189000,182000,187000,3129
20180508,185500,193000,182500,185500,4573
20180504,187500,189000,185000,188000,4256
20180503,193500,193500,189000,189000,2088
20180502,185500,194500,185000,193500,7093
20180430,182500,189500,182000,188000,3981
20180427,179000,183500,179000,182500,3394
20180426,177500,179000,176000,179000,2914
20180425,178000,180000,176500,179000,2824
20180424,181500,182000,175500,181500,5196
20180423,175000,182500,175000,181500,7032
20180420,168000,176000,167000,173000,3084
20180419,165500,170000,164000,166500,7291
20180418,165000,165000,163000,165000,1411
20180417,164000,165000,163000,165000,1217
20180416,166000,166000,163000,163500,6395
20180413,165500,168000,165000,168000,2600
20180412,165500,166500,162000,166000,1423
20180411,166500,167500,165000,165500,1226
20180410,167500,167500,165000,167000,585
20180409,166500,167500,166000,166000,908
20180406,168000,168000,166500,167500,201
20180405,169000,169000,167000,169000,1106
20180404,169000,169000,166500,168000,1063
20180403,170000,171000,166500,170000,1928
20180402,170500,172000,168500,171500,384
20180330,168500,171500,168500,170500,360
20180329,168500,170000,167500,168000,470
20180328,168000,170000,168000,170000,198
20180327,167000,170000,167000,170000,325
20180326,167500,168500,166000,168500,1401
20180323,171000,171000,166000,167000,717
20180322,170500,173000,170000,171000,878
20180321,170000,172500,169500,170000,445
20180320,170000,173000,170000,173000,438
20180319,171000,173000,169000,173000,602
20180316,173000,173000,170000,173000,746
20180315,172000,173500,170000,173500,419
20180314,171000,173000,170000,172500,529
20180313,172000,173000,171000,172500,427
20180312,170000,172000,169500,172000,1192
20180309,170000,170500,169500,170500,295
20180308,170000,170000,169000,170000,700
20180307,170000,170000,169000,170000,630
20180306,169000,170000,168000,169500,713
20180305,168500,169000,167500,169000,1619
20180302,171000,171000,166000,168500,2997
20180228,171500,173000,168000,171500,1819
20180227,170500,173000,170500,172000,965
20180226,171500,172500,169500,172000,2317
20180223,171500,174000,171000,172500,1084
20180222,175000,175000,171500,172000,1165
20180221,172500,176000,171000,175000,1489
20180220,173000,174500,172500,174500,922
20180219,175500,176000,172500,173500,1217
20180214,172000,175500,172000,175500,942
20180213,175500,177000,170500,175500,1898
20180212,174500,175500,172000,175000,1355
20180209,174500,174500,171000,172000,1005
20180208,176500,176500,174000,176000,1309
20180207,176500,176500,174000,176000,3555
20180206,172500,176000,172000,175500,5940
20180205,174500,177000,172000,177000,1715
20180202,172500,175000,172000,175000,1634
20180201,175000,175000,172500,173000,1132
20180131,172000,174000,172000,173500,1514
20180130,171500,174500,171500,173500,1132
20180129,172500,175000,171000,173500,1615
20180126,173000,174000,171000,173500,1390
20180125,173000,174000,172000,173000,1602
20180124,172500,174000,171000,173500,1539
20180123,167500,172500,167500,172500,5632
20180122,163500,167500,163500,167500,2595
20180119,165500,165500,163500,163500,1864
20180118,165000,165500,163500,164000,2061
20180117,165500,166500,162500,166000,3242
20180116,165000,166000,164500,165500,1376
20180115,166000,167000,165000,165000,1709
20180112,164500,166000,164500,166000,664
20180111,164500,165500,162500,164500,976
20180110,163000,165500,163000,164500,3339
20180109,163500,164500,162500,164500,1175
20180108,164500,164500,162000,162500,2800
20180105,164500,164500,163000,164500,1369
20180104,165000,165500,164000,164000,2097
20180103,165000,167000,164000,165000,2243
20180102,166500,166500,164500,166000,1749
20171228,165000,166500,164000,166500,1527
20171227,165000,167000,164500,167000,927
20171226,165000,167000,164500,167000,1394
20171222,164500,165000,163500,165000,869
20171221,164000,165500,162500,163500,2824
20171220,166500,166500,164000,164000,4008
20171219,168000,168000,166000,166500,2356
20171218,168000,169000,166500,168000,1773
20171215,168500,169000,167000,168000,2117
20171214,166500,168000,166000,168000,1869
20171213,166500,167500,165500,166500,2750
20171212,168500,169000,166000,166000,2244
20171211,169500,169500,168000,168500,853
20171208,170000,170000,168000,168500,1572
20171207,169000,170500,168000,169500,1572
20171206,171500,172500,168000,169000,1297
20171205,170000,172500,170000,172500,1629
20171204,170000,170000,167000,170000,2738
20171201,169000,170000,167000,170000,3324
20171130,167000,169000,166000,169000,6453
20171129,166000,167000,165500,165500,1417
20171128,167000,167500,165500,165500,3266
20171127,167000,168500,166000,167000,1913
20171124,167500,168000,165500,166500,2066
20171123,169000,170000,166000,167500,3653
20171122,172500,173000,167500,168000,5717
20171121,173000,174000,170500,172000,2812
20171120,175500,177500,171500,173500,2339
20171117,174500,178000,172000,175000,3115
20171116,169000,173000,168000,172500,1956
20171115,168500,169500,168000,169000,1784
20171114,170000,171000,167500,168500,4167
20171113,171500,171500,169000,171000,782
20171110,170000,172000,170000,171500,480
20171109,170000,171500,170000,171000,865
20171108,170000,170500,169000,170000,719
20171107,170000,170500,169000,170000,293
20171106,170500,170500,169000,170000,472
20171103,168500,170500,168500,170500,374
20171102,170000,170000,168000,169000,578
20171101,170000,170000,168500,170000,647
20171031,169000,171000,168000,169500,817
20171030,170000,170000,168500,169000,792
20171027,168500,170000,167500,169000,827
20171026,170000,170500,168000,168500,1278
20171025,171000,171000,168500,170500,586
20171024,168500,171000,168000,171000,504
20171023,171500,171500,168500,169000,540
20171020,171000,171000,168500,170000,657
20171019,169000,171000,167500,171000,830
20171018,170500,170500,168500,169500,653
20171017,173500,173500,169500,170500,681
20171016,171500,172500,169000,171000,1369
20171013,171000,171500,169000,171500,1102
20171012,170500,171000,169500,171000,1462
20171011,172500,172500,170000,172000,612
20171010,171500,173500,170000,172000,809
20170929,169000,171500,168500,171500,545
20170928,170000,170000,167500,169000,839
20170927,169500,171000,167000,170000,1355
20170926,170000,170000,167000,169500,2167
20170925,173500,173500,168000,170000,4202
20170922,174000,174000,167000,173500,3360
20170921,176500,176500,171500,173000,1100
20170920,176500,176500,174000,175000,1255
20170919,179000,179000,174500,175500,1782
20170918,179000,179000,176500,178500,373
20170915,176500,178000,176000,178000,721
20170914,179500,179500,175500,175500,924
20170913,180500,180500,177000,178500,774
20170912,180000,180000,177000,179000,1647
20170911,180000,180000,177500,179500,1555
20170908,180500,181000,178500,179500,1116
20170907,180000,180500,177500,180500,1022
20170906,184000,184000,178500,179000,1672
20170905,185000,185500,182000,184000,789
20170904,186500,186500,183000,184500,866
20170901,186000,187000,185000,187000,942
20170831,187500,187500,185000,186000,1398
20170830,184000,187000,184000,187000,1071
20170829,185000,186500,184000,186000,1039
20170828,185500,187000,184000,185000,1712
