,open,high,low,close,volume
20181109,6640,6640,6340,6510,61021
20181108,6490,6650,6340,6640,92744
20181107,6800,6940,6130,6270,260977
20181106,6750,6860,6460,6640,141723
20181105,6720,6870,6530,6750,160542
20181102,6330,6660,6330,6580,101217
20181101,6150,6550,6150,6270,148397
20181031,5990,6160,5820,6140,111230
20181030,5210,6070,5210,5990,225321
20181029,5930,6130,5600,5600,163023
20181026,6380,6550,6000,6080,166642
20181025,6100,6500,6100,6370,160874
20181024,6720,6860,6310,6490,118476
20181023,6950,7100,6720,6720,137733
20181022,7190,7190,6950,6990,129037
20181019,7380,7450,7100,7330,114832
20181018,7450,7560,7300,7400,72324
20181017,7250,7560,7190,7300,177737
20181016,7140,7260,7030,7200,106958
20181015,6890,7340,6850,7060,184835
20181012,6340,6960,6340,6910,263041
20181011,6510,6920,6500,6600,303290
20181010,8010,8120,6930,6960,418980
20181008,8080,8340,7900,8200,109754
20181005,8320,8340,8010,8080,254552
20181004,8510,8680,8340,8400,337102
20181002,8430,8570,8350,8350,226549
20181001,8200,8650,8120,8530,412632
20180928,8280,8280,7980,8040,199307
20180927,8480,8650,8320,8360,323510
20180921,8270,8590,8090,8430,413786
20180920,8130,9200,8120,8350,1881252
20180919,8170,8280,7720,7760,411214
20180918,8500,8630,8160,8200,259658
20180917,8810,8810,8380,8500,241745
20180914,8510,8630,8240,8630,379599
20180913,8210,8770,8120,8440,532335
20180912,8290,9100,8200,8200,2811550
20180911,8030,8120,7690,7720,382328
20180910,7490,7880,7410,7800,635762
20180907,7040,7290,6930,7290,237231
20180906,7000,7160,6860,6860,138535
20180905,7100,7100,6900,6950,89970
20180904,6840,7030,6840,6960,78243
20180903,7000,7000,6850,6900,65179
20180831,6790,6900,6700,6860,52078
20180830,6710,6960,6700,6820,94697
20180829,6740,6830,6620,6690,155251
20180828,7000,7050,6760,6800,151868
20180827,7190,7190,6920,7000,336095
20180824,7670,7750,7580,7640,172304
20180823,7650,7970,7460,7650,445450
20180822,7350,7900,7290,7580,621399
20180821,7330,7440,7210,7400,117398
20180820,7260,7450,7230,7250,218001
20180817,7230,7510,7230,7480,226920
20180816,7650,7670,7260,7310,367553
20180814,6930,7220,6890,7190,132714
20180813,7310,7430,6920,6960,403551
20180810,7320,7380,7050,7210,530743
20180809,7090,7190,6890,7060,129931
20180808,6950,7140,6780,7090,234064
20180807,7080,7080,6850,6920,115441
20180806,7080,7130,6940,6970,157929
20180803,7100,7160,7030,7070,131690
20180802,7050,7200,6870,7020,211172
20180801,7020,7090,6890,7050,220284
20180731,7290,7400,6770,6990,421639
