,open,high,low,close,volume
20181109,7800,7970,7730,7780,112821
20181108,7770,8030,7760,7830,293388
20181107,8040,8220,7560,7580,557838
20181106,7880,8210,7830,8030,405792
20181105,8070,8100,7650,7750,551836
20181102,7410,8120,7410,8080,472987
20181101,7110,7730,7110,7390,422071
20181031,7100,7200,7050,7070,342580
20181030,7070,7400,6960,7090,404532
20181029,7120,7550,7100,7190,352946
20181026,7690,7720,7240,7370,315739
20181025,7600,7760,7410,7600,253875
20181024,7880,7910,7610,7790,197094
20181023,8040,8070,7620,7740,334460
20181022,7930,8100,7720,8020,189181
20181019,7980,8010,7760,7910,267665
20181018,8120,8280,7850,8010,227860
20181017,8200,8290,8020,8170,282755
20181016,7600,8170,7600,7960,373351
20181015,7670,7810,7580,7720,230525
20181012,7600,7860,7530,7710,404994
20181011,7500,7950,7490,7630,542069
20181010,8320,8340,7960,8010,446043
20181008,8370,8550,8280,8350,301702
20181005,8510,8580,8310,8450,436186
20181004,9080,9180,8380,8510,862248
20181002,9090,9270,9050,9070,279291
20181001,9340,9400,9070,9130,296773
20180928,9610,9670,9290,9310,530120
20180927,9490,9650,9480,9580,545326
20180921,9330,9500,9230,9450,332822
20180920,9440,9470,9160,9160,406128
20180919,9000,9530,9000,9440,982618
20180918,9120,9120,8910,9040,255428
20180917,8940,9170,8800,9110,274573
20180914,9000,9150,8820,8930,409757
20180913,9080,9090,8870,9010,479463
20180912,8860,9010,8720,8940,543387
20180911,9590,9590,8750,8780,1321520
20180910,9250,9580,9230,9530,692072
20180907,9230,9380,9070,9380,607647
20180906,9130,9300,9030,9110,372029
20180905,9280,9410,9090,9130,462822
20180904,9350,9390,9130,9210,457209
20180903,9290,9540,9220,9330,797279
20180831,9670,9700,9200,9360,1069109
20180830,9550,9980,9370,9680,2671894
20180829,8400,10150,8400,9630,5566192
20180828,8010,8430,8010,8370,383139
20180827,8100,8110,7980,8000,265983
20180824,8210,8210,8020,8100,241365
20180823,8360,8360,8160,8190,249172
20180822,8360,8470,8270,8280,218271
20180821,8330,8450,8210,8260,287528
20180820,7950,8420,7950,8360,534057
20180817,7910,7990,7800,7870,210969
20180816,8140,8140,7890,7910,283338
20180814,7940,8170,7940,8160,134328
20180813,8190,8280,7940,7980,249823
20180810,8160,8370,8040,8310,251165
20180809,8160,8200,8060,8070,185768
20180808,8210,8310,8150,8200,146330
20180807,8120,8340,8040,8280,303010
20180806,7820,8280,7800,8170,558926
20180803,7700,7850,7660,7780,124418
20180802,7790,7930,7660,7690,159305
20180801,7720,7960,7720,7890,194663
20180731,7800,7830,7630,7650,170858
20180730,7690,7840,7650,7780,139514
20180727,7730,7730,7500,7720,153514
20180726,7580,7760,7540,7670,217186
20180725,7510,7670,7400,7480,201531
20180724,7300,7540,7240,7510,293417
20180723,7000,7430,7000,7350,377536
20180720,7130,7150,7010,7030,304340
20180719,7200,7260,7020,7130,180360
20180718,7430,7480,7200,7220,189903
20180717,7330,7470,7300,7400,209504
20180716,7530,7540,7310,7350,214798
20180713,7400,7560,7360,7450,246514
20180712,7460,7460,7310,7340,190702
20180711,7530,7530,7310,7450,234694
20180710,7370,7640,7370,7540,237434
20180709,7470,7470,7150,7330,327440
20180706,7210,7600,7210,7550,415452
20180705,7420,7560,7180,7240,316325
20180704,7510,7620,7430,7440,368307
20180703,7920,7990,7410,7640,782057
20180702,8310,8430,7820,7920,553045
20180629,8430,8520,8160,8440,247120
20180628,8500,8570,8270,8350,343966
20180627,8750,8790,8550,8560,281980
20180626,9000,9030,8800,8820,295085
20180625,8860,9090,8780,9090,174976
20180622,8820,9000,8690,8920,222316
20180621,9170,9300,8900,8920,467161
20180620,9180,9280,9080,9180,326594
20180619,9700,9710,9150,9180,567713
20180618,10050,10050,9580,9700,387702
20180615,9810,10200,9810,9990,384207
20180614,10250,10300,9980,9980,717861
20180612,10650,10650,10200,10450,418239
20180611,10550,10650,10400,10550,196501
20180608,10650,10700,10350,10450,294620
20180607,10600,10850,10600,10750,459782
20180605,10400,10650,10300,10550,464897
20180604,10200,10400,10050,10300,424058
20180601,10150,10300,9980,10050,409622
20180531,10100,10350,9980,10100,492968
20180530,10450,10550,10000,10100,719564
20180529,10700,10850,10450,10600,698434
20180528,10100,10950,10050,10850,1525428
20180525,9700,9830,9700,9730,481684
20180524,10200,10200,9850,9990,611210
20180523,10200,10300,9960,10200,372034
20180521,10500,10500,10150,10300,270357
20180518,10350,10500,10250,10500,215447
20180517,10400,10650,10350,10400,332608
20180516,10600,10800,10250,10350,796976
20180515,11050,11350,10900,10950,724390
20180514,10300,11100,10250,11000,1240205
20180511,10500,10550,10200,10450,402658
20180510,10200,10500,10100,10450,581629
20180509,10550,10650,10000,10100,780420
20180508,10700,10900,10450,10550,655723
20180504,10600,10900,10400,10750,541565
20180503,11350,11350,10600,10700,489077
20180502,11500,11600,10650,11100,1689971
20180430,10200,11300,10200,11000,1907960
20180427,10000,10250,9940,9990,252891
20180426,9980,10200,9830,9940,322520
20180425,10050,10100,9890,10000,304327
20180424,10300,10350,10050,10150,364330
20180423,10100,10500,10050,10400,588948
20180420,10200,10250,9970,10200,409796
20180419,9570,10300,9450,10200,1163881
20180418,9190,9640,9160,9550,761376
20180417,9230,9270,9120,9180,532425
20180416,9490,9500,9160,9230,615445
20180413,9580,9600,9460,9490,341226
20180412,9690,9770,9570,9570,247162
20180411,9460,9820,9430,9730,521251
20180410,9360,9600,9260,9550,407593
20180409,9900,9960,9260,9320,1284702
20180406,10000,10050,9880,9920,196903
20180405,9880,10100,9850,9980,265988
20180404,9910,10050,9840,9850,331177
20180403,9900,10050,9830,9910,462005
20180402,10050,10250,9990,9990,489766
20180330,10300,10300,10100,10100,316991
20180329,10250,10350,10100,10250,272749
20180328,10450,10550,10200,10250,510629
20180327,10250,10700,10200,10650,733890
20180326,10150,10350,10050,10100,713480
20180323,10500,10800,9880,9880,1394856
20180322,10450,10600,10100,10300,594740
20180321,10300,10350,10150,10300,301219
20180320,10550,10600,10200,10200,822820
20180319,10150,10900,10100,10500,1831975
20180316,10100,10150,9940,10000,288339
20180315,10100,10150,9850,10100,359671
20180314,10150,10200,10000,10050,287498
20180313,10150,10250,10100,10200,222922
20180312,10200,10300,10050,10250,371638
20180309,10050,10150,9930,10100,584604
20180308,9880,10300,9880,10300,474716
20180307,10150,10400,9800,9800,965909
20180306,10300,10350,10100,10100,332648
20180305,10200,10350,10050,10100,384003
20180302,10500,10650,10150,10200,707983
20180228,10950,11000,10650,10750,270800
20180227,10850,11100,10800,11050,351020
20180226,10900,11200,10700,10750,1468431
20180223,10650,10900,10450,10800,638934
20180222,10800,10900,10600,10650,225994
20180221,11050,11150,10800,10850,247168
