,open,high,low,close,volume
20181109,24000,24000,23100,23250,442760
20181108,23950,24250,23550,23900,598679
20181107,24050,24800,23200,23300,1099393
20181106,25200,25200,23500,24000,1334884
20181105,22700,26000,22650,25000,4215651
20181102,21900,22900,21800,22650,883398
20181101,21300,22500,21150,21400,1019011
20181031,21100,21650,20500,20700,806466
20181030,19600,20950,19150,20900,1187197
20181029,20800,21700,20050,20050,932515
20181026,22100,22300,20750,20750,865949
20181025,21150,22350,20700,21800,1084957
20181024,24650,24850,21400,22200,1292693
20181023,25200,25300,24150,24350,814814
20181022,24200,26400,24000,25500,1741301
20181019,24500,24850,23850,24400,933338
20181018,24600,25200,24050,24500,719429
20181017,25650,25750,23850,24450,1104510
20181016,24600,25800,24250,25000,1340104
20181015,26550,26600,24000,24400,1388776
20181012,25700,26800,25250,26250,2178295
20181011,24350,26100,24200,25050,1813620
20181010,25700,27450,25100,25600,3187999
20181008,26200,27500,25000,25200,2146991
20181005,27750,30650,26500,26500,8414274
20181004,24350,29650,23350,28900,15518234
20181002,29200,30350,22300,23950,13605395
20181001,32400,34950,30250,31750,4811433
20180928,37200,43400,35400,35400,6665112
20180927,37600,38350,37000,37200,708223
20180921,37900,38450,37050,37650,700809
20180920,36700,38500,36200,37900,1833457
20180919,41150,42600,35200,36300,2961857
20180918,39650,42100,39300,40000,1349022
20180917,43300,43650,40300,40600,1506353
20180914,42000,47000,41100,43550,2196154
20180913,46300,47500,43800,44450,1604979
20180912,43550,47700,42300,45800,3457941
20180911,40500,43500,39900,42650,1997085
20180910,40950,41550,39100,41000,911857
20180907,43600,44200,39250,40700,3109580
20180906,46000,46800,42600,44800,2509379
20180905,39650,49300,39400,45500,6700515
20180904,39500,39850,38150,39700,993506
20180903,38000,39150,37100,38800,1359037
20180831,35250,38400,35200,38400,2242794
20180830,37150,38250,34900,36800,3070184
20180829,38700,39550,37100,37900,2580838
20180828,41550,43950,38900,40350,6546127
20180827,34450,42100,33700,40300,14827996
20180824,33300,39700,32400,33700,15052695
20180823,25850,31950,25100,31950,7168204
20180822,23000,24700,22850,24600,2444770
20180821,22650,23300,22400,22750,759196
20180820,22000,22900,21900,22750,935843
20180817,21000,22300,20950,21900,1146461
20180816,21400,21450,20500,21050,594106
20180814,22400,22700,21750,21750,787399
20180813,21350,23800,21050,22150,2980244
20180810,21350,21950,21100,21550,551344
20180809,21350,22000,21050,21300,655084
20180808,21600,21950,20900,21200,655427
20180807,22300,22450,21350,21500,754075
20180806,20850,22700,20700,22200,1494206
20180803,21000,21250,20600,20700,371483
20180802,21100,21700,20900,20900,577366
20180801,21350,21650,21000,21050,593939
20180731,21450,21900,21100,21200,777429
20180730,20650,21500,20150,21400,965862
20180727,20000,21150,19850,20400,1146742
20180726,20600,21450,19500,20100,1648307
20180725,22050,22650,20300,20500,1938215
20180724,23000,23300,22000,22000,1768837
20180723,22800,23700,21800,23150,3509677
20180720,19050,23850,19050,23000,6465179
20180719,20550,20650,18750,19300,1158473
20180718,20750,20850,20200,20350,915126
20180717,20150,20750,19850,20450,859870
20180716,20900,21250,19750,20000,1478652
20180713,18650,20750,18650,20200,2638383
20180712,19150,21700,18850,18950,4935816
20180711,18750,19050,18350,18900,905026
20180710,18400,19400,18250,18500,1423335
20180709,16300,19400,16150,18550,4809012
20180706,15800,16350,15450,16150,495185
20180705,15100,17150,14900,15900,2189723
20180704,14200,15200,14150,15000,337419
20180703,14800,15150,13750,14350,459873
20180702,15000,15600,14800,14800,323612
20180629,15450,15650,14650,15200,327510
20180628,15450,15800,15450,15450,209491
20180627,15600,16550,15550,15600,526380
20180626,15850,16100,15450,15650,278523
20180625,16000,16150,15850,15900,159065
20180622,15600,16200,15500,15850,230169
20180621,15950,16250,15500,15600,240844
20180620,15300,16500,15100,15750,462317
20180619,16200,16600,15300,15400,495505
20180618,17450,17500,16000,16300,529054
20180615,17050,17700,17050,17100,393656
20180614,16600,18250,16450,17050,996639
20180612,16750,17150,16500,16600,564188
20180611,16800,17150,16500,16600,422790
20180608,17200,17700,17000,17000,532161
20180607,16600,18750,16150,17400,2575912
20180605,17000,17250,16500,16500,418189
20180604,17250,17900,16950,17000,565704
20180601,17600,17950,17150,17450,538408
20180531,18150,18450,17200,17750,996751
20180530,17300,17800,17100,17700,749419
20180529,17000,18150,16800,17100,1760198
20180528,17000,17300,16450,16700,1324001
20180525,16200,19500,16200,17650,3933002
20180524,15900,16500,15800,16300,452370
20180523,16500,16700,15900,16000,424880
20180521,15900,16250,15750,16150,286436
20180518,15400,16200,15400,15700,662314
20180517,16600,16700,15400,15400,677543
20180516,16200,17150,16200,16350,748295
20180515,16250,16700,16150,16200,385552
20180514,17150,17150,16050,16150,543029
20180511,16650,17450,16550,16700,520599
20180510,16600,17700,16050,16650,868414
20180509,15600,16650,15250,16500,938849
20180508,16750,17150,15700,15700,587912
20180504,16700,17100,16550,16700,602471
20180503,17750,18000,17050,17050,578440
20180502,16950,18050,16250,17400,1163497
20180430,18000,18250,16950,17400,1003537
20180427,19050,19100,18050,18300,542673
20180426,18800,19500,18300,18550,1221053
20180425,18250,19050,17800,18100,988879
20180424,18900,19550,18500,18550,794857
