,open,high,low,close,volume
20181109,93400,95500,93400,93700,8689
20181108,93000,95500,93000,94100,12704
20181107,92900,95600,91800,91900,15111
20181106,90900,95300,90600,94100,15961
20181105,89800,91200,89700,90900,10349
20181102,88400,91100,88400,90700,9364
20181101,88200,89600,88200,88900,8964
20181031,89500,89500,87300,88900,22306
20181030,87500,91400,87400,90300,12717
20181029,92100,93600,89700,90300,15368
20181026,93100,93400,91000,92100,13613
20181025,93500,94100,92100,93900,13585
20181024,93500,94700,92800,94200,71086
20181023,94300,95100,92400,92800,11967
20181022,96800,96800,94500,95100,6253
20181019,93000,96900,92500,96800,16262
20181018,95800,96300,92900,93500,12182
20181017,96000,96600,95500,96000,5936
20181016,92500,96900,92500,95000,9171
20181015,94900,95100,92500,94100,9484
20181012,95000,96500,93700,95800,18192
20181011,99500,101500,95200,95900,32524
20181010,103000,104000,100000,101500,14373
20181008,103500,105500,103000,103500,6682
20181005,105500,106000,103500,105000,13400
20181004,104500,106500,103500,106000,8844
20181002,108500,109500,104500,104500,21777
20181001,112500,113000,108500,109000,18599
20180928,114000,115000,110000,113500,29251
20180927,113500,114500,112500,114500,15165
20180921,108500,116500,108500,114500,45762
20180920,107500,110500,107500,107500,14145
20180919,109000,109000,106500,108500,8165
20180918,106000,108500,105500,108500,9683
20180917,108000,108000,106500,106500,8846
20180914,108500,110000,108500,108500,8449
20180913,111000,111000,107500,108500,19946
20180912,111000,112000,108500,110500,23242
20180911,106500,111500,106500,110500,19556
20180910,108500,109500,106000,107000,14188
20180907,108000,109500,106000,109500,18882
20180906,105000,108500,105000,107500,20094
20180905,103500,106500,103000,104500,27185
20180904,104500,105000,102500,103500,17754
20180903,105000,105500,103000,104500,8785
20180831,102000,105500,101500,105000,20955
20180830,103000,104500,100000,102500,14610
20180829,103000,104500,102500,103000,11843
20180828,102000,103500,101000,102500,6648
20180827,101000,103000,101000,102500,8240
20180824,99500,101500,98900,100500,13816
20180823,101000,101500,98600,98900,11455
20180822,101500,104500,99800,100000,18023
20180821,100500,103500,100500,102500,13213
20180820,101500,104000,100500,101000,11309
20180817,99500,102000,99500,100500,8785
20180816,101000,101500,99500,100000,7083
20180814,99500,102500,98600,101500,13866
20180813,101000,101000,98600,99200,11533
20180810,101500,102000,100500,102000,8356
20180809,99500,101500,99200,101500,20360
20180808,99000,100500,98600,99500,12359
20180807,98400,100000,98000,99700,5813
20180806,99000,100500,98400,99000,14325
20180803,97100,98000,96800,98000,7193
20180802,98400,99100,96200,97500,13339
20180801,96500,99600,96500,98500,22137
20180731,95800,96700,94300,96500,20400
20180730,96700,97500,94600,95100,17298
20180727,99500,99500,96500,97000,14486
20180726,98000,99600,97100,97800,6263
20180725,98500,99800,96700,96800,9702
20180724,98900,99100,97400,99100,5945
20180723,99200,99200,97800,97800,9494
20180720,97600,98700,97600,98400,6640
20180719,98700,99100,97600,97600,8325
20180718,100000,101000,98500,98600,10594
20180717,99500,100500,99300,100500,17671
