,open,high,low,close,volume
20181109,1750,1775,1725,1745,350810
20181108,1725,1780,1695,1760,563427
20181107,1720,1775,1670,1670,715107
20181106,1680,1710,1675,1700,306575
20181105,1670,1670,1640,1665,291662
20181102,1600,1685,1600,1665,356194
20181101,1585,1625,1580,1580,272205
20181031,1585,1615,1555,1590,258949
20181030,1490,1615,1490,1610,481919
20181029,1590,1640,1510,1540,420177
20181026,1660,1705,1590,1625,350285
20181025,1610,1700,1610,1690,366959
20181024,1660,1670,1595,1660,406740
20181023,1700,1715,1625,1635,420496
20181022,1715,1720,1700,1705,182098
20181019,1735,1735,1705,1715,214301
20181018,1725,1750,1715,1735,182454
20181017,1745,1750,1720,1730,204464
20181016,1720,1755,1690,1705,217028
20181015,1705,1735,1685,1685,321757
20181012,1680,1750,1680,1740,484571
20181011,1770,1840,1685,1715,1373229
20181010,1860,1875,1810,1810,415267
20181008,1870,1895,1865,1870,142983
20181005,1905,1910,1870,1885,242442
20181004,1905,1930,1890,1905,218650
20181002,1905,1960,1895,1900,206464
20181001,1965,1975,1910,1920,182877
20180928,1975,1985,1940,1955,189705
20180927,1940,1980,1935,1970,244904
20180921,1915,2010,1900,1940,578346
20180920,1925,1960,1895,1900,335644
20180919,1990,1990,1920,1920,310852
20180918,1970,1995,1955,1990,194256
20180917,2010,2020,1980,1990,174206
20180914,2000,2035,1975,2005,248699
20180913,2020,2030,1990,2000,330386
20180912,2015,2030,1965,2020,385245
20180911,2025,2040,1975,2015,469179
20180910,1930,2030,1930,2000,974108
20180907,1915,1945,1910,1935,367992
20180906,1905,1925,1885,1910,365947
20180905,1895,1915,1880,1905,265956
20180904,1875,1905,1875,1900,265089
20180903,1875,1885,1860,1875,256062
20180831,1885,1905,1865,1870,254008
20180830,1875,1915,1865,1880,271204
20180829,1885,1925,1875,1880,291117
20180828,1880,1960,1875,1890,228878
20180827,1890,1900,1865,1880,166836
20180824,1885,1925,1885,1915,160605
20180823,1900,1910,1880,1890,191343
20180822,1900,1915,1880,1900,226622
20180821,1925,1930,1895,1905,210943
20180820,1970,1970,1915,1925,156591
20180817,1930,1950,1905,1945,220000
20180816,1975,1975,1925,1930,203244
20180814,1920,1985,1890,1970,299885
20180813,1955,1975,1875,1900,405425
20180810,1910,1955,1895,1940,351214
20180809,1895,1900,1875,1895,248053
20180808,1890,1935,1875,1890,332720
20180807,1880,1905,1865,1905,242236
20180806,1925,1925,1880,1885,270492
20180803,1865,1930,1865,1920,233141
