,open,high,low,close,volume
20181109,10850,10850,10100,10750,1521
20181108,11400,11400,10450,10850,3601
20181107,10250,10950,10000,10400,4341
20181106,10200,10250,10000,10150,3242
20181105,10350,10350,10000,10050,3867
20181102,10250,10700,9960,10000,3138
20181101,10300,11000,10300,10650,1017
20181031,10050,10300,9870,10250,3838
20181030,10200,10300,9930,10050,6859
20181029,10700,10700,10450,10500,365
20181026,11050,11050,10250,10700,2011
20181025,10450,11100,10400,10950,1194
20181024,11150,11150,10550,10550,134
20181023,10800,11150,10650,10950,708
20181022,10550,10900,10450,10900,464
20181019,11100,11100,10500,10500,128
20181018,11300,11300,10650,10900,30
20181017,10750,11300,10750,11300,1989
20181016,10400,10900,10400,10500,1470
20181015,10550,10550,10350,10550,846
20181012,10050,10550,10050,10500,1716
20181011,10300,10550,10250,10450,1888
20181010,11050,11200,10750,11050,5714
20181008,11200,11400,11050,11350,161
20181005,11650,11700,11050,11450,4625
20181004,11400,11750,11400,11700,620
20181002,12100,12100,11500,11800,1126
20181001,12250,12250,11750,11800,108
20180928,12350,12350,11450,12250,1898
20180927,12800,12800,11850,12050,2900
20180921,11050,11900,11050,11900,2762
20180920,11450,11450,10950,11200,1853
20180919,11650,11650,11200,11200,7975
20180918,11150,11600,11150,11550,1883
20180917,11800,11800,11500,11800,1499
20180914,11400,11750,11150,11700,1744
20180913,10850,11450,10850,11400,4708
20180912,10800,10950,10700,10850,4387
20180911,11000,11000,10750,10800,4951
20180910,11000,11000,10850,10950,236
20180907,11150,11150,10600,10850,6391
20180906,10650,10750,10550,10700,1271
20180905,10750,10750,10500,10500,2562
20180904,10850,10850,10700,10750,216
20180903,11150,11150,10650,10800,1046
20180831,10800,10800,10500,10650,4138
20180830,10700,10800,10650,10650,1417
20180829,10700,10700,10450,10700,12776
20180828,10800,10800,10700,10700,188
20180827,10600,10700,10400,10550,1324
20180824,10550,10800,10550,10800,786
20180823,10800,10900,10700,10850,6123
20180822,10550,10700,10500,10700,1677
20180821,10750,10750,10450,10450,111
20180820,10700,10700,10500,10500,1934
20180817,10550,10550,10400,10550,2512
20180816,10650,10650,10450,10550,849
20180814,10700,10700,10500,10700,776
20180813,10850,10850,10550,10600,3094
20180810,10700,10850,10650,10800,1969
20180809,10800,10800,10600,10650,2221
20180808,10800,10800,10650,10700,2985
20180807,10750,10800,10650,10750,805
20180806,10800,10900,10600,10600,2420
20180803,10650,10800,10550,10800,2493
20180802,10550,10550,10300,10500,2484
20180801,10550,10550,10400,10550,2224
20180731,10950,10950,10500,10500,1187
20180730,10800,10900,10550,10850,3978
20180727,10950,10950,10500,10650,1189
20180726,10700,10700,10500,10600,5450
20180725,10500,11100,10250,10350,888
20180724,10100,10700,10100,10350,8377
20180723,10700,10700,10150,10150,3586
20180720,11100,11450,10700,10700,8377
20180719,11500,11500,10600,11100,2137
20180718,11650,11650,11200,11200,3431
20180717,11400,11650,11200,11550,738
20180716,11900,11900,11350,11350,600
20180713,11500,11700,11000,11600,18235
20180712,11650,12500,11050,11300,6899
20180711,10750,11700,10750,11650,2025
20180710,11400,11400,11300,11400,265
20180709,11700,11700,11200,11200,3418
20180706,12100,12100,11500,11750,2481
20180705,12850,12850,11400,11800,3937
20180704,12150,12150,12000,12000,987
20180703,12300,12300,11800,11900,2279
20180702,12600,12650,11650,11800,7582
20180629,12350,14300,12350,12800,22883
20180628,13100,13100,12350,12500,869
20180627,13150,13400,12750,12750,1346
20180626,13300,13350,12650,13150,2780
20180625,13700,13700,13000,13050,391
20180622,13400,13500,12900,13300,1911
20180621,13400,13550,13050,13200,4717
20180620,13350,13350,12900,13150,1867
20180619,13250,13450,13000,13050,1526
20180618,13750,13750,13000,13200,2771
20180615,13300,13400,13250,13300,4235
20180614,13100,13600,12800,13250,13860
20180612,13850,14200,13000,13450,9126
20180611,14350,14350,13850,14300,10714
20180608,15200,15200,14100,14200,7538
20180607,15300,15450,14600,14900,7873
20180605,14700,15500,13850,15050,17757
20180604,16900,16900,14550,14850,17705
20180601,17000,17500,16150,16900,15399
20180531,17050,17950,16500,17950,18510
20180530,20500,20500,17150,17900,32741
20180529,22800,24000,19700,19800,51742
20180528,24000,26000,23500,26000,68418
20180525,12550,20300,12100,20000,116704
20180524,21100,24900,15050,15700,93406
20180523,21100,21100,20500,21100,57685
20180521,13750,16250,13000,16250,35490
20180518,11800,12700,11800,12500,1343
20180517,11500,12300,11500,12200,2402
20180516,11500,12250,11500,11500,1113
20180515,13050,13050,12300,12700,1692
20180514,12250,12800,12250,12800,7116
20180511,11750,12200,11750,12150,1413
20180510,11600,11950,11250,11900,1757
20180509,12700,12700,11000,11600,3299
20180508,10650,11400,10650,11300,2102
20180504,10750,10750,10350,10650,838
20180503,10500,10600,10350,10550,671
20180502,10250,10550,10250,10500,211
20180430,10350,10700,10200,10600,1615
20180427,10400,10400,10100,10400,294
20180426,10500,10500,10050,10400,202
20180425,10200,10400,10200,10400,365
20180424,10300,10400,10000,10400,260
20180423,10000,10300,10000,10300,2551
20180420,9900,9900,9760,9860,124
20180419,9880,9880,9710,9840,548
20180418,9710,9720,9710,9720,192
20180417,9720,9720,9540,9650,16
20180416,9600,9760,9550,9560,870
20180413,9590,9680,9410,9600,102
20180412,9470,9560,9400,9400,283
20180411,9560,9570,9480,9480,393
20180410,9500,9950,9290,9760,2015
20180409,9740,9740,9480,9500,756
20180406,9960,9980,9720,9760,59
20180405,10100,10100,9610,9790,766
20180404,10200,10200,9900,9900,1532
20180403,10200,10400,10200,10350,155
20180402,10500,10600,10250,10400,1810
20180330,10700,10850,10500,10800,762
20180329,10750,10950,10600,10900,153
20180328,11050,11050,10500,10750,231
20180327,10950,11100,10600,10950,313
20180326,10700,11100,10550,10850,130
20180323,10850,10900,10450,10600,493
20180322,11050,11050,10900,11000,10
20180321,11150,11150,10900,11100,82
20180320,11100,11150,10350,11150,635
20180319,11100,11100,11100,11100,0
20180316,11100,11100,11100,11100,14
20180315,11100,11100,11000,11000,30
20180314,11200,11200,11050,11150,73
20180313,11200,11400,11000,11200,266
20180312,11200,11200,11150,11200,84
20180309,11300,11300,11000,11250,202
20180308,11050,11250,11000,11250,190
20180307,11150,11300,11100,11300,135
20180306,11200,11250,11100,11200,202
20180305,11250,11250,11000,11250,141
20180302,11450,11450,11150,11400,200
20180228,11500,11550,11150,11350,255
20180227,11400,11400,11150,11200,77
20180226,11350,11450,11200,11250,170
20180223,11300,11500,11000,11150,595
20180222,11500,11500,11500,11500,0
20180221,11300,11500,11300,11500,21
20180220,11400,11500,11350,11500,81
20180219,11500,11500,11200,11500,122
20180214,11400,11500,11300,11500,83
