,open,high,low,close,volume
20181109,9480,9480,9200,9380,1502
20181108,9410,9540,9280,9480,2515
20181107,9010,9700,9010,9200,7588
20181106,8790,9140,8790,9020,3551
20181105,8990,9080,8790,8790,8451
20181102,9330,9330,8600,8850,28118
20181101,9880,9880,9550,9550,1646
20181031,9560,9560,9430,9510,107
20181030,9580,9580,9570,9570,56
20181029,9650,9650,9370,9590,680
20181026,9810,9890,9430,9500,2192
20181025,10100,10100,9830,10000,161
20181024,9810,10300,9610,10300,920
20181023,9880,10150,9860,9990,850
20181022,9860,10300,9660,10300,2244
20181019,9630,10000,9630,9850,1357
20181018,10000,10000,9900,9900,12
20181017,9800,10000,9800,10000,1636
20181016,9800,9880,9610,9800,507
20181015,9310,9640,9310,9620,1314
20181012,9050,9490,9050,9310,1190
20181011,9850,9850,9300,9590,633
20181010,9980,9980,9600,9850,1782
20181008,9830,10100,9830,9850,659
20181005,10250,10400,9900,9900,1327
20181004,10300,10400,10200,10300,301
20181002,10500,10500,10150,10300,1174
20181001,10550,10900,10200,10300,1813
20180928,10600,10700,10150,10600,4094
20180927,11000,11000,10450,10600,2754
20180921,10050,10500,10050,10500,2568
20180920,10150,10300,10000,10050,3761
20180919,10300,10350,10000,10150,3148
20180918,10700,10750,10300,10400,4151
20180917,10900,10900,10400,10850,2722
20180914,10150,10550,10000,10550,6185
20180913,10150,10200,9920,10200,4419
20180912,10200,10200,9850,10050,1391
20180911,10200,10200,10050,10200,676
20180910,10050,10250,9870,10100,1631
20180907,10200,10200,9850,10050,3294
20180906,9910,10000,9800,9990,2383
20180905,10100,10100,9640,9990,2730
20180904,10250,10250,9880,9990,307
20180903,10250,10250,9830,9990,2340
20180831,10200,10200,9950,10050,100
20180830,10000,10000,9880,9990,2314
20180829,9980,10000,9790,9980,4042
20180828,9780,9990,9700,9990,5047
20180827,9700,9700,9630,9670,2125
20180824,9760,9860,9620,9840,2144
20180823,9770,9900,9670,9760,1694
20180822,9700,9750,9570,9750,1451
20180821,9740,9740,9570,9590,933
20180820,9620,9740,9570,9740,788
20180817,9570,9760,9530,9750,5253
20180816,9950,9950,9560,9570,879
20180814,9580,9780,9480,9780,3679
20180813,10100,10100,9460,9580,4682
20180810,9900,9900,9630,9840,3268
20180809,9750,9750,9600,9610,2768
20180808,9680,9800,9640,9760,1752
20180807,9600,9760,9600,9740,1782
20180806,9860,9890,9840,9890,678
20180803,9800,9920,9710,9830,1875
20180802,9760,9870,9500,9700,2593
20180801,9820,9920,9770,9850,2152
20180731,10000,10000,9750,9820,4746
20180730,9920,10150,9900,10150,10368
20180727,10100,10100,9720,9920,1678
20180726,9590,10050,9480,9780,8787
20180725,9760,9760,9370,9570,3873
20180724,9000,9880,9000,9630,18283
20180723,9550,9560,9020,9040,2148
20180720,9640,9680,9550,9590,1368
20180719,9890,9890,9540,9670,4217
20180718,10400,10400,9710,9800,4624
20180717,10000,10350,10000,10250,4940
20180716,10350,10350,10000,10050,2178
20180713,10000,10300,10000,10250,15218
20180712,10200,11550,10100,10100,40196
20180711,9710,10300,9710,10150,6550
20180710,9720,10050,9720,9760,5972
20180709,10100,10150,9750,9750,5986
20180706,10200,10600,9870,10600,3990
20180705,10300,10300,9680,10200,6746
20180704,9900,10300,9510,10100,8047
20180703,9900,10050,9820,9860,6585
20180702,10400,10400,9720,9850,26449
20180629,9550,11950,9550,10350,67423
20180628,9700,10100,9490,9490,7727
20180627,10800,10900,10000,10150,13355
20180626,10800,11000,10600,10800,7984
20180625,11300,11300,10850,10900,5844
20180622,11300,11350,10700,11200,13939
20180621,11450,11850,11150,11150,10746
20180620,11050,11500,10750,11450,8211
20180619,11150,11650,11000,11200,11367
20180618,11850,12200,11250,11300,24978
20180615,11300,11650,11200,11500,22219
20180614,11200,12050,11100,11250,33301
20180612,12600,12600,11300,11600,56675
20180611,12550,13200,12250,12650,49675
20180608,13550,13550,12500,12650,31254
20180607,13500,15000,13300,13550,58561
20180605,13200,14950,12650,13900,76933
20180604,16250,16250,12300,13900,56455
20180601,17200,17200,15300,15650,51238
20180531,18100,20000,16700,18000,55877
20180530,20400,20400,18150,18900,54122
20180529,21500,23050,18500,18500,124742
20180528,21950,21950,21950,21950,28404
20180525,10950,16900,10350,16900,156064
20180524,17200,20250,12400,13000,233010
20180523,15650,15650,15650,15650,63250
20180521,10200,12050,9920,12050,41489
20180518,9430,9430,8980,9300,5571
20180517,8940,9390,8940,9180,2772
20180516,9390,9390,8900,8990,749
20180515,9690,9700,9360,9530,2715
20180514,9340,9770,9310,9690,7966
20180511,9480,9480,9020,9340,649
20180510,9480,9480,8900,9420,74
20180509,9500,9500,9210,9330,1384
20180508,9700,9700,9010,9230,2969
20180504,8720,9000,8720,8900,376
20180503,9020,9020,8850,8850,4
20180502,9280,9280,8700,8700,282
20180430,9300,9300,8750,8990,447
20180427,9170,9170,8810,8830,254
20180426,8890,9080,8420,9030,87
20180425,8890,8940,8890,8890,111
20180424,9290,9290,8600,8890,35
20180423,8800,8940,8600,8940,811
20180420,8770,8770,8350,8550,199
20180419,8090,8790,8090,8680,814
20180418,8100,8100,8070,8070,61
20180417,8070,8070,8060,8060,40
20180416,8130,8130,8000,8050,17
20180413,7920,8130,7920,8130,445
20180412,7750,8100,7750,8090,356
20180411,7680,7880,7680,7780,88
20180410,7740,7840,7470,7730,527
20180409,8040,8040,7600,7740,177
20180406,8040,8080,8030,8040,122
20180405,8090,8140,7950,8090,64
20180404,8240,8330,7950,8000,597
20180403,8430,8440,8240,8240,181
20180402,8770,8770,8330,8330,1688
20180330,8770,8910,8580,8770,881
20180329,9000,9110,8770,8800,54
20180328,9080,9210,8900,8900,1325
20180327,8970,9280,8730,9080,417
20180326,8990,8990,8990,8990,0
20180323,9060,9060,8700,9010,1102
20180322,9170,9170,8850,8850,115
20180321,9200,9200,9030,9200,118
20180320,9100,9250,8700,9200,402
20180319,9050,9150,8910,9100,393
20180316,9290,9290,9060,9260,82
20180315,9030,9170,9030,9140,94
20180314,9190,9190,9040,9050,164
20180313,9300,9500,9020,9210,144
20180312,9210,9330,9000,9270,441
20180309,9110,9110,9100,9100,56
20180308,9180,9980,9100,9100,487
20180307,9130,9180,8930,9180,107
20180306,9020,9300,8990,9120,66
20180305,9120,9120,9050,9120,60
20180302,9360,9360,9120,9120,2
20180228,9280,9400,9100,9120,121
20180227,9320,9320,8960,9290,450
20180226,9230,9380,9150,9150,170
20180223,9400,9400,9390,9390,11
20180222,9560,9560,9320,9420,120
20180221,9510,9590,9310,9440,138
20180220,9390,9490,9280,9490,372
20180219,9330,9470,9190,9260,1091
20180214,9570,9570,9320,9550,289
20180213,9310,9650,9310,9600,370
20180212,9490,9490,9160,9360,44
20180209,9400,9840,9090,9370,1262
20180208,9470,9890,9180,9420,770
20180207,9690,9690,9100,9440,269
20180206,9430,9430,8850,9350,1026
20180205,9350,9380,9010,9270,303
20180202,9610,9700,9250,9350,612
20180201,9320,9770,9320,9610,2644
20180131,9290,9740,9290,9440,897
20180130,9020,9690,9020,9570,1758
20180129,9670,9700,9310,9490,1911
20180126,9100,9770,8830,9360,4159
20180125,8400,9000,8360,9000,6837
20180124,8250,8440,8250,8430,1599
20180123,8370,8450,8340,8350,128
20180122,8370,8370,8270,8370,490
20180119,8460,8620,8180,8370,7578
20180118,8410,8560,8400,8460,200
20180117,8860,9060,8150,8310,2690
20180116,8850,9190,8800,8800,2670
20180115,8990,9140,8830,9030,294
20180112,8850,9190,8760,8990,188
20180111,8800,8930,8550,8850,5598
20180110,8870,9050,8600,8710,4779
20180109,9700,9790,8710,8870,10222
20180108,9470,9630,9320,9630,58
20180105,9480,9660,9290,9470,327
20180104,9630,9700,9420,9480,690
20180103,9520,9900,9310,9590,1277
20180102,9490,9670,9160,9520,1612
20171228,9770,9940,9260,9490,6686
20171227,9760,10000,9400,9970,1083
20171226,9880,10000,9220,9790,2485
20171222,9540,9990,9110,9880,1700
20171221,9630,9630,9410,9540,130
20171220,9930,9930,9350,9630,394
20171219,10200,10200,9500,9860,848
20171218,10100,10400,9900,10200,203
20171215,10100,11050,9800,10000,8526
20171214,10300,10450,9730,10100,2618
20171213,10450,10550,10150,10300,2272
20171212,10400,10800,10400,10650,476
20171211,10400,10750,10350,10600,175
20171208,10450,10850,10350,10600,287
20171207,10650,10650,10350,10350,335
20171206,10450,10800,10150,10500,3459
20171205,10300,10500,10300,10350,401
20171204,10450,10700,10300,10300,439
20171201,10800,11000,10300,10350,4462
20171130,11000,11000,10800,10950,29
20171129,11050,11050,11050,11050,1
20171128,10800,11050,10800,11000,42
20171127,10800,11050,10700,10950,782
20171124,11100,11100,10700,10800,845
20171123,11300,11300,10650,11050,33
20171122,11000,11000,10900,10900,13
20171121,10900,11100,10900,11000,59
20171120,11400,11400,10900,11150,1116
20171117,11250,11300,10950,11150,123
20171116,10700,11150,10700,11150,297
20171115,11100,11200,10700,10850,808
20171114,11050,11050,10950,10950,232
20171113,11050,11400,10900,11050,2112
20171110,11250,11250,11050,11250,276
20171109,11150,11300,11000,11250,517
20171108,10950,11200,10650,11150,900
20171107,11250,11250,10900,10900,1233
20171106,11400,11400,10900,11350,349
20171103,11300,11350,11150,11300,283
20171102,11200,11300,10900,11300,254
20171101,11250,11750,11100,11100,694
20171031,11400,11550,11200,11450,718
20171030,11150,11450,11150,11450,250
20171027,10700,11150,10700,11150,1455
20171026,10800,11450,10100,10800,7029
20171025,11350,11350,10950,10950,264
20171024,11250,11450,11050,11100,312
20171023,10750,11150,10700,11100,737
20171020,10700,10950,10650,10900,618
20171019,11100,11100,10800,11000,472
20171018,11150,11200,10600,11200,693
20171017,11150,11150,10800,11150,1385
20171016,10900,11150,10800,11150,384
20171013,11000,11050,10950,11050,16
20171012,10900,11200,10900,10900,664
20171011,11100,11200,10800,11150,150
20171010,11350,11350,10800,11100,401
20170929,10800,11150,10800,11100,908
20170928,10950,11050,10700,11000,551
20170927,10900,11500,10700,10700,1462
20170926,10900,10900,10550,10800,770
20170925,10700,10950,10700,10800,225
20170922,11250,11300,10700,10900,832
20170921,11450,11800,11100,11100,1256
20170920,11250,11550,11000,11450,1316
20170919,11150,11300,10850,11300,735
20170918,11000,11250,10850,11100,970
20170915,11000,11050,10800,11000,1921
20170914,11250,11600,10850,11000,3385
20170913,11750,11800,11000,11150,3438
20170912,11450,11700,11200,11650,1909
20170911,11600,11700,11350,11350,668
20170908,11600,11950,11300,11450,4675
20170907,11650,12650,11600,11800,9965
20170906,11150,11850,11000,11650,11501
20170905,11100,11300,10850,11150,4277
20170904,10650,11700,10600,11150,20675
20170901,11250,11250,10800,10950,6585
20170831,11000,11400,10950,11150,549
20170830,11100,11800,10800,10950,6273
20170829,10900,11250,10850,11000,1868
20170828,10850,10950,10700,10850,872
20170825,10850,10900,10600,10800,1981
20170824,10700,10850,10600,10850,1968
20170823,11250,11450,10600,10750,7278
20170822,11550,11550,11100,11150,3359
20170821,11400,11700,11200,11450,12807
20170818,11400,11500,11000,11250,7513
20170817,12000,12950,11100,11400,60394
20170816,11700,14700,11350,11850,217802
20170814,11150,11600,10900,11400,16392
20170811,11050,14350,11050,11150,130752
20170810,11000,11300,10650,11300,1877
20170809,10800,11200,10600,10900,2288
20170808,11400,11700,10550,11000,5428
20170807,10800,11400,10750,11350,5261
20170804,10850,11900,10750,11000,16240
20170803,10500,10900,10300,10850,3371
20170802,10600,10850,10500,10700,1686
20170801,10600,10950,10400,10900,2850
20170731,10550,10950,10300,10600,2252
20170728,10300,10950,10200,10350,5192
20170727,10500,10750,10150,10300,3683
20170726,10900,11200,10500,10500,3820
20170725,11100,11400,10600,11050,1212
20170724,11100,11700,11000,11000,1064
20170721,10800,11200,10500,11100,3808
20170720,11300,11300,10550,11000,3110
20170719,11300,11500,11200,11350,331
20170718,11350,11500,11100,11500,485
20170717,11200,11400,11200,11350,166
20170714,11250,11400,11100,11300,142
20170713,11500,11650,11200,11400,1139
20170712,11450,11700,11200,11650,254
20170711,11650,11800,11250,11550,1800
20170710,11450,11800,11300,11700,1629
20170707,11400,11550,11100,11450,799
20170706,11450,11500,11250,11450,1068
20170705,11400,11500,11150,11400,305
20170704,11150,11600,11050,11400,1733
20170703,11250,11600,11100,11200,1818
20170630,11500,11650,11100,11600,731
20170629,11550,11650,11150,11500,5052
20170628,11750,12200,11200,11500,12669
20170627,11900,12050,11600,11900,3078
20170626,12050,13550,11850,11850,79703
20170623,12350,12350,11800,12150,4712
20170622,12200,13000,11750,12200,29944
20170621,12300,12900,11900,12400,13427
20170620,12700,12800,12050,12250,9489
20170619,11850,13000,11850,12500,50908
20170616,12350,12650,11850,11900,11455
20170615,12700,13500,11700,12350,34428
20170614,14100,15500,12050,12300,143093
20170613,10400,13450,10400,13450,83200
20170612,10350,10500,10350,10350,691
20170609,10350,10450,10200,10350,583
20170608,10350,10500,10250,10350,904
20170607,10700,11100,10250,10350,2865
20170605,11350,11350,10800,10900,302
20170602,10600,11600,10500,10750,5031
20170601,10700,11000,10450,10550,2532
20170531,10600,11200,10450,10750,5081
20170530,11600,12050,10800,10850,9805
20170529,12300,12300,11200,11600,20000
20170526,11350,13050,10900,11900,45779
20170525,10550,12900,10300,11000,87376
20170524,10200,11800,10200,10550,12367
20170523,10200,10350,9950,10250,2289
20170522,10300,10550,10050,10150,6998
20170519,10400,10400,9830,10200,13101
20170518,10100,12400,10100,10450,45933
20170517,10200,10450,9830,9950,425
20170516,10050,10450,10000,10050,279
20170515,10250,10400,10000,10300,526
20170512,10200,10250,10150,10250,106
20170511,10200,10200,10200,10200,1
20170510,10200,10200,9710,10200,110
20170508,9850,10100,9850,10050,124
20170504,10050,10050,10050,10050,45
20170502,10050,10050,9860,10050,18
20170428,9720,10050,9590,10050,391
20170427,10250,10450,9520,9720,3170
20170426,10500,10500,10000,10150,648
20170425,10500,10600,10350,10400,122
20170424,10450,10550,9900,10400,4838
20170421,11100,11150,9630,10200,7210
20170420,11200,11200,10750,11000,80
20170419,11150,11450,10800,11150,2015
20170418,11500,11500,10950,11100,1593
20170417,11450,11850,10700,11350,978
20170414,11000,11700,10450,11350,1398
20170413,10650,11300,10300,11000,1290
20170412,10600,10750,10300,10650,636
20170411,10500,10700,10350,10550,332
20170410,10400,10500,10300,10500,361
20170407,10600,10650,10000,10600,1124
20170406,10250,10550,10250,10550,411
20170405,11150,11150,10200,10300,772
20170404,10250,10300,10150,10300,254
20170403,10250,10250,10050,10250,1290
20170331,10150,10500,10000,10250,293
20170330,10550,10650,9920,10050,2135
20170329,11150,11200,10500,10500,1411
20170328,11650,11850,11000,11050,3169
20170327,11900,11900,11300,11550,132
20170324,11950,11950,11250,11800,111
20170323,11250,12150,11050,11500,5044
20170322,11350,11350,10700,11250,316
20170321,11350,11600,11150,11350,622
20170320,11150,11500,10650,11400,932
20170317,11350,11700,10800,11000,2288
20170316,12100,12450,11250,11300,2697
20170315,12300,12300,11850,12100,1156
20170314,12700,12700,11900,12350,3298
20170313,12450,12650,11900,12600,3153
20170310,12800,13050,11900,12450,5054
20170309,13150,13150,12700,13100,2653
20170308,14000,14000,12800,13200,16768
20170307,13200,15850,13200,13650,52332
20170306,13250,13350,13150,13250,202
20170303,13450,13450,13000,13150,25
20170302,13400,13500,13400,13500,107
20170228,13350,13400,13100,13400,173
20170227,13400,13400,13150,13400,23
20170224,13100,13500,12750,13500,1396
20170223,13150,13300,12900,13100,520
20170222,13400,13500,13100,13350,342
20170221,13400,14600,13100,13550,529
20170220,13550,13550,13350,13400,81
20170217,13650,13650,13300,13550,337
20170216,14100,14250,13300,13650,432
20170215,13400,14500,13100,13900,646
20170214,13600,13800,13600,13800,2
20170213,13800,13850,13800,13800,32
20170210,13750,13750,13750,13750,1
20170209,13700,13750,13650,13750,28
20170208,13500,13700,13500,13700,7
20170207,13950,13950,13500,13500,199
20170206,14200,14800,13750,13750,129
20170203,14150,14150,13900,14000,25
20170202,14000,14000,14000,14000,1
20170201,14000,14000,13950,14000,5
20170131,14000,14000,14000,14000,1
20170126,13850,14000,13850,14000,23
20170125,13900,14100,13700,13900,512
20170124,14150,14150,13900,14100,35
20170123,14150,14200,14050,14200,11
20170120,14250,14300,13800,14200,503
20170119,13950,14600,13900,14150,4700
20170118,13800,13800,13500,13750,190
20170117,14200,14200,13650,13650,845
20170116,13750,14200,13700,14200,125
20170113,14300,14300,13750,13750,191
20170112,14500,14500,13800,13800,309
20170111,14300,14950,13650,14200,1326
20170110,14300,14300,14300,14300,0
20170109,14150,14400,14000,14350,371
20170106,14250,15000,14000,14150,525
20170105,15100,15100,13950,14350,2177
20170104,14600,14600,14050,14600,252
20170103,14150,14750,13900,14350,945
20170102,14550,14950,13700,13950,1314
20161229,14000,14400,13500,14300,1186
20161228,14600,14750,14150,14300,23
20161227,14300,14850,13800,14250,1839
20161226,14200,14300,13900,14300,438
20161223,14200,14300,13600,14000,2078
20161222,14850,14850,13900,14200,3269
20161221,14900,15000,14400,14850,160
20161220,14550,15100,14550,14800,96
20161219,14500,14550,14400,14550,80
20161216,14500,14850,14500,14800,7
20161215,14700,14850,14700,14850,52
20161214,14850,14850,14150,14700,772
20161213,14600,14900,14500,14850,3216
20161212,14600,14600,14400,14600,83
20161209,14900,15350,14600,14600,103
20161208,14900,14900,14550,14900,356
20161207,14900,14900,14900,14900,1
20161206,14750,15350,14650,15000,233
20161205,14150,14800,14150,14750,565
20161202,14950,14950,14400,14700,342
20161201,15250,15400,14400,14950,212
20161130,15500,15500,14350,15100,167
20161129,15550,15550,15000,15000,5
20161128,15500,15500,14850,15300,7
20161125,14650,16000,14650,14750,934
20161124,14800,14800,14050,14650,141
20161123,15000,15000,14550,14550,944
20161122,15200,15200,14700,15000,79
20161121,15100,15250,14500,15250,220
20161118,15000,15000,14850,14850,67
20161117,15300,15300,14850,15250,7
20161116,15150,15700,15150,15300,128
20161115,15300,15300,14550,15100,112
20161114,15200,15200,14750,15150,249
20161111,15500,15500,14700,15000,433
20161110,15100,15350,14800,14950,771
20161109,15350,15400,14650,14700,874
20161108,15300,15700,15300,15500,82
20161107,15000,15600,15000,15450,744
20161104,14950,15450,14400,15250,596
20161103,14600,15600,14550,15100,725
20161102,14700,14950,14550,14750,584
20161101,14800,15100,14500,14500,268
20161031,15150,15200,14300,14600,769
20161028,15950,15950,15000,15500,492
20161027,15800,15800,15800,15800,2
20161026,15400,16000,15400,15800,628
20161025,15800,15800,15400,15750,253
20161024,15800,15800,15400,15800,164
20161021,16100,16100,15500,15800,177
20161020,15550,16200,15550,15950,2631
20161019,16050,16050,15750,15900,149
20161018,15950,16100,15600,16000,1361
20161017,15650,16100,15400,15950,1099
20161014,15550,15700,15300,15650,1384
20161013,15750,15750,15250,15550,451
20161012,15500,15800,15350,15700,139
20161011,15800,15900,15400,15400,495
20161010,15400,16500,15400,15450,431
20161007,15500,15900,15500,15650,403
20161006,15700,16200,15300,15850,1094
20161005,15800,15850,15400,15750,342
20161004,15000,15900,15000,15900,1316
20160930,15150,15400,15050,15350,393
20160929,15500,15500,15200,15400,271
20160928,15600,15600,15200,15550,1324
20160927,15550,15650,15100,15600,946
20160926,15850,15850,15400,15750,722
20160923,15800,15850,15450,15850,149
